"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,-0.671140939597307,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,0.289575289575302,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,0.577478344562058,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-04","Apr-2018","PC","Percentage","0","Units",,,0.191387559808625,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-05","May-2018","PC","Percentage","0","Units",,,0.191021967526266,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,0.190657769304077,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,-0.190294957183613,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0.762631077216377,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.283822138126787,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.18867924528302,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,0.0941619585687274,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,-0.752587017873945,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.853080568720395,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.0939849624060042,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.187793427230048,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,0.093720712277425,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,-0.374531835205994,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,0.0939849624060042,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,0.469483568075131,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,0.186915887850468,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,0.186567164179105,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,0.651769087523269,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,-0.462534690101749,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,0.100502512562814,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,0.30120481927712,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.600600600600612,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.503524672708963,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.200400801603207,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.2,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,0.400801603206413,,
