Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,39313.02,39736.12,39287.5,39443.57,2037385
2018-01-03,39444.34,39656.53,39334.16,39604.4,1841569
2018-01-04,39604.4,39898.46,39574.8,39850,3989210
2018-01-05,39851.26,40006.47,39785.59,39995.16,2819112
2018-01-08,39997.49,40193.23,39861.92,40104.03,2743476
2018-01-09,40105.15,40208.09,39662.55,39869.56,2888640
2018-01-10,39868.44,39931.29,39400.75,39651.23,1916716
2018-01-11,39651.23,39772.75,39387.7,39772.75,2637922
2018-01-12,39773.47,39916.06,39594.24,39877.86,2868455
2018-01-15,39877.86,39878.91,39479.2,39579.11,1979635
2018-01-16,39580.45,39986.66,39510.99,39684.16,2099331
2018-01-17,39682.48,39732.77,39362.79,39543.26,2876107
2018-01-18,39543.93,39741.15,39434.66,39663.92,1814306
2018-01-19,39664.93,40021.89,39621.28,40021.89,1881936
2018-01-22,39984.48,41002.39,39934.77,41002.39,4089810
2018-01-23,41003.74,41520.33,40984.36,41516.41,3707050
2018-01-24,41517.42,41609.06,40888.88,40979.77,2989421
2018-01-25,40983.14,41012.28,40357.57,40431.65,2587638
2018-01-26,40431.65,40804.76,40399.45,40785.87,1989672
2018-01-29,40759.66,40883.64,40423.43,40500.12,2187156
2018-01-30,40492,40505.22,39701.48,39926.42,3440268
2018-01-31,39917.62,40367.57,39558.83,40188.51,4923719
2018-02-01,40192.01,40519.94,39973.57,40238.27,3101606
2018-02-02,40238.27,40306.86,39821.09,39951.46,2160122
2018-02-05,39676.24,39770.07,39033.25,39769.45,2441771
2018-02-06,39765.07,39765.07,38580.17,38806.19,4812195
2018-02-07,38859.13,39698.1,38859.13,39698.1,2883552
2018-02-08,39699.49,39718.83,38850.32,38875.93,4056276
2018-02-09,38832.28,38832.28,38050.19,38320.32,5715668
2018-02-12,38320.32,39036.21,38267.56,38287.22,4263054
2018-02-13,38293.08,38750.55,38111.59,38387.29,2820089
2018-02-14,38388.85,38687.31,38226.82,38454.35,3559121
2018-02-15,38450.93,39047.54,38450.93,38522.5,3257182
2018-02-16,38526.77,39146.69,38525.08,39138.87,1852896
2018-02-19,39138.54,39203.67,38875.66,39006.35,2172701
2018-02-20,39050,39348.38,38531.73,38667.08,3349467
2018-02-21,38666.52,38971.94,38609.88,38971.94,2799845
2018-02-22,38971.94,38971.94,38429.05,38643.99,3229756
2018-02-23,38650.22,38735.44,38089.59,38240.09,2749642
2018-02-26,38421.61,38797.58,38234.05,38620.84,2486965
2018-02-27,38622.87,38689.77,38160.57,38462.63,3831660
2018-02-28,38488.84,38567.42,38111.06,38112,3993704
2018-03-01,38110.84,38417.27,37767.85,37767.85,3842877
2018-03-02,37767.52,37969.42,36939.18,36939.18,5101454
2018-03-05,36938.44,37361.96,36916.77,37119.66,4288242
2018-03-06,37116.59,38030.07,37101.02,38008.47,3788326
2018-03-07,37982.26,38425.3,37675.32,38186.2,4590220
2018-03-08,38186.2,38759.51,38186.2,38670.63,3113039
2018-03-09,38592,38807.61,38252.93,38411.5,2828895
2018-03-12,38464.44,38858.63,38464.44,38822.65,2535545
2018-03-13,38797.71,39008.45,38347.75,38663.67,2914094
2018-03-14,38550.22,38928.62,38425.55,38891.24,5522346
2018-03-19,38844.48,38876.06,37689.09,37689.09,4091899
2018-03-20,37689.09,38024.99,37521.42,37954.29,2190670
2018-03-21,37954.97,38300.18,37922.45,38236.94,1890971
2018-03-22,38186.34,38202.34,37349.87,37350.75,2331041
2018-03-23,37349.04,37397.13,36702.8,36940.37,3711980
2018-03-26,36944.8,37412.34,36944.8,37087.05,1537353
2018-03-27,37087.05,37617.58,37087.05,37300.96,1794291
2018-03-28,37302.34,37328.32,36783.31,36783.31,2587165
2018-03-29,36810.05,37377.28,36810.05,37258.9,2471351
2018-04-03,37252.57,37938.8,36947.18,37867.54,2494096
2018-04-04,37879.69,38148.5,37202.16,37275.42,2290240
2018-04-05,37296.01,38123.13,37296.01,38065.04,1746266
2018-04-06,38068.9,38125.6,37812.41,37962.26,1922972
2018-04-09,37968.14,38674.49,37968.14,38306.34,3472407
2018-04-10,38320.47,38654.47,37813.08,37882.42,4066076
2018-04-11,37878.99,38215.49,37787.38,37971.57,2776108
2018-04-12,37970.09,38602.51,37936.69,38330.37,2581261
2018-04-13,38336.37,38617.99,38327.29,38351.65,2174176
2018-04-16,38384.01,38539.02,38200.15,38296.28,1713526
2018-04-17,38302.62,38395.77,38050.64,38154.2,1627162
2018-04-18,38171.85,38766.49,38106.46,38766.49,3030215
2018-04-19,38766.49,38861.26,38485.35,38663.1,1751046
2018-04-20,38669.44,38669.7,38117.61,38122.87,1630821
2018-04-23,38131.7,38331.32,38010.08,38123.45,1748795
2018-04-24,38121.05,38510.07,37768.04,37892.9,2857184
2018-04-25,37924.58,38081.62,37595.29,38049.97,1701508
2018-04-26,38051.19,38266.57,37890.25,38265.35,1802622
2018-04-27,38265.35,38520.23,38265.35,38295.72,1899767
2018-05-02,38289.64,38729.92,37969.84,37969.84,3015533
2018-05-03,38086.73,38240.62,37596.66,37660.99,3057886
2018-05-04,37774.82,38121.92,37679.37,37916.31,1909877
2018-05-07,37924.45,38111.26,37527.45,37541.33,1525608
2018-05-08,37604.57,37693.06,36966.83,37164.55,2243768
2018-05-09,37160.9,37358.21,36569.96,36588.26,3944740
2018-05-10,36588.26,37092.48,36588.26,36740.21,2848605
2018-05-11,36740.9,37692.26,36740.9,37644.06,3446771
2018-05-14,37644.49,38661.71,37644.49,38602.89,2763627
2018-05-15,38606.13,38637.81,37580.06,37663.78,2807228
2018-05-16,37660.67,37948.71,37264.49,37574.99,2810277
2018-05-17,37600.29,37898.24,37507.45,37538.04,2452878
2018-05-18,37557.05,37815.2,36754.84,36770.93,3104045
2018-05-22,36773.26,37022.84,36400.77,36400.77,2655452
2018-05-23,36441.49,36494.49,35338.02,35456.52,4017141
2018-05-24,35399.5,36062.77,35399.5,35892.62,2219119
2018-05-25,35892.62,36249.86,35364.69,35758.06,2827385
2018-05-28,35782.49,36055.16,35210.41,35373.59,1385765
2018-05-29,35374.07,35406.38,34549.22,34883.94,2886275
2018-05-30,34877.71,35304.9,34721.6,34837.13,3143791
2018-05-31,34910.42,35664.22,34892.05,35356.83,6628567
2018-06-01,35356.83,36101.33,35356.83,35952.68,2807110
2018-06-04,35955.01,37194.37,35955.01,37194.37,3234379
2018-06-05,37195.26,37312.98,36572.64,36677.56,2838661
2018-06-06,36709.65,37157.46,36709.65,37157.46,1765767
2018-06-07,37156.87,37648.91,37151.73,37401.25,2367930
2018-06-08,37407.48,37407.48,36700.77,36738.31,2008695
2018-06-11,36828.77,36961.33,36487.8,36606.38,1529810
2018-06-12,36606.38,36849.81,36311.48,36348.11,1709235
2018-06-13,36348.11,36399.31,35867.37,35868.59,1440607
2018-06-14,35868.59,36654.57,35680.35,36654.57,1838240
2018-06-15,36655.3,36656.58,35935.92,36038.96,7081933
2018-06-18,36037.65,36127.26,35378.14,35505.46,1284248
