Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,9489.7,9519.54,9458.44,9514.29,48639752
2018-01-03,9532.57,9612.57,9532.57,9599.36,50089372
2018-01-04,9625.96,9687.48,9625.96,9671.49,49186432
2018-01-05,9667.91,9723.37,9667.83,9723.36,45207176
2018-01-08,9738.16,9781.62,9737.39,9763.08,38023468
2018-01-09,9768.14,9829.96,9756.44,9822.33,43572600
2018-01-10,9814.28,9814.28,9756.96,9781.18,46987464
2018-01-11,9792.34,9799.13,9741.12,9754.66,43643152
2018-01-12,9749.85,9782.18,9725.76,9774.44,51403328
2018-01-15,9774.44,9788.94,9743.79,9748.55,35604044
2018-01-16,9761.88,9806.55,9745.66,9745.66,42707048
2018-01-17,9745.11,9812.28,9722.19,9763.28,46571472
2018-01-18,9783.88,9807.32,9764.55,9796.52,56257032
2018-01-19,9800.5,9894.13,9800.5,9871.35,47026172
2018-01-22,9883.21,9943.43,9883.21,9915.04,43633116
2018-01-23,9947.5,9947.5,9874.26,9926.09,42073512
2018-01-24,9935.68,9935.68,9835.04,9843.14,47525544
2018-01-25,9818.74,9821.65,9715.61,9727.58,54515168
2018-01-26,9742.18,9789.1,9692.46,9766.45,48454300
2018-01-29,9784.45,9833.9,9784.45,9802.98,51929968
2018-01-30,9782.04,9823.52,9732.7,9738.43,52579496
2018-01-31,9782.01,9804.35,9708.45,9716.64,86422040
2018-02-01,9773.14,9976.95,9773.14,9940.78,122897584
2018-02-02,9990.79,10004.32,9870.53,9875.58,79990784
2018-02-05,9841.67,9841.67,9755.91,9789,90284296
2018-02-06,9463.02,9659.71,9420.17,9573.87,109291928
2018-02-07,9717.12,9784.43,9644.79,9763.03,75055424
2018-02-08,9774.88,9797.64,9554.57,9554.57,75208168
2018-02-09,9508.61,9589.97,9434.82,9467.12,89347088
2018-02-12,9581.67,9644.61,9563.77,9600.37,53723520
2018-02-13,9612.27,9632,9556.13,9566.59,39857892
2018-02-14,9613.19,9679.14,9536,9676.44,48795592
2018-02-15,9722.79,9821.83,9716.25,9768.31,53651324
2018-02-16,9818.24,9935.55,9814.29,9931.46,53481568
2018-02-19,9949.68,9960.82,9880.3,9895.9,35553056
2018-02-20,9902.4,9968.79,9902.4,9968.79,37726388
2018-02-21,9947.62,10005.96,9898.83,10001.77,36717272
2018-02-22,9947.17,9947.17,9873.32,9936.35,65009852
2018-02-23,9953.4,9968.26,9913.88,9955.56,39297776
2018-02-26,10004.01,10064.96,10004.01,10018.91,50934664
2018-02-27,10003.18,10015.73,9947.3,9971.68,40339544
2018-02-28,9939.65,9956.85,9899.68,9919.26,46303628
2018-03-01,9881.48,9901.69,9778.4,9791.6,59761056
2018-03-02,9734.47,9746.69,9575.45,9595.21,54408096
2018-03-05,9586.53,9692.09,9586.53,9680.54,45901284
2018-03-06,9743.37,9772.13,9702.04,9722.25,48176832
2018-03-07,9694.38,9784.23,9664.52,9775.79,48376664
2018-03-08,9782.02,9910.86,9782.02,9906.52,54310304
2018-03-09,9891.61,9921.73,9833.04,9916.18,44399376
2018-03-12,9957.21,9971.29,9881.88,9902.1,36076632
2018-03-13,9899.88,9899.88,9780.55,9801.45,58287184
2018-03-14,9821.02,9854.48,9781.54,9790.14,43361420
2018-03-15,9809.27,9845.37,9793.55,9842.68,44488116
2018-03-16,9853.15,9861.23,9790.98,9791.25,111475536
2018-03-19,9786.66,9814.9,9704.52,9719.31,47315080
2018-03-20,9736.21,9779.25,9720.42,9760.3,42646916
2018-03-21,9754.18,9790.86,9714.28,9770.49,42158584
2018-03-22,9729.26,9739.05,9588.28,9623.21,61199432
2018-03-23,9532.13,9594.99,9420.23,9569.46,56175992
2018-03-26,9580.25,9630.51,9470.16,9482.41,53745980
2018-03-27,9623.74,9643.58,9558.4,9589.87,48466460
2018-03-28,9518.73,9568.77,9430.3,9568.76,54334252
2018-03-29,9538.11,9608.36,9512.3,9590.15,53454692
2018-04-03,9532.29,9532.29,9472.07,9497.22,49951776
2018-04-04,9528.73,9552.51,9369.32,9411.11,53146152
2018-04-05,9517.67,9586.93,9501.08,9586.17,49561224
2018-04-06,9525.18,9578.23,9497.31,9517.07,44384580
2018-04-09,9541.34,9595.57,9484.23,9502.71,38873668
2018-04-10,9547.83,9552.45,9480.14,9548.51,43468496
2018-04-11,9546.57,9563.21,9466.15,9481.33,50404700
2018-04-12,9511.45,9583.52,9495.32,9573.98,46992644
2018-04-13,9629.39,9672.38,9589.09,9615.26,43094480
2018-04-16,9628.2,9628.2,9572.76,9591.27,31810228
2018-04-17,9616.13,9715.67,9594.89,9705.44,60279572
2018-04-18,9705.44,9749.47,9705.44,9741.92,25014334
2018-04-19,9760.66,9814.43,9760.66,9807.02,40652932
2018-04-20,9800.91,9821.33,9747.42,9766.6,64788140
2018-04-23,9781.44,9793.31,9720.71,9793.31,47294928
2018-04-24,9780.98,9795.04,9698.02,9737,51074328
2018-04-25,9696.69,9739.47,9653.93,9725.55,77726568
2018-04-26,9642.23,9908.52,9642.23,9896.01,112212688
2018-04-27,9886.83,9989.8,9873.79,9979.24,64606544
2018-04-30,9978.12,10024.33,9972.9,10005.69,61930000
2018-05-02,10016.59,10064.65,9956.09,9963.25,75310208
2018-05-03,9968.77,9992.3,9852.92,9852.92,53571044
2018-05-04,9875.95,9968.46,9875.95,9968.46,64538752
2018-05-07,9967.25,10060.24,9967.25,10055.23,45359620
2018-05-08,10055.49,10141.52,10046.12,10141.52,49107404
2018-05-09,10136.76,10153.16,10093.84,10136.86,51408520
2018-05-11,10174.67,10227.73,10173.12,10227.73,47471384
2018-05-14,10190.71,10204.33,10122.02,10204.33,46151992
2018-05-15,10185.79,10236.04,10157.21,10212.53,40980048
2018-05-16,10209.29,10256.29,10181.05,10233.31,40787152
2018-05-17,10228.72,10276.95,10228.09,10276.94,45384632
2018-05-18,10264.94,10316.68,10254.11,10294.59,45107320
2018-05-21,10317.17,10384.22,10317.17,10367.4,42242860
2018-05-22,10370.56,10437.46,10302.19,10433.91,46140780
2018-05-23,10392.64,10392.64,10252.41,10273.68,41232884
2018-05-24,10287.4,10322.82,10199.11,10228.25,38447236
2018-05-25,10265.35,10284.18,10162.37,10204.01,42027476
2018-05-28,10264.64,10318.41,10220.62,10220.62,30129756
2018-05-29,10154.84,10154.84,10029.69,10085.67,56574772
2018-05-30,10077.67,10141.11,10073.44,10137.43,42581164
2018-05-31,10134.72,10185.18,10084.77,10115.41,91276864
2018-06-01,10155.66,10253.46,10155.66,10225.07,44823784
2018-06-04,10265,10299.2,10251.21,10298.47,37677008
2018-06-05,10289.06,10334.57,10263.58,10263.58,34931296
2018-06-06,10300.87,10317.6,10241.32,10280.99,37594992
2018-06-07,10312.55,10362.73,10267.93,10281.87,35486352
2018-06-08,10244.18,10305.71,10209,10263.32,37128220
2018-06-11,10288.63,10294.61,10249.78,10274.14,35896076
2018-06-12,10277,10288.22,10220.71,10226.12,51420320
2018-06-13,10212.98,10234.86,10168.22,10232.29,49599856
2018-06-14,10182.64,10304.37,10172.03,10294.61,48632696
2018-06-15,10292.23,10327.41,10225.94,10231.5,77014600
2018-06-18,10218.38,10218.38,10104.28,10141.81,35452676
2018-06-19,10075.35,10080.43,10031.59,10048.19,46083592
2018-06-20,10070.22,10121.04,10060.61,10081.99,38476180
2018-06-21,10099.05,10108.96,9976.57,9982.45,54264888
2018-06-25,9986.23,10013.02,9893.19,9893.19,42398264
2018-06-26,9922.54,9962.37,9887.61,9913.73,40424464
2018-06-27,9907.75,9995.46,9820.37,9944.38,40258824
2018-06-28,9905.03,9976.96,9860.92,9907.26,41209792
2018-06-29,9966.31,10023.37,9937.33,9996.04,47298256
2018-07-02,9936.18,9941.02,9859.78,9884.98,37712924
2018-07-03,9918.71,9959.11,9912.57,9926.32,39155372
2018-07-04,9921.53,9927.77,9870.54,9881.35,23649944
2018-07-05,9891.73,9962.4,9881.73,9932.8,33890856
2018-07-06,9942.61,9999.15,9935.88,9987.17,34024124
2018-07-09,10022.23,10094.73,10022.23,10088.92,28943228
2018-07-10,10113.08,10204.42,10104.87,10197.77,35906952
2018-07-11,10135.48,10135.48,10044.98,10074.61,32715588
2018-07-12,10083.05,10102.82,10008.69,10101.82,32447664
2018-07-13,10116.34,10126.88,10025.35,10034.54,32220488
2018-07-16,10037.32,10078.81,10027.62,10054.92,26037412
2018-07-17,10072.72,10194.55,10057.21,10194.55,40664448
2018-07-18,10211,10289.95,10205.21,10254.17,52992440
2018-07-19,10200.5,10268.25,10182.9,10193.89,45292616
