Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,1247.65,1256.49,1245.24,1256.37,195207
2018-01-03,1259.05,1261.67,1251.97,1256.59,503125
2018-01-04,1260.56,1263.65,1251.31,1263.65,113058
2018-01-05,1261.66,1271.81,1257.2,1267.33,201744
2018-01-08,1261.69,1271.59,1261.69,1267.99,504889
2018-01-09,1269.65,1277.7,1265.01,1277.54,180136
2018-01-10,1276.09,1281.73,1274.43,1280.9,160035
2018-01-11,1281.04,1281.04,1267.91,1277.09,263436
2018-01-12,1277.46,1278.12,1267.61,1270.72,216118
2018-01-15,1270.72,1276.11,1267.95,1271.08,193715
2018-01-16,1272.44,1273.29,1269.6,1269.86,189565
2018-01-17,1270.66,1270.66,1262.35,1267.54,443066
2018-01-18,1269.38,1279.86,1269.32,1279.48,221358
2018-01-19,1280.22,1281.27,1274.12,1278.76,884620
2018-01-22,1279.71,1283.33,1276.35,1280.75,152672
2018-01-23,1279.25,1283.4,1278.44,1278.81,228127
2018-01-24,1279.2,1286.32,1278.03,1285.23,206912
2018-01-25,1283.7,1287.44,1281.28,1281.8,261397
2018-01-26,1281.8,1291.7,1281.8,1290.09,145400
2018-01-29,1291.23,1292.54,1286.1,1289.24,103505
2018-01-30,1285.84,1291.8,1285.72,1290.81,108899
2018-01-31,1285.02,1292.44,1285.02,1290.08,159436
2018-02-01,1292.15,1296.48,1287.36,1287.36,100573
2018-02-02,1289.41,1298.06,1289.41,1297.51,857308
2018-02-05,1295.2,1295.75,1288.93,1290.17,285829
2018-02-06,1269.55,1272.07,1248.51,1255.39,679814
2018-02-07,1260.7,1273.98,1260.28,1271.02,336522
2018-02-08,1279.76,1286.02,1279.44,1284.38,105851
2018-02-09,1275.4,1279,1264.27,1273.61,340040
2018-02-12,1277.27,1279.49,1272.38,1275.84,100727
2018-02-13,1276.25,1279.54,1262.34,1267.82,413044
2018-02-14,1271.1,1273.98,1263.31,1269.66,305958
2018-02-15,1269.55,1275.19,1269.55,1274.78,52860
2018-02-16,1275.09,1275.26,1268.84,1270.6,40299
2018-02-19,1272.33,1281.53,1272.33,1280.95,97853
2018-02-20,1277.29,1280.31,1271.08,1277.74,68479
2018-02-21,1277.21,1281.16,1271.68,1281.16,58595
2018-02-22,1281.56,1285.84,1275.72,1283.97,125727
2018-02-23,1285.24,1292.24,1282.15,1290.09,68275
2018-02-26,1289.47,1295.03,1286.27,1293.81,127697
2018-02-27,1301.65,1307.11,1296.04,1298.61,328987
2018-02-28,1303.98,1319.04,1302.44,1319.04,809688
2018-03-01,1320.62,1320.62,1311.65,1312.87,109632
2018-03-02,1317.11,1318.21,1310.21,1316.27,313969
2018-03-05,1311.95,1314.66,1304.78,1308.87,151170
2018-03-06,1309.49,1314.65,1308.03,1308.4,775813
2018-03-07,1307.75,1314.98,1307.75,1312.61,143213
2018-03-08,1310.96,1313.96,1308.74,1311.26,116136
2018-03-09,1312.32,1313.74,1310.15,1310.46,74450
2018-03-12,1308.69,1312.28,1303.61,1305.17,130789
2018-03-13,1304.38,1309.05,1303.14,1307.03,463395
2018-03-14,1307.53,1309.14,1301.23,1304.22,505310
2018-03-15,1307.51,1309.14,1302.45,1309.14,131947
2018-03-16,1309.56,1309.91,1302.63,1307.58,760173
2018-03-19,1308.28,1319.02,1305.6,1315.4,2735341
2018-03-20,1313.63,1316.37,1308.13,1308.87,1054953
2018-03-21,1312.15,1315.71,1309.45,1312.22,975309
2018-03-22,1312.35,1313.68,1308.33,1313.68,1257777
2018-03-23,1310.66,1310.78,1300.29,1309.81,940802
2018-03-26,1258.14,1275.91,1252.73,1267.97,2824791
2018-03-27,1272.77,1279.37,1270.26,1271.66,1168672
2018-03-28,1272.45,1272.45,1265.31,1268.37,922657
2018-03-29,1270.06,1272.06,1265.21,1269.2,872062
2018-04-03,1269.14,1270.9,1265.26,1266.78,1169499
2018-04-04,1267.65,1268.32,1262.44,1264.12,1417236
2018-04-05,1262.67,1265.86,1259.25,1263.38,2252424
2018-04-06,1263.15,1265.84,1258.46,1258.46,534985
2018-04-09,1264.69,1264.69,1257.61,1263.16,493788
2018-04-10,1264.74,1264.8,1257.21,1260.22,429464
2018-04-11,1261.2,1262.41,1254.82,1254.82,851281
2018-04-12,1258.43,1262.36,1254.42,1261.51,689674
2018-04-13,1261.2,1261.2,1257.41,1259.42,272617
2018-04-16,1261.21,1262.49,1253.78,1258.44,630298
2018-04-17,1258.65,1259.5,1254.84,1257.11,459001
2018-04-18,1257.11,1261.39,1257.11,1261.39,38909
2018-04-19,1262.95,1263.76,1254.55,1256.48,419952
2018-04-20,1258.39,1261.37,1257.89,1258.98,506727
2018-04-23,1258.81,1259.6,1256.29,1258.28,512512
