Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-03,1154.44,1183.06,1154.44,1183.06,18374154240
2018-01-04,1185.05,1214.17,1185.05,1214.17,19938676736
2018-01-05,1216.67,1219.89,1208.53,1219.89,10607745024
2018-01-09,1222.38,1238.26,1222.38,1229.15,34502004736
2018-01-10,1232.7,1236.49,1225.14,1234.64,25498458112
2018-01-11,1233.17,1248.75,1227.05,1248.75,24728799232
2018-01-12,1253.7,1261.07,1242.66,1261.07,17738991616
2018-01-15,1261.35,1272.9,1259.71,1264.3,14685154304
2018-01-16,1264.95,1266.44,1245.38,1261.09,16664585216
2018-01-17,1254.23,1264.7,1241.19,1264.7,25022351360
2018-01-18,1265.78,1282.09,1264.37,1279.28,24777699328
2018-01-19,1280.91,1283.93,1265.53,1270.92,34593030144
2018-01-22,1269.72,1285.33,1269.72,1285.33,22084595712
2018-01-23,1289.89,1293.96,1270.25,1283.75,21136678912
2018-01-24,1284.39,1292.32,1274.09,1292.32,19434389504
2018-01-25,1296.23,1313.44,1296.23,1311.21,34102556672
2018-01-26,1305.25,1306.96,1281.37,1286.7,20232151040
2018-01-29,1285.65,1290.58,1272.79,1275.57,15070027776
2018-01-30,1270.71,1292.04,1266.48,1274.94,14927212544
2018-01-31,1273.24,1284.58,1269.26,1282.36,13437535232
2018-02-01,1284.7,1297.51,1279.82,1293.1,27554471936
2018-02-02,1297.49,1298.25,1269.58,1272.76,19677513728
2018-02-05,1266.03,1269.43,1254.93,1263.77,15787315200
2018-02-06,1229.83,1247.51,1220.95,1232.69,53659258880
2018-02-07,1245.1,1257.63,1239.07,1242.53,17145942016
2018-02-08,1229.76,1231.93,1210.69,1210.69,34577317888
2018-02-09,1189.53,1199.25,1177.54,1185.79,31708065792
2018-02-12,1194.4,1212.51,1194.4,1206.22,19739404288
2018-02-13,1213.57,1226.92,1210.6,1226.92,14773813248
2018-02-14,1232.01,1244.85,1218.3,1244.85,21628131328
2018-02-15,1259.77,1271.1,1259.55,1262.27,25468084224
2018-02-16,1265.9,1276.31,1255.05,1263.27,13770236928
2018-02-19,1260.9,1267.32,1255.93,1259.01,8055604224
2018-02-20,1258.51,1266.1,1254.93,1264.68,9203719168
2018-02-21,1263.31,1291.19,1260.51,1291.19,37153955840
2018-02-22,1285.67,1301.01,1280.56,1301.01,74578911232
2018-02-26,1311.29,1339.15,1311.29,1324.62,106026385408
2018-02-27,1332.58,1332.78,1310.84,1310.84,45671858176
2018-02-28,1308.81,1308.81,1285.47,1285.47,58452631552
2018-03-01,1278.07,1283.3,1266.51,1274.18,27844116480
2018-03-02,1272.17,1279.51,1248.07,1261.63,26184607744
2018-03-05,1270.91,1279.51,1267.7,1279.51,22085285888
2018-03-06,1291.3,1297.3,1281.43,1281.43,24641525760
2018-03-07,1278.3,1278.3,1255.27,1270.17,39929602048
2018-03-09,1270.45,1285.53,1262.96,1285.53,35706945536
2018-03-12,1288.38,1293.66,1278.96,1283.18,34728259584
2018-03-13,1282.12,1289.27,1273.38,1285.8,31387426816
2018-03-14,1278.06,1279.89,1251.19,1251.19,32963833856
2018-03-15,1254.94,1261.81,1243.26,1247.28,36823748608
2018-03-16,1246.5,1254.29,1235.44,1254.29,43705843712
2018-03-19,1259.71,1261.13,1241.28,1241.28,14648587264
2018-03-20,1242.79,1256.77,1234.3,1256,20887588864
2018-03-21,1256.27,1271.48,1255.1,1270.08,32321431552
2018-03-22,1280.14,1283.1,1255.5,1258.89,29315663872
2018-03-23,1248.96,1262.08,1245.29,1261.44,19340261376
2018-03-26,1256.89,1262.77,1229.43,1230.96,36718440448
2018-03-27,1238.82,1251.08,1235.89,1243.99,24401094656
2018-03-28,1237.98,1237.98,1222.47,1226.8,18479923200
2018-03-29,1229.72,1248.11,1229.72,1246.98,23382333440
2018-03-30,1253.78,1256.67,1245.77,1249.41,6490563072
2018-04-02,1252.44,1259.59,1234.06,1234.06,18137307136
2018-04-03,1238.14,1240.89,1229,1237.06,44378607616
2018-04-04,1239.15,1241.58,1224.57,1240.39,21733840896
2018-04-05,1244.96,1254.95,1243.45,1253.47,69417091072
2018-04-06,1248.24,1250.6,1233.98,1236.48,87456710656
2018-04-09,1230.82,1230.82,1082.45,1094.98,127943090176
2018-04-10,1085.74,1110.93,1042.82,1090.79,89915359232
