Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,7687.77,7691.34,7624.14,7648.1,528827520
2018-01-03,7648.1,7689.86,7640.53,7671.11,580279168
2018-01-04,7671.11,7702.51,7671.11,7695.88,699476800
2018-01-05,7695.88,7727.73,7689.81,7724.22,642008512
2018-01-08,7724.22,7733.39,7691.77,7696.51,583248064
2018-01-09,7696.51,7733.12,7696.5,7731.02,676681280
2018-01-10,7731.02,7756.11,7716.21,7748.51,837290496
2018-01-11,7748.51,7768.96,7734.64,7762.94,955398784
2018-01-12,7762.94,7792.56,7752.63,7778.64,1106825344
2018-01-15,7778.64,7783.61,7763.43,7769.14,507403424
2018-01-16,7769.14,7791.83,7740.55,7755.93,776545984
2018-01-17,7755.93,7755.93,7711.11,7725.43,756965248
2018-01-18,7725.43,7739.54,7683.71,7700.96,735490880
2018-01-19,7700.96,7731.82,7694.66,7730.79,773282560
2018-01-22,7730.79,7739.35,7703.67,7715.44,710952256
2018-01-23,7715.44,7745.22,7710.03,7731.83,728849664
2018-01-24,7731.83,7731.98,7643.43,7643.43,734803264
2018-01-25,7643.43,7662.35,7608.53,7615.84,704047424
2018-01-26,7615.84,7667.4,7615.84,7665.54,697742976
2018-01-29,7665.54,7689.15,7663.93,7671.53,610325376
2018-01-30,7671.53,7671.67,7587.12,7587.98,781727872
2018-01-31,7587.98,7599.01,7521.77,7533.55,826274368
2018-02-01,7533.55,7554.73,7476.51,7490.39,870300800
2018-02-02,7490.39,7494.76,7432.25,7443.43,856274688
2018-02-05,7443.43,7443.43,7334.79,7334.98,870694400
2018-02-06,7334.98,7334.98,7079.41,7141.4,1360327936
2018-02-07,7141.4,7311.5,7141.4,7279.42,1007060224
2018-02-08,7279.42,7279.42,7161.31,7170.69,973966208
2018-02-09,7170.69,7170.69,7073.03,7092.43,917867648
2018-02-12,7092.43,7199.93,7092.43,7177.06,715313536
2018-02-13,7177.06,7202.99,7165.83,7168.01,724075200
2018-02-14,7168.01,7243.15,7145.73,7213.97,939072000
2018-02-15,7213.97,7267.96,7206.69,7234.81,730574912
2018-02-16,7234.81,7307.97,7234.81,7294.7,646463744
2018-02-19,7294.7,7306.21,7239.98,7247.66,487864704
2018-02-20,7247.66,7264.78,7202.14,7246.77,637662784
2018-02-21,7246.77,7291.8,7220.55,7281.57,883053184
2018-02-22,7281.57,7281.57,7187.76,7252.39,895172544
2018-02-23,7252.39,7262.05,7220.81,7244.41,645247680
2018-02-26,7244.41,7312.98,7244.31,7289.58,580223744
2018-02-27,7289.58,7326.02,7272.87,7282.45,698446272
2018-02-28,7282.45,7293.36,7231.91,7231.91,899807168
2018-03-01,7231.91,7231.91,7153.39,7175.64,854289088
2018-03-02,7175.64,7175.64,7063.42,7069.9,896296320
2018-03-05,7069.9,7119.21,7062.13,7115.98,922628800
2018-03-06,7115.98,7197.8,7115.6,7146.75,760217728
2018-03-07,7146.75,7180.71,7109.56,7157.84,840315584
2018-03-08,7157.84,7212.14,7145.7,7203.24,706454272
2018-03-09,7203.24,7225.28,7189.74,7224.51,639470976
2018-03-12,7224.51,7254.87,7198.18,7214.76,560227968
2018-03-13,7214.76,7224.13,7125.6,7138.78,730931072
2018-03-14,7138.78,7176.51,7122.76,7132.69,740230656
2018-03-15,7132.69,7162.58,7127.08,7139.76,789904256
2018-03-16,7139.76,7187.27,7131.31,7164.14,1325172992
2018-03-19,7164.14,7164.19,7034.91,7042.93,712502592
2018-03-20,7042.93,7081.5,7042.6,7061.27,725909184
2018-03-21,7061.27,7065.66,7016.79,7038.97,732607680
2018-03-22,7038.97,7038.97,6914.45,6952.59,849390272
2018-03-23,6952.59,6952.82,6876.96,6921.94,869681792
2018-03-26,6921.94,6958.47,6866.94,6888.69,750953280
2018-03-27,6888.69,7042.37,6888.69,7000.14,692030464
2018-03-28,7000.14,7044.74,6923.33,7044.74,759321856
2018-03-29,7044.74,7109.93,7042.73,7056.61,872005376
2018-04-03,7056.61,7064.98,6996.76,7030.46,796550592
2018-04-04,7030.46,7046.26,6971.75,7034.01,803421760
2018-04-05,7034.01,7199.5,7034.01,7199.5,786321472
2018-04-06,7199.5,7214.02,7163.11,7183.64,665673408
2018-04-09,7183.64,7209.68,7145.57,7194.75,676999168
2018-04-10,7194.75,7266.75,7194.75,7266.75,740221056
2018-04-11,7266.75,7270.28,7243.32,7257.14,762126400
2018-04-12,7257.14,7266.64,7240.76,7258.34,662058304
2018-04-13,7258.34,7274.99,7249.07,7264.56,665664704
2018-04-16,7264.56,7265.83,7195.46,7198.2,850532160
2018-04-17,7198.2,7240.41,7189.85,7226.05,706316864
2018-04-18,7226.05,7325.59,7226.05,7317.34,872287552
2018-04-19,7317.34,7340.73,7309.42,7328.92,768996352
2018-04-20,7328.92,7368.17,7323.31,7368.17,739297152
2018-04-23,7368.17,7404.11,7359.73,7398.87,764645952
2018-04-24,7398.87,7439.58,7397.29,7425.4,817183872
2018-04-25,7425.4,7427.13,7334.64,7379.32,863666240
2018-04-26,7379.32,7421.43,7355,7421.43,854918528
2018-04-27,7421.43,7507.12,7421.28,7502.21,733762944
2018-04-30,7502.21,7546.16,7497.11,7509.3,985119616
2018-05-01,7509.3,7549.07,7506.57,7520.36,559091584
2018-05-02,7520.36,7572.98,7519.62,7543.2,814101824
2018-05-03,7543.2,7555.18,7492.39,7502.69,703250432
2018-05-04,7502.69,7570.22,7502.69,7567.14,812667584
2018-05-08,7567.14,7598.51,7550.44,7565.75,858035584
2018-05-09,7565.75,7662.52,7565.75,7662.52,889574528
2018-05-10,7662.52,7706.87,7631.58,7700.97,864462336
2018-05-11,7700.97,7728.89,7691.69,7724.55,717850560
2018-05-14,7724.55,7727.96,7688.57,7710.98,721708608
2018-05-15,7710.98,7752.02,7687.49,7722.98,1023309504
2018-05-16,7722.98,7745.53,7717.76,7734.2,921193664
2018-05-17,7734.2,7788.23,7713.85,7787.97,761780224
2018-05-18,7787.97,7791.41,7753.27,7778.79,894780608
2018-05-21,7778.79,7868.12,7778.12,7859.17,660701632
2018-05-22,7859.17,7903.5,7854.58,7877.45,787676352
2018-05-23,7877.45,7877.45,7765.32,7788.44,919055296
2018-05-24,7788.44,7803.45,7716.74,7716.74,870294208
2018-05-25,7716.74,7753.32,7703.26,7730.28,839205760
2018-05-29,7730.28,7730.28,7610.66,7632.64,1277018624
2018-05-30,7632.64,7689.57,7618.12,7689.57,889692672
2018-05-31,7689.57,7727.45,7651.12,7678.2,1513127680
2018-06-01,7678.2,7746.73,7678.2,7701.77,780662336
2018-06-04,7701.77,7772.12,7701.7,7741.29,686803968
2018-06-05,7741.29,7744.46,7686.61,7686.8,924542464
2018-06-06,7686.8,7730.48,7671.62,7712.37,875665408
2018-06-07,7712.37,7756.66,7698.15,7704.4,1036890496
2018-06-08,7704.4,7714.32,7637.52,7681.07,748694400
2018-06-11,7681.07,7756.02,7681.07,7737.43,741647104
2018-06-12,7737.43,7762.77,7701.33,7703.81,756507520
2018-06-13,7703.81,7746.7,7677.17,7703.71,847061120
2018-06-14,7703.71,7793.45,7650.16,7765.79,1098550016
2018-06-15,7765.79,7781,7633.91,7633.91,1705092736
2018-06-18,7633.91,7645.47,7601.6,7631.33,657027008
2018-06-19,7631.33,7631.33,7548.84,7603.85,898343872
2018-06-20,7603.85,7705.2,7603.85,7627.4,755711104
2018-06-21,7627.4,7670.78,7548.12,7556.44,759490752
2018-06-22,7556.44,7689.44,7556.2,7682.27,699377920
2018-06-25,7682.27,7682.27,7508.32,7509.84,759546880
2018-06-26,7509.84,7564.05,7509.84,7537.92,1074571008
