Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-03,1364.84,1366.63,1346.69,1352.22
2018-01-04,1352.22,1367.92,1350.94,1358.08
2018-01-05,1358.08,1368.39,1356.31,1366.79
2018-01-09,1367.81,1393.73,1365.86,1380.47
2018-01-10,1380.92,1454.42,1380.92,1447.37
2018-01-11,1447.37,1535.45,1447.37,1510.38
2018-01-12,1510.38,1556.86,1510.38,1513.85
2018-01-15,1513.85,1550.27,1490.46,1505.31
2018-01-16,1516.75,1516.75,1486,1490.45
2018-01-17,1490.48,1495.13,1477.82,1487.97
2018-01-18,1487.72,1497.84,1434.24,1449.6
2018-01-19,1449.6,1454.6,1420.99,1427.65
2018-01-22,1427.33,1435.61,1401.9,1414.84
2018-01-23,1414.96,1425.17,1402.35,1412.8
2018-01-24,1419.15,1423.91,1399.83,1401.45
2018-01-25,1402.18,1431.52,1398.83,1421.43
2018-01-26,1422.56,1437.83,1422.56,1437.83
2018-01-29,1437.83,1475.3,1433.91,1463.1
2018-01-30,1463.1,1488.52,1459.33,1480.77
2018-01-31,1480.77,1507.04,1480.77,1490.95
2018-02-01,1493.2,1500.05,1478.35,1487.46
2018-02-02,1488.14,1511.2,1479.12,1491.68
2018-02-05,1491.68,1502.45,1475.83,1495.51
2018-02-06,1495.83,1495.83,1420.22,1450.93
2018-02-07,1450.93,1481.54,1437.07,1467.99
2018-02-08,1467.99,1476.96,1455.08,1460.08
2018-02-09,1459.18,1467.21,1444.57,1450.85
2018-02-12,1456.48,1471.24,1443.33,1448.42
2018-02-13,1450.45,1474.09,1448.67,1466.22
2018-02-14,1466.22,1471.24,1458.44,1459.09
2018-02-15,1459.09,1464.31,1455.83,1460.74
2018-02-16,1460.74,1463.92,1446.2,1461.68
2018-02-19,1461.68,1464.68,1444.99,1460.38
2018-02-20,1460.38,1472,1458.71,1464.28
2018-02-21,1464.28,1481.44,1452.45,1477.46
2018-02-22,1477.46,1504.11,1477.17,1493.33
2018-02-23,1493.33,1509.18,1493.33,1495.73
2018-02-26,1497.25,1514.5,1495.23,1504.86
2018-02-27,1504.86,1550.27,1501.55,1538.1
2018-02-28,1538.66,1593.72,1538.66,1577.83
2018-03-01,1578.62,1616.45,1578.62,1609.01
2018-03-02,1609.01,1616.88,1593.46,1595.59
2018-03-05,1595.93,1629.23,1594.04,1616.34
2018-03-06,1616.34,1629.3,1612.96,1621.5
2018-03-07,1621.5,1633.2,1608.25,1611.53
2018-03-12,1611.53,1650.52,1611.44,1632.91
2018-03-13,1653.68,1657.69,1625.45,1628.77
2018-03-14,1628.77,1637.97,1615,1624.02
2018-03-15,1624.02,1629.65,1569.35,1576.35
2018-03-16,1577.02,1630.86,1577.02,1629.56
2018-03-19,1629.56,1643.9,1628.46,1639.38
2018-03-20,1639.38,1648.6,1613.18,1635.41
2018-03-21,1635.41,1696.29,1622.07,1663.43
2018-03-22,1663.43,1670.27,1654.15,1658.16
2018-03-23,1657.31,1662.17,1627.3,1645.08
2018-03-26,1645.46,1674.48,1628.44,1673.08
2018-03-27,1671.69,1692.86,1630.41,1684.46
2018-03-28,1684.46,1692.37,1669.13,1684.87
2018-03-29,1684.87,1695.75,1632.49,1654.42
2018-03-30,1654.42,1682.6,1654.42,1682.6
2018-04-02,1682.6,1683.5,1656.81,1665.53
2018-04-03,1665.53,1688.89,1665.53,1688.34
2018-04-04,1688.34,1707.2,1671.67,1707.2
2018-04-05,1707.2,1717.53,1695.86,1710.82
2018-04-06,1710.82,1732.5,1696.6,1732.5
2018-04-10,1732.04,1755.86,1719.63,1730.22
2018-04-11,1730.22,1775.9,1730.22,1773.49
2018-04-12,1805.55,1824.71,1778.26,1788.83
2018-04-13,1788.83,1802.13,1786.36,1802.13
2018-04-16,1802.13,1813.21,1802.13,1808.2
2018-04-17,1808.2,1828.26,1765.51,1792.93
2018-04-18,1797.18,1820.23,1797.18,1808.68
2018-04-19,1808.68,1830.05,1805.58,1817.2
2018-04-20,1817.2,1911.45,1795.15,1818.75
2018-04-23,1818.75,1828.78,1816.83,1818.82
2018-04-24,1818.82,1818.82,1796.03,1812.26
2018-04-25,1812.26,1816.35,1805.27,1811.48
2018-04-26,1811.48,1818.67,1778.4,1791.93
2018-04-27,1793.63,1821.37,1787.9,1799.28
2018-05-02,1854.39,1854.39,1682.78,1751.62
2018-05-03,1774.15,1806.25,1758.64,1780.7
2018-05-04,1780.7,1821.21,1780.7,1810.63
2018-05-07,1810.63,1814.45,1795.71,1803.63
2018-05-08,1803.63,1817.04,1797.29,1809.43
2018-05-10,1809.43,1823.61,1809.43,1821.02
2018-05-11,1821.02,1837.18,1802.04,1814.91
2018-05-14,1814.91,1852.24,1800.11,1818.13
2018-05-15,1818.13,1829.31,1807.12,1813.16
2018-05-16,1813.16,1819.15,1793.51,1805.54
2018-05-17,1805.54,1831.2,1797.96,1830.01
2018-05-18,1830.01,1843.17,1819.77,1841.51
2018-05-21,1841.51,1862.42,1830.09,1859.37
2018-05-22,1849.47,1871.38,1827.26,1827.26
2018-05-23,1788.57,1805.71,1758.66,1765.33
2018-05-24,1765.33,1781.24,1643.84,1662.67
2018-05-25,1671.07,1672.62,1597.48,1641.27
2018-05-29,1641.27,1706.64,1641.27,1693.72
2018-05-30,1692.73,1716.47,1660.13,1687.37
2018-05-31,1687.37,1694.83,1645.66,1688.9
2018-06-01,1684.93,1684.93,1665.68,1676.77
2018-06-04,1676.77,1677.74,1669.56,1669.82
2018-06-05,1669.82,1670.48,1642.09,1651.97
2018-06-06,1651.97,1651.97,1623.94,1635.86
2018-06-07,1635.86,1665.26,1617.8,1646.32
2018-06-08,1646.32,1647.49,1589.91,1610.73
2018-06-11,1644,1644,1583.06,1618.47
2018-06-12,1618.47,1646.72,1594.74,1622.58
2018-06-13,1622.58,1623.85,1570.92,1571.18
2018-06-14,1575.33,1604.18,1564.82,1603.83
2018-06-15,1603.83,1629.21,1591,1620.5
2018-06-18,1620.5,1620.5,1620.5,1620.5
2018-06-19,1620.5,1620.5,1620.5,1620.5
2018-06-20,1620.5,1620.5,1591.92,1591.92
2018-06-21,1591.92,1591.92,1586.95,1586.95
2018-06-22,1580.88,1580.88,1580.88,1580.88
2018-06-25,1580.88,1580.88,1575.32,1575.32
2018-06-26,1574.13,1574.13,1574.13,1574.13
2018-06-27,1580.37,1580.37,1580.37,1580.37
2018-07-02,1601.34,1601.34,1601.34,1601.34
2018-07-03,1595.47,1595.47,1595.47,1595.47
2018-07-04,1602.52,1602.52,1602.52,1602.52
2018-07-05,1558.87,1558.87,1558.87,1558.87
2018-07-06,1552.79,1552.79,1552.79,1552.79
2018-07-09,1557.16,1557.16,1557.16,1557.16
2018-07-10,1571.7,1571.7,1571.7,1571.7
2018-07-11,1576.78,1576.78,1576.78,1576.78
2018-07-12,1569.32,1569.32,1569.32,1569.32
2018-07-13,1577.94,1577.94,1577.94,1577.94
2018-07-16,1592.43,1592.43,1592.43,1592.43
2018-07-17,1602.79,1602.79,1602.79,1602.79
2018-07-18,1609.78,1609.78,1609.78,1609.78
2018-07-19,1603.85,1603.85,1603.85,1603.85
2018-07-20,1606.05,1606.05,1606.05,1606.05
2018-07-23,1610.07,1610.07,1610.07,1610.07
2018-07-24,1616.93,1616.93,1616.93,1616.93
2018-07-25,1618.85,1618.85,1618.85,1618.85
2018-07-26,1619.39,1619.39,1619.39,1619.39
2018-07-27,1636.32,1636.32,1636.32,1636.32
2018-07-30,1633.62,1633.62,1633.62,1633.62
2018-07-31,1630.09,1630.09,1630.09,1630.09
2018-08-01,1627.91,1627.91,1627.91,1627.91
2018-08-02,1644.36,1644.36,1644.36,1644.36
