<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANKR.V,D,20190308,000000,0.01153,0.01184,0.01122,0.01133,0,0
ANKR.V,D,20190309,000000,0.01133,0.01192,0.01094,0.01129,0,0
ANKR.V,D,20190310,000000,0.01129,0.01289,0.01014,0.01254,0,0
ANKR.V,D,20190311,000000,0.01254,0.01612,0.0112,0.01201,0,0
ANKR.V,D,20190312,000000,0.01201,0.01225,0.01093,0.01135,0,0
ANKR.V,D,20190313,000000,0.01135,0.01264,0.01101,0.0116,0,0
ANKR.V,D,20190314,000000,0.0116,0.01327,0.01122,0.01199,0,0
ANKR.V,D,20190315,000000,0.01199,0.01323,0.01182,0.01292,0,0
ANKR.V,D,20190316,000000,0.01292,0.01409,0.01264,0.01361,0,0
ANKR.V,D,20190317,000000,0.01361,0.01471,0.01335,0.01391,0,0
ANKR.V,D,20190318,000000,0.01391,0.01476,0.01336,0.0136,0,0
ANKR.V,D,20190319,000000,0.0136,0.01437,0.01324,0.01433,0,0
ANKR.V,D,20190320,000000,0.01433,0.01513,0.01391,0.01416,0,0
ANKR.V,D,20190321,000000,0.01416,0.01416,0.01219,0.01339,0,0
ANKR.V,D,20190322,000000,0.01339,0.0136,0.01208,0.01296,0,0
ANKR.V,D,20190323,000000,0.01296,0.01342,0.01258,0.01282,0,0
ANKR.V,D,20190324,000000,0.01282,0.0131,0.01254,0.0129,0,0
ANKR.V,D,20190325,000000,0.0129,0.0135,0.01248,0.01342,0,0
ANKR.V,D,20190326,000000,0.01342,0.01415,0.01293,0.01352,0,0
ANKR.V,D,20190327,000000,0.01352,0.0157,0.01352,0.01444,0,0
ANKR.V,D,20190328,000000,0.01444,0.0155,0.0132,0.01356,0,0
ANKR.V,D,20190329,000000,0.01356,0.01414,0.01279,0.01303,0,0
ANKR.V,D,20190330,000000,0.01303,0.0131,0.01207,0.01277,0,0
ANKR.V,D,20190331,000000,0.01277,0.01361,0.01258,0.01337,0,0
ANKR.V,D,20190401,000000,0.01337,0.01856,0.01291,0.01333,0,0
ANKR.V,D,20190402,000000,0.01333,0.01585,0.0108,0.01246,0,0
ANKR.V,D,20190403,000000,0.01246,0.01279,0.0108,0.01095,0,0
ANKR.V,D,20190404,000000,0.01095,0.01145,0.01047,0.01115,0,0
ANKR.V,D,20190405,000000,0.01115,0.01161,0.0106,0.0109,0,0
ANKR.V,D,20190406,000000,0.0109,0.01102,0.01017,0.01052,0,0
ANKR.V,D,20190407,000000,0.01052,0.01087,0.0104,0.0104,0,0
ANKR.V,D,20190408,000000,0.0104,0.0108,0.009794,0.0099,0,0
ANKR.V,D,20190409,000000,0.0099,0.01056,0.009726,0.01051,0,0
ANKR.V,D,20190410,000000,0.01051,0.01085,0.01005,0.01021,0,0
ANKR.V,D,20190411,000000,0.01021,0.01021,0.008885,0.008986,0,0
ANKR.V,D,20190412,000000,0.008986,0.00935,0.008435,0.00874,0,0
ANKR.V,D,20190413,000000,0.00874,0.008993,0.008536,0.008688,0,0
ANKR.V,D,20190414,000000,0.008688,0.009505,0.008688,0.00904,0,0
ANKR.V,D,20190415,000000,0.00904,0.00904,0.008412,0.008463,0,0
ANKR.V,D,20190416,000000,0.008463,0.009122,0.00834,0.008862,0,0
ANKR.V,D,20190417,000000,0.008862,0.01021,0.008797,0.009268,0,0
ANKR.V,D,20190418,000000,0.009268,0.009627,0.009045,0.009045,0,0
ANKR.V,D,20190419,000000,0.009045,0.01011,0.009045,0.009373,0,0
ANKR.V,D,20190420,000000,0.009373,0.00964,0.009161,0.009214,0,0
ANKR.V,D,20190421,000000,0.009214,0.009338,0.008595,0.008754,0,0
ANKR.V,D,20190422,000000,0.008754,0.009171,0.008685,0.008847,0,0
ANKR.V,D,20190423,000000,0.008847,0.009084,0.008419,0.008641,0,0
ANKR.V,D,20190424,000000,0.008641,0.008641,0.007964,0.008073,0,0
ANKR.V,D,20190425,000000,0.008073,0.008209,0.007537,0.007951,0,0
ANKR.V,D,20190426,000000,0.007991,0.008336,0.007991,0.008311,0,0
ANKR.V,D,20190427,000000,0.008311,0.00874,0.008213,0.008531,0,0
ANKR.V,D,20190428,000000,0.00855,0.009259,0.008503,0.009017,0,0
ANKR.V,D,20190429,000000,0.009017,0.00997,0.008803,0.009569,0,0
ANKR.V,D,20190430,000000,0.009569,0.01106,0.009038,0.009124,0,0
ANKR.V,D,20190501,000000,0.009124,0.009277,0.008959,0.009038,0,0
ANKR.V,D,20190502,000000,0.009038,0.009789,0.008603,0.00914,0,0
ANKR.V,D,20190503,000000,0.00914,0.01041,0.008821,0.009028,0,0
ANKR.V,D,20190504,000000,0.009028,0.009028,0.008202,0.008434,0,0
