<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANY.V,D,20220514,000000,13.1543,13.1543,13.1543,13.1543,1.141941,0
ANY.V,D,20220515,000000,13.15825,13.16221,13.07608,13.16089,3051.879764,0
ANY.V,D,20220516,000000,13.16089,13.16221,13.03423,13.15825,3059.78585407,0
ANY.V,D,20220517,000000,13.15957,13.16221,13.03162,13.15957,4702.37384116,0
ANY.V,D,20220518,000000,13.15957,13.16089,13.08358,13.15957,3741.39096347,0
ANY.V,D,20220519,000000,13.15825,13.16616,13.07351,13.07351,2716.82343019,0
ANY.V,D,20220520,000000,13.16352,13.16616,13.05584,13.16089,2137.859808,0
ANY.V,D,20220521,000000,13.16089,13.16089,13.06848,13.15957,2764.53496236,0
ANY.V,D,20220522,000000,13.15825,13.16456,13.13042,13.16089,4970.16434597,0
ANY.V,D,20220523,000000,13.16089,13.16352,13.03815,13.16089,2433.16970747,0
ANY.V,D,20220524,000000,13.16089,13.16221,13.08459,13.15957,2593.99952028,0
ANY.V,D,20220525,000000,13.15957,13.16221,6.77624,6.87564,2532.54599483,0
ANY.V,D,20220526,000000,6.63879,6.75766,6.60786,6.60918,1011.50674069,0
ANY.V,D,20220527,000000,6.66892,6.6914,6.60842,6.60842,1016.52707214,0
ANY.V,D,20220528,000000,6.62794,6.7539,6.6068,6.7167,1620.35606869,0
ANY.V,D,20220529,000000,6.70205,6.8154,6.68467,6.70489,4705.00864268,0
ANY.V,D,20220530,000000,6.69243,6.87076,6.62376,6.64105,1915.110476,0
ANY.V,D,20220531,000000,6.62136,6.82813,6.60965,6.82813,1835.84550805,0
ANY.V,D,20220601,000000,6.84373,6.8648,6.60852,6.62693,887.64569746,0
ANY.V,D,20220602,000000,6.61244,6.74203,6.60958,6.72264,959.83640111,0
ANY.V,D,20220603,000000,6.72624,6.72624,6.60846,6.64052,847.63840242,0
ANY.V,D,20220604,000000,6.62673,6.69797,6.60899,6.61887,3416.89998347,0
ANY.V,D,20220605,000000,6.62597,6.69411,6.60898,6.61674,1623.41736025,0
ANY.V,D,20220606,000000,6.63576,6.68461,6.4707,6.4707,3719.53001987,0
ANY.V,D,20220607,000000,6.47596,6.59439,6.35066,6.59195,3933.40082764,0
ANY.V,D,20220608,000000,6.57264,6.59567,6.35168,6.37855,24446.43682325,0
ANY.V,D,20220609,000000,6.37715,6.4236,6.3508,6.39089,23692.68365622,0
ANY.V,D,20220610,000000,6.38207,6.42972,6.34966,6.39799,7536.28740741,0
ANY.V,D,20220611,000000,6.39407,6.44933,6.34813,6.36284,5099.87537248,0
ANY.V,D,20220612,000000,6.35385,6.4477,5.89607,5.97834,5527.075933904,0
ANY.V,D,20220613,000000,5.9593,5.99258,5.27166,5.32983,6215.74235031,0
ANY.V,D,20220614,000000,5.32688,5.56176,5.09867,5.09867,1987.68106135,0
ANY.V,D,20220615,000000,5.11581,5.24677,4.98461,5.21753,5029.08762627,0
ANY.V,D,20220616,000000,5.22485,5.35027,5.02576,5.03015,3221.98572166,0
ANY.V,D,20220617,000000,5.00998,5.1732,3.48791,5.01492,54909.41783747,0
ANY.V,D,20220618,000000,5.03066,5.10357,4.5656,4.60669,4712.47398307,0
ANY.V,D,20220619,000000,4.59057,4.59057,4.24924,4.41639,4232.11602099,0
ANY.V,D,20220620,000000,4.4134,4.48531,4.09508,4.09508,2848.33851185,0
ANY.V,D,20220621,000000,4.0828,4.26193,4.04545,4.23076,3207.93991552,0
ANY.V,D,20220622,000000,4.22005,4.2667,4.12795,4.18571,19881.17393648,0
ANY.V,D,20220623,000000,4.20659,4.3571,4.12907,4.30759,2686.66769281,0
ANY.V,D,20220624,000000,4.2924,4.35754,4.20996,4.30333,2662.65594787,0
ANY.V,D,20220625,000000,4.31668,4.42539,4.27572,4.41448,2262.32055349,0
ANY.V,D,20220626,000000,4.42279,4.60299,4.38976,4.54118,4990.21728718,0
ANY.V,D,20220627,000000,4.54152,4.57636,4.46096,4.50624,2136.07279361,0
ANY.V,D,20220628,000000,4.48688,4.63834,4.45001,4.54933,2456.82163497,0
ANY.V,D,20220629,000000,4.5455,4.65192,4.46642,4.54555,2236.37017818,0
ANY.V,D,20220630,000000,4.53515,4.53885,4.28385,4.29025,3234.86358585,0
ANY.V,D,20220701,000000,4.26907,4.32084,4.12671,4.17608,19614.21134002,0
ANY.V,D,20220702,000000,4.18529,4.25259,4.10785,4.25109,25989.48337424,0
ANY.V,D,20220703,000000,4.2485,4.27656,3.92369,3.96464,360775.82976581,0
ANY.V,D,20220704,000000,3.97503,4.04893,3.92948,3.96673,2957.31025251,0
ANY.V,D,20220705,000000,3.96394,4.08479,3.81991,3.95884,2991.46263383,0
ANY.V,D,20220706,000000,3.96523,4.03546,3.48976,3.49215,3216.49149482,0
ANY.V,D,20220707,000000,3.50334,4.46227,3.47308,4.41715,4129.00590889,0
ANY.V,D,20220708,000000,4.43174,4.47107,4.21225,4.37407,4524.61783501,0
ANY.V,D,20220709,000000,4.37837,4.84199,4.3271,4.84199,3893.755645,0
ANY.V,D,20220710,000000,4.81661,5.05816,4.80981,4.84059,3663.91620802,0
ANY.V,D,20220711,000000,4.81643,5.25519,4.81643,5.18481,1821.89526304,0
ANY.V,D,20220712,000000,5.17734,5.50839,5.1058,5.3579,4211.90751974,0
ANY.V,D,20220713,000000,5.32162,5.32162,5.05324,5.25307,6707.400775,0
ANY.V,D,20220714,000000,5.27485,5.28221,5.01149,5.01319,13456.3546461,0
ANY.V,D,20220715,000000,5.03198,5.55287,4.95463,5.54634,4290.065861,0
ANY.V,D,20220716,000000,5.54644,5.81785,5.49065,5.69966,2148.345427,0
ANY.V,D,20220717,000000,5.70766,5.7274,5.43068,5.61476,5677.7794691,0
ANY.V,D,20220718,000000,5.61644,5.65026,5.41867,5.60309,5156.5819226,0
ANY.V,D,20220719,000000,5.54322,5.99988,5.53577,5.85834,8813.7164086,0
ANY.V,D,20220720,000000,5.8299,6.0015,5.7609,5.9606,9097.4725742,0
ANY.V,D,20220721,000000,5.91399,6.00042,4.19274,4.41267,4886.2594936,0
ANY.V,D,20220722,000000,4.43171,4.74646,4.42041,4.72681,3695.6685937,0
ANY.V,D,20220723,000000,4.7297,4.83475,4.47158,4.47158,2445.9563339,0
ANY.V,D,20220724,000000,4.50353,4.59765,4.34177,4.42804,2566.9492859,0
ANY.V,D,20220725,000000,4.40828,4.63954,4.3322,4.56271,5066.9274592,0
ANY.V,D,20220726,000000,4.53201,4.67237,4.46494,4.60179,5359.5419406,0
ANY.V,D,20220727,000000,4.62195,4.64506,4.37461,4.61826,1502.401212405,0
ANY.V,D,20220728,000000,4.61351,5.06517,4.20224,4.2037,2670.591342601,0
ANY.V,D,20220729,000000,4.18369,4.33283,4.13035,4.1573,2283.216080229,0
ANY.V,D,20220730,000000,4.151,4.409,4.11326,4.371,2829.222963646,0
ANY.V,D,20220731,000000,4.36013,4.74194,4.30845,4.60701,2333.889583308,0
ANY.V,D,20220801,000000,4.5823,4.58936,4.4529,4.47325,1828.501124017,0
ANY.V,D,20220802,000000,4.50214,4.61553,4.18796,4.4409,3405.602231319,0
ANY.V,D,20220803,000000,4.45645,4.6835,4.44307,4.66871,2742.9023892,0
ANY.V,D,20220804,000000,4.60921,4.67444,4.50829,4.57207,2591.313042806,0
ANY.V,D,20220805,000000,4.56778,4.80818,4.52228,4.64108,2654.1751551,0
ANY.V,D,20220806,000000,4.64173,5.03746,4.61932,5.00495,3980.0671379,0
ANY.V,D,20220807,000000,5.0007,5.2248,4.88752,5.0019,3140.6986359,0
ANY.V,D,20220808,000000,4.979,5.24475,4.90514,5.23644,2368.1069427,0
ANY.V,D,20220809,000000,5.22818,5.6725,5.21885,5.66819,3203.5993432,0
ANY.V,D,20220810,000000,5.64733,6.00486,5.64733,5.8637,2392.296003019,0
ANY.V,D,20220811,000000,5.85035,6.00234,5.80094,5.96701,3670.660779847,0
ANY.V,D,20220813,000000,6.69131,6.69641,6.62441,6.62441,120.166814,0
ANY.V,D,20220815,000000,6.65773,6.65773,6.65773,6.65773,740.80739,0
ANY.V,D,20220816,000000,6.22257,6.27134,6.17598,6.17598,2281.5262,0
ANY.V,D,20220817,000000,6.17683,6.20851,5.86706,5.86706,1432.681171,0
ANY.V,D,20220818,000000,5.71103,5.79131,5.69061,5.7126,902.953043,0
ANY.V,D,20220819,000000,5.74387,5.74387,5.4606,5.4606,398.92,0
ANY.V,D,20220820,000000,5.16301,5.21875,4.9853,4.9853,1976.75605,0
ANY.V,D,20220821,000000,5.19479,5.23753,5.19479,5.23753,2069.23236,0
ANY.V,D,20220822,000000,5.19472,5.19472,5.19472,5.19472,752.23283,0
ANY.V,D,20220823,000000,5.25981,5.25981,5.24734,5.24734,1923.31364,0
ANY.V,D,20220824,000000,5.40661,5.40661,5.40661,5.40661,0,0
ANY.V,D,20220825,000000,5.80956,5.80956,5.58456,5.58456,1604.94145,0
ANY.V,D,20220826,000000,5.7384,5.7384,5.7384,5.7384,95.706699,0
ANY.V,D,20220828,000000,5.1553,5.1749,5.1553,5.1749,390.65218,0
ANY.V,D,20220829,000000,5.0342,5.27566,5.0342,5.25246,1907.64518,0
ANY.V,D,20220830,000000,5.2456,5.2456,5.2456,5.2456,947.55104,0
ANY.V,D,20220831,000000,5.15965,5.15965,5.15965,5.15965,609.0739,0
ANY.V,D,20220901,000000,5.10709,5.10709,5.00945,5.00945,435.26354,0
ANY.V,D,20220902,000000,5.10085,5.10085,5.10085,5.10085,379.25379,0
ANY.V,D,20220903,000000,5.17467,5.1882,5.17467,5.1882,1596.8037,0
ANY.V,D,20220904,000000,5.1388,5.1388,5.1388,5.1388,0,0
