<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVINOC.V,D,20220515,000000,0.318576,0.330623,0.318576,0.330623,33966.778101674245,0
AVINOC.V,D,20220516,000000,0.323981,0.324379,0.315684,0.324379,13692.970614828002,0
AVINOC.V,D,20220517,000000,0.319253,0.322921,0.316671,0.321735,7955.214292860976,0
AVINOC.V,D,20220518,000000,0.318244,0.339358,0.316346,0.339358,27275.289338000002,0
AVINOC.V,D,20220519,000000,0.319743,0.36063,0.319743,0.334591,88613.47148622201,0
AVINOC.V,D,20220520,000000,0.325707,0.34165,0.325707,0.328932,27955.821684735398,0
AVINOC.V,D,20220521,000000,0.333167,0.336528,0.324693,0.327353,17688.59517377833,0
AVINOC.V,D,20220522,000000,0.329565,0.337342,0.328005,0.333895,40884.689306455,0
AVINOC.V,D,20220523,000000,0.335869,0.335869,0.325883,0.325883,6790.103941993999,0
AVINOC.V,D,20220524,000000,0.327097,0.32713,0.324643,0.325577,53428.22986881,0
AVINOC.V,D,20220525,000000,0.324143,0.329035,0.322026,0.324043,28744.839720432698,0
AVINOC.V,D,20220526,000000,0.322592,0.323853,0.317945,0.318326,4632.447053938001,0
AVINOC.V,D,20220527,000000,0.318326,0.318958,0.313099,0.318206,55260.36650994001,0
AVINOC.V,D,20220528,000000,0.317734,0.322148,0.30965,0.310242,163756.47496703817,0
AVINOC.V,D,20220529,000000,0.310837,0.314643,0.31011,0.310753,61820.86234400023,0
AVINOC.V,D,20220530,000000,0.310891,0.327478,0.310891,0.327478,167205.20703030622,0
AVINOC.V,D,20220531,000000,0.325044,0.327478,0.31784,0.319815,133401.44301851405,0
AVINOC.V,D,20220601,000000,0.323318,0.323318,0.31207,0.31207,70956.41953349565,0
AVINOC.V,D,20220602,000000,0.322192,0.322192,0.309821,0.321334,864.9137033476511,0
AVINOC.V,D,20220603,000000,0.321339,0.321339,0.312455,0.312455,821.740223685368,0
AVINOC.V,D,20220604,000000,0.312574,0.312702,0.308722,0.311656,108660.4147031808,0
AVINOC.V,D,20220605,000000,0.311625,0.311625,0.308744,0.309003,4034.49432796919,0
AVINOC.V,D,20220606,000000,0.298839,0.313231,0.298839,0.307732,490911.0196522273,0
AVINOC.V,D,20220607,000000,0.310689,0.310829,0.307319,0.30898,92255.11836167918,0
AVINOC.V,D,20220608,000000,0.312184,0.321225,0.289803,0.289803,447748.8096819746,0
AVINOC.V,D,20220609,000000,0.294908,0.302423,0.292732,0.29724,273724.8314358499,0
AVINOC.V,D,20220610,000000,0.297006,0.297858,0.285945,0.286744,223726.47279101395,0
AVINOC.V,D,20220611,000000,0.288816,0.289212,0.283466,0.286867,650141.0851852412,0
AVINOC.V,D,20220612,000000,0.287045,0.287045,0.280318,0.283977,114550.47743218137,0
AVINOC.V,D,20220613,000000,0.295608,0.295608,0.27563,0.275811,233304.44413739402,0
AVINOC.V,D,20220614,000000,0.276481,0.279744,0.275256,0.279744,276082.31432951504,0
AVINOC.V,D,20220615,000000,0.275629,0.275629,0.269495,0.273913,33829.67262031097,0
AVINOC.V,D,20220616,000000,0.268822,0.282689,0.268822,0.273513,100459.42087092176,0
AVINOC.V,D,20220617,000000,0.269625,0.277676,0.266916,0.277147,25493.253035935897,0
AVINOC.V,D,20220618,000000,0.275041,0.278406,0.270625,0.270625,99452.07365124315,0
AVINOC.V,D,20220619,000000,0.272397,0.287846,0.269572,0.274649,65442.305811682854,0
