<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXS.V,D,20201104,000000,0.2703,0.2903,0.1421,0.1459,0,0
AXS.V,D,20201105,000000,0.1459,0.1508,0.1262,0.1345,0,0
AXS.V,D,20201106,000000,0.1345,0.1503,0.121,0.144,0,0
AXS.V,D,20201107,000000,0.144,0.1702,0.1345,0.1411,0,0
AXS.V,D,20201108,000000,0.1411,0.2422,0.1385,0.1987,0,0
AXS.V,D,20201109,000000,0.1987,0.325,0.1972,0.2798,0,0
AXS.V,D,20201110,000000,0.2798,0.3696,0.2452,0.27,0,0
AXS.V,D,20201111,000000,0.27,0.4374,0.2627,0.3544,0,0
AXS.V,D,20201112,000000,0.3544,0.3889,0.3028,0.3133,0,0
AXS.V,D,20201113,000000,0.3133,0.43,0.3133,0.394,0,0
AXS.V,D,20201114,000000,0.394,0.6079,0.3714,0.5656,0,0
AXS.V,D,20201115,000000,0.5656,0.6867,0.5042,0.5913,0,0
AXS.V,D,20201116,000000,0.5913,0.675,0.5365,0.5592,0,0
AXS.V,D,20201117,000000,0.5592,0.6036,0.4525,0.503,0,0
AXS.V,D,20201118,000000,0.503,0.5768,0.4323,0.5161,0,0
AXS.V,D,20201119,000000,0.5161,0.5606,0.4337,0.4386,0,0
AXS.V,D,20201120,000000,0.4386,0.5462,0.43,0.4989,0,0
AXS.V,D,20201121,000000,0.4989,0.5358,0.4553,0.4673,0,0
AXS.V,D,20201122,000000,0.4673,0.4729,0.3996,0.4268,0,0
AXS.V,D,20201123,000000,0.4268,0.5469,0.412,0.5107,0,0
AXS.V,D,20201124,000000,0.5107,0.5218,0.4348,0.4775,0,0
AXS.V,D,20201125,000000,0.4775,0.4873,0.3912,0.416,0,0
AXS.V,D,20201126,000000,0.416,0.4207,0.3162,0.3708,0,0
AXS.V,D,20201127,000000,0.3708,0.3847,0.3353,0.3777,0,0
AXS.V,D,20201128,000000,0.3777,0.4454,0.3704,0.4286,0,0
AXS.V,D,20201129,000000,0.4286,0.4965,0.4095,0.4775,0,0
AXS.V,D,20201130,000000,0.4775,0.49,0.4322,0.4567,0,0
AXS.V,D,20201201,000000,0.4567,0.4655,0.4004,0.4123,0,0
AXS.V,D,20201202,000000,0.4123,0.5177,0.4004,0.4987,0,0
AXS.V,D,20201203,000000,0.4987,0.537,0.4822,0.5126,0,0
AXS.V,D,20201204,000000,0.5126,0.5146,0.419,0.4312,0,0
AXS.V,D,20201205,000000,0.4312,0.4851,0.4213,0.4765,0,0
AXS.V,D,20201206,000000,0.4765,0.4865,0.4424,0.4799,0,0
AXS.V,D,20201207,000000,0.4799,0.5803,0.4682,0.5612,0,0
AXS.V,D,20201208,000000,0.5612,0.6708,0.5218,0.5709,0,0
AXS.V,D,20201209,000000,0.5709,0.683,0.5563,0.6275,0,0
AXS.V,D,20201210,000000,0.6275,0.639,0.5509,0.5638,0,0
AXS.V,D,20201211,000000,0.5638,0.578,0.497,0.5506,0,0
AXS.V,D,20201212,000000,0.5506,0.6306,0.5506,0.5788,0,0
AXS.V,D,20201213,000000,0.5788,0.6194,0.5637,0.6139,0,0
AXS.V,D,20201214,000000,0.6139,0.6689,0.5785,0.638,0,0
AXS.V,D,20201215,000000,0.638,0.7502,0.6086,0.7304,0,0
AXS.V,D,20201216,000000,0.7304,0.7999,0.6904,0.7423,0,0
AXS.V,D,20201217,000000,0.7423,0.7695,0.6849,0.7119,0,0
AXS.V,D,20201218,000000,0.7119,0.8474,0.6807,0.8252,0,0
AXS.V,D,20201219,000000,0.8252,0.8564,0.7463,0.7577,0,0
AXS.V,D,20201220,000000,0.7577,0.7886,0.6613,0.6892,0,0
AXS.V,D,20201221,000000,0.6892,0.7168,0.5961,0.6397,0,0
AXS.V,D,20201222,000000,0.6397,0.661,0.5866,0.6545,0,0
AXS.V,D,20201223,000000,0.6545,0.6595,0.4585,0.541,0,0
AXS.V,D,20201224,000000,0.541,0.6485,0.463,0.64,0,0
AXS.V,D,20201225,000000,0.64,0.6675,0.5768,0.5989,0,0
AXS.V,D,20201226,000000,0.5989,0.6172,0.536,0.5784,0,0
AXS.V,D,20201227,000000,0.5784,0.627,0.5181,0.5989,0,0
AXS.V,D,20201228,000000,0.5989,0.6641,0.581,0.5984,0,0
AXS.V,D,20201229,000000,0.5984,0.61,0.5278,0.5597,0,0
AXS.V,D,20201230,000000,0.5597,0.5865,0.5309,0.536,0,0
AXS.V,D,20201231,000000,0.536,0.5402,0.5005,0.5384,0,0
AXS.V,D,20210101,000000,0.5384,0.6248,0.5127,0.5943,0,0
AXS.V,D,20210102,000000,0.5943,0.6281,0.5287,0.5427,0,0
AXS.V,D,20210103,000000,0.5427,0.5835,0.5217,0.5652,0,0
AXS.V,D,20210104,000000,0.5652,0.6162,0.5101,0.5608,0,0
AXS.V,D,20210105,000000,0.5608,0.588,0.5204,0.5572,0,0
AXS.V,D,20210106,000000,0.5572,0.6306,0.5347,0.6015,0,0
AXS.V,D,20210107,000000,0.6015,0.74,0.5907,0.604,0,0
AXS.V,D,20210108,000000,0.604,0.6439,0.5342,0.5936,0,0
AXS.V,D,20210109,000000,0.5936,0.6401,0.5591,0.6032,0,0
AXS.V,D,20210110,000000,0.6032,0.6612,0.526,0.5729,0,0
AXS.V,D,20210111,000000,0.5729,0.5735,0.4103,0.4995,0,0
AXS.V,D,20210112,000000,0.4995,0.5154,0.4393,0.4492,0,0
AXS.V,D,20210113,000000,0.4492,0.51,0.4366,0.5022,0,0
AXS.V,D,20210114,000000,0.5022,0.5493,0.4805,0.5338,0,0
AXS.V,D,20210115,000000,0.5338,0.5739,0.4952,0.5417,0,0
