<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNX.V,D,20220514,000000,135.5691,135.5691,135.2561,135.2696,14.8988379,0
BNX.V,D,20220515,000000,132.0149,142.6714,128.4071,134.0255,40561.489443449515,0
BNX.V,D,20220516,000000,134.2253,136.3362,126.8476,133.3131,15952.9392476883,0
BNX.V,D,20220517,000000,133.3264,133.9257,124.1633,127.1345,16080.754649826204,0
BNX.V,D,20220518,000000,127.2471,130.7429,117.8466,119.2448,10938.901138217405,0
BNX.V,D,20220519,000000,118.2342,123.3765,104.6847,120.0918,40566.036131196495,0
BNX.V,D,20220520,000000,119.9799,126.4861,115.3499,117.8584,22931.859797332723,0
BNX.V,D,20220521,000000,117.9465,118.5576,114.9504,115.6495,7074.59603520522,0
BNX.V,D,20220522,000000,115.3499,121.5418,115.3499,118.0463,10093.340510939439,0
BNX.V,D,20220523,000000,117.8584,120.4673,115.4728,115.7609,11737.968762449651,0
BNX.V,D,20220524,000000,115.4497,118.8453,112.5648,118.6456,10373.601019511107,0
BNX.V,D,20220525,000000,118.5457,119.5683,116.9712,118.158,19139.061081844757,0
BNX.V,D,20220526,000000,118.0582,118.2698,108.98,112.7871,13023.233980362153,0
BNX.V,D,20220527,000000,112.4874,135.7505,110.889,131.868,114843.82476538936,0
BNX.V,D,20220528,000000,131.2502,139.7349,128.8517,133.2479,69992.81411431386,0
BNX.V,D,20220529,000000,133.3411,134.4667,124.3705,127.3598,27028.04965216883,0
BNX.V,D,20220530,000000,127.3585,132.4661,122.0656,128.1103,25118.190308715624,0
BNX.V,D,20220531,000000,128.3101,128.784,121.7147,125.3996,8605.969395569366,0
BNX.V,D,20220601,000000,125.602,127.8976,121.5905,121.5905,7252.445439822845,0
BNX.V,D,20220602,000000,121.5953,124.6877,118.3933,123.4888,8741.637931846593,0
BNX.V,D,20220603,000000,123.189,123.8884,118.1746,119.6958,13527.590509222211,0
BNX.V,D,20220604,000000,119.5959,120.3855,117.1827,119.4092,17972.0802175837,0
BNX.V,D,20220605,000000,119.5115,125.206,118.6931,122.0851,44308.63446365126,0
BNX.V,D,20220606,000000,122.0851,132.4899,120.7851,131.7892,78505.94694841486,0
BNX.V,D,20220607,000000,131.9877,136.8918,124.7938,134.788,51971.693155453344,0
BNX.V,D,20220608,000000,134.6922,134.6922,128.9161,131.7143,41520.59551205254,0
BNX.V,D,20220609,000000,131.5145,136.6782,127.4903,128.3921,33304.04256789833,0
BNX.V,D,20220610,000000,128.3908,130.6927,125.1622,126.7388,34895.23224133746,0
BNX.V,D,20220611,000000,126.8374,128.6622,119.3626,122.861,16130.901090873835,0
BNX.V,D,20220612,000000,122.8598,132.6008,114.8505,130.6378,58847.775242365235,0
BNX.V,D,20220613,000000,129.4406,132.4303,120.5512,123.4282,228858.09900783983,0
BNX.V,D,20220614,000000,124.0286,134.8259,117.6292,129.7441,97828.05153619697,0
BNX.V,D,20220615,000000,129.7454,151.9869,125.5748,145.3816,38337.31109926061,0
BNX.V,D,20220616,000000,145.6812,149.2357,138.2339,141.9153,58561.80855672531,0
BNX.V,D,20220617,000000,139.5058,142.3048,138.5169,139.0344,15037.096226359648,0
BNX.V,D,20220618,000000,139.1328,142.6015,137.7042,140.0727,80866.97213386848,0
BNX.V,D,20220619,000000,140.1726,142.7755,137.7792,139.3186,22800.382652914,0
BNX.V,D,20220620,000000,139.4325,139.9319,137.7207,137.9481,11134.786948000696,0
BNX.V,D,20220621,000000,137.9343,138.3476,131.7681,131.9679,17705.687429404614,0
BNX.V,D,20220622,000000,131.9679,137.0628,129.9569,129.9699,15002.366170197633,0
BNX.V,D,20220623,000000,130.2696,132.7671,126.2736,130.3695,20774.220570775124,0
BNX.V,D,20220624,000000,130.5693,134.2656,129.3705,132.5965,20333.370318892936,0
BNX.V,D,20220625,000000,132.4674,132.867,126.9136,128.3101,11199.211177142512,0
BNX.V,D,20220626,000000,128.3088,129.8104,127.0237,127.421,5060.228262874274,0
BNX.V,D,20220627,000000,127.1275,128.6292,122.185,122.1887,9338.281198175926,0
BNX.V,D,20220628,000000,122.185,123.8872,118.0913,119.6526,10769.02658738595,0
BNX.V,D,20220629,000000,119.7513,119.7513,114.9504,115.9467,8416.644971661954,0
BNX.V,D,20220630,000000,116.1593,116.675,110.1456,111.6658,21211.100966826907,0
BNX.V,D,20220701,000000,111.4661,119.2806,111.4661,115.5727,5341.113247424703,0
BNX.V,D,20220702,000000,114.7736,115.6726,112.8644,114.4625,2638.0310597805355,0
BNX.V,D,20220703,000000,114.4625,118.3578,112.6534,117.0476,3122.90891851995,0
BNX.V,D,20220704,000000,117.0476,117.5588,114.2513,116.4601,1964.7908589623967,0
BNX.V,D,20220705,000000,116.56,120.5552,115.4613,118.3697,4593.035107655287,0
BNX.V,D,20220706,000000,118.4695,119.6682,117.171,118.4577,2291.087163364468,0
BNX.V,D,20220707,000000,118.7692,119.1285,117.4706,117.6294,1514.024372666028,0
BNX.V,D,20220708,000000,117.8293,119.3164,112.721,113.6318,4625.248914226848,0
BNX.V,D,20220709,000000,113.7317,119.4283,113.332,118.9286,3841.4805818259365,0
BNX.V,D,20220710,000000,119.0166,119.0166,113.1321,114.7311,10139.755808794936,0
BNX.V,D,20220711,000000,114.3314,116.9064,113.3206,115.1962,2259.4924568550787,0
BNX.V,D,20220712,000000,115.2961,115.5843,111.6882,114.1857,3366.08114406214,0
BNX.V,D,20220713,000000,114.0904,117.2826,114.0904,116.2952,3281.058430565027,0
BNX.V,D,20220714,000000,116.4951,117.4942,114.5968,115.0309,1390.8055548477878,0
BNX.V,D,20220715,000000,115.0194,117.2296,113.9316,115.2539,6748.372798153046,0
BNX.V,D,20220716,000000,115.4654,115.8652,113.8658,115.2769,1750.5212421120195,0
BNX.V,D,20220717,000000,115.2689,118.6763,114.8816,117.5694,3242.307017454418,0
BNX.V,D,20220718,000000,117.3683,123.2692,116.5592,120.7722,3984.511434004015,0
BNX.V,D,20220719,000000,120.8722,123.9727,120.2084,120.6253,3713.9841752552484,0
BNX.V,D,20220720,000000,120.5,125.8038,118.4095,122.4061,8703.685854777927,0
BNX.V,D,20220721,000000,121.8146,129.0065,120.5988,128.0282,13205.370702416218,0
BNX.V,D,20220722,000000,127.1305,133.9388,126.4215,129.4285,10475.966303402463,0
BNX.V,D,20220723,000000,129.2297,131.3118,124.6012,125.7151,2785.8456319335264,0
BNX.V,D,20220724,000000,126.0164,127.714,125.2188,125.6239,1787.6647650381665,0
BNX.V,D,20220725,000000,125.3251,125.9239,122.2098,124.1112,1402.2904459009835,0
BNX.V,D,20220726,000000,123.7124,123.7124,118.1,120.2168,3021.648456956822,0
BNX.V,D,20220727,000000,120.2168,125.3439,120.2168,124.83,2679.7839816893907,0
BNX.V,D,20220728,000000,125.0313,143.9288,121.417,138.2276,34819.30129205476,0
BNX.V,D,20220729,000000,138.1276,140.9254,134.0335,135.0567,3598.722767700835,0
BNX.V,D,20220730,000000,135.2541,136.9534,134.347,135.1432,1428.6544583489574,0
BNX.V,D,20220731,000000,134.6511,136.234,133.3333,134.5323,3406.252880024745,0
BNX.V,D,20220801,000000,134.0335,135.4609,127.4166,128.2436,2962.2155178219446,0
BNX.V,D,20220802,000000,128.0371,130.6196,124.346,127.5179,3109.828482974492,0
BNX.V,D,20220803,000000,128.0358,131.242,126.124,129.2388,1231.2971777351358,0
BNX.V,D,20220804,000000,128.7296,130.5287,126.6089,127.6077,990.5490006464769,0
BNX.V,D,20220805,000000,127.2076,132.2145,127.2064,129.4259,1296.7716163741109,0
BNX.V,D,20220806,000000,129.5259,129.9052,126.0189,126.6279,1264.9904075227666,0
BNX.V,D,20220807,000000,126.5278,126.8279,124.6274,126.3227,1890.2662439065184,0
BNX.V,D,20220808,000000,126.124,133.3347,125.0212,132.0224,8115.251912009854,0
BNX.V,D,20220809,000000,132.1145,132.2278,126.2366,127.9256,1033.5407632210292,0
BNX.V,D,20220810,000000,127.9269,140.1644,126.4341,134.5403,5055.391504686962,0
BNX.V,D,20220811,000000,134.7404,137.7386,131.8488,132.7584,4734.772987161525,0
BNX.V,D,20220812,000000,133.0532,135.5677,132.1528,133.9643,1032.2461088083999,0
BNX.V,D,20220813,000000,133.7575,134.5444,133.2533,134.4511,1325.8113206110743,0
BNX.V,D,20220814,000000,134.0482,138.5526,134.0482,137.0425,1543.7324376715217,0
BNX.V,D,20220815,000000,136.7424,139.0417,135.2324,136.1313,2552.3867296839207,0
BNX.V,D,20220816,000000,136.0326,140.0238,136.0326,139.1097,2457.9005987563783,0
BNX.V,D,20220817,000000,139.2125,140.8127,136.9096,137.5096,2989.1518203933324,0
BNX.V,D,20220818,000000,137.3137,140.6211,137.011,139.6112,1944.841966603508,0
BNX.V,D,20220819,000000,139.914,140.6141,127.5,127.5,7568.98501888125,0
BNX.V,D,20220820,000000,128.1128,137.711,127.7936,136.4986,3978.139274014988,0
BNX.V,D,20220821,000000,136.6,139.8958,135.3932,139.5972,3958.122322676204,0
BNX.V,D,20220822,000000,139.2972,142.6029,137.9752,141.176,4351.058819631776,0
BNX.V,D,20220823,000000,141.7773,141.8787,132.9987,133.604,3609.482572893046,0
BNX.V,D,20220824,000000,133.4866,133.5987,129.4116,130.2117,3312.7346140034765,0
BNX.V,D,20220825,000000,129.4065,131.0039,128.6013,130.1039,1376.7444607284162,0
BNX.V,D,20220826,000000,130.0961,130.5922,124.5988,127.2114,1504.6177391818544,0
BNX.V,D,20220827,000000,127.2102,128.7026,123.0951,128.1051,3212.216279104772,0
BNX.V,D,20220828,000000,128.4013,135.7973,128.1026,135.1,4249.2005350739955,0
BNX.V,D,20220829,000000,135.0986,135.8149,129.4935,129.9078,2912.658918898238,0
BNX.V,D,20220830,000000,129.9091,130.6,125.5163,129.4116,4847.824517918893,0
BNX.V,D,20220831,000000,129.1103,132.7159,129.1103,131.9,3075.2489743345313,0
BNX.V,D,20220901,000000,131.9974,136.4109,129.4883,133.8933,2528.483637067023,0
BNX.V,D,20220902,000000,133.9946,136.9096,131.1039,133.9214,2367.9352134662086,0
BNX.V,D,20220903,000000,134.0214,136.9,132.7,136.4,3245.641420613058,0
BNX.V,D,20220904,000000,135.9,136.7,134.1,134.1134,783.1584231962825,0
BNX.V,D,20220905,000000,133.9134,134.4,130.4,131.2131,1957.0459290709236,0
BNX.V,D,20220906,000000,131.0131,141.7,129.0871,137.2,15107.656139409128,0
BNX.V,D,20220907,000000,137.4082,139.9042,134.7933,137.6083,6573.8659153353665,0
BNX.V,D,20220908,000000,137.5096,146.7103,136.2136,142.6214,4354.810975008683,0
BNX.V,D,20220909,000000,142.8228,154.4309,140.8211,150.5436,17591.0216190204,0
BNX.V,D,20220910,000000,149.7629,154.0554,146.5601,152.3305,4853.400493432543,0
BNX.V,D,20220911,000000,151.7319,154.8433,148.9387,152.1365,4568.199044567436,0
BNX.V,D,20220912,000000,152.7382,157.741,152.7382,157.1361,4513.831368164209,0
BNX.V,D,20220913,000000,157.0283,165.338,152.6229,161.4032,13400.64229256993,0
BNX.V,D,20220914,000000,161.4032,162.0146,156.0094,158.8397,3819.427742693421,0
BNX.V,D,20220915,000000,158.7397,162.7049,156.8408,162.3854,6894.976054743,0
BNX.V,D,20220916,000000,162.3886,169.983,151.3,151.3,5001.790818939104,0
BNX.V,D,20220917,000000,151.1849,151.2,140,140.1,17978.29527746604,0
BNX.V,D,20220918,000000,140,147.2853,138.1,144.2,12353.299704544972,0
BNX.V,D,20220919,000000,144.6,163.0163,144.4,160.416,21993.327584037484,0
BNX.V,D,20220920,000000,159.932,162.4162,155.5155,161.1161,7766.758064980734,0
BNX.V,D,20220921,000000,161.5,163.8,156.9157,161.3161,4238.051231030256,0
BNX.V,D,20220922,000000,160.9,162.2,147.3,157.8,26614.423412066364,0
BNX.V,D,20220923,000000,157.9,164.5835,155.4,159,7919.081319108867,0
BNX.V,D,20220924,000000,159.1889,161.4984,151.5136,152.8138,3882.166718886523,0
BNX.V,D,20220925,000000,152.8,158.1079,152.2,157.2937,3079.5818662599245,0
BNX.V,D,20220926,000000,156.3031,159.9,155.3,159.884,2506.1131845295754,0
BNX.V,D,20220927,000000,159.9,160.3,151.2,151.5848,2379.8266093129323,0
BNX.V,D,20220928,000000,151.6,156.4,149.6701,155.2,3358.108298764169,0
BNX.V,D,20220929,000000,154.9845,159.9,154.6,157.8,2957.2846754357975,0
BNX.V,D,20220930,000000,157.6,159.4,153.2,154.6,1866.3531092071298,0
BNX.V,D,20221001,000000,154.6,156.6,153.5846,155.2155,1662.350002905033,0
BNX.V,D,20221002,000000,155.4,158,155.2,157.1,1501.6370514988128,0
BNX.V,D,20221003,000000,156.7,159.516,155.1,156.0468,1496.1373485244042,0
BNX.V,D,20221004,000000,156.0468,156.3156,154.7309,155.2466,1059.4746859639406,0
BNX.V,D,20221005,000000,155.231,158.0474,154.6309,156.9157,1158.4916774273559,0
BNX.V,D,20221006,000000,156.8235,157.8268,155.5218,156.1187,538.0298610948048,0
BNX.V,D,20221007,000000,156.014,158.8048,155.9281,157.0173,1731.7007894237827,0
BNX.V,D,20221008,000000,157.2189,159.3223,157.0094,157.4346,5794.6875439582045,0
BNX.V,D,20221009,000000,157.3393,158.0158,151.7152,152.2304,2098.6356152056655,0
BNX.V,D,20221010,000000,151.9304,154.7845,149.3149,153.3,2148.4623379737986,0
BNX.V,D,20221011,000000,153.5846,156.3703,151.8,155.4845,2370.1766996830606,0
BNX.V,D,20221012,000000,155.1798,158.0921,155.1798,157.9032,1049.7522162481655,0
BNX.V,D,20221013,000000,157.5063,157.9,153.3954,155.5124,1830.3217132625746,0
BNX.V,D,20221014,000000,155.4124,157.2126,153.0015,154.6015,2418.1863485372437,0
BNX.V,D,20221015,000000,154.8062,156.0125,152.1122,152.3076,2100.3268355281753,0
BNX.V,D,20221016,000000,152.3076,152.3076,141.4986,146.5059,16774.18434076535,0
BNX.V,D,20221017,000000,146.9073,149.8105,145.6044,149.103,2195.9268803520404,0
BNX.V,D,20221018,000000,149.3045,154.917,147.4133,150.1075,2840.686397880512,0
BNX.V,D,20221019,000000,150.015,150.4135,147.8074,148.1015,614.4291801135308,0
BNX.V,D,20221020,000000,148.1,149.197,145.2942,146.5853,1277.682444466284,0
BNX.V,D,20221021,000000,146.4868,147.4015,142.8957,146.0088,2160.7177457838443,0
BNX.V,D,20221022,000000,146.0102,147.0059,142.1085,143.9115,1360.6321440772504,0
BNX.V,D,20221023,000000,143.6129,145.5073,142.4028,144.5173,1287.1894886358075,0
BNX.V,D,20221024,000000,144.7145,146.4132,143.5086,145.1044,4005.9681152180137,0
BNX.V,D,20221025,000000,144.8072,148.6342,144.6029,147.7487,1135.096074800819,0
BNX.V,D,20221026,000000,147.6502,148.5371,145.735,146.3395,1161.17174641089,0
BNX.V,D,20221027,000000,146.4395,147.6295,144.0072,144.0072,2234.530842484235,0
BNX.V,D,20221028,000000,144.2072,144.5101,136.8246,137.4316,5127.720481557237,0
BNX.V,D,20221029,000000,137.2261,149.6524,135.0297,148.6342,9803.002512798332,0
BNX.V,D,20221030,000000,148.04,148.1429,142.9286,144.1303,2107.4305110333876,0
BNX.V,D,20221031,000000,144.1303,152.6,143.4301,145.5898,42471.35822608448,0
BNX.V,D,20221101,000000,145.5869,148.0556,143.2742,144.1827,978.4326109676306,0
BNX.V,D,20221102,000000,143.4856,146.3059,141.1873,145.3913,2116.3565803164615,0
BNX.V,D,20221103,000000,144.8928,148.794,143.1842,147.5985,1699.6805121279554,0
BNX.V,D,20221104,000000,147.2985,149.6835,146.7883,148.7104,1341.0247317043704,0
BNX.V,D,20221105,000000,148.7104,152.1213,145.5029,147.2088,4193.494057389355,0
BNX.V,D,20221106,000000,146.6059,146.6956,143.7172,143.8101,1389.343330486055,0
BNX.V,D,20221107,000000,143.9101,146.0131,141.7099,144.3173,4017.1277803607786,0
BNX.V,D,20221108,000000,144.5289,151.9973,140.3823,148.444,9782.270583482587,0
BNX.V,D,20221109,000000,148.444,149.7945,140.4873,142.2984,6740.257290479947,0
BNX.V,D,20221110,000000,142.5798,162.073,140.1605,149.2241,3310.2731293401475,0
BNX.V,D,20221111,000000,150.4249,178.3485,145.3649,147.3,3169.937446062024,0
BNX.V,D,20221112,000000,147.4442,148.9407,143.0421,146.0367,1207.986879647234,0
BNX.V,D,20221113,000000,145.9368,146.2363,140.6451,142.9283,1625.0955790105406,0
BNX.V,D,20221114,000000,142.5288,148.307,141.5731,147.0791,1682.3276725867365,0
BNX.V,D,20221115,000000,146.8793,149.9499,145.1402,148.4365,1153.0437429482647,0
BNX.V,D,20221116,000000,148.4187,153.2788,147.6611,148.1621,3977.205393018007,0
BNX.V,D,20221117,000000,147.9637,153.1804,145.7009,152.6808,2239.1524656884244,0
BNX.V,D,20221118,000000,152.7838,155.3227,151.5756,154.9216,3256.4717758762918,0
BNX.V,D,20221119,000000,155.2166,156.7305,153.5279,154.4392,5302.985530165815,0
BNX.V,D,20221120,000000,154.639,157.598,152.6365,154.1669,4440.97194413215,0
BNX.V,D,20221121,000000,154.1638,158.5143,152.663,158.2115,3733.1560276913965,0
BNX.V,D,20221122,000000,158.0102,161.7878,146.0129,146.4211,15111.763006297244,0
BNX.V,D,20221123,000000,146.3213,162.8011,134.8393,156.7274,73471.83905171754,0
BNX.V,D,20221124,000000,157.0271,175.456,155.8284,171.8555,52189.625600881904,0
BNX.V,D,20221125,000000,171.5541,171.8624,155.7831,155.9126,17788.01942541503,0
BNX.V,D,20221126,000000,155.908,161.3934,147.3116,148.3124,9083.824846948473,0
BNX.V,D,20221127,000000,148.0126,148.5138,143.0156,146.0109,7820.379524050339,0
BNX.V,D,20221128,000000,146.008,148.12,144.0294,144.745,9141.668798266232,0
BNX.V,D,20221129,000000,144.8449,146.0226,139.944,140.0454,6046.200521817123,0
BNX.V,D,20221130,000000,139.9482,142.9385,136.3959,140.3084,11932.166508940029,0
BNX.V,D,20221201,000000,140.0126,141.0141,128.8026,129.2065,29620.95384059978,0
BNX.V,D,20221202,000000,129.4078,132.3119,125.2025,128.4077,33145.39346496159,0
BNX.V,D,20221203,000000,128.3077,134.1094,91.0091,91.8092,138190.51492605414,0
BNX.V,D,20221204,000000,92.5092,93.9188,57.3057,67.2067,263474.1051784627,0
BNX.V,D,20221205,000000,67.5135,74.7149,60.5054,61.6018,105135.29898478702,0
BNX.V,D,20221206,000000,61.6012,64.0019,59.1994,59.2988,19970.710082867874,0
BNX.V,D,20221207,000000,59.0988,60.3,55.2,57.5,28397.73931390569,0
BNX.V,D,20221208,000000,57.7,57.7,51.9052,52.4037,21509.610876191968,0
BNX.V,D,20221209,000000,52.3037,59.503,51.8995,54.7016,43758.65216895488,0
BNX.V,D,20221210,000000,54.8027,55.2994,51.39897,51.59948,22862.28995862164,0
BNX.V,D,20221211,000000,51.59897,52,48.8,50.10501,23195.140639973186,0
BNX.V,D,20221212,000000,50.11002,57.80751,50.10501,55.80391,24432.335064622224,0
BNX.V,D,20221213,000000,55.90503,57.2914,53.31546,57.0863,18462.458023191906,0
BNX.V,D,20221214,000000,57.1817,62.58748,56.88805,61.60493,24629.99446630488,0
BNX.V,D,20221215,000000,61.8,62.1,58.31166,60.31206,8976.102881299272,0
BNX.V,D,20221216,000000,60.30603,64.60646,59.71194,61.0061,15978.993822166203,0
BNX.V,D,20221217,000000,61.0061,62.01116,57.30516,60.70789,11627.983262494132,0
BNX.V,D,20221218,000000,60.8079,63.70701,58.70176,62.90755,11143.921833616996,0
