<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTRST.V,D,20220514,000000,2.92202,3.11844,2.85585,3.05241,105072.6310242697,0
BTRST.V,D,20220515,000000,3.05971,3.071,2.81462,2.89952,63384.51202170006,0
BTRST.V,D,20220516,000000,2.89852,2.91749,2.76912,2.77838,94014.4944584936,0
BTRST.V,D,20220517,000000,2.77838,2.8413,2.7624,2.78665,53427.87958842254,0
BTRST.V,D,20220518,000000,2.78737,2.79264,2.64156,2.64955,65017.025651516386,0
BTRST.V,D,20220519,000000,2.64955,2.68758,2.59314,2.62038,43864.94468376346,0
BTRST.V,D,20220520,000000,2.61564,2.6351,2.51772,2.51997,50988.01896106476,0
BTRST.V,D,20220521,000000,2.52397,2.52597,2.48102,2.49375,51882.59082048111,0
BTRST.V,D,20220522,000000,2.48951,2.52197,2.4578,2.51897,55742.832081935216,0
BTRST.V,D,20220523,000000,2.51897,2.55045,2.42409,2.48177,55476.31911749447,0
BTRST.V,D,20220524,000000,2.48002,2.59914,2.40335,2.48377,61698.64861007254,0
BTRST.V,D,20220525,000000,2.48477,2.52471,2.42433,2.47128,48287.4290485626,0
BTRST.V,D,20220526,000000,2.46504,2.47103,1.20455,2.43556,55129.15841699656,0
BTRST.V,D,20220527,000000,2.42857,3.41558,2.42158,2.68105,243588.4232993798,0
BTRST.V,D,20220528,000000,2.68132,2.72062,2.0338,2.51808,66547.38098838022,0
BTRST.V,D,20220529,000000,2.52599,2.52699,2.37736,2.39046,72207.33516719143,0
BTRST.V,D,20220530,000000,2.3936,2.49475,2.38835,2.46003,60825.82038947732,0
BTRST.V,D,20220531,000000,2.46727,2.49875,2.42906,2.45803,54421.8044309441,0
BTRST.V,D,20220601,000000,2.45104,2.45903,2.37886,2.38285,62219.72585622377,0
BTRST.V,D,20220602,000000,2.37986,2.40983,2.37962,2.39085,65117.901688189835,0
BTRST.V,D,20220603,000000,2.39085,2.442,2.37486,2.39591,49485.03320870373,0
BTRST.V,D,20220604,000000,2.39591,2.43607,2.36908,2.43018,53435.91300729919,0
BTRST.V,D,20220605,000000,2.43415,2.46678,2.31986,2.32281,89379.42116567296,0
BTRST.V,D,20220606,000000,2.32681,2.41799,2.32379,2.37101,287572.8054009684,0
BTRST.V,D,20220607,000000,2.36703,2.37105,2.27538,2.3141,229974.6622235913,0
BTRST.V,D,20220608,000000,2.32026,2.40063,1.70679,2.254,363056.7322674055,0
BTRST.V,D,20220609,000000,2.25833,2.37101,2.15725,2.36599,426856.81336678204,0
BTRST.V,D,20220610,000000,2.37629,2.39891,2.35714,2.38397,832716.0477292639,0
BTRST.V,D,20220611,000000,2.3825,2.39627,2.337,2.35232,53282.798084073955,0
BTRST.V,D,20220612,000000,2.34734,2.41814,2.34734,2.39805,67128.27647802175,0
BTRST.V,D,20220613,000000,2.39702,2.40701,2,2.024,1767289.752635526,0
BTRST.V,D,20220614,000000,2.021,2.031,1.781,1.802,2469752.3087050435,0
BTRST.V,D,20220615,000000,1.806,1.857,1.725,1.783,1865256.957536597,0
BTRST.V,D,20220616,000000,1.75507,1.85,1.7,1.723,64940.109339396295,0
BTRST.V,D,20220617,000000,1.69765,1.71661,1.568,1.582,11413978.235278143,0
BTRST.V,D,20220618,000000,1.583,1.626,1.306,1.35,3384591.833100576,0
BTRST.V,D,20220619,000000,1.35349,1.49356,1.30398,1.43078,692715.1319168111,0
BTRST.V,D,20220620,000000,1.43234,1.57011,1.40991,1.46714,243172.79495878625,0
BTRST.V,D,20220621,000000,1.46728,3.95654,1.46564,2.619,974954.5733084802,0
BTRST.V,D,20220622,000000,2.627,2.834,1.898,2.006,780745.3254734338,0
BTRST.V,D,20220623,000000,1.989,2.103,1.841,1.862,230525.31599456636,0
BTRST.V,D,20220624,000000,1.87412,2.001,1.85,1.888,1461168.9855154785,0
BTRST.V,D,20220625,000000,1.894,1.91,1.676,1.837,385898.77659598365,0
BTRST.V,D,20220626,000000,1.853,1.918,1.678,1.884,205499.51004482893,0
BTRST.V,D,20220627,000000,1.875,1.883,1.634,1.649,88502.49673512964,0
BTRST.V,D,20220628,000000,1.65045,2.08545,1.58468,1.7888,330753.6786821205,0
BTRST.V,D,20220629,000000,1.73884,2.36513,1.6,1.894,464687.5642287356,0
BTRST.V,D,20220630,000000,1.892,2.13728,1.749,1.899,428327.6507767767,0
BTRST.V,D,20220701,000000,1.9117,2.035,1.84378,2.001,508092.8255986835,0
BTRST.V,D,20220702,000000,2.004,2.103,1.935,1.997,253176.16324045672,0
BTRST.V,D,20220703,000000,2.004,2.069,1.957,2.039,177537.33132424357,0
BTRST.V,D,20220704,000000,2.04434,2.06531,1.95265,2.02257,55336.9376187632,0
BTRST.V,D,20220705,000000,2.01758,2.13465,1.96863,2.04774,123853.13540259661,0
BTRST.V,D,20220706,000000,2.05374,2.13665,2.02377,2.07472,61336.79007455643,0
BTRST.V,D,20220707,000000,2.07472,2.11767,2.02377,2.08475,38634.70058757983,0
BTRST.V,D,20220708,000000,2.08475,2.11488,2.07875,2.09174,39890.431247350156,0
BTRST.V,D,20220709,000000,2.09474,2.11673,2.08075,2.10973,35194.14626918127,0
BTRST.V,D,20220710,000000,2.11052,2.11773,2.05956,2.09774,85409.75216950876,0
BTRST.V,D,20220711,000000,2.10074,2.11352,2.06976,2.09311,36452.21638601827,0
BTRST.V,D,20220712,000000,2.09291,2.10211,2.02377,2.05274,48713.382102510506,0
BTRST.V,D,20220713,000000,2.04603,2.07992,1.82036,1.82036,62006.287200085535,0
BTRST.V,D,20220714,000000,1.83435,2.27064,1.72145,2.15471,112951.34307177449,0
BTRST.V,D,20220715,000000,2.14171,3.22606,2.07817,2.19712,329945.52797874925,0
BTRST.V,D,20220716,000000,2.19134,2.52949,2.17813,2.36529,76015.41981657708,0
BTRST.V,D,20220717,000000,2.36053,2.39252,2.17343,2.2124,43135.685949906736,0
BTRST.V,D,20220718,000000,2.21642,2.53729,1.75446,2.31644,44344.86815673824,0
BTRST.V,D,20220719,000000,2.31347,2.46746,2.27582,2.33337,48306.47055294352,0
BTRST.V,D,20220720,000000,2.334,2.37817,2.26707,2.28711,51814.45852827151,0
BTRST.V,D,20220721,000000,2.27825,2.29034,2.25295,2.2715,34505.836297243535,0
BTRST.V,D,20220722,000000,2.27657,2.28809,2.25547,2.2635,53143.663049437266,0
BTRST.V,D,20220723,000000,2.26652,2.27061,2.19498,2.23929,42898.08995727557,0
BTRST.V,D,20220724,000000,2.23843,2.26448,2.206,2.25545,40354.773158842436,0
BTRST.V,D,20220725,000000,2.25843,2.31516,2.15017,2.2012,57658.09527022115,0
BTRST.V,D,20220726,000000,2.1932,2.26023,2.17422,2.20133,62090.185495037564,0
BTRST.V,D,20220727,000000,2.19631,2.22353,2.03849,2.19651,75181.64470346255,0
BTRST.V,D,20220728,000000,2.19753,2.28346,1.52403,2.25445,248774.02061749474,0
BTRST.V,D,20220729,000000,2.25445,2.26361,0.9633,2.02783,219041.6027983894,0
BTRST.V,D,20220730,000000,2.03381,2.19977,2.00978,2.1227,66431.93683230024,0
BTRST.V,D,20220731,000000,2.11374,2.30558,2.0706,2.26952,95229.7363572984,0
BTRST.V,D,20220801,000000,2.27555,2.32968,2.20353,2.26068,59407.19802058897,0
BTRST.V,D,20220802,000000,2.26068,2.30078,2.16654,2.2104,66444.58797719024,0
BTRST.V,D,20220803,000000,2.21338,2.22447,2.13341,2.20055,56321.13920621386,0
BTRST.V,D,20220804,000000,2.20448,2.23054,2.14506,2.14506,48133.12267496376,0
BTRST.V,D,20220805,000000,2.14506,2.19544,2.09598,2.18044,71498.7618838431,0
BTRST.V,D,20220806,000000,2.17041,2.21551,2.17041,2.21251,49768.403449442245,0
BTRST.V,D,20220807,000000,2.21649,2.58457,2.1103,2.2404,136379.43089369216,0
BTRST.V,D,20220808,000000,2.24343,2.30048,2.19635,2.21227,48313.33327085806,0
BTRST.V,D,20220809,000000,2.21227,2.50843,2.12034,2.13245,109021.09031018622,0
BTRST.V,D,20220810,000000,2.13843,2.22051,2.09557,2.19666,86759.83809014945,0
BTRST.V,D,20220811,000000,2.19188,2.2148,2.18968,2.19503,71547.64299540833,0
BTRST.V,D,20220812,000000,2.1951,2.2051,2.15173,2.16299,57789.64179078903,0
BTRST.V,D,20220813,000000,2.16297,2.20506,2.15986,2.18988,56193.54872893137,0
BTRST.V,D,20220814,000000,2.19285,2.19773,2.10548,2.10665,79838.8290722906,0
BTRST.V,D,20220815,000000,2.10684,2.10965,1.96449,2.03547,103284.47244150419,0
BTRST.V,D,20220816,000000,2.03551,2.04259,2.02932,2.03418,72462.28619412119,0
BTRST.V,D,20220817,000000,2.03718,2.04729,2.03104,2.03414,86634.59493343967,0
BTRST.V,D,20220818,000000,2.03214,2.03431,2.00902,2.00902,77719.24479720528,0
BTRST.V,D,20220819,000000,2.0092,2.0182,1.892,1.89819,81062.31825046906,0
BTRST.V,D,20220820,000000,1.89609,1.93319,1.89187,1.90998,41730.258986842215,0
BTRST.V,D,20220821,000000,1.91096,1.96506,1.90977,1.92496,38009.0905531603,0
BTRST.V,D,20220822,000000,1.92494,1.92508,1.8206,1.82869,78518.70337939142,0
BTRST.V,D,20220823,000000,1.83067,1.95404,1.82867,1.93404,62967.18064134157,0
BTRST.V,D,20220824,000000,1.934,1.965,1.93002,1.93417,38200.45313221685,0
BTRST.V,D,20220825,000000,1.93417,1.9411,1.89892,1.90806,40215.24316873621,0
BTRST.V,D,20220826,000000,1.90506,2.8962,1.90487,2.53225,238800.90741891167,0
BTRST.V,D,20220827,000000,2.52523,3.01594,1.92704,1.96606,393773.73033198307,0
BTRST.V,D,20220828,000000,1.96406,2.13502,1.90808,1.94,115674.72447579786,0
BTRST.V,D,20220829,000000,1.93598,2.06,1.88221,1.90513,105096.39778052064,0
BTRST.V,D,20220830,000000,1.90519,2.05102,1.85909,1.86417,87313.50396497505,0
BTRST.V,D,20220831,000000,1.86015,1.97726,1.85911,1.96698,48319.20021118081,0
BTRST.V,D,20220901,000000,1.96898,1.98792,1.82598,1.91389,89807.35503759538,0
BTRST.V,D,20220902,000000,1.91389,1.93914,1.83002,1.90223,88513.56171436493,0
BTRST.V,D,20220903,000000,1.8973,1.93,1.89128,1.90619,65762.66591913969,0
BTRST.V,D,20220904,000000,1.907,1.9562,1.897,1.941,64884.64198251873,0
BTRST.V,D,20220905,000000,1.947,1.9632,1.904,1.9542,60077.34122511058,0
BTRST.V,D,20220906,000000,1.95019,1.959,1.89081,1.897,111771.91217486776,0
BTRST.V,D,20220907,000000,1.895,1.94021,1.88515,1.94014,109306.79215485785,0
