<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C98.V,D,20220514,000000,0.512128,0.514124,0.512128,0.513126,7116.2623889656,0
C98.V,D,20220515,000000,0.49231,0.535357,0.482276,0.535357,1315346.8700172,0
C98.V,D,20220516,000000,0.537354,0.553391,0.478377,0.503345,1218952.7056267,0
C98.V,D,20220517,000000,0.505342,0.531415,0.475334,0.514331,1344696.3825506,0
C98.V,D,20220518,000000,0.51638,0.543347,0.464396,0.470388,1953206.4158809,0
C98.V,D,20220519,000000,0.473384,0.511539,0.448461,0.489559,1311730.0248303,0
C98.V,D,20220520,000000,0.48856,0.50844,0.463397,0.475429,1852384.5539372,0
C98.V,D,20220521,000000,0.477426,0.655147,0.476428,0.651152,7721225.1009126,0
C98.V,D,20220522,000000,0.650154,0.673124,0.567262,0.59129,21651929.262868,0
C98.V,D,20220523,000000,0.595285,0.698231,0.593287,0.650219,13273365.263974,0
C98.V,D,20220524,000000,0.648221,0.705082,0.604274,0.6911,9147772.8607511,0
C98.V,D,20220525,000000,0.694097,0.762008,0.647222,0.662204,8015505.2136886,0
C98.V,D,20220526,000000,0.662271,0.695234,0.567375,0.603396,5991541.4266342,0
C98.V,D,20220527,000000,0.603396,0.607392,0.530416,0.542457,3562753.7091019,0
C98.V,D,20220528,000000,0.54338,0.568397,0.529343,0.559345,1904070.3993254,0
C98.V,D,20220529,000000,0.558329,0.57237,0.523476,0.564379,2693816.9641812,0
C98.V,D,20220530,000000,0.564373,0.751474,0.561382,0.698441,8420469.0769855,0
C98.V,D,20220531,000000,0.69951,0.863309,0.68452,0.693445,15287086.633982,0
C98.V,D,20220601,000000,0.694444,0.719424,0.619318,0.634428,4308376.4037577,0
C98.V,D,20220602,000000,0.633429,0.650414,0.613386,0.639424,2499104.4044479,0
C98.V,D,20220603,000000,0.640423,0.654411,0.581348,0.600477,3252737.107453,0
C98.V,D,20220604,000000,0.600477,0.61853,0.572404,0.616531,7339328.5293622,0
C98.V,D,20220605,000000,0.61753,0.653398,0.607574,0.6374,6453046.1408738,0
C98.V,D,20220606,000000,0.6374,0.76239,0.633404,0.726389,28568062.723441,0
C98.V,D,20220607,000000,0.723385,0.747424,0.675425,0.714414,29498613.136346,0
C98.V,D,20220608,000000,0.715406,0.741555,0.671503,0.708539,15705319.500347,0
C98.V,D,20220609,000000,0.708539,0.736418,0.684493,0.709404,9600142.3497232,0
C98.V,D,20220610,000000,0.710403,0.789392,0.652288,0.66815,25437225.604236,0
C98.V,D,20220611,000000,0.669149,0.70924,0.594262,0.609311,8289419.5206435,0
C98.V,D,20220612,000000,0.609311,0.625293,0.53125,0.570298,6688436.7805805,0
C98.V,D,20220613,000000,0.567296,0.567296,0.420369,0.453369,66075513.481465,0
C98.V,D,20220614,000000,0.453373,0.515211,0.424363,0.468437,86596191.898955,0
C98.V,D,20220615,000000,0.466435,0.521426,0.433219,0.51922,115802413.232,0
C98.V,D,20220616,000000,0.52,0.5244,0.4629,0.4821,6835492.5269695,0
C98.V,D,20220617,000000,0.473341,0.5168,0.473336,0.497802,60014242.978062,0
C98.V,D,20220618,000000,0.4994,0.5132,0.428365,0.451268,46194720.859398,0
C98.V,D,20220619,000000,0.451268,0.500399,0.441364,0.490362,29211967.298765,0
C98.V,D,20220620,000000,0.4902,0.527419,0.4727,0.500449,8880784.5161816,0
C98.V,D,20220621,000000,0.497452,0.574425,0.496404,0.530416,5467114.3982217,0
C98.V,D,20220622,000000,0.529417,0.5994,0.50844,0.518481,12839518.760923,0
C98.V,D,20220623,000000,0.517482,0.557442,0.50949,0.524475,5098068.6900579,0
C98.V,D,20220624,000000,0.525474,0.553573,0.525474,0.548572,16171970.764246,0
C98.V,D,20220625,000000,0.548572,0.562578,0.51365,0.541621,17276877.78243,0
C98.V,D,20220626,000000,0.541621,0.562606,0.525679,0.539665,12449134.326705,0
C98.V,D,20220627,000000,0.539665,0.539665,0.486547,0.506544,2776051.0740175,0
C98.V,D,20220628,000000,0.50555,0.512508,0.47551,0.489397,3034966.3279379,0
C98.V,D,20220629,000000,0.487395,0.488418,0.457395,0.472428,4123802.6509538,0
C98.V,D,20220630,000000,0.47443,0.477422,0.430461,0.44946,11317846.346408,0
C98.V,D,20220701,000000,0.451458,0.482469,0.446464,0.4688,11423982.607484,0
C98.V,D,20220702,000000,0.468,0.4789,0.4519,0.476,3881047.1052959,0
C98.V,D,20220703,000000,0.478425,0.481422,0.457359,0.472385,2085634.0819198,0
C98.V,D,20220705,000000,0.484418,0.49945,0.466486,0.495454,1270333.2189527,0
C98.V,D,20220706,000000,0.493457,0.514433,0.471434,0.505443,5369904.8008641,0
C98.V,D,20220707,000000,0.50844,0.527472,0.498451,0.519688,2457337.7092965,0
