<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEL.V,D,20180718,000000,0.1097,0.1149,0.1053,0.1149,0,0
CEL.V,D,20180719,000000,0.1149,0.1781,0.104,0.1218,0,0
CEL.V,D,20180720,000000,0.1218,0.1569,0.09426,0.1436,0,0
CEL.V,D,20180721,000000,0.1436,0.1475,0.1139,0.1153,0,0
CEL.V,D,20180722,000000,0.1153,0.1273,0.1038,0.1158,0,0
CEL.V,D,20180723,000000,0.1158,0.1421,0.1138,0.1147,0,0
CEL.V,D,20180724,000000,0.1371,0.1462,0.1194,0.1319,0,0
CEL.V,D,20180725,000000,0.1318,0.1318,0.1047,0.1178,0,0
CEL.V,D,20180726,000000,0.1178,0.1302,0.115,0.1279,0,0
CEL.V,D,20180727,000000,0.1279,0.1409,0.1186,0.1287,0,0
CEL.V,D,20180728,000000,0.1287,0.1375,0.1224,0.1349,0,0
CEL.V,D,20180729,000000,0.1349,0.1385,0.1222,0.1319,0,0
CEL.V,D,20180730,000000,0.1319,0.1346,0.1107,0.1277,0,0
CEL.V,D,20180731,000000,0.1277,0.1339,0.1156,0.1159,0,0
CEL.V,D,20180801,000000,0.1159,0.1302,0.1107,0.1226,0,0
CEL.V,D,20180802,000000,0.1226,0.1226,0.1134,0.1134,0,0
CEL.V,D,20180803,000000,0.1134,0.129,0.1046,0.1245,0,0
CEL.V,D,20180804,000000,0.1245,0.1245,0.1141,0.1195,0,0
CEL.V,D,20180805,000000,0.1195,0.1218,0.109,0.1218,0,0
CEL.V,D,20180806,000000,0.1218,0.1255,0.1199,0.1199,0,0
CEL.V,D,20180807,000000,0.1199,0.1199,0.1012,0.1017,0,0
CEL.V,D,20180808,000000,0.1017,0.1017,0.08711,0.09707,0,0
CEL.V,D,20180809,000000,0.09707,0.1051,0.09088,0.105,0,0
CEL.V,D,20180810,000000,0.105,0.105,0.08289,0.09387,0,0
CEL.V,D,20180811,000000,0.09386,0.09467,0.08637,0.0864,0,0
CEL.V,D,20180812,000000,0.0864,0.08645,0.07955,0.08623,0,0
CEL.V,D,20180813,000000,0.08623,0.08623,0.04829,0.07101,0,0
CEL.V,D,20180814,000000,0.07101,0.07101,0.05608,0.06674,0,0
CEL.V,D,20180815,000000,0.06674,0.06744,0.06187,0.06609,0,0
CEL.V,D,20180816,000000,0.06609,0.0686,0.05879,0.06826,0,0
CEL.V,D,20180818,000000,0.07558,0.07558,0.07017,0.07283,0,0
CEL.V,D,20180819,000000,0.07283,0.07401,0.0643,0.07191,0,0
CEL.V,D,20180820,000000,0.07191,0.07312,0.0559,0.06334,0,0
CEL.V,D,20180821,000000,0.06333,0.06576,0.06227,0.06227,0,0
CEL.V,D,20180822,000000,0.06227,0.08111,0.05989,0.06219,0,0
CEL.V,D,20180823,000000,0.06289,0.07207,0.06289,0.0654,0,0
CEL.V,D,20180824,000000,0.0654,0.06941,0.06514,0.06941,0,0
CEL.V,D,20180825,000000,0.06941,0.06941,0.06356,0.06503,0,0
CEL.V,D,20180826,000000,0.06503,0.06503,0.06367,0.06367,0,0
CEL.V,D,20180827,000000,0.06367,0.07255,0.05818,0.07255,0,0
CEL.V,D,20180828,000000,0.07255,0.07445,0.07117,0.07117,0,0
CEL.V,D,20180829,000000,0.07117,0.07269,0.06501,0.07217,0,0
CEL.V,D,20180830,000000,0.07217,0.07217,0.06393,0.06393,0,0
CEL.V,D,20180831,000000,0.06393,0.07027,0.06337,0.06377,0,0
CEL.V,D,20180901,000000,0.06377,0.06793,0.06377,0.06678,0,0
