<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHR.V,D,20220514,000000,0.238294,0.239592,0.196207,0.21318,9284859.4560018,0
CHR.V,D,20220515,000000,0.213001,0.246204,0.211283,0.245181,12553254.145736,0
CHR.V,D,20220516,000000,0.245205,0.252522,0.213501,0.225906,13335162.368324,0
CHR.V,D,20220517,000000,0.226405,0.238338,0.217373,0.232198,7123079.4916314,0
CHR.V,D,20220518,000000,0.232397,0.236815,0.205832,0.206631,7418316.8592088,0
CHR.V,D,20220519,000000,0.206411,0.226096,0.191151,0.213886,6295899.3113393,0
CHR.V,D,20220520,000000,0.213608,0.225552,0.201937,0.208749,5865592.5677306,0
CHR.V,D,20220521,000000,0.209648,0.2304,0.206152,0.22301,7677530.1856771,0
CHR.V,D,20220522,000000,0.222588,0.237491,0.21634,0.220335,12578230.485148,0
CHR.V,D,20220523,000000,0.221534,0.23634,0.215563,0.222932,9391199.5187957,0
CHR.V,D,20220524,000000,0.22291,0.22291,0.203276,0.221711,7637482.9182251,0
CHR.V,D,20220525,000000,0.222089,0.225929,0.210268,0.217061,7705430.2789652,0
CHR.V,D,20220526,000000,0.216961,0.219958,0.193287,0.206772,8302640.2769512,0
CHR.V,D,20220527,000000,0.207372,0.210689,0.19079,0.197582,8196716.1172327,0
CHR.V,D,20220528,000000,0.197275,0.208291,0.197159,0.206059,5107474.7434781,0
CHR.V,D,20220529,000000,0.204856,0.212574,0.200901,0.212566,4309743.4121893,0
CHR.V,D,20220530,000000,0.212566,0.244329,0.210778,0.239132,10224548.866681,0
CHR.V,D,20220531,000000,0.239033,0.292995,0.235911,0.260965,45772929.919424,0
CHR.V,D,20220601,000000,0.260891,0.269584,0.224752,0.226996,8977047.5540861,0
CHR.V,D,20220602,000000,0.226896,0.241982,0.224875,0.241183,6019037.9717714,0
CHR.V,D,20220603,000000,0.240783,0.244604,0.219227,0.2326,4711018.1797554,0
CHR.V,D,20220604,000000,0.232498,0.238499,0.225374,0.233425,11233002.176445,0
CHR.V,D,20220605,000000,0.233525,0.235895,0.22361,0.23378,9436849.4085249,0
CHR.V,D,20220606,000000,0.23418,0.244897,0.225111,0.232405,25530085.790357,0
CHR.V,D,20220607,000000,0.232005,0.238109,0.214622,0.236106,17514586.931934,0
CHR.V,D,20220608,000000,0.237003,0.241217,0.221556,0.239544,19084065.794048,0
CHR.V,D,20220609,000000,0.239844,0.24691,0.226605,0.231705,19385879.160803,0
CHR.V,D,20220610,000000,0.231603,0.23711,0.212466,0.219321,21123742.307219,0
CHR.V,D,20220611,000000,0.218722,0.219867,0.191762,0.198575,8870318.8635007,0
CHR.V,D,20220612,000000,0.198873,0.202467,0.176551,0.189666,11687771.289538,0
CHR.V,D,20220613,000000,0.189165,0.189165,0.150651,0.166071,44579823.360156,0
CHR.V,D,20220614,000000,0.16627,0.175233,0.151774,0.15781,75921093.121506,0
CHR.V,D,20220615,000000,0.157711,0.173908,0.150731,0.17304,67836328.257533,0
CHR.V,D,20220616,000000,0.17324,0.177205,0.156712,0.16159,26883885.768114,0
CHR.V,D,20220617,000000,0.15788,0.170761,0.155785,0.1665,27922322.692835,0
CHR.V,D,20220618,000000,0.167101,0.171298,0.147845,0.157744,70803443.708896,0
CHR.V,D,20220619,000000,0.157643,0.17479,0.153579,0.171494,36191394.681989,0
CHR.V,D,20220620,000000,0.1714,0.181464,0.16435,0.176406,10689525.513299,0
CHR.V,D,20220621,000000,0.176506,0.206373,0.173991,0.196584,11947216.526976,0
CHR.V,D,20220622,000000,0.197083,0.202098,0.182699,0.194405,9641880.0954503,0
CHR.V,D,20220623,000000,0.194006,0.212887,0.19099,0.206293,8671140.4905076,0
CHR.V,D,20220624,000000,0.206793,0.224009,0.206194,0.222127,16533059.132848,0
CHR.V,D,20220625,000000,0.222477,0.229839,0.214156,0.223643,11490056.257281,0
CHR.V,D,20220626,000000,0.223643,0.237538,0.210873,0.217867,13121831.895188,0
CHR.V,D,20220627,000000,0.217467,0.219577,0.203812,0.208314,6568526.5947324,0
CHR.V,D,20220628,000000,0.208104,0.214789,0.198827,0.203855,6327098.6541472,0
CHR.V,D,20220629,000000,0.204047,0.205047,0.193498,0.201855,8146242.9757999,0
CHR.V,D,20220630,000000,0.201758,0.203655,0.17328,0.179185,23926972.54061,0
CHR.V,D,20220701,000000,0.179784,0.192987,0.177487,0.181482,9191947.2524669,0
CHR.V,D,20220702,000000,0.181282,0.1825,0.173109,0.180883,6065051.9201255,0
CHR.V,D,20220703,000000,0.181082,0.181182,0.173374,0.178368,3299257.3022724,0
CHR.V,D,20220704,000000,0.179167,0.187075,0.174772,0.185877,7236677.8663912,0
CHR.V,D,20220705,000000,0.185277,0.189273,0.173509,0.182081,7250695.2862644,0
CHR.V,D,20220706,000000,0.1818,0.182699,0.176306,0.180501,7621486.6851166,0
CHR.V,D,20220707,000000,0.180901,0.193645,0.180683,0.191685,5778762.3811513,0
CHR.V,D,20220708,000000,0.192285,0.197481,0.184371,0.186488,5210447.3136118,0
CHR.V,D,20220709,000000,0.185888,0.199061,0.184689,0.195583,4751857.9078457,0
CHR.V,D,20220710,000000,0.195063,0.195882,0.18289,0.186388,4064543.0013518,0
CHR.V,D,20220711,000000,0.185888,0.185888,0.171528,0.172545,3871773.822427,0
CHR.V,D,20220712,000000,0.171845,0.173526,0.165151,0.167432,5684217.6347124,0
CHR.V,D,20220713,000000,0.167339,0.173526,0.159041,0.168149,10429089.643346,0
CHR.V,D,20220714,000000,0.168049,0.177194,0.165451,0.173096,8991885.3191516,0
CHR.V,D,20220715,000000,0.173296,0.180991,0.173196,0.177247,8487260.6582045,0
CHR.V,D,20220716,000000,0.177447,0.183663,0.171549,0.179164,9156797.1325563,0
CHR.V,D,20220717,000000,0.179352,0.195941,0.178953,0.189851,34552744.310244,0
CHR.V,D,20220718,000000,0.190249,0.20318,0.185239,0.197055,18205881.351606,0
CHR.V,D,20220719,000000,0.196953,0.216733,0.196053,0.215634,20101789.973593,0
CHR.V,D,20220720,000000,0.2155,0.218822,0.194296,0.20141,17163123.08164,0
CHR.V,D,20220721,000000,0.201412,0.202204,0.189323,0.198348,12116020.950642,0
CHR.V,D,20220722,000000,0.198348,0.205339,0.189138,0.191742,12729221.879214,0
CHR.V,D,20220723,000000,0.1915,0.19641,0.186517,0.190538,9882710.7356966,0
CHR.V,D,20220724,000000,0.190419,0.200182,0.190419,0.197337,6267247.7329409,0
CHR.V,D,20220725,000000,0.197237,0.19854,0.180022,0.183617,9110209.8130967,0
CHR.V,D,20220726,000000,0.183316,0.183618,0.172198,0.176326,7424957.6642662,0
CHR.V,D,20220727,000000,0.1763,0.191748,0.1763,0.191546,10263660.868987,0
CHR.V,D,20220728,000000,0.191446,0.224449,0.190802,0.220444,49719111.282166,0
CHR.V,D,20220729,000000,0.220444,0.227189,0.211461,0.218487,19539297.325179,0
CHR.V,D,20220730,000000,0.218289,0.231779,0.216173,0.216772,22373708.27958,0
CHR.V,D,20220731,000000,0.216374,0.227659,0.21316,0.21705,14124411.113621,0
CHR.V,D,20220801,000000,0.216965,0.217565,0.202941,0.205362,20222841.984082,0
CHR.V,D,20220802,000000,0.205362,0.210882,0.19476,0.203235,15052053.965746,0
CHR.V,D,20220803,000000,0.203039,0.20756,0.19265,0.204649,13748419.025036,0
CHR.V,D,20220804,000000,0.204847,0.207439,0.197014,0.197806,10160888.188612,0
CHR.V,D,20220805,000000,0.197606,0.218915,0.197206,0.214241,20308891.801044,0
CHR.V,D,20220806,000000,0.214141,0.221513,0.21293,0.215847,8855974.745258,0
CHR.V,D,20220807,000000,0.215647,0.219042,0.210751,0.217841,6389462.233026,0
CHR.V,D,20220808,000000,0.217941,0.234745,0.214736,0.230528,16402451.062036,0
CHR.V,D,20220809,000000,0.230328,0.234523,0.212347,0.217443,19343386.187321,0
CHR.V,D,20220810,000000,0.217443,0.247742,0.213455,0.237569,20861904.043462,0
CHR.V,D,20220811,000000,0.237669,0.239867,0.224799,0.227007,16490755.515121,0
CHR.V,D,20220812,000000,0.227007,0.227007,0.216308,0.220701,25190288.359124,0
CHR.V,D,20220813,000000,0.220802,0.227712,0.217796,0.220088,15734859.206305,0
CHR.V,D,20220814,000000,0.219886,0.225477,0.206156,0.209463,16856161.280375,0
CHR.V,D,20220815,000000,0.209284,0.21935,0.206552,0.211551,24530962.56643,0
CHR.V,D,20220816,000000,0.211453,0.215941,0.206249,0.213019,13219099.15275,0
CHR.V,D,20220817,000000,0.213019,0.218031,0.193814,0.195914,20011201.587462,0
CHR.V,D,20220818,000000,0.195616,0.197714,0.189717,0.192302,18451306.112355,0
CHR.V,D,20220819,000000,0.192119,0.192419,0.165,0.1682,27441614.560411,0
CHR.V,D,20220820,000000,0.168608,0.17471,0.162587,0.1668,15720526.112741,0
CHR.V,D,20220821,000000,0.166697,0.177093,0.166195,0.174895,10297691.901999,0
CHR.V,D,20220822,000000,0.174797,0.175704,0.161589,0.164772,8631694.928823,0
CHR.V,D,20220823,000000,0.164975,0.174198,0.164974,0.173202,10511193.112299,0
CHR.V,D,20220824,000000,0.1732,0.177409,0.168993,0.174516,9866661.8354159,0
CHR.V,D,20220825,000000,0.174716,0.180104,0.171112,0.176905,13601132.15207,0
CHR.V,D,20220826,000000,0.177105,0.197716,0.165295,0.168217,72381253.007617,0
CHR.V,D,20220827,000000,0.167815,0.181105,0.161119,0.169205,32838710.809969,0
CHR.V,D,20220828,000000,0.168903,0.171902,0.162789,0.165598,17618285.008997,0
CHR.V,D,20220829,000000,0.1656,0.173405,0.156291,0.17281,13528300.445109,0
CHR.V,D,20220830,000000,0.172714,0.183815,0.172316,0.180816,19551636.671144,0
CHR.V,D,20220831,000000,0.180914,0.188625,0.175707,0.181098,19781389.094399,0
CHR.V,D,20220901,000000,0.181198,0.188107,0.175017,0.180912,25410169.471186,0
CHR.V,D,20220902,000000,0.180718,0.184208,0.17472,0.176286,63939958.518501,0
CHR.V,D,20220903,000000,0.176196,0.180555,0.172408,0.1738,54881776.803076,0
CHR.V,D,20220904,000000,0.173632,0.179545,0.173486,0.178357,30875649.350824,0
CHR.V,D,20220905,000000,0.17875,0.181718,0.1756,0.181318,4225113.0965206,0
CHR.V,D,20220906,000000,0.181318,0.1924,0.1776,0.1813,22924498.347096,0
CHR.V,D,20220907,000000,0.1813,0.185617,0.167998,0.177312,21068478.180453,0
CHR.V,D,20220908,000000,0.1773,0.179405,0.172217,0.176626,10283768.819229,0
CHR.V,D,20220909,000000,0.176628,0.187237,0.176019,0.185063,7781139.8088782,0
CHR.V,D,20220910,000000,0.184868,0.191881,0.182964,0.184535,12712565.3928,0
CHR.V,D,20220911,000000,0.184635,0.189068,0.181444,0.182344,11659803.108016,0
CHR.V,D,20220912,000000,0.182246,0.189449,0.18044,0.183737,11781030.620261,0
CHR.V,D,20220913,000000,0.183633,0.184633,0.164211,0.166203,18303715.630821,0
CHR.V,D,20220914,000000,0.166003,0.166212,0.158002,0.162741,13060972.235311,0
CHR.V,D,20220915,000000,0.162641,0.164038,0.153968,0.156884,11996450.311612,0
CHR.V,D,20220916,000000,0.156889,0.157584,0.152585,0.156784,8378326.2420586,0
CHR.V,D,20220917,000000,0.156684,0.169917,0.156584,0.1672,16546137.685662,0
CHR.V,D,20220918,000000,0.167,0.1686,0.145385,0.1482,14314344.891632,0
CHR.V,D,20220919,000000,0.148,0.156616,0.143586,0.155131,23517570.664768,0
CHR.V,D,20220920,000000,0.155116,0.156316,0.143414,0.144014,16612422.655009,0
CHR.V,D,20220921,000000,0.1438,0.150915,0.1373,0.1389,29591727.936077,0
CHR.V,D,20220922,000000,0.1393,0.1482,0.137014,0.1467,10121948.699362,0
CHR.V,D,20220923,000000,0.1467,0.1539,0.144186,0.1526,14363846.644549,0
CHR.V,D,20220924,000000,0.152889,0.155211,0.150798,0.152112,10541029.633758,0
CHR.V,D,20220925,000000,0.152,0.152908,0.146204,0.1463,8304903.807044,0
CHR.V,D,20220926,000000,0.1462,0.1503,0.1433,0.1483,11436153.586643,0
CHR.V,D,20220927,000000,0.1482,0.1567,0.147185,0.148385,9002813.9966635,0
CHR.V,D,20220928,000000,0.1483,0.150785,0.141986,0.1501,11401604.428489,0
CHR.V,D,20220929,000000,0.1501,0.1511,0.1462,0.150115,7337962.9856916,0
