<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRTS.V,D,20220516,000000,0.00244996,0.00252652,0.00240846,0.0024178,1833024.5080513,0
CRTS.V,D,20220517,000000,0.00250454,0.00252832,0.00241611,0.00252557,8423917.7772148,0
CRTS.V,D,20220518,000000,0.00252357,0.00253076,0.00245351,0.00246549,10957165.409771,0
CRTS.V,D,20220519,000000,0.00244617,0.00246879,0.00186295,0.00212737,13507665.399251,0
CRTS.V,D,20220520,000000,0.00212767,0.00242567,0.00206691,0.00209718,13333360.049211,0
CRTS.V,D,20220521,000000,0.00209329,0.00239712,0.00204964,0.00212743,14815590.253636,0
CRTS.V,D,20220522,000000,0.00212853,0.00213392,0.00200978,0.00201048,8470431.7963417,0
CRTS.V,D,20220523,000000,0.00201158,0.00209769,0.00198202,0.00201957,8039192.3666769,0
CRTS.V,D,20220524,000000,0.00201058,0.00204375,0.00189491,0.00190133,5461025.1364123,0
CRTS.V,D,20220525,000000,0.00190053,0.00193687,0.00180983,0.00180983,9102184.1993432,0
CRTS.V,D,20220526,000000,0.00183897,0.00206273,0.00161322,0.00182318,10732744.075956,0
CRTS.V,D,20220527,000000,0.00183866,0.00192607,0.00163037,0.00176523,13397137.056833,0
CRTS.V,D,20220528,000000,0.00175799,0.0017581,0.0016014,0.00163315,9395393.6965166,0
CRTS.V,D,20220529,000000,0.00164005,0.00177902,0.00161822,0.00167814,16639739.267713,0
CRTS.V,D,20220530,000000,0.0016821,0.00191519,0.00166816,0.0017483,16766426.538768,0
CRTS.V,D,20220531,000000,0.00174188,0.00180436,0.00168082,0.00173621,18730887.824876,0
CRTS.V,D,20220601,000000,0.00173864,0.00177558,0.00158657,0.00160655,14028125.349028,0
CRTS.V,D,20220602,000000,0.00158657,0.00191168,0.00158158,0.00176161,9587250.4170822,0
CRTS.V,D,20220603,000000,0.00175642,0.00176161,0.00165804,0.00167394,13026221.117081,0
CRTS.V,D,20220604,000000,0.00167424,0.00190479,0.00157919,0.00159101,27362989.708144,0
CRTS.V,D,20220605,000000,0.00159766,0.00189477,0.00156073,0.00160922,10932236.916578,0
CRTS.V,D,20220606,000000,0.0016161,0.00171156,0.00159889,0.00162245,26145998.41813,0
CRTS.V,D,20220607,000000,0.00162325,0.00162522,0.00149895,0.00149895,17251353.166318,0
CRTS.V,D,20220608,000000,0.00149665,0.00163893,0.00147537,0.00153126,21200726.38669,0
CRTS.V,D,20220609,000000,0.0015374,0.00154101,0.00147523,0.00149016,14485205.5883,0
CRTS.V,D,20220610,000000,0.00150328,0.00151521,0.0014299,0.00143256,6417283.6743,0
CRTS.V,D,20220611,000000,0.00143439,0.00144858,0.00132028,0.00132028,11700168.5455,0
CRTS.V,D,20220612,000000,0.00130862,0.00135148,0.00124793,0.00125763,11931735.0001,0
