<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVC.V,D,20220514,000000,0.160327,0.182027,0.149401,0.176834,16722401.329624,0
CVC.V,D,20220515,000000,0.177351,0.186738,0.170361,0.182662,13016102.452786,0
CVC.V,D,20220516,000000,0.181981,0.189054,0.166483,0.174772,7888085.2753858,0
CVC.V,D,20220517,000000,0.175272,0.18416,0.168381,0.183261,6846033.1739189,0
CVC.V,D,20220518,000000,0.18298,0.198641,0.167665,0.169979,13975695.193237,0
CVC.V,D,20220519,000000,0.170261,0.180637,0.158194,0.174143,4562716.6155117,0
CVC.V,D,20220520,000000,0.173644,0.189149,0.171277,0.176088,7943679.7965596,0
CVC.V,D,20220521,000000,0.17657,0.186357,0.170795,0.179167,7088704.626082,0
CVC.V,D,20220522,000000,0.178849,0.195565,0.178667,0.189154,8747057.2966716,0
CVC.V,D,20220523,000000,0.188973,0.196584,0.178985,0.182181,8474715.3127948,0
CVC.V,D,20220524,000000,0.181082,0.181082,0.163903,0.176552,5903159.1832903,0
CVC.V,D,20220525,000000,0.176552,0.180865,0.168614,0.174208,5327786.8624974,0
CVC.V,D,20220526,000000,0.174608,0.176306,0.153915,0.166234,5652411.1925736,0
CVC.V,D,20220527,000000,0.166217,0.181418,0.151948,0.155444,17630168.591891,0
CVC.V,D,20220528,000000,0.155321,0.160037,0.150618,0.156617,4698514.1754427,0
CVC.V,D,20220529,000000,0.156414,0.162727,0.153348,0.162325,4846946.8819394,0
CVC.V,D,20220530,000000,0.162321,0.176576,0.160924,0.175977,5188631.0023643,0
CVC.V,D,20220531,000000,0.176376,0.179256,0.168182,0.173161,6483116.9567743,0
CVC.V,D,20220601,000000,0.17317,0.184752,0.165235,0.167949,9629528.4112029,0
CVC.V,D,20220602,000000,0.166533,0.196423,0.166533,0.17784,277863050388.82,0
CVC.V,D,20220603,000000,0.17794,0.18426,0.168565,0.175949,7153103.0307029,0
CVC.V,D,20220604,000000,0.175847,0.182317,0.169422,0.177065,19231681.835667,0
CVC.V,D,20220605,000000,0.177067,0.186051,0.17276,0.182928,18313359.030118,0
CVC.V,D,20220606,000000,0.183128,0.195522,0.181328,0.192037,371053939186.46,0
CVC.V,D,20220607,000000,0.192236,0.197232,0.17645,0.196439,34661006.600291,0
CVC.V,D,20220608,000000,0.19684,0.201137,0.18547,0.189277,38505864.146218,0
CVC.V,D,20220609,000000,0.189277,0.189878,0.180138,0.182547,59494896886.51,0
CVC.V,D,20220610,000000,0.182545,0.192738,0.165917,0.169484,36797732.687316,0
CVC.V,D,20220611,000000,0.169884,0.173015,0.156506,0.162216,9945678.8581436,0
CVC.V,D,20220612,000000,0.161915,0.163315,0.142997,0.151212,12082085.018076,0
CVC.V,D,20220613,000000,0.150115,0.150115,0.12433,0.133015,134447621.67744,0
CVC.V,D,20220614,000000,0.133215,0.133314,0.115127,0.121953,169115500.3206,0
CVC.V,D,20220615,000000,0.121754,0.131056,0.112797,0.130704,96006212.412677,0
CVC.V,D,20220616,000000,0.13079,0.135038,0.123764,0.126935,48247661.960556,0
CVC.V,D,20220617,000000,0.124127,0.133514,0.12303,0.130743,59523848.200852,0
CVC.V,D,20220618,000000,0.1305,0.134341,0.113634,0.120305,92686935.643132,0
CVC.V,D,20220619,000000,0.120405,0.133839,0.118026,0.132727,19125431.403454,0
CVC.V,D,20220620,000000,0.13245,0.13785,0.12785,0.133753,698872760571.71,0
CVC.V,D,20220621,000000,0.132954,0.146468,0.132055,0.139247,7345479.3932333,0
CVC.V,D,20220622,000000,0.139646,0.142357,0.131855,0.134665,8713485.3154916,0
CVC.V,D,20220623,000000,0.134965,0.142357,0.133067,0.14026,6436928.9293351,0
CVC.V,D,20220624,000000,0.142258,0.147776,0.141958,0.147685,46800814.722865,0
CVC.V,D,20220625,000000,0.147852,0.153346,0.142005,0.149795,8311150123.2767,0
CVC.V,D,20220626,000000,0.150296,0.152996,0.143113,0.146709,23236858.24323,0
CVC.V,D,20220627,000000,0.146314,0.150772,0.140513,0.146769,5836193.8352978,0
CVC.V,D,20220628,000000,0.146662,0.154661,0.143274,0.145626,4497325.8630981,0
CVC.V,D,20220629,000000,0.145322,0.14543,0.135422,0.139832,14762030.311026,0
CVC.V,D,20220630,000000,0.140132,0.141628,0.123844,0.128446,21426087.432987,0
CVC.V,D,20220701,000000,0.128546,0.13705,0.127347,0.13705,17302501.122805,0
CVC.V,D,20220702,000000,0.13635,0.140531,0.13304,0.140232,15945575.148073,0
CVC.V,D,20220703,000000,0.140232,0.140731,0.134225,0.139219,11786949.614771,0
CVC.V,D,20220704,000000,0.139419,0.150804,0.134425,0.148522,6010770.3627303,0
CVC.V,D,20220705,000000,0.148322,0.14942,0.139247,0.144441,2576442.0250848,0
CVC.V,D,20220706,000000,0.144541,0.14494,0.139247,0.141444,970018029376.85,0
CVC.V,D,20220707,000000,0.141544,0.147796,0.140745,0.146912,2766283.5893159,0
CVC.V,D,20220708,000000,0.146812,0.152209,0.144513,0.148311,4046365.4219208,0
CVC.V,D,20220709,000000,0.147796,0.152593,0.146298,0.151509,1438335.6541952,0
CVC.V,D,20220710,000000,0.151394,0.157605,0.146312,0.15051,5346677.6235191,0
CVC.V,D,20220711,000000,0.15011,0.152109,0.138103,0.138675,3450729.0887112,0
CVC.V,D,20220712,000000,0.138162,0.138262,0.132654,0.132667,1965626.2585766,0
CVC.V,D,20220713,000000,0.132573,0.136164,0.125474,0.132181,4139901.8942082,0
CVC.V,D,20220714,000000,0.13268,0.137617,0.128897,0.135719,3905818.2153973,0
CVC.V,D,20220715,000000,0.134919,0.141829,0.134819,0.141258,4894496.2420692,0
CVC.V,D,20220716,000000,0.141258,0.144571,0.136459,0.142072,5164879.2531162,0
CVC.V,D,20220717,000000,0.141762,0.146166,0.13826,0.140763,1776683040.0993,0
CVC.V,D,20220718,000000,0.140863,0.153683,0.138358,0.148066,17302872.722255,0
CVC.V,D,20220719,000000,0.148355,0.156325,0.145988,0.156025,7842430.2443279,0
CVC.V,D,20220720,000000,0.156,0.158817,0.144487,0.149007,9760757.6914096,0
CVC.V,D,20220721,000000,0.149007,0.149007,0.140215,0.145632,196842738307.98,0
CVC.V,D,20220722,000000,0.145336,0.14953,0.139627,0.140831,6354034.1737983,0
CVC.V,D,20220723,000000,0.1407,0.145112,0.138314,0.140928,6158287.9700111,0
CVC.V,D,20220724,000000,0.140814,0.145806,0.140814,0.145529,4294757.2109038,0
CVC.V,D,20220725,000000,0.145628,0.146429,0.133115,0.135811,1955367688706.3,0
CVC.V,D,20220726,000000,0.135512,0.135512,0.129404,0.13102,3639288.1368576,0
CVC.V,D,20220727,000000,0.131918,0.142833,0.13172,0.142634,2415454.9872768,0
CVC.V,D,20220728,000000,0.142836,0.152647,0.13962,0.150829,6139267.8874747,0
CVC.V,D,20220729,000000,0.151032,0.153218,0.144143,0.149761,5306388.9572043,0
CVC.V,D,20220730,000000,0.15056,0.157255,0.147452,0.149651,6579136.4834556,0
CVC.V,D,20220731,000000,0.149454,0.163356,0.145442,0.153835,13286644.244171,0
CVC.V,D,20220801,000000,0.153635,0.168944,0.148262,0.162147,521584957927.83,0
CVC.V,D,20220802,000000,0.162049,0.166463,0.150332,0.162128,12584955.692432,0
CVC.V,D,20220803,000000,0.162432,0.169837,0.159437,0.16114,12626143.079681,0
CVC.V,D,20220804,000000,0.161237,0.161237,0.153011,0.154005,7325782.0009106,0
CVC.V,D,20220805,000000,0.153805,0.163429,0.153805,0.162532,4079004.0257594,0
CVC.V,D,20220806,000000,0.162633,0.165231,0.162024,0.164436,2565000.9225438,0
CVC.V,D,20220807,000000,0.164738,0.164738,0.15904,0.16393,1869385.5885971,0
CVC.V,D,20220808,000000,0.163731,0.166445,0.160823,0.162319,2709683.3383981,0
CVC.V,D,20220809,000000,0.162118,0.164935,0.152033,0.155331,4420899.6149679,0
