<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAO.V,D,20220513,000000,1.95448,1.95467,1.95428,1.95428,0,0
DAO.V,D,20220514,000000,1.91614,2.08401,1.90317,2.03072,28799.079050622993,0
DAO.V,D,20220515,000000,2.02816,2.03288,1.9836,2.01201,59844.519502744326,0
DAO.V,D,20220516,000000,2.0114,2.02539,1.90042,1.94752,41577.34573428995,0
DAO.V,D,20220517,000000,1.94808,1.96384,1.83461,1.83579,111011.35693011044,0
DAO.V,D,20220518,000000,1.83779,1.85877,1.62089,1.62389,130123.7898137886,0
DAO.V,D,20220519,000000,1.62389,1.64951,1.49351,1.64851,170478.4221667498,0
DAO.V,D,20220520,000000,1.64638,1.67798,1.55042,1.6778,97619.79318225007,0
DAO.V,D,20220521,000000,1.67337,1.82793,1.61381,1.78558,115832.32622475032,0
DAO.V,D,20220522,000000,1.78689,1.86211,1.74119,1.85223,72085.38391244021,0
DAO.V,D,20220523,000000,1.85832,1.88771,1.8186,1.84263,71836.35063272016,0
DAO.V,D,20220524,000000,1.84609,1.84647,1.71905,1.80017,94237.1846066502,0
DAO.V,D,20220525,000000,1.79436,1.89019,1.79349,1.86055,89144.75248385228,0
DAO.V,D,20220526,000000,1.86181,1.93376,1.71046,1.80175,165486.1692809704,0
DAO.V,D,20220527,000000,1.79979,1.84853,1.73586,1.83845,64823.25538319017,0
DAO.V,D,20220528,000000,1.83078,1.86846,1.77965,1.82018,58638.89230865003,0
DAO.V,D,20220529,000000,1.82136,1.88598,1.7901,1.84664,48493.15861442997,0
DAO.V,D,20220530,000000,1.84885,2.24046,1.84885,2.10194,266967.33346628066,0
DAO.V,D,20220531,000000,2.10351,2.23003,2.04374,2.10119,201146.74803942075,0
DAO.V,D,20220601,000000,2.09821,2.14034,1.9839,1.99205,96989.62584828999,0
DAO.V,D,20220602,000000,1.98711,2.03,1.94862,2.02647,65262.25461290009,0
DAO.V,D,20220603,000000,2.02684,2.0326,1.95924,1.979,58890.33019501998,0
DAO.V,D,20220604,000000,1.97924,1.99493,1.96267,1.96601,24040.1250004,0
DAO.V,D,20220605,000000,1.96375,2.0027,1.95188,1.98442,29167.48318919999,0
DAO.V,D,20220606,000000,1.99346,2.0111,1.94487,1.98929,95492.77436358988,0
DAO.V,D,20220607,000000,2.00165,2.01024,1.90089,1.99149,53188.94968161995,0
DAO.V,D,20220608,000000,1.98444,2.00261,1.94934,1.97372,152677.32776548964,0
DAO.V,D,20220609,000000,1.97344,7.9944,1.92592,1.98783,86139.46569563785,0
DAO.V,D,20220610,000000,1.98845,1.98845,1.84818,1.88149,478254.5527999811,0
DAO.V,D,20220611,000000,1.88473,1.88481,1.7977,1.79869,84857.00521758987,0
DAO.V,D,20220612,000000,1.79797,1.80708,1.69803,1.73597,89608.01047135012,0
DAO.V,D,20220613,000000,1.7334,1.73343,1.47486,1.55783,1324711.196655582,0
DAO.V,D,20220614,000000,1.55782,1.61203,1.44383,1.51418,2204580.8904101695,0
DAO.V,D,20220615,000000,1.51417,1.57817,1.29468,1.43784,3192395.9824833637,0
DAO.V,D,20220616,000000,1.44797,1.47338,1.37335,1.39405,1698558.9729161737,0
DAO.V,D,20220617,000000,1.37911,1.40868,1.35382,1.37535,742095.9217520586,0
DAO.V,D,20220618,000000,1.37336,1.37837,1.24087,1.24297,1489349.6766838515,0
DAO.V,D,20220619,000000,1.24298,1.35637,1.21605,1.3354,411810.0936025967,0
DAO.V,D,20220620,000000,1.32218,1.33461,1.28348,1.30236,155286.95699514038,0
DAO.V,D,20220621,000000,1.30319,1.38699,1.30117,1.34315,91711.32351298002,0
DAO.V,D,20220622,000000,1.34185,1.34521,1.25444,1.25923,117023.47611069985,0
DAO.V,D,20220623,000000,1.25774,1.32268,1.25762,1.30769,95072.31724703002,0
DAO.V,D,20220624,000000,1.30969,1.38681,1.26486,1.29897,1232615.7013910315,0
DAO.V,D,20220625,000000,1.2987,1.34611,1.2967,1.33007,587393.9358313747,0
DAO.V,D,20220626,000000,1.33004,1.38506,1.32908,1.34718,346259.1445699002,0
DAO.V,D,20220627,000000,1.35118,1.36522,1.3139,1.33981,39925.93732920995,0
DAO.V,D,20220628,000000,1.3387,1.37657,1.27766,1.29646,109655.6273921501,0
DAO.V,D,20220629,000000,1.29459,1.29836,1.26223,1.28544,188039.2658745805,0
DAO.V,D,20220630,000000,1.28544,1.29245,1.22317,1.23751,277786.43062954623,0
DAO.V,D,20220701,000000,1.23751,1.27434,1.21729,1.25062,311275.0589769709,0
DAO.V,D,20220702,000000,1.25762,1.33939,1.21454,1.29045,296462.63066133094,0
DAO.V,D,20220703,000000,1.29045,1.29045,1.20056,1.23739,569638.305473288,0
DAO.V,D,20220704,000000,1.23739,1.26491,1.20555,1.22553,93592.14684826012,0
DAO.V,D,20220705,000000,1.22253,1.27959,1.20955,1.25762,142194.1620984097,0
DAO.V,D,20220706,000000,1.25762,1.29058,1.21866,1.28858,138338.19142523268,0
DAO.V,D,20220707,000000,1.27859,1.4544,1.27247,1.34119,311147.24874391063,0
DAO.V,D,20220708,000000,1.34119,1.4971,1.3318,1.44313,95451.73171387993,0
DAO.V,D,20220709,000000,1.45812,1.56306,1.23426,1.26924,303043.9791100403,0
DAO.V,D,20220710,000000,1.26911,1.3262,1.26224,1.29722,123766.66486435973,0
DAO.V,D,20220711,000000,1.29622,1.32394,1.26411,1.28085,40450.59353545002,0
DAO.V,D,20220712,000000,1.27785,1.28971,1.24875,1.25649,95771.5730211101,0
DAO.V,D,20220713,000000,1.24971,1.38561,1.24771,1.3288,172717.52864169236,0
DAO.V,D,20220714,000000,1.32481,1.34479,1.28297,1.30322,97937.90597295773,0
DAO.V,D,20220715,000000,1.30122,1.46812,1.29409,1.40358,140650.8547616198,0
DAO.V,D,20220716,000000,1.40258,1.46071,1.35646,1.36859,132092.44230996005,0
DAO.V,D,20220717,000000,1.33765,1.42259,1.33765,1.41263,94135.35202500015,0
DAO.V,D,20220718,000000,1.41162,1.47394,1.38156,1.40468,100528.61471379985,0
DAO.V,D,20220719,000000,1.40368,1.52411,1.40268,1.51423,80858.80882569995,0
DAO.V,D,20220720,000000,1.514,1.57452,1.50614,1.53808,64968.6112796,0
DAO.V,D,20220721,000000,1.53823,1.59043,1.53308,1.5894,49706.16397986989,0
DAO.V,D,20220722,000000,1.58814,1.65833,1.5841,1.64036,65208.163036341626,0
DAO.V,D,20220723,000000,1.63931,1.64813,1.52009,1.54031,99158.65180128014,0
DAO.V,D,20220724,000000,1.54031,1.61311,1.48828,1.4893,98971.73454909984,0
DAO.V,D,20220725,000000,1.4963,1.5043,1.41516,1.42111,87233.68268972005,0
DAO.V,D,20220726,000000,1.42311,1.42714,1.35,1.3652,59629.33218936009,0
DAO.V,D,20220727,000000,1.363,1.42739,1.35409,1.40931,63988.00912229697,0
DAO.V,D,20220728,000000,1.41134,1.57739,1.40601,1.51329,288786.87083701615,0
DAO.V,D,20220729,000000,1.51332,1.53241,1.43447,1.4536,165103.65538902252,0
DAO.V,D,20220730,000000,1.4526,1.54957,1.43057,1.52452,140597.42118600602,0
DAO.V,D,20220731,000000,1.52246,1.52258,1.45835,1.47835,47933.50522440813,0
DAO.V,D,20220801,000000,1.47835,1.53842,1.4625,1.46841,49371.592153352,0
DAO.V,D,20220802,000000,1.46344,1.5274,1.40539,1.48727,111812.28078366886,0
DAO.V,D,20220803,000000,1.4873,1.56331,1.42327,1.52638,100072.66549447506,0
DAO.V,D,20220804,000000,1.52737,1.56219,1.44404,1.50905,90170.2350602481,0
DAO.V,D,20220805,000000,1.50805,1.5762,1.50105,1.52429,67606.52599154008,0
DAO.V,D,20220806,000000,1.52429,1.55328,1.50032,1.50535,36173.90474764994,0
DAO.V,D,20220807,000000,1.50533,1.53321,1.49531,1.51427,28844.87926623701,0
DAO.V,D,20220808,000000,1.51629,2.5275,1.50826,1.96991,1998645.808833174,0
DAO.V,D,20220809,000000,1.9575,2.05376,1.87287,2.02614,493645.9187827796,0
DAO.V,D,20220810,000000,2.04885,2.27451,1.91591,2.07401,424451.68189667666,0
DAO.V,D,20220811,000000,2.06378,2.08131,1.92375,1.94291,123911.58687068026,0
DAO.V,D,20220812,000000,1.94397,2.10078,1.90295,1.94187,84191.89919209406,0
DAO.V,D,20220813,000000,1.94178,2.06409,1.92285,1.96977,74749.3125203769,0
DAO.V,D,20220814,000000,1.97077,1.98675,1.94456,1.94458,46892.70342870004,0
DAO.V,D,20220815,000000,1.94478,2.33258,1.90351,2.0775,638972.3336136738,0
DAO.V,D,20220816,000000,2.07846,2.19046,2.05389,2.08819,172097.4121496099,0
DAO.V,D,20220817,000000,2.09019,2.40514,2.03514,2.08915,395780.50736752554,0
DAO.V,D,20220818,000000,2.09217,2.15415,2.046,2.04702,127257.66785476015,0
DAO.V,D,20220819,000000,2.0492,2.05621,1.852,1.86,123051.13453008988,0
DAO.V,D,20220820,000000,1.85606,1.90221,1.77298,1.78198,92635.2384019,0
DAO.V,D,20220821,000000,1.78095,1.79098,1.69595,1.76096,198020.75845020026,0
DAO.V,D,20220822,000000,1.75996,1.76109,1.66788,1.69571,68282.47543439995,0
DAO.V,D,20220823,000000,1.68775,1.80373,1.6817,1.73103,181860.68492389977,0
DAO.V,D,20220824,000000,1.734,1.88211,1.67788,1.73616,138200.96573954006,0
DAO.V,D,20220825,000000,1.73516,1.76707,1.68908,1.75305,132397.90803875003,0
DAO.V,D,20220826,000000,1.75105,1.84302,1.722,1.74417,128307.18891633578,0
