<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAR.V,D,20220514,000000,0.45198,0.460925,0.45198,0.460925,100230.680274,0
DAR.V,D,20220515,000000,0.434291,0.458781,0.424462,0.44928,12699189.406329,0
DAR.V,D,20220516,000000,0.44915,0.473598,0.402007,0.426155,12779500.774478,0
DAR.V,D,20220517,000000,0.427853,0.531601,0.416416,0.500269,24748003.668563,0
DAR.V,D,20220518,000000,0.500029,0.501348,0.423748,0.430639,15203980.17083,0
DAR.V,D,20220519,000000,0.43055,0.492148,0.417397,0.458717,8758085.5179604,0
DAR.V,D,20220520,000000,0.45919,0.497262,0.433406,0.4761,14451137.400409,0
DAR.V,D,20220521,000000,0.476248,0.588224,0.466563,0.519594,56877609.831343,0
DAR.V,D,20220522,000000,0.519973,0.559472,0.494826,0.509108,19446377.66671,0
DAR.V,D,20220523,000000,0.510337,0.530636,0.482141,0.49121,12431316.843271,0
DAR.V,D,20220524,000000,0.4908,0.50891,0.451478,0.481194,10822165.443814,0
DAR.V,D,20220525,000000,0.481154,0.492808,0.465348,0.477337,8770736.1959929,0
DAR.V,D,20220526,000000,0.476857,0.484636,0.398192,0.42955,11647876.934519,0
DAR.V,D,20220527,000000,0.42924,0.434831,0.394365,0.412607,8539255.6537631,0
DAR.V,D,20220528,000000,0.410671,0.424695,0.400009,0.418894,7809451.4772872,0
DAR.V,D,20220529,000000,0.418911,0.469067,0.404963,0.450594,11694728.361507,0
DAR.V,D,20220530,000000,0.450634,0.49949,0.443276,0.496173,10791660.187609,0
DAR.V,D,20220531,000000,0.495154,0.504726,0.445958,0.462879,7385158.6019843,0
DAR.V,D,20220601,000000,0.463049,0.488678,0.414144,0.419053,7277451.5629375,0
DAR.V,D,20220602,000000,0.418373,0.434599,0.409641,0.430442,5992368.8578699,0
DAR.V,D,20220603,000000,0.431052,0.439268,0.403101,0.419275,3709243.5074086,0
DAR.V,D,20220604,000000,0.419385,0.456616,0.405178,0.431676,16350831.305421,0
DAR.V,D,20220605,000000,0.431686,0.434299,0.417222,0.423002,8210200.3841913,0
DAR.V,D,20220606,000000,0.423462,0.448586,0.419385,0.433661,15375365.731333,0
DAR.V,D,20220607,000000,0.433805,0.442504,0.393739,0.425751,12434639.925063,0
DAR.V,D,20220608,000000,0.426344,0.467874,0.402828,0.426373,17894432.468792,0
DAR.V,D,20220609,000000,0.426583,0.429633,0.414672,0.418408,9219649.073306,0
DAR.V,D,20220610,000000,0.418588,0.422754,0.388116,0.397874,22267994.968929,0
DAR.V,D,20220611,000000,0.39796,0.421319,0.345281,0.359763,9040926.0034431,0
DAR.V,D,20220612,000000,0.360688,0.365077,0.30467,0.330992,8344741.1079457,0
DAR.V,D,20220613,000000,0.330533,0.330533,0.264917,0.290086,21604222.305761,0
DAR.V,D,20220614,000000,0.292153,0.333656,0.27919,0.300948,31899875.56017,0
DAR.V,D,20220615,000000,0.301158,0.326408,0.279237,0.324522,17331429.598317,0
DAR.V,D,20220616,000000,0.324882,0.328113,0.29144,0.303944,12064850.977119,0
DAR.V,D,20220617,000000,0.29422,0.309776,0.290039,0.303768,30738182.445085,0
DAR.V,D,20220618,000000,0.305,0.312,0.253859,0.26943,39336748.811268,0
DAR.V,D,20220619,000000,0.269473,0.294147,0.260647,0.288864,9597226.1009386,0
DAR.V,D,20220620,000000,0.289014,0.29935,0.27692,0.288832,5626280.5702738,0
DAR.V,D,20220621,000000,0.288803,0.315602,0.285326,0.298012,9478741.4089765,0
DAR.V,D,20220622,000000,0.297902,0.302667,0.276583,0.287302,6253979.7693978,0
DAR.V,D,20220623,000000,0.286483,0.308501,0.283568,0.299011,7396151.2664904,0
DAR.V,D,20220624,000000,0.29959,0.330769,0.29943,0.323048,19727367.783431,0
DAR.V,D,20220625,000000,0.323606,0.350914,0.304966,0.350914,16576698.118317,0
DAR.V,D,20220626,000000,0.346814,0.365108,0.318919,0.327907,20349845.453541,0
DAR.V,D,20220627,000000,0.32801,0.334436,0.308716,0.31456,5036846.9114381,0
DAR.V,D,20220628,000000,0.314101,0.33013,0.300066,0.307411,8240989.2561389,0
DAR.V,D,20220629,000000,0.307069,0.309552,0.291615,0.303412,5342705.8570583,0
DAR.V,D,20220630,000000,0.303545,0.306609,0.272029,0.277896,7604689.7718254,0
DAR.V,D,20220701,000000,0.278895,0.297183,0.276917,0.282559,4149931.1044353,0
DAR.V,D,20220702,000000,0.282359,0.287415,0.273901,0.286326,5158210.1067387,0
DAR.V,D,20220703,000000,0.286356,0.289373,0.279217,0.287156,3194018.1040571,0
DAR.V,D,20220704,000000,0.287705,0.300469,0.284649,0.297742,5447563.011347,0
DAR.V,D,20220705,000000,0.297572,0.303296,0.28149,0.29073,4017661.7928328,0
DAR.V,D,20220706,000000,0.291099,0.310187,0.279732,0.29989,6031329.2314546,0
DAR.V,D,20220707,000000,0.29994,0.31211,0.296404,0.306416,6454647.9560803,0
DAR.V,D,20220708,000000,0.306956,0.314748,0.293984,0.29942,3950173.9758458,0
DAR.V,D,20220709,000000,0.298701,0.307116,0.296342,0.304317,2275811.4402808,0
DAR.V,D,20220710,000000,0.304217,0.304807,0.286528,0.290066,2185691.5353847,0
DAR.V,D,20220711,000000,0.289656,0.303377,0.281523,0.289469,6577422.324471,0
DAR.V,D,20220712,000000,0.289397,0.289397,0.270569,0.275946,3336172.6763341,0
DAR.V,D,20220713,000000,0.275865,0.278981,0.255424,0.271116,5908115.2590704,0
DAR.V,D,20220714,000000,0.271206,0.284932,0.269627,0.279292,6685999.530081,0
DAR.V,D,20220715,000000,0.279292,0.302018,0.275964,0.288204,7780495.480562,0
DAR.V,D,20220716,000000,0.288463,0.293081,0.278596,0.290553,2647233.4499785,0
DAR.V,D,20220717,000000,0.290802,0.310988,0.289672,0.298622,7794277.0453538,0
DAR.V,D,20220718,000000,0.298612,0.324292,0.291612,0.30541,10659228.230807,0
DAR.V,D,20220719,000000,0.305757,0.327687,0.305073,0.324479,9542967.5254941,0
DAR.V,D,20220720,000000,0.324138,0.335954,0.296422,0.306505,7018969.4016129,0
DAR.V,D,20220721,000000,0.306108,0.308963,0.291612,0.307574,4553029.0820389,0
DAR.V,D,20220722,000000,0.307414,0.318977,0.293662,0.298876,5640466.6030295,0
DAR.V,D,20220723,000000,0.29883,0.306768,0.293674,0.29916,3815250.9809076,0
DAR.V,D,20220724,000000,0.29913,0.323211,0.298997,0.308972,6912565.0100572,0
DAR.V,D,20220725,000000,0.308809,0.311729,0.289692,0.293774,3742678.3485622,0
DAR.V,D,20220726,000000,0.293743,0.293786,0.271396,0.275031,4758903.4558657,0
DAR.V,D,20220727,000000,0.275699,0.2976,0.275669,0.29313,5085450.1636586,0
DAR.V,D,20220728,000000,0.29325,0.338644,0.293196,0.326802,12588688.35414,0
DAR.V,D,20220729,000000,0.326925,0.34361,0.313978,0.329035,15873261.71226,0
DAR.V,D,20220730,000000,0.329335,0.35443,0.322303,0.328448,15013850.553983,0
DAR.V,D,20220731,000000,0.328018,0.382789,0.318892,0.34636,25365776.491916,0
DAR.V,D,20220801,000000,0.345653,0.354273,0.327805,0.33442,8805904.0887471,0
DAR.V,D,20220802,000000,0.33442,0.345844,0.319639,0.336087,11377288.07415,0
DAR.V,D,20220803,000000,0.336327,0.344122,0.322814,0.338685,6393928.2936231,0
DAR.V,D,20220804,000000,0.338778,0.344955,0.331103,0.333907,6359997.5752357,0
DAR.V,D,20220805,000000,0.33429,0.349361,0.331423,0.343795,5308968.512134,0
DAR.V,D,20220806,000000,0.343795,0.354688,0.342054,0.353421,4775291.9688492,0
DAR.V,D,20220807,000000,0.353238,0.353321,0.342032,0.350917,4160867.3487268,0
DAR.V,D,20220808,000000,0.350857,0.360154,0.345912,0.354403,4849627.9675191,0
DAR.V,D,20220809,000000,0.354159,0.362397,0.331073,0.338231,6466066.5244487,0
DAR.V,D,20220810,000000,0.338278,0.353042,0.325418,0.353042,3149421.8522189,0
DAR.V,D,20220811,000000,0.352912,0.359077,0.343611,0.346213,3514658.3408603,0
DAR.V,D,20220812,000000,0.345833,0.350014,0.336174,0.34819,2937192.0819696,0
DAR.V,D,20220813,000000,0.348187,0.354629,0.344183,0.347135,3707445.0606653,0
DAR.V,D,20220814,000000,0.347105,0.351166,0.332486,0.336154,3512205.207273,0
DAR.V,D,20220815,000000,0.335614,0.343879,0.32141,0.327769,3491688.8063137,0
DAR.V,D,20220816,000000,0.327659,0.330903,0.317766,0.323229,3263269.0774802,0
