<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAWN.V,D,20220527,000000,1.1095,1.1235,1.042,1.0845,24109.750170474003,0
DAWN.V,D,20220528,000000,1.0865,1.119,1.0275,1.0875,6408.1627080734,0
DAWN.V,D,20220529,000000,1.088,1.0905,1.0265,1.0795,1989.3024012859998,0
DAWN.V,D,20220530,000000,1.07,1.154,1.07,1.154,3310.9999999999995,0
DAWN.V,D,20220531,000000,1.147,1.199,1.111,1.1485,9797.199999999999,0
DAWN.V,D,20220601,000000,1.14,1.251,1.1295,1.1295,6713.199999999999,0
DAWN.V,D,20220602,000000,1.103,1.196,1.102,1.127,14280.100000000004,0
DAWN.V,D,20220603,000000,1.1485,1.244,1.1195,1.1525,2193.9,0
DAWN.V,D,20220604,000000,1.16,1.169,1.1205,1.141,461.20000000000067,0
DAWN.V,D,20220605,000000,1.1525,1.214,1.137,1.1735,2095.4999999999977,0
DAWN.V,D,20220606,000000,1.1835,1.2575,1.1785,1.2185,1399.4580190349993,0
DAWN.V,D,20220607,000000,1.215,1.2255,1.117,1.1295,328.20618939499997,0
DAWN.V,D,20220608,000000,1.2405,1.2405,1.18,1.189,818.1,0
DAWN.V,D,20220609,000000,1.189,1.189,1.1465,1.1635,1951.8008251816002,0
DAWN.V,D,20220610,000000,1.165,1.165,1.0435,1.056,4671.101528353996,0
DAWN.V,D,20220611,000000,1.0575,1.0795,1.007,1.03,214.61907307400003,0
DAWN.V,D,20220612,000000,1.0055,1.063,0.919,0.957,1045.402421654,0
DAWN.V,D,20220613,000000,0.935,0.9385,0.7535,0.805,5329.900000000002,0
DAWN.V,D,20220614,000000,0.751,0.785,0.6785,0.7435,1720127.9001542542,0
DAWN.V,D,20220615,000000,0.756,0.8,0.671,0.8,4779432.905027017,0
DAWN.V,D,20220616,000000,0.8,0.817,0.7495,0.77,752099.8780375903,0
DAWN.V,D,20220617,000000,0.731,0.8375,0.731,0.815,56695.832005709955,0
DAWN.V,D,20220618,000000,0.81,0.823,0.709,0.7265,109907.35596677587,0
DAWN.V,D,20220619,000000,0.752,0.795,0.724,0.7905,4069137.9044449525,0
DAWN.V,D,20220620,000000,0.787,0.8175,0.737,0.798,186008.30000000008,0
DAWN.V,D,20220621,000000,0.792,0.8355,0.786,0.822,23009.800000000003,0
DAWN.V,D,20220622,000000,0.8085,0.8325,0.7805,0.806,449613.1062107995,0
DAWN.V,D,20220623,000000,0.8125,0.843,0.7985,0.843,170597.80429885403,0
DAWN.V,D,20220624,000000,0.832,0.8355,0.828,0.834,211.70000000000005,0
DAWN.V,D,20220625,000000,0.824358,0.824358,0.824358,0.824358,0.002427688,0
DAWN.V,D,20220626,000000,0.8685,0.8895,0.8685,0.884,101237.2000000001,0
DAWN.V,D,20220627,000000,0.874,0.9645,0.8725,0.8925,8548.303479967,0
DAWN.V,D,20220628,000000,0.885,0.916,0.874,0.88,18658.221777706007,0
DAWN.V,D,20220629,000000,0.8785,0.888,0.81,0.8235,46417.80505234102,0
DAWN.V,D,20220630,000000,0.837,0.8455,0.7215,0.797,408631.2028354872,0
DAWN.V,D,20220701,000000,0.8075,0.8425,0.785,0.8245,43454.44010206966,0
DAWN.V,D,20220702,000000,0.837,0.855,0.81,0.821,8030.148027360001,0
DAWN.V,D,20220703,000000,0.823,0.8335,0.8045,0.818,161458.83227854696,0
DAWN.V,D,20220704,000000,0.8295,0.838,0.808,0.8275,4426.600988275601,0
DAWN.V,D,20220705,000000,0.845,0.884,0.805,0.834,36123.099999999984,0
DAWN.V,D,20220706,000000,0.8395,0.8395,0.816,0.8375,717.9034784500003,0
DAWN.V,D,20220707,000000,0.841,0.8495,0.8265,0.847,3.2,0
DAWN.V,D,20220708,000000,0.8715,0.8715,0.8455,0.8595,483.303013725,0
DAWN.V,D,20220709,000000,0.8635,0.8865,0.8565,0.8865,546.9579092590999,0
DAWN.V,D,20220710,000000,0.8835,0.8835,0.8475,0.8595,975.6000000000001,0
DAWN.V,D,20220711,000000,0.85,0.86,0.8255,0.8255,1056.2415099999998,0
DAWN.V,D,20220712,000000,0.8255,0.8255,0.7815,0.793,349.8,0
DAWN.V,D,20220713,000000,0.79,0.803,0.763,0.7865,12015.799999999996,0
DAWN.V,D,20220714,000000,0.7955,0.808,0.768,0.8075,3710.0999999999995,0
DAWN.V,D,20220715,000000,0.8025,0.824,0.8025,0.819,3756.1000000000004,0
DAWN.V,D,20220716,000000,0.825,0.854,0.8155,0.838,6811.802623403998,0
DAWN.V,D,20220717,000000,0.8455,0.8615,0.8235,0.8265,3008.3,0
DAWN.V,D,20220718,000000,0.8345,0.8835,0.8345,0.8655,11109.700129957699,0
DAWN.V,D,20220719,000000,0.87,0.9065,0.865,0.9065,17361.923038200013,0
DAWN.V,D,20220720,000000,0.9125,0.932,0.8845,0.8975,1545.6494257510005,0
DAWN.V,D,20220721,000000,0.8885,0.902,0.8545,0.8885,961.8000000000005,0
DAWN.V,D,20220722,000000,0.893,0.911,0.8795,0.8795,834.7000000000002,0
DAWN.V,D,20220723,000000,0.8875,0.893,0.8705,0.881,1163.1000000000001,0
DAWN.V,D,20220724,000000,0.884,1.0185,0.884,0.969,14515.616794762609,0
DAWN.V,D,20220725,000000,0.993,0.993,0.894,0.8965,1699.2000000000003,0
DAWN.V,D,20220726,000000,0.893,0.893,0.834,0.8345,572.6000000000005,0
DAWN.V,D,20220727,000000,0.8435,0.893,0.8435,0.891,282.32142687600003,0
DAWN.V,D,20220728,000000,0.8955,0.9135,0.88,0.9135,339.6,0
DAWN.V,D,20220729,000000,0.9115,0.924,0.8925,0.9035,332.5,0
DAWN.V,D,20220730,000000,0.9125,0.93,0.9035,0.919,1334.3,0
DAWN.V,D,20220731,000000,0.9065,0.97,0.903,0.933,56.201713786000006,0
DAWN.V,D,20220801,000000,0.924,0.981,0.9125,0.969,2622.8008572332997,0
DAWN.V,D,20220802,000000,0.97,0.979,0.9085,0.933,3460.799999999999,0
DAWN.V,D,20220803,000000,0.923,1.008,0.9085,0.952,5857.521735500002,0
DAWN.V,D,20220804,000000,0.9445,0.987,0.92,0.958,1757.5,0
DAWN.V,D,20220805,000000,0.9565,1.005,0.9525,0.991,2138.2998079999975,0
DAWN.V,D,20220806,000000,0.9915,1.0175,0.9905,0.994,2108,0
DAWN.V,D,20220807,000000,0.994,0.9955,0.9735,0.9945,317.4000000000001,0
DAWN.V,D,20220808,000000,0.9935,1.0895,0.9935,1.018,13569.901125950002,0
DAWN.V,D,20220809,000000,1.0225,1.0225,0.9655,0.968,2719.609186972,0
DAWN.V,D,20220810,000000,0.9815,1.0155,0.947,1.014,2818.0100145899924,0
DAWN.V,D,20220811,000000,1.006,1.0255,1.001,1.0215,25839.74407876998,0
DAWN.V,D,20220812,000000,1.014,1.0335,1.003,1.0335,21.006170968999996,0
DAWN.V,D,20220813,000000,1.0315,1.107,1.028,1.046,11010.700871000203,0
DAWN.V,D,20220814,000000,1.052,1.062,1.0185,1.027,1848.7,0
DAWN.V,D,20220815,000000,1.02,1.0585,1.0065,1.0345,54952.99999999993,0
DAWN.V,D,20220816,000000,1.0345,1.035,0.996,1.0035,26863.50000000003,0
DAWN.V,D,20220817,000000,1.009,1.035,0.9635,0.9695,10382.905027063009,0
DAWN.V,D,20220818,000000,0.9725,0.997,0.9545,0.9735,3802.6003702970975,0
DAWN.V,D,20220819,000000,0.9735,0.9735,0.864,0.867,4080.5043525819865,0
DAWN.V,D,20220820,000000,0.868,0.868,0.8315,0.839,6199.018825000002,0
DAWN.V,D,20220821,000000,0.8305,0.9325,0.8305,0.9025,7723.869499922003,0
DAWN.V,D,20220822,000000,0.9,0.9065,0.8485,0.8525,2054.900406206,0
DAWN.V,D,20220823,000000,0.8705,0.878,0.855,0.878,19941.299999999945,0
