<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DERO.V,D,20220515,000000,6.99201,7.38754,6.96893,7.38754,745.06986414805,0
DERO.V,D,20220516,000000,7.36425,7.54394,7.19137,7.4776,1301.8061262941605,0
DERO.V,D,20220517,000000,7.39033,7.58872,7.1228,7.18433,1141.5255684415251,0
DERO.V,D,20220518,000000,7.2104,7.26242,6.46545,6.48205,3837.0249642941694,0
DERO.V,D,20220519,000000,6.46959,6.46959,5.31924,5.96428,7069.239580423562,0
DERO.V,D,20220520,000000,6.00705,6.27309,5.54334,5.54334,3796.991767881288,0
DERO.V,D,20220521,000000,5.55398,5.68859,5.1437,5.36743,3040.148154153771,0
DERO.V,D,20220522,000000,5.36511,5.62784,5.22928,5.3454,2295.0945256668406,0
DERO.V,D,20220523,000000,5.39451,6.08269,5.31638,5.69787,5763.150540713324,0
DERO.V,D,20220524,000000,5.62174,5.7617,5.37679,5.70279,2087.316900872227,0
DERO.V,D,20220525,000000,5.72508,6.06828,5.67495,5.71263,1616.8604965454595,0
DERO.V,D,20220526,000000,5.71647,5.81537,5.35874,5.5258,1445.5379590167652,0
DERO.V,D,20220527,000000,5.52525,5.64103,5.16406,5.23654,2239.03802798176,0
DERO.V,D,20220528,000000,5.23579,5.43487,5.23579,5.34291,901.7038015253399,0
DERO.V,D,20220529,000000,5.35769,5.49072,5.25451,5.37729,2650.961641680105,0
DERO.V,D,20220530,000000,5.37372,6.34555,5.37372,6.15844,2874.058768669594,0
DERO.V,D,20220531,000000,6.22816,6.52213,6.12933,6.37214,4604.27742031459,0
DERO.V,D,20220601,000000,6.41197,6.72541,5.89042,5.89543,1862.678518153826,0
DERO.V,D,20220602,000000,5.90766,6.24985,5.88874,6.20411,709.021100966829,0
DERO.V,D,20220603,000000,6.34862,6.37426,5.91334,6.07342,1378.8613442157878,0
DERO.V,D,20220604,000000,6.12278,6.20771,6.0072,6.03075,678.4986737318911,0
DERO.V,D,20220605,000000,6.09677,6.29465,5.95599,6.19823,1360.9487340811,0
DERO.V,D,20220606,000000,6.18234,6.48149,6.18234,6.44586,690.133341716181,0
