<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EOS.V,D,20170629,000000,0.85,0.9845,0.6,0.85,0,0
EOS.V,D,20170630,000000,0.85,1.91,0.65,0.912,0,0
EOS.V,D,20170701,000000,0.912,1.35,0.8,1.05,0,0
EOS.V,D,20170702,000000,1.05,3.88,1.05,3,0,0
EOS.V,D,20170703,000000,3,6.9,2.5,4.2,0,0
EOS.V,D,20170704,000000,4.2,4.45,2.56,3.24,0,0
EOS.V,D,20170705,000000,3.24,3.35,2.61,2.86,0,0
EOS.V,D,20170706,000000,2.86,3.55,2.83,3.23,0,0
EOS.V,D,20170707,000000,3.23,3.33,2.62,2.65,0,0
EOS.V,D,20170708,000000,2.65,2.76,2.05,2.37,0,0
EOS.V,D,20170709,000000,2.37,2.51,2.07,2.22,0,0
EOS.V,D,20170710,000000,2.22,2.25,1.44,1.7,0,0
EOS.V,D,20170711,000000,1.7,1.84,1.4,1.53,0,0
EOS.V,D,20170712,000000,1.53,2.07,1.41,1.96,0,0
EOS.V,D,20170713,000000,1.96,2.02,1.58,1.71,0,0
EOS.V,D,20170714,000000,1.71,1.71,1.46,1.51,0,0
EOS.V,D,20170715,000000,1.51,1.52,1.28,1.29,0,0
EOS.V,D,20170716,000000,1.29,1.37,1.12,1.22,0,0
EOS.V,D,20170717,000000,1.22,1.59,1.2,1.51,0,0
EOS.V,D,20170718,000000,1.51,1.78,1.44,1.67,0,0
EOS.V,D,20170719,000000,1.67,1.8,1.39,1.45,0,0
EOS.V,D,20170720,000000,1.45,1.79,1.41,1.71,0,0
EOS.V,D,20170721,000000,1.71,1.98,1.68,1.79,0,0
EOS.V,D,20170722,000000,1.79,2.08,1.77,2.03,0,0
EOS.V,D,20170723,000000,2.03,2.18,1.8,1.91,0,0
EOS.V,D,20170724,000000,1.91,1.99,1.81,1.9,0,0
EOS.V,D,20170725,000000,1.9,1.91,1.53,1.67,0,0
EOS.V,D,20170726,000000,1.67,1.74,1.49,1.66,0,0
EOS.V,D,20170727,000000,1.66,1.94,1.64,1.91,0,0
EOS.V,D,20170728,000000,1.91,1.98,1.77,1.8,0,0
EOS.V,D,20170729,000000,1.8,1.87,1.6,1.81,0,0
EOS.V,D,20170730,000000,1.81,1.89,1.69,1.79,0,0
EOS.V,D,20170731,000000,1.79,1.81,1.64,1.72,0,0
EOS.V,D,20170801,000000,1.72,1.83,1.68,1.77,0,0
EOS.V,D,20170802,000000,1.77,1.93,1.69,1.76,0,0
EOS.V,D,20170803,000000,1.76,1.81,1.69,1.78,0,0
EOS.V,D,20170804,000000,1.78,1.85,1.7,1.78,0,0
EOS.V,D,20170805,000000,1.78,1.96,1.72,1.86,0,0
EOS.V,D,20170806,000000,1.86,1.88,1.75,1.76,0,0
EOS.V,D,20170807,000000,1.76,1.87,1.7,1.83,0,0
EOS.V,D,20170808,000000,1.83,1.98,1.79,1.86,0,0
EOS.V,D,20170809,000000,1.86,1.98,1.78,1.82,0,0
EOS.V,D,20170810,000000,1.82,1.91,1.79,1.84,0,0
EOS.V,D,20170811,000000,1.84,1.87,1.7,1.76,0,0
EOS.V,D,20170812,000000,1.76,1.83,1.6,1.65,0,0
EOS.V,D,20170813,000000,1.65,1.69,1.51,1.59,0,0
EOS.V,D,20170814,000000,1.59,1.69,1.51,1.61,0,0
EOS.V,D,20170815,000000,1.61,1.72,1.57,1.62,0,0
EOS.V,D,20170816,000000,1.62,1.64,1.55,1.59,0,0
EOS.V,D,20170817,000000,1.59,1.61,1.49,1.52,0,0
EOS.V,D,20170818,000000,1.52,1.53,1.35,1.4,0,0
EOS.V,D,20170819,000000,1.4,1.44,1.29,1.39,0,0
EOS.V,D,20170820,000000,1.39,1.42,1.33,1.36,0,0
EOS.V,D,20170821,000000,1.36,1.39,1.31,1.33,0,0
EOS.V,D,20170822,000000,1.33,1.33,1.24,1.27,0,0
EOS.V,D,20170823,000000,1.27,1.54,1.26,1.42,0,0
EOS.V,D,20170824,000000,1.42,1.42,1.33,1.37,0,0
EOS.V,D,20170825,000000,1.37,1.44,1.33,1.37,0,0
EOS.V,D,20170826,000000,1.37,1.39,1.33,1.36,0,0
EOS.V,D,20170827,000000,1.36,1.38,1.32,1.34,0,0
EOS.V,D,20170828,000000,1.34,1.36,1.29,1.33,0,0
EOS.V,D,20170829,000000,1.33,1.38,1.31,1.32,0,0
EOS.V,D,20170830,000000,1.32,1.35,1.22,1.25,0,0
EOS.V,D,20170831,000000,1.25,1.35,1.25,1.34,0,0
EOS.V,D,20170901,000000,1.34,1.35,1.28,1.32,0,0
EOS.V,D,20170902,000000,1.32,1.44,1.19,1.24,0,0
EOS.V,D,20170903,000000,1.24,1.33,1.21,1.3,0,0
EOS.V,D,20170904,000000,1.3,1.3,0.8219,0.9142,0,0
EOS.V,D,20170905,000000,0.9142,0.9777,0.7502,0.923,0,0
EOS.V,D,20170906,000000,0.923,1.16,0.856,0.9106,0,0
EOS.V,D,20170907,000000,0.9106,1.02,0.852,0.9828,0,0
EOS.V,D,20170908,000000,0.9828,0.9912,0.7804,0.8421,0,0
EOS.V,D,20170909,000000,0.8421,0.8487,0.7577,0.8174,0,0
EOS.V,D,20170910,000000,0.8174,0.8193,0.6992,0.745,0,0
EOS.V,D,20170911,000000,0.745,0.764,0.7101,0.735,0,0
EOS.V,D,20170912,000000,0.735,0.8944,0.729,0.859,0,0
EOS.V,D,20170913,000000,0.859,0.8595,0.6603,0.7272,0,0
EOS.V,D,20170914,000000,0.7272,0.7642,0.5207,0.5806,0,0
EOS.V,D,20170915,000000,0.5806,0.6782,0.5149,0.6511,0,0
EOS.V,D,20170916,000000,0.6511,0.6798,0.5781,0.624,0,0
EOS.V,D,20170917,000000,0.624,0.649,0.5678,0.6233,0,0
EOS.V,D,20170918,000000,0.6233,0.7075,0.6229,0.7049,0,0
EOS.V,D,20170919,000000,0.7049,0.7128,0.6465,0.6493,0,0
EOS.V,D,20170920,000000,0.6493,0.6673,0.6152,0.6166,0,0
EOS.V,D,20170921,000000,0.6166,0.6293,0.5434,0.5671,0,0
EOS.V,D,20170922,000000,0.5671,0.5793,0.5312,0.5659,0,0
EOS.V,D,20170923,000000,0.5659,0.6048,0.5579,0.578,0,0
EOS.V,D,20170924,000000,0.578,0.5861,0.5415,0.5454,0,0
EOS.V,D,20170925,000000,0.5454,0.5779,0.5245,0.5688,0,0
EOS.V,D,20170926,000000,0.5688,0.5854,0.5511,0.5614,0,0
EOS.V,D,20170927,000000,0.5614,0.6438,0.5569,0.6314,0,0
EOS.V,D,20170928,000000,0.6314,0.8237,0.6292,0.8085,0,0
EOS.V,D,20170929,000000,0.8085,0.8435,0.6979,0.7146,0,0
EOS.V,D,20170930,000000,0.7146,0.7585,0.7061,0.7274,0,0
EOS.V,D,20171001,000000,0.7274,0.7285,0.6631,0.7085,0,0
EOS.V,D,20171002,000000,0.7085,0.719,0.6331,0.6549,0,0
EOS.V,D,20171003,000000,0.6549,0.669,0.6057,0.6308,0,0
EOS.V,D,20171004,000000,0.6308,0.6347,0.5829,0.6008,0,0
EOS.V,D,20171005,000000,0.6008,0.6214,0.5752,0.6054,0,0
EOS.V,D,20171006,000000,0.6054,0.61,0.5862,0.6005,0,0
EOS.V,D,20171007,000000,0.6005,0.6075,0.5712,0.5895,0,0
