<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTT.V,D,20190807,000000,2.16,2.289,2.16,2.232,0,0
FTT.V,D,20190808,000000,2.232,2.774,2.168,2.252,0,0
FTT.V,D,20190809,000000,2.252,2.252,1.86,1.881,0,0
FTT.V,D,20190810,000000,1.881,1.918,1.714,1.8,0,0
FTT.V,D,20190811,000000,1.8,1.939,1.74,1.842,0,0
FTT.V,D,20190812,000000,1.842,1.919,1.755,1.918,0,0
FTT.V,D,20190813,000000,1.918,1.918,1.718,1.72,0,0
FTT.V,D,20190814,000000,1.72,1.72,1.421,1.546,0,0
FTT.V,D,20190815,000000,1.546,1.589,1.184,1.24,0,0
FTT.V,D,20190816,000000,1.24,1.67,1.166,1.607,0,0
FTT.V,D,20190817,000000,1.607,1.607,1.422,1.459,0,0
FTT.V,D,20190818,000000,1.459,1.609,1.458,1.588,0,0
FTT.V,D,20190819,000000,1.588,1.68,1.42,1.422,0,0
FTT.V,D,20190820,000000,1.422,1.452,1.386,1.386,0,0
FTT.V,D,20190821,000000,1.386,1.386,1.243,1.263,0,0
FTT.V,D,20190822,000000,1.263,1.308,1.208,1.231,0,0
FTT.V,D,20190823,000000,1.231,1.366,1.231,1.268,0,0
FTT.V,D,20190824,000000,1.268,1.347,1.228,1.312,0,0
FTT.V,D,20190825,000000,1.312,1.353,1.268,1.275,0,0
FTT.V,D,20190826,000000,1.275,1.318,1.252,1.288,0,0
FTT.V,D,20190827,000000,1.288,1.307,1.236,1.236,0,0
FTT.V,D,20190828,000000,1.236,1.245,1.131,1.212,0,0
FTT.V,D,20190829,000000,1.212,1.222,1.151,1.152,0,0
FTT.V,D,20190830,000000,1.152,1.2,1.147,1.152,0,0
FTT.V,D,20190831,000000,1.152,1.169,1.135,1.161,0,0
FTT.V,D,20190901,000000,1.161,1.185,1.158,1.17,0,0
FTT.V,D,20190902,000000,1.17,1.248,1.121,1.178,0,0
FTT.V,D,20190903,000000,1.178,1.219,1.174,1.177,0,0
FTT.V,D,20190904,000000,1.177,1.208,1.166,1.18,0,0
FTT.V,D,20190905,000000,1.18,1.18,1.139,1.149,0,0
FTT.V,D,20190906,000000,1.149,1.186,1.098,1.162,0,0
FTT.V,D,20190907,000000,1.162,1.208,1.162,1.206,0,0
FTT.V,D,20190908,000000,1.206,1.243,1.186,1.239,0,0
FTT.V,D,20190909,000000,1.239,1.306,1.218,1.238,0,0
FTT.V,D,20190910,000000,1.238,1.284,1.198,1.243,0,0
FTT.V,D,20190911,000000,1.243,1.254,1.176,1.236,0,0
FTT.V,D,20190912,000000,1.236,1.281,1.233,1.234,0,0
FTT.V,D,20190913,000000,1.234,1.255,1.192,1.221,0,0
FTT.V,D,20190914,000000,1.221,1.307,1.21,1.232,0,0
FTT.V,D,20190915,000000,1.232,1.264,1.225,1.262,0,0
FTT.V,D,20190916,000000,1.262,1.305,1.232,1.258,0,0
FTT.V,D,20190917,000000,1.258,1.307,1.24,1.294,0,0
FTT.V,D,20190918,000000,1.294,1.321,1.282,1.289,0,0
FTT.V,D,20190919,000000,1.289,1.392,1.285,1.305,0,0
FTT.V,D,20190920,000000,1.305,1.33,1.286,1.323,0,0
FTT.V,D,20190921,000000,1.323,1.339,1.287,1.311,0,0
FTT.V,D,20190922,000000,1.311,1.348,1.301,1.31,0,0
FTT.V,D,20190923,000000,1.31,1.31,1.243,1.277,0,0
FTT.V,D,20190924,000000,1.277,1.367,1.079,1.266,0,0
FTT.V,D,20190925,000000,1.266,1.27,1.194,1.248,0,0
FTT.V,D,20190926,000000,1.248,1.264,1.176,1.229,0,0
FTT.V,D,20190927,000000,1.229,1.325,1.229,1.278,0,0
FTT.V,D,20190928,000000,1.278,1.316,1.252,1.262,0,0
FTT.V,D,20190929,000000,1.262,1.306,1.233,1.283,0,0
FTT.V,D,20190930,000000,1.283,1.374,1.26,1.286,0,0
FTT.V,D,20191001,000000,1.286,1.306,1.239,1.3,0,0
FTT.V,D,20191002,000000,1.3,1.331,1.297,1.298,0,0
FTT.V,D,20191003,000000,1.298,1.325,1.271,1.305,0,0
FTT.V,D,20191004,000000,1.305,1.332,1.291,1.324,0,0
FTT.V,D,20191005,000000,1.324,1.342,1.313,1.325,0,0
FTT.V,D,20191006,000000,1.325,1.325,1.264,1.304,0,0
FTT.V,D,20191007,000000,1.304,1.372,1.269,1.297,0,0
FTT.V,D,20191008,000000,1.297,1.358,1.275,1.345,0,0
FTT.V,D,20191009,000000,1.345,1.473,1.345,1.428,0,0
FTT.V,D,20191010,000000,1.428,1.441,1.356,1.358,0,0
FTT.V,D,20191011,000000,1.358,1.405,1.302,1.386,0,0
FTT.V,D,20191012,000000,1.386,1.394,1.366,1.38,0,0
FTT.V,D,20191013,000000,1.38,1.38,1.331,1.357,0,0
FTT.V,D,20191014,000000,1.357,1.398,1.357,1.37,0,0
FTT.V,D,20191015,000000,1.37,1.435,1.334,1.39,0,0
FTT.V,D,20191016,000000,1.39,1.407,1.165,1.356,0,0
FTT.V,D,20191017,000000,1.356,1.378,1.318,1.349,0,0
FTT.V,D,20191018,000000,1.349,1.362,1.31,1.317,0,0
FTT.V,D,20191019,000000,1.317,1.344,1.296,1.338,0,0
FTT.V,D,20191020,000000,1.338,1.417,1.337,1.356,0,0
FTT.V,D,20191021,000000,1.356,1.359,1.307,1.328,0,0
FTT.V,D,20191022,000000,1.328,1.33,1.286,1.327,0,0
FTT.V,D,20191023,000000,1.327,1.327,1.224,1.246,0,0
FTT.V,D,20191024,000000,1.246,1.285,1.226,1.246,0,0
FTT.V,D,20191025,000000,1.246,1.497,1.246,1.302,0,0
FTT.V,D,20191026,000000,1.302,1.399,1.251,1.324,0,0
FTT.V,D,20191027,000000,1.324,1.408,1.324,1.4,0,0
FTT.V,D,20191028,000000,1.4,1.4,1.33,1.379,0,0
FTT.V,D,20191029,000000,1.379,1.5,1.379,1.466,0,0
FTT.V,D,20191030,000000,1.466,1.466,1.386,1.402,0,0
FTT.V,D,20191031,000000,1.402,1.418,1.374,1.385,0,0
FTT.V,D,20191101,000000,1.385,1.411,1.375,1.379,0,0
FTT.V,D,20191102,000000,1.379,1.396,1.379,1.384,0,0
FTT.V,D,20191103,000000,1.384,1.384,1.348,1.362,0,0
FTT.V,D,20191104,000000,1.362,1.392,1.357,1.367,0,0
FTT.V,D,20191105,000000,1.367,1.367,1.307,1.326,0,0
FTT.V,D,20191106,000000,1.326,1.358,1.312,1.335,0,0
FTT.V,D,20191107,000000,1.335,1.374,1.31,1.357,0,0
FTT.V,D,20191108,000000,1.357,1.357,1.276,1.32,0,0
FTT.V,D,20191109,000000,1.32,1.341,1.304,1.341,0,0
FTT.V,D,20191110,000000,1.341,1.4,1.341,1.398,0,0
FTT.V,D,20191111,000000,1.398,1.415,1.346,1.362,0,0
FTT.V,D,20191112,000000,1.362,1.405,1.36,1.383,0,0
FTT.V,D,20191113,000000,1.383,1.421,1.376,1.403,0,0
FTT.V,D,20191114,000000,1.403,1.439,1.376,1.43,0,0
FTT.V,D,20191115,000000,1.43,1.532,1.4,1.479,0,0
FTT.V,D,20191116,000000,1.479,1.498,1.471,1.474,0,0
FTT.V,D,20191117,000000,1.474,1.485,1.454,1.475,0,0
FTT.V,D,20191118,000000,1.475,1.475,1.399,1.427,0,0
FTT.V,D,20191119,000000,1.427,1.458,1.412,1.433,0,0
FTT.V,D,20191120,000000,1.433,1.437,1.404,1.426,0,0
FTT.V,D,20191121,000000,1.426,1.452,1.34,1.419,0,0
FTT.V,D,20191122,000000,1.419,1.503,1.339,1.404,0,0
FTT.V,D,20191123,000000,1.404,1.448,1.404,1.408,0,0
FTT.V,D,20191124,000000,1.408,1.409,1.326,1.403,0,0
FTT.V,D,20191125,000000,1.403,1.537,1.391,1.399,0,0
FTT.V,D,20191126,000000,1.399,1.415,1.379,1.397,0,0
FTT.V,D,20191127,000000,1.397,1.532,1.397,1.457,0,0
FTT.V,D,20191128,000000,1.457,1.579,1.424,1.441,0,0
FTT.V,D,20191129,000000,1.441,1.514,1.441,1.504,0,0
FTT.V,D,20191130,000000,1.504,1.504,1.461,1.478,0,0
FTT.V,D,20191201,000000,1.478,1.48,1.44,1.477,0,0
FTT.V,D,20191202,000000,1.477,1.522,1.456,1.497,0,0
FTT.V,D,20191203,000000,1.497,1.578,1.493,1.556,0,0
FTT.V,D,20191204,000000,1.556,1.795,1.528,1.79,0,0
FTT.V,D,20191205,000000,1.79,1.952,1.79,1.912,0,0
FTT.V,D,20191206,000000,1.912,2.013,1.912,1.973,0,0
