<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FX.V,D,20220514,000000,0.237096,0.237595,0.237096,0.237595,85.001802,0
FX.V,D,20220515,000000,0.242161,0.259536,0.237467,0.255293,82378.488649563,0
FX.V,D,20220516,000000,0.254968,0.263883,0.240187,0.244382,159243.77984017,0
FX.V,D,20220517,000000,0.243483,0.263583,0.24246,0.260887,280265.1421405,0
FX.V,D,20220518,000000,0.26096,0.281933,0.251298,0.261659,656986.43905333,0
FX.V,D,20220519,000000,0.261034,0.326141,0.252371,0.277223,947113.02019036,0
FX.V,D,20220520,000000,0.277322,0.291396,0.26126,0.272173,996394.83969576,0
FX.V,D,20220521,000000,0.269376,0.274443,0.261785,0.265754,460398.76399244,0
FX.V,D,20220522,000000,0.265754,0.273671,0.261733,0.271973,168392.62234658,0
FX.V,D,20220523,000000,0.272073,0.276323,0.26983,0.270675,252801.70630352,0
FX.V,D,20220524,000000,0.270448,0.271374,0.255019,0.261659,224751.86698794,0
FX.V,D,20220525,000000,0.262259,0.269104,0.260787,0.267379,158213.75584693,0
FX.V,D,20220526,000000,0.267279,0.269903,0.218238,0.23996,570663.17401568,0
FX.V,D,20220527,000000,0.239736,0.258042,0.233866,0.246154,314532.4216835,0
FX.V,D,20220528,000000,0.245819,0.248536,0.241624,0.244514,168577.91528783,0
FX.V,D,20220529,000000,0.244555,0.254028,0.241122,0.246728,345909.83680321,0
FX.V,D,20220530,000000,0.247043,0.274608,0.246044,0.272682,364948.42369884,0
FX.V,D,20220531,000000,0.273781,0.323174,0.270284,0.28777,593041.12557299,0
FX.V,D,20220601,000000,0.287975,0.30098,0.253172,0.258068,319670.80400624,0
FX.V,D,20220602,000000,0.257868,0.268258,0.253572,0.258867,173670.88880885,0
FX.V,D,20220603,000000,0.258967,0.290304,0.249975,0.255877,437885.23197195,0
FX.V,D,20220604,000000,0.255877,0.283179,0.249176,0.255206,505081.71594803,0
FX.V,D,20220605,000000,0.255206,0.259682,0.250997,0.256459,228804.66166549,0
FX.V,D,20220606,000000,0.256958,0.281857,0.25546,0.268075,907866.56988777,0
FX.V,D,20220607,000000,0.268674,0.27098,0.250412,0.269279,1404802.1338179,0
FX.V,D,20220608,000000,0.269376,0.269476,0.251447,0.255434,1404357.8961128,0
FX.V,D,20220609,000000,0.254135,0.259884,0.252236,0.255485,388355.11360897,0
FX.V,D,20220610,000000,0.255885,0.257081,0.244545,0.245688,3303627.0851964,0
FX.V,D,20220611,000000,0.245588,0.246988,0.224135,0.227742,517423.17595936,0
FX.V,D,20220612,000000,0.22774,0.228639,0.207906,0.214036,337599.42616766,0
FX.V,D,20220613,000000,0.213737,0.213937,0.158663,0.174357,2994207.0906792,0
FX.V,D,20220614,000000,0.178452,0.1816,0.149984,0.1672,14764145.379429,0
FX.V,D,20220615,000000,0.1672,0.177187,0.1399,0.172641,5434190.6461988,0
FX.V,D,20220616,000000,0.172541,0.173157,0.155014,0.158877,1019113.709538,0
FX.V,D,20220617,000000,0.156885,0.165584,0.152188,0.15841,13024756.533982,0
