<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLM.V,D,20220513,000000,0.238594,0.238594,0.238546,0.23857,0,0
GLM.V,D,20220514,000000,0.229463,0.24985,0.229463,0.248152,35872.638378787866,0
GLM.V,D,20220515,000000,0.247253,0.264482,0.244757,0.264456,39068.58127304,0
GLM.V,D,20220516,000000,0.26668,0.274398,0.247828,0.25644,134382.0839501252,0
GLM.V,D,20220517,000000,0.256966,0.266979,0.252246,0.266979,169946.85856931153,0
GLM.V,D,20220518,000000,0.268178,0.333766,0.265927,0.279636,2120962.2927550776,0
GLM.V,D,20220519,000000,0.280934,0.283831,0.233995,0.258741,478850.060727694,0
GLM.V,D,20220520,000000,0.259167,0.267532,0.241909,0.250299,140107.0024343702,0
GLM.V,D,20220521,000000,0.2496,0.254594,0.243483,0.25357,155436.62217571048,0
GLM.V,D,20220522,000000,0.252146,0.273471,0.250748,0.263284,278180.27830196556,0
GLM.V,D,20220523,000000,0.265381,0.291679,0.264782,0.26598,1521663.97219182,0
GLM.V,D,20220524,000000,0.264056,0.264083,0.240811,0.25377,116917.7598962204,0
GLM.V,D,20220525,000000,0.259436,0.263157,0.248601,0.257317,572070.7430732172,0
GLM.V,D,20220526,000000,0.257516,0.270902,0.235641,0.250524,608905.7144386974,0
GLM.V,D,20220527,000000,0.24935,0.263536,0.23654,0.246953,281812.53880814643,0
GLM.V,D,20220528,000000,0.245617,0.249925,0.242796,0.249508,59491.922845847585,0
GLM.V,D,20220529,000000,0.248324,0.253244,0.242823,0.249126,84075.6164269689,0
GLM.V,D,20220530,000000,0.252015,0.277805,0.251933,0.275707,164942.71043967927,0
GLM.V,D,20220531,000000,0.276179,0.28737,0.264388,0.271782,139702.96698211267,0
GLM.V,D,20220601,000000,0.271907,0.342891,0.262111,0.264635,1960859.2024587456,0
GLM.V,D,20220602,000000,0.264861,0.404036,0.264835,0.360076,7841977.520134567,0
GLM.V,D,20220603,000000,0.360675,0.365171,0.306293,0.314326,1351985.0361968172,0
GLM.V,D,20220604,000000,0.315026,0.339843,0.293935,0.300574,213532.1732302769,0
GLM.V,D,20220605,000000,0.302527,0.315947,0.28824,0.299818,313453.44841854105,0
GLM.V,D,20220606,000000,0.299824,0.3155,0.2946,0.3048,669476.9854709968,0
GLM.V,D,20220607,000000,0.3048,0.3119,0.2815,0.2978,1656408.397871883,0
GLM.V,D,20220608,000000,0.2988,0.2994,0.2831,0.288013,2827783.9906310695,0
GLM.V,D,20220609,000000,0.286414,0.304659,0.286414,0.295052,2167727.5570343602,0
GLM.V,D,20220610,000000,0.297553,0.297556,0.268234,0.274251,12025905.791507995,0
GLM.V,D,20220611,000000,0.272853,0.2801,0.243415,0.250015,517004.4599025824,0
GLM.V,D,20220612,000000,0.25172,0.253913,0.227277,0.240801,154463.54378661545,0
GLM.V,D,20220613,000000,0.238404,0.241105,0.1914,0.2013,21741878.252533965,0
GLM.V,D,20220614,000000,0.2027,0.2084,0.1736,0.1949,41123412.77433841,0
GLM.V,D,20220615,000000,0.1931,0.2194,0.1746,0.2144,33909573.05847255,0
GLM.V,D,20220616,000000,0.213401,0.245729,0.204854,0.211703,17440543.61842473,0
GLM.V,D,20220617,000000,0.201524,0.2249,0.201524,0.218637,26995875.848948803,0
GLM.V,D,20220618,000000,0.2192,0.224335,0.187385,0.198079,24452086.230098512,0
GLM.V,D,20220619,000000,0.197679,0.219436,0.187221,0.215941,1650081.974889415,0
GLM.V,D,20220620,000000,0.217339,0.225674,0.20743,0.220757,529609.5993816303,0
GLM.V,D,20220621,000000,0.220635,0.250224,0.219059,0.235964,2197481.594175774,0
GLM.V,D,20220622,000000,0.2326,0.2362,0.2242,0.2261,759453.4302344569,0
GLM.V,D,20220623,000000,0.2265,0.240259,0.2258,0.23946,508999.8939470434,0
GLM.V,D,20220624,000000,0.23956,0.251009,0.23956,0.250804,15281151.056976236,0
GLM.V,D,20220625,000000,0.24995,0.254645,0.241631,0.250924,12999773.258592043,0
GLM.V,D,20220626,000000,0.251331,0.253328,0.243256,0.24635,5462022.399785471,0
GLM.V,D,20220627,000000,0.245553,0.263989,0.237852,0.24468,537896.0745444893,0
GLM.V,D,20220628,000000,0.244965,0.26356,0.240864,0.24351,645438.8374757529,0
GLM.V,D,20220629,000000,0.243797,0.245198,0.225286,0.232918,3062326.7223837245,0
GLM.V,D,20220630,000000,0.232521,0.246004,0.207815,0.217838,2992303.0073482124,0
GLM.V,D,20220701,000000,0.218138,0.252371,0.217239,0.229547,4359315.440547747,0
GLM.V,D,20220702,000000,0.230047,0.231345,0.219936,0.226927,5524058.5934050465,0
GLM.V,D,20220703,000000,0.226927,0.237091,0.218216,0.231798,4302275.139402131,0
GLM.V,D,20220704,000000,0.231199,0.248177,0.224508,0.240112,702885.902097027,0
GLM.V,D,20220705,000000,0.239812,0.2496,0.232421,0.241934,338702.0416956305,0
GLM.V,D,20220706,000000,0.241634,0.244031,0.234342,0.238937,436334.04081230704,0
GLM.V,D,20220707,000000,0.24131,0.248526,0.237738,0.247751,128691.92047036019,0
GLM.V,D,20220708,000000,0.247177,0.258045,0.242454,0.250624,205376.83107388404,0
GLM.V,D,20220709,000000,0.24975,0.254547,0.242954,0.253848,113349.40126005092,0
GLM.V,D,20220710,000000,0.253722,0.257545,0.243654,0.251849,241264.60555610925,0
GLM.V,D,20220711,000000,0.250949,0.257845,0.240807,0.243481,292778.95212862524,0
GLM.V,D,20220712,000000,0.242581,0.24945,0.22937,0.230569,374453.67602941254,0
GLM.V,D,20220713,000000,0.232458,0.234265,0.219181,0.229793,384155.3059799007,0
GLM.V,D,20220714,000000,0.230462,0.242035,0.219714,0.235708,253755.1106258709,0
GLM.V,D,20220715,000000,0.235708,0.245677,0.228,0.239058,326901.9542262303,0
GLM.V,D,20220716,000000,0.239078,0.247071,0.230271,0.241442,136276.94781729812,0
GLM.V,D,20220717,000000,0.241437,0.245963,0.232633,0.238716,200485.00680324392,0
GLM.V,D,20220718,000000,0.234983,0.254412,0.231899,0.245873,300390.47886263597,0
GLM.V,D,20220719,000000,0.245821,0.261473,0.239966,0.257641,325598.1559597846,0
GLM.V,D,20220720,000000,0.25682,0.267017,0.247608,0.250873,551269.8781350636,0
GLM.V,D,20220721,000000,0.25088,0.256924,0.237482,0.252278,140575.17090861243,0
