<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLMR.V,D,20220402,000000,4.34674,5.37801,4.22577,4.88966,21077420.55979225,0
GLMR.V,D,20220403,000000,4.89556,5.35214,4.41512,4.85085,38441779.20589972,0
GLMR.V,D,20220404,000000,4.85896,5.9912,4.81724,5.35531,31529906.137433022,0
GLMR.V,D,20220405,000000,5.35851,5.45944,4.4975,4.63083,10125812.27235132,0
GLMR.V,D,20220406,000000,4.63133,4.75075,3.81738,4.0188,9189039.896076435,0
GLMR.V,D,20220407,000000,4.017,4.18682,3.71,3.87329,7568824.118330042,0
GLMR.V,D,20220408,000000,3.87779,4.19592,3.70197,3.83653,9055294.508024111,0
GLMR.V,D,20220409,000000,3.84165,3.97309,3.68287,3.85916,3379088.619943589,0
GLMR.V,D,20220410,000000,3.85986,4.4908,3.85446,4.15083,11101622.81840608,0
GLMR.V,D,20220411,000000,4.14863,4.14931,3.43333,3.46644,6827871.177302502,0
GLMR.V,D,20220412,000000,3.46739,3.78726,3.36841,3.52966,7407409.443449686,0
GLMR.V,D,20220413,000000,3.52906,4.23655,3.43429,3.9957,11642250.094270125,0
GLMR.V,D,20220414,000000,3.9967,4.17845,3.70541,3.83507,8991594.191381186,0
GLMR.V,D,20220415,000000,3.83557,4.14983,3.75215,3.9961,7819970.303878762,0
GLMR.V,D,20220416,000000,3.9954,4.31216,3.96419,4.13973,6493821.861838421,0
GLMR.V,D,20220417,000000,4.13713,4.28086,3.86787,3.93549,3463789.2261988632,0
GLMR.V,D,20220418,000000,3.93659,4.16125,3.65507,4.06452,6822539.838234496,0
GLMR.V,D,20220419,000000,4.06272,4.31086,3.9979,4.15783,8169829.9211323345,0
GLMR.V,D,20220420,000000,4.15913,4.49045,4.0254,4.12562,7430750.428079738,0
GLMR.V,D,20220421,000000,4.12502,4.24942,3.80778,3.88238,4355171.486323738,0
GLMR.V,D,20220422,000000,3.88239,3.9807,3.63983,3.75758,3668615.8974051196,0
GLMR.V,D,20220423,000000,3.75575,3.77916,3.57071,3.70544,2976773.54585396,0
GLMR.V,D,20220424,000000,3.70664,3.71454,3.33487,3.34827,3406499.9069796563,0
GLMR.V,D,20220425,000000,3.34927,3.45069,3.0691,3.40438,5019050.6852045795,0
GLMR.V,D,20220426,000000,3.40378,3.58112,3.0268,3.06261,4134248.092738075,0
GLMR.V,D,20220427,000000,3.06411,3.10469,2.9185,2.9851,4773091.942964579,0
GLMR.V,D,20220428,000000,2.9864,3.22842,2.9703,2.9973,6609349.223095781,0
GLMR.V,D,20220429,000000,3.0053,3.0298,2.58366,2.58796,6019404.48812801,0
GLMR.V,D,20220430,000000,2.58486,2.82158,2.47195,2.5112,5101948.353558894,0
GLMR.V,D,20220501,000000,2.5102,2.55526,2.3088,2.4822,4400203.748530199,0
GLMR.V,D,20220502,000000,2.48235,2.65617,2.43824,2.536,4663387.398859374,0
GLMR.V,D,20220503,000000,2.53645,2.58026,2.41342,2.44696,2467714.174437495,0
GLMR.V,D,20220504,000000,2.44696,2.8523,2.41752,2.7504,4737916.300515806,0
GLMR.V,D,20220505,000000,2.75427,2.91002,2.34963,2.43591,4931060.84636441,0
GLMR.V,D,20220506,000000,2.43606,2.44746,2.25787,2.32517,4023560.2508634985,0
GLMR.V,D,20220507,000000,2.32517,2.35206,2.21246,2.21356,2094383.6851157367,0
GLMR.V,D,20220508,000000,2.21696,2.23268,2.08367,2.15945,2394221.5977399047,0
GLMR.V,D,20220509,000000,2.15895,2.15895,1.72018,1.84293,6062150.161520493,0
GLMR.V,D,20220510,000000,1.82913,1.9815,1.61651,1.72501,3606127.14519238,0
GLMR.V,D,20220511,000000,1.72251,1.79,1.06922,1.11873,5617773.3181674415,0
GLMR.V,D,20220512,000000,1.11924,1.29089,1.04378,1.08775,6557711.156066468,0
GLMR.V,D,20220513,000000,1.08785,1.41096,1.08407,1.27563,6973682.813253208,0
GLMR.V,D,20220514,000000,1.2755,1.28528,1.07485,1.18594,4636199.502484086,0
GLMR.V,D,20220515,000000,1.18783,1.32238,1.17675,1.31299,4307544.115455456,0
GLMR.V,D,20220516,000000,1.31309,1.42709,1.23737,1.32857,3704303.3444334962,0
GLMR.V,D,20220517,000000,1.33157,1.44371,1.28153,1.39608,2350972.555079066,0
GLMR.V,D,20220518,000000,1.39678,1.42858,1.16558,1.17667,3708122.80179965,0
GLMR.V,D,20220519,000000,1.17827,1.26106,1.08858,1.19293,4832672.348770253,0
GLMR.V,D,20220520,000000,1.19233,1.25092,1.08052,1.12535,3294455.3606600817,0
GLMR.V,D,20220521,000000,1.12964,1.20783,1.09957,1.16488,2827255.9016140597,0
GLMR.V,D,20220522,000000,1.16309,1.25776,1.15578,1.22713,3367358.394246971,0
GLMR.V,D,20220523,000000,1.22653,1.31016,1.21184,1.22703,2971600.9163601953,0
GLMR.V,D,20220524,000000,1.2268,1.47368,1.12495,1.37052,10637546.52482625,0
GLMR.V,D,20220525,000000,1.36942,1.57437,1.273,1.31422,12315794.000719659,0
GLMR.V,D,20220526,000000,1.31355,1.3333,1.14872,1.19131,1941305.5386496133,0
GLMR.V,D,20220527,000000,1.19071,1.24116,1.12767,1.18801,2362440.7622989053,0
GLMR.V,D,20220528,000000,1.18643,1.23265,1.16362,1.1938,1331236.7144132655,0
GLMR.V,D,20220529,000000,1.19337,1.22952,1.16688,1.20437,1182602.6042653886,0
GLMR.V,D,20220530,000000,1.20419,1.42336,1.20201,1.39312,3444582.5083206855,0
GLMR.V,D,20220531,000000,1.39438,1.41067,1.2801,1.34223,3323242.009104082,0
GLMR.V,D,20220601,000000,1.34302,1.3718,1.21398,1.23379,1724903.9930778544,0
GLMR.V,D,20220602,000000,1.23339,1.38395,1.22108,1.36807,2546307.633512152,0
GLMR.V,D,20220603,000000,1.37146,1.39113,1.25062,1.29647,3252482.5219533364,0
GLMR.V,D,20220604,000000,1.29617,1.34012,1.28302,1.3156,2659626.5242057084,0
GLMR.V,D,20220605,000000,1.316,1.36436,1.29425,1.34623,2824921.580997191,0
GLMR.V,D,20220606,000000,1.34633,1.43512,1.31875,1.34745,6635851.890913757,0
GLMR.V,D,20220607,000000,1.34837,1.35065,1.22598,1.31112,4434211.352866202,0
GLMR.V,D,20220608,000000,1.31124,1.35533,1.25129,1.26907,4329454.568455078,0
GLMR.V,D,20220609,000000,1.27087,1.30926,1.2514,1.27273,3116313.7604972883,0
GLMR.V,D,20220610,000000,1.27262,1.27949,1.16895,1.19237,7442302.909207922,0
GLMR.V,D,20220611,000000,1.19237,1.19828,1.04379,1.07139,3889558.474990332,0
GLMR.V,D,20220612,000000,1.07008,1.08219,0.9987,1.01275,4523366.143247201,0
GLMR.V,D,20220613,000000,1.01275,1.01275,0.8011,0.87608,18399498.692069527,0
GLMR.V,D,20220614,000000,0.87868,0.9273,0.80779,0.87005,15322212.70074412,0
GLMR.V,D,20220615,000000,0.86855,0.9084,0.77116,0.90474,13667156.162152158,0
GLMR.V,D,20220616,000000,0.90684,0.91461,0.78256,0.815139,5139721.165312416,0
GLMR.V,D,20220617,000000,0.818361,0.821265,0.672791,0.685077,15793446.244617749,0
GLMR.V,D,20220618,000000,0.685676,0.712958,0.549685,0.599328,25362357.499273118,0
GLMR.V,D,20220619,000000,0.599627,0.666999,0.577978,0.651552,6977679.499481862,0
GLMR.V,D,20220620,000000,0.651717,0.692007,0.62189,0.660672,4194679.389807093,0
GLMR.V,D,20220621,000000,0.660407,0.707263,0.646118,0.659773,7455953.32070812,0
GLMR.V,D,20220622,000000,0.659474,0.661138,0.601198,0.60939,4030352.2722260943,0
GLMR.V,D,20220623,000000,0.60939,0.672327,0.600099,0.636563,5730003.064194285,0
GLMR.V,D,20220624,000000,0.636399,0.683446,0.634964,0.680369,6153306.049623771,0
GLMR.V,D,20220625,000000,0.683616,0.725214,0.663135,0.702908,6731051.685898748,0
GLMR.V,D,20220626,000000,0.703001,0.814937,0.689324,0.727856,11899692.84194127,0
GLMR.V,D,20220627,000000,0.727856,0.738135,0.677469,0.688886,3402758.5347062033,0
GLMR.V,D,20220628,000000,0.689093,0.712751,0.65417,0.670474,2652047.5723919165,0
GLMR.V,D,20220629,000000,0.670567,0.671886,0.622134,0.643826,2818231.695685441,0
GLMR.V,D,20220630,000000,0.645218,0.645225,0.579845,0.597083,3348811.1963595347,0
GLMR.V,D,20220701,000000,0.597582,0.740662,0.595385,0.645889,5412403.527275234,0
GLMR.V,D,20220702,000000,0.645989,0.708549,0.625311,0.677286,5066258.385556571,0
GLMR.V,D,20220703,000000,0.678085,0.697063,0.651886,0.672624,1140575.3425455205,0
GLMR.V,D,20220704,000000,0.672425,0.704953,0.654748,0.689871,2499295.4961111504,0
GLMR.V,D,20220705,000000,0.690071,0.708748,0.656477,0.682548,2471915.1143972483,0
GLMR.V,D,20220706,000000,0.682548,0.683947,0.651982,0.669663,1508738.3179374945,0
GLMR.V,D,20220707,000000,0.670761,0.700809,0.655079,0.691285,2497170.665216542,0
GLMR.V,D,20220708,000000,0.691285,0.710302,0.664501,0.68269,2128623.0987627935,0
GLMR.V,D,20220709,000000,0.682622,0.698481,0.674795,0.687687,1091535.6732992334,0
GLMR.V,D,20220710,000000,0.687618,0.690485,0.639852,0.654607,1077330.0620674908,0
GLMR.V,D,20220711,000000,0.654607,0.654607,0.611349,0.611349,1406665.7238829343,0
GLMR.V,D,20220712,000000,0.611149,0.611149,0.582858,0.586713,2121504.2354382263,0
GLMR.V,D,20220713,000000,0.58673,0.605394,0.555289,0.58787,2660065.0479460573,0
GLMR.V,D,20220714,000000,0.58807,0.618828,0.57394,0.602139,2060525.8299971346,0
GLMR.V,D,20220715,000000,0.602238,0.630721,0.601239,0.616615,2091857.4931332422,0
GLMR.V,D,20220716,000000,0.615315,0.639172,0.589964,0.619614,1315613.8793517721,0
GLMR.V,D,20220717,000000,0.617539,0.629362,0.60813,0.617739,1270358.0090571265,0
GLMR.V,D,20220718,000000,0.617939,0.692538,0.609087,0.660448,3953598.6567851566,0
GLMR.V,D,20220719,000000,0.660348,0.8079,0.656929,0.768723,7998410.344037044,0
GLMR.V,D,20220720,000000,0.768623,0.796708,0.693286,0.718736,4794956.4144951,0
GLMR.V,D,20220721,000000,0.718736,0.738255,0.676234,0.732383,2387730.950573181,0
GLMR.V,D,20220722,000000,0.732383,0.780164,0.712035,0.722559,3363829.980888566,0
GLMR.V,D,20220723,000000,0.723266,0.734573,0.677439,0.689931,2292291.3585342523,0
GLMR.V,D,20220724,000000,0.690169,0.735532,0.689931,0.727846,1539830.3383463807,0
GLMR.V,D,20220725,000000,0.729146,0.740341,0.666273,0.688055,1946606.6580557092,0
GLMR.V,D,20220726,000000,0.688055,0.688055,0.62675,0.633695,1512338.5861194895,0
GLMR.V,D,20220727,000000,0.6337,0.698893,0.6337,0.684864,2194887.8300808994,0
GLMR.V,D,20220728,000000,0.684864,0.768969,0.684678,0.753751,3134269.693416882,0
GLMR.V,D,20220729,000000,0.753858,0.790855,0.730783,0.762212,3742788.2693454074,0
GLMR.V,D,20220730,000000,0.762212,0.880908,0.759304,0.822671,7516987.082850153,0
GLMR.V,D,20220731,000000,0.820946,0.860086,0.792622,0.822489,4130419.1023607473,0
GLMR.V,D,20220801,000000,0.822947,0.850613,0.777025,0.786036,3871775.344400733,0
GLMR.V,D,20220802,000000,0.785936,0.810308,0.598179,0.70772,34198052.853132695,0
GLMR.V,D,20220803,000000,0.70692,0.72516,0.670174,0.692173,5377628.877453301,0
GLMR.V,D,20220804,000000,0.692408,0.73651,0.678275,0.710928,4502707.173191971,0
GLMR.V,D,20220805,000000,0.710921,0.78451,0.708328,0.73904,5011164.132104541,0
GLMR.V,D,20220806,000000,0.73944,0.791242,0.737925,0.766676,8048609.643614582,0
GLMR.V,D,20220807,000000,0.766769,0.774847,0.742778,0.767846,5358815.105495863,0
GLMR.V,D,20220808,000000,0.767646,0.806526,0.757836,0.771693,4910630.279863987,0
GLMR.V,D,20220809,000000,0.771793,0.775832,0.695818,0.720044,4514983.957213923,0
GLMR.V,D,20220810,000000,0.720044,0.770839,0.693787,0.756919,2480085.460414934,0
GLMR.V,D,20220811,000000,0.756919,0.789239,0.745728,0.748752,3015951.438560829,0
GLMR.V,D,20220812,000000,0.749552,0.7496,0.712385,0.731436,3531883.526411685,0
GLMR.V,D,20220813,000000,0.731429,0.771817,0.729785,0.738188,3684405.9895565184,0
GLMR.V,D,20220814,000000,0.738188,0.744375,0.686758,0.702918,6791236.993155727,0
GLMR.V,D,20220815,000000,0.702981,0.72929,0.676476,0.70837,2630045.5692025707,0
GLMR.V,D,20220816,000000,0.708477,0.739948,0.692966,0.700363,2466529.310023054,0
GLMR.V,D,20220817,000000,0.700363,0.719658,0.660774,0.670047,2548097.818387201,0
GLMR.V,D,20220818,000000,0.670147,0.686141,0.655139,0.666407,2934312.887505346,0
GLMR.V,D,20220819,000000,0.666367,0.669867,0.5972,0.6044,3306269.0093351314,0
GLMR.V,D,20220820,000000,0.603318,0.638428,0.59424,0.603,2261303.787724834,0
GLMR.V,D,20220821,000000,0.603088,0.643381,0.603088,0.638081,1840329.4125902,0
GLMR.V,D,20220822,000000,0.638087,0.6411,0.598558,0.606697,1262609.0760223405,0
GLMR.V,D,20220823,000000,0.606709,0.624463,0.596,0.613412,1901024.585699491,0
GLMR.V,D,20220824,000000,0.613339,0.624637,0.585359,0.605554,2621030.133644503,0
GLMR.V,D,20220825,000000,0.605655,0.613369,0.59676,0.600618,2142678.7492364794,0
GLMR.V,D,20220826,000000,0.600618,0.603706,0.555356,0.556256,2329962.7525983653,0
GLMR.V,D,20220827,000000,0.55625,0.562989,0.535248,0.544416,2129436.1496752836,0
GLMR.V,D,20220828,000000,0.544111,0.556617,0.539962,0.5449,919191.2184143105,0
GLMR.V,D,20220829,000000,0.5449,0.562584,0.523063,0.548933,1432921.6868103766,0
GLMR.V,D,20220830,000000,0.548944,0.560294,0.513641,0.524147,2003885.0986438636,0
GLMR.V,D,20220831,000000,0.524142,0.534805,0.513179,0.533595,1432391.1916279201,0
GLMR.V,D,20220901,000000,0.533695,0.534316,0.511115,0.524169,1325702.1557480055,0
GLMR.V,D,20220902,000000,0.524169,0.573603,0.5194,0.53568,2429896.765440072,0
GLMR.V,D,20220903,000000,0.536086,0.539997,0.5204,0.525953,1557496.1798214784,0
GLMR.V,D,20220904,000000,0.5259,0.5297,0.5175,0.5248,976618.4804361988,0
GLMR.V,D,20220905,000000,0.5248,0.529453,0.5104,0.516052,1101562.131502985,0
GLMR.V,D,20220906,000000,0.516052,0.5272,0.480452,0.4844,1441251.8032472911,0
GLMR.V,D,20220907,000000,0.4844,0.504866,0.470509,0.500825,1338610.5064328508,0
GLMR.V,D,20220908,000000,0.501335,0.504371,0.481243,0.493474,1823658.5798725025,0
GLMR.V,D,20220909,000000,0.4936,0.574895,0.490654,0.570594,5876899.24202687,0
GLMR.V,D,20220910,000000,0.570014,0.625375,0.542606,0.560707,15263686.563832065,0
GLMR.V,D,20220911,000000,0.560606,0.612878,0.560606,0.588647,5313991.810749409,0
GLMR.V,D,20220912,000000,0.586647,0.628526,0.568114,0.568114,5533957.168010141,0
GLMR.V,D,20220913,000000,0.568102,0.571237,0.515726,0.52211,3788310.990730074,0
GLMR.V,D,20220914,000000,0.521852,0.52371,0.49272,0.510428,3396229.7134123775,0
GLMR.V,D,20220915,000000,0.513028,0.517645,0.484618,0.493456,1946523.283725906,0
GLMR.V,D,20220916,000000,0.493456,0.49555,0.475452,0.493451,2305967.324009079,0
GLMR.V,D,20220917,000000,0.4935,0.5297,0.4862,0.510651,3531746.0874612303,0
GLMR.V,D,20220918,000000,0.5106,0.5231,0.4731,0.4771,3103535.8455148647,0
GLMR.V,D,20220919,000000,0.4771,0.4851,0.454645,0.475895,2633013.966002159,0
GLMR.V,D,20220920,000000,0.475548,0.480296,0.4567,0.4651,2034060.3848282562,0
GLMR.V,D,20220921,000000,0.464909,0.4765,0.4378,0.4396,2667363.8538593277,0
GLMR.V,D,20220922,000000,0.4395,0.467247,0.4359,0.4603,1965483.6510768773,0
GLMR.V,D,20220923,000000,0.4603,0.4745,0.445355,0.4621,1661942.8535484134,0
GLMR.V,D,20220924,000000,0.462054,0.468714,0.454291,0.455141,1128120.2834827772,0
GLMR.V,D,20220925,000000,0.4551,0.48882,0.4507,0.465,2348495.4668846936,0
GLMR.V,D,20220926,000000,0.465,0.4813,0.446145,0.461354,2595760.367163544,0
GLMR.V,D,20220927,000000,0.4614,0.488349,0.451055,0.456954,2137928.5541580464,0
GLMR.V,D,20220928,000000,0.456954,0.462,0.439656,0.4533,2053832.165846242,0
GLMR.V,D,20220929,000000,0.4533,0.471553,0.444,0.452245,3570000.9958304325,0
GLMR.V,D,20220930,000000,0.452245,0.4582,0.4249,0.4396,3667018.8295162143,0
GLMR.V,D,20221001,000000,0.439644,0.4722,0.4375,0.4551,2015275.958106204,0
GLMR.V,D,20221002,000000,0.4547,0.4855,0.4509,0.4543,9861647.755262606,0
GLMR.V,D,20221003,000000,0.4543,0.463993,0.4385,0.462046,2718132.9663195196,0
GLMR.V,D,20221004,000000,0.462046,0.481296,0.455891,0.472942,2484092.443476224,0
GLMR.V,D,20221005,000000,0.472942,0.473542,0.452245,0.465893,2129528.322235057,0
