<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HT.V,D,20190829,000000,4.027,4.05,3.81,3.873,0,0
HT.V,D,20190830,000000,3.873,3.954,3.772,3.862,0,0
HT.V,D,20190831,000000,3.864,3.899,3.826,3.874,0,0
HT.V,D,20190901,000000,3.875,3.961,3.689,3.767,0,0
HT.V,D,20190902,000000,3.762,4.002,3.757,3.984,0,0
HT.V,D,20190903,000000,3.986,4.143,3.937,4.132,0,0
HT.V,D,20190904,000000,4.132,4.175,4.012,4.108,0,0
HT.V,D,20190905,000000,4.109,4.13,3.903,3.946,0,0
HT.V,D,20190906,000000,3.947,4.092,3.93,3.945,0,0
HT.V,D,20190907,000000,3.945,4.084,3.928,4.059,0,0
HT.V,D,20190908,000000,4.056,4.089,4.004,4.038,0,0
HT.V,D,20190909,000000,4.038,4.089,3.975,4.012,0,0
HT.V,D,20190910,000000,4.012,4.201,3.999,4.137,0,0
HT.V,D,20190911,000000,4.137,4.36,4.077,4.181,0,0
HT.V,D,20190912,000000,4.18,4.194,4.046,4.102,0,0
HT.V,D,20190913,000000,4.101,4.139,4.027,4.051,0,0
HT.V,D,20190914,000000,4.051,4.122,4.013,4.099,0,0
HT.V,D,20190915,000000,4.1,4.121,4.042,4.057,0,0
HT.V,D,20190916,000000,4.056,4.1,3.983,4.05,0,0
HT.V,D,20190917,000000,4.05,4.165,4.025,4.092,0,0
HT.V,D,20190918,000000,4.094,4.229,4.066,4.151,0,0
HT.V,D,20190919,000000,4.151,4.164,4,4.123,0,0
HT.V,D,20190920,000000,4.123,4.16,4.057,4.071,0,0
HT.V,D,20190921,000000,4.07,4.125,4.051,4.061,0,0
HT.V,D,20190922,000000,4.06,4.095,3.992,4.016,0,0
HT.V,D,20190923,000000,4.017,4.03,3.781,3.787,0,0
HT.V,D,20190924,000000,3.786,3.854,3.246,3.388,0,0
HT.V,D,20190925,000000,3.384,3.416,3.117,3.24,0,0
HT.V,D,20190926,000000,3.243,3.279,2.911,3.029,0,0
HT.V,D,20190927,000000,3.029,3.195,2.989,3.157,0,0
HT.V,D,20190928,000000,3.16,3.22,3.094,3.152,0,0
HT.V,D,20190929,000000,3.155,3.186,3.019,3.076,0,0
HT.V,D,20190930,000000,3.075,3.232,3.062,3.187,0,0
HT.V,D,20191001,000000,3.188,3.306,3.138,3.15,0,0
HT.V,D,20191002,000000,3.149,3.186,3.114,3.183,0,0
HT.V,D,20191003,000000,3.183,3.217,3.101,3.152,0,0
HT.V,D,20191004,000000,3.154,3.188,3.109,3.175,0,0
HT.V,D,20191005,000000,3.173,3.181,3.112,3.155,0,0
HT.V,D,20191006,000000,3.155,3.176,3.009,3.035,0,0
HT.V,D,20191007,000000,3.038,3.2,3.004,3.148,0,0
HT.V,D,20191008,000000,3.148,3.302,3.134,3.156,0,0
