<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILV.V,D,20220514,000000,309.6128,311.23,289.42,305.3014,921.3971128479,0
ILV.V,D,20220515,000000,304.9025,321.0643,298.7911,319.576,1049.0218624702,0
ILV.V,D,20220516,000000,319.8357,324.0682,294.606,303.4051,1086.2659960512,0
ILV.V,D,20220517,000000,303.485,316.7412,296.6239,308.809,1383.7104945528,0
ILV.V,D,20220518,000000,308.7481,313.3721,284.5596,289.7029,1169.9515767064,0
ILV.V,D,20220519,000000,288.9649,302.0574,278.6872,296.2731,1402.4162728903,0
ILV.V,D,20220520,000000,296.683,305.2156,284.5381,290.2013,1422.7599914802,0
ILV.V,D,20220521,000000,290.8306,295.805,286.0164,291.6603,922.78183821335,0
ILV.V,D,20220522,000000,292.1996,304.1042,290.7815,297.3527,1797.3609745321,0
ILV.V,D,20220523,000000,297.0831,309.9997,292.7776,295.5649,1344.1833681191,0
ILV.V,D,20220524,000000,295.6848,297.4027,284.0872,293.8675,853.27471244066,0
ILV.V,D,20220525,000000,294.4372,301.4878,286.8341,293.1878,5501.5911848154,0
ILV.V,D,20220526,000000,293.1977,294.8853,260.9165,274.1656,6092.25882798,0
ILV.V,D,20220527,000000,273.4888,274.765,252.8016,258.771,7416.7179946418,0
ILV.V,D,20220528,000000,257.9518,270.6755,254.1039,268.5954,5340.2985023189,0
ILV.V,D,20220529,000000,268.6511,274.971,262.5046,270.5793,4080.3415428889,0
ILV.V,D,20220530,000000,271.0088,311.0021,269.7165,308.8636,9485.9439431913,0
ILV.V,D,20220531,000000,309.723,316.425,297.7917,301.4586,7726.2261464772,0
ILV.V,D,20220601,000000,301.087,308.4621,276.3757,279.8679,7400.3188929267,0
ILV.V,D,20220602,000000,279.8391,290.3385,271.3356,279.6881,6113.9670745289,0
ILV.V,D,20220603,000000,280.2975,283.4647,264.9407,271.5236,5129.5562353741,0
ILV.V,D,20220604,000000,271.5436,273.2839,264.2549,272.6953,7963.8461521136,0
ILV.V,D,20220605,000000,272.1984,280.27,269.0765,275.7406,10338.685568484,0
ILV.V,D,20220606,000000,275.9404,318.2261,273.9423,284.261,33333.536690909,0
ILV.V,D,20220607,000000,284.3609,287.5582,262.7817,281.7744,16523.534014695,0
ILV.V,D,20220608,000000,281.7744,282.9876,269.2033,273.9218,15705.228430997,0
ILV.V,D,20220609,000000,274.7213,275.3602,267.5697,269.3735,11501.805994239,0
ILV.V,D,20220610,000000,269.0711,271.172,248.9383,251.5801,25701.079147383,0
ILV.V,D,20220611,000000,251.8772,255.9156,224.6234,232.7367,8080.0200911029,0
ILV.V,D,20220612,000000,232.5369,233.8355,213.4985,223.2229,7553.4949857635,0
ILV.V,D,20220613,000000,222.9232,222.9232,174.5957,180.9481,40550.881048477,0
ILV.V,D,20220614,000000,181.2477,186.2576,161.5654,172.7924,62829.049942191,0
ILV.V,D,20220615,000000,172.8923,183.8238,152.0259,182.8254,35832.668383307,0
ILV.V,D,20220616,000000,183.0251,185.159,160.4073,162.089,18132.446844858,0
ILV.V,D,20220617,000000,157.3809,165.6245,155.482,160.0094,12742.252493863,0
ILV.V,D,20220618,000000,160.0078,164.3059,132.9736,140.5719,31921.772559728,0
ILV.V,D,20220619,000000,139.9729,202.9562,138.6001,166.5832,14875.304519686,0
ILV.V,D,20220620,000000,166.4833,171.5938,155.5975,160.723,8601.6552830084,0
ILV.V,D,20220621,000000,160.7069,176.3411,159.5084,166.8163,3658.542130536,0
ILV.V,D,20220622,000000,166.0338,168.5313,154.4299,156.0438,4019.2065927333,0
ILV.V,D,20220623,000000,156.2436,166.7331,154.1457,164.9349,1905.8452231263,0
ILV.V,D,20220624,000000,165.0183,184.1452,164.9349,180.4591,18678.797065077,0
ILV.V,D,20220625,000000,180.3195,184.2746,173.2838,184.0711,11966.791962535,0
ILV.V,D,20220626,000000,184.0674,189.571,177.5934,182.087,5754.6020092901,0
ILV.V,D,20220627,000000,181.6909,185.0815,172.1398,175.9433,1400.4340101694,0
ILV.V,D,20220628,000000,175.137,180.7971,167.532,169.741,1745.9675527827,0
ILV.V,D,20220629,000000,169.6993,170.55,158.7774,161.2047,7365.0659975426,0
ILV.V,D,20220630,000000,161.2063,161.7057,134.6382,135.9367,8113.8110057645,0
ILV.V,D,20220701,000000,135.4373,144.341,120.8548,122.9646,29292.157464872,0
ILV.V,D,20220702,000000,122.9646,122.9646,114.2513,115.1616,22354.836958391,0
ILV.V,D,20220703,000000,115.2615,115.8608,108.2482,112.8531,16058.976606273,0
ILV.V,D,20220704,000000,112.6534,115.8608,107.7597,115.8608,3954.5366326037,0
ILV.V,D,20220705,000000,115.4613,118.158,108.7693,116.1321,2800.4922657155,0
ILV.V,D,20220706,000000,115.7925,117.6205,111.4673,116.9212,3177.7126784225,0
ILV.V,D,20220707,000000,116.3918,122.1255,115.303,120.4077,2744.9818096012,0
ILV.V,D,20220708,000000,120.4577,122.9016,113.3519,116.2802,4171.9879219829,0
ILV.V,D,20220709,000000,116.7499,117.9792,113.3519,116.0104,3009.1977195601,0
ILV.V,D,20220710,000000,115.9788,116.4201,107.5654,109.954,2038.7342284552,0
ILV.V,D,20220711,000000,109.4143,109.5942,102.7275,102.7275,2634.091398362,0
ILV.V,D,20220712,000000,103.2777,104.3156,91.29946,92.59731,11900.285647132,0
ILV.V,D,20220713,000000,92.81082,97.23293,87.74217,94.31504,5789.4047329711,0
ILV.V,D,20220714,000000,94.67472,104.33691,92.56589,101.36914,6866.7604309819,0
ILV.V,D,20220715,000000,101.67896,107.5055,100.6895,106.1282,7544.5971089931,0
ILV.V,D,20220716,000000,106.4681,154.2691,98.6004,117.8764,48561.533510797,0
ILV.V,D,20220717,000000,118.1764,121.2745,110.7911,113.5705,13919.571641674,0
ILV.V,D,20220718,000000,113.7704,125.5912,111.2633,122.1719,9564.4658741401,0
ILV.V,D,20220719,000000,122.0634,133.3,121.1661,130.6209,10606.225808779,0
ILV.V,D,20220720,000000,130.7,137.0411,123.6,128.9064,8769.3345491793,0
ILV.V,D,20220721,000000,128.9155,129.6259,117.4117,128.9309,6617.3752758566,0
ILV.V,D,20220722,000000,128.9309,130.5352,118.0224,119.9264,8873.395238414,0
ILV.V,D,20220723,000000,119.9,123.0074,113.2311,115.1919,3742.6835462352,0
ILV.V,D,20220724,000000,114.7418,120.6848,114.6218,119.2026,3398.4996561732,0
ILV.V,D,20220725,000000,118.6037,120.7641,105.2716,108.6198,4597.4705283677,0
ILV.V,D,20220726,000000,109.2198,109.2898,92.7644,100.285,5358.1292785803,0
ILV.V,D,20220727,000000,100.254,115.7305,99.734,114.4175,5697.5666421535,0
ILV.V,D,20220728,000000,114.4075,121.1579,110.1409,118.4637,9156.0780141999,0
