<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOST.V,D,20220331,000000,0.0442388,0.046594,0.0418626,0.0425885,1290662547.8073,0
IOST.V,D,20220401,000000,0.0425428,0.0471994,0.0408823,0.0429572,4198791270.78,0
IOST.V,D,20220402,000000,0.0429472,0.043193,0.0387216,0.0396459,1448768363.7046,0
IOST.V,D,20220403,000000,0.0396358,0.0416867,0.0374112,0.0394658,1195440031.7655,0
IOST.V,D,20220404,000000,0.0394918,0.0411423,0.034877,0.0363909,810707561.16648,0
IOST.V,D,20220405,000000,0.0363909,0.0374212,0.0349335,0.0355636,623132179.7668,0
IOST.V,D,20220406,000000,0.0355771,0.0358672,0.03093,0.0318132,761652403.44788,0
IOST.V,D,20220407,000000,0.03174,0.0346,0.03109,0.0332833,1047614259.8563,0
IOST.V,D,20220408,000000,0.0332633,0.0341634,0.0313231,0.0316827,443235484.48823,0
IOST.V,D,20220409,000000,0.0316627,0.0326898,0.0307192,0.0316695,331284690.6812,0
IOST.V,D,20220410,000000,0.0317095,0.0322497,0.0308993,0.0314663,205965007.14866,0
IOST.V,D,20220411,000000,0.0314963,0.0315063,0.026788,0.0268481,378721305.58446,0
IOST.V,D,20220412,000000,0.0268754,0.0321897,0.026708,0.0292588,1300222996.7977,0
IOST.V,D,20220413,000000,0.0292188,0.0308292,0.0286586,0.0308092,481242583.60996,0
IOST.V,D,20220414,000000,0.0308793,0.0309393,0.0287157,0.0295759,540332095.19397,0
IOST.V,D,20220415,000000,0.029583,0.029946,0.0288058,0.0293559,206696484.3976,0
IOST.V,D,20220416,000000,0.0293459,0.029943,0.0286529,0.0292859,151392343.27624,0
IOST.V,D,20220417,000000,0.0292859,0.0297559,0.0289029,0.0291858,128672587.56651,0
IOST.V,D,20220418,000000,0.0291758,0.0292458,0.0267327,0.0285286,401769279.81527,0
IOST.V,D,20220419,000000,0.0285186,0.029856,0.0281956,0.0292659,538635451.43647,0
IOST.V,D,20220420,000000,0.0292759,0.0329866,0.0291858,0.0306061,1128922836.1777,0
IOST.V,D,20220421,000000,0.0305761,0.0314163,0.0281128,0.0285757,500572232.91787,0
IOST.V,D,20220422,000000,0.0285429,0.0292258,0.0279056,0.0284128,241078308.28886,0
IOST.V,D,20220423,000000,0.0284057,0.0313331,0.0281056,0.0294459,1114677953.64,0
IOST.V,D,20220424,000000,0.0294629,0.0313263,0.0283728,0.0292158,1094971965.0975,0
IOST.V,D,20220425,000000,0.0292258,0.0306061,0.0277228,0.0297559,738921098.87019,0
IOST.V,D,20220426,000000,0.029776,0.0304461,0.0273927,0.0278528,396132436.02018,0
IOST.V,D,20220427,000000,0.0278828,0.02814,0.0269073,0.0274927,402432475.72513,0
IOST.V,D,20220428,000000,0.0274927,0.0277428,0.0264026,0.0271827,330811045.69307,0
IOST.V,D,20220429,000000,0.0271927,0.0275,0.0249125,0.0251625,315086884.37315,0
IOST.V,D,20220430,000000,0.0251725,0.0255726,0.02286,0.0229923,385008918.11063,0
IOST.V,D,20220501,000000,0.02297,0.0233623,0.02134,0.02221,611480514.25807,0
IOST.V,D,20220502,000000,0.02221,0.0232123,0.02131,0.0222322,308932909.77314,0
IOST.V,D,20220503,000000,0.0222522,0.02269,0.0214079,0.0218878,211187238.1997,0
IOST.V,D,20220504,000000,0.0218356,0.02414,0.0216678,0.02385,456009132.26526,0
IOST.V,D,20220505,000000,0.0238452,0.0261648,0.0213079,0.0218756,1456663418.1317,0
IOST.V,D,20220506,000000,0.0218256,0.0229054,0.0213257,0.0223378,469523682.21202,0
IOST.V,D,20220507,000000,0.0223378,0.0233577,0.0216657,0.0216657,406246549.33003,0
