<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOTA.V,D,20170613,000000,0.553,0.589,0.538,0.587,0,0
IOTA.V,D,20170614,000000,0.587,0.6101,0.4795,0.5202,0,0
IOTA.V,D,20170615,000000,0.5202,0.5447,0.2912,0.3467,0,0
IOTA.V,D,20170616,000000,0.3467,0.599,0.3053,0.4082,0,0
IOTA.V,D,20170617,000000,0.4082,0.4512,0.4,0.428,0,0
IOTA.V,D,20170618,000000,0.428,0.4502,0.385,0.4056,0,0
IOTA.V,D,20170619,000000,0.4056,0.435,0.395,0.4254,0,0
IOTA.V,D,20170620,000000,0.4254,0.4472,0.411,0.4405,0,0
IOTA.V,D,20170621,000000,0.4405,0.4624,0.415,0.425,0,0
IOTA.V,D,20170622,000000,0.425,0.4499,0.4114,0.4373,0,0
IOTA.V,D,20170623,000000,0.4373,0.4828,0.433,0.4828,0,0
IOTA.V,D,20170624,000000,0.4828,0.6289,0.4767,0.5053,0,0
IOTA.V,D,20170625,000000,0.5053,0.5214,0.4401,0.4653,0,0
IOTA.V,D,20170626,000000,0.4653,0.4659,0.3401,0.408,0,0
IOTA.V,D,20170627,000000,0.408,0.42,0.3483,0.394,0,0
IOTA.V,D,20170628,000000,0.394,0.4,0.3511,0.373,0,0
IOTA.V,D,20170629,000000,0.373,0.4599,0.3619,0.411,0,0
IOTA.V,D,20170630,000000,0.411,0.449,0.393,0.398,0,0
IOTA.V,D,20170701,000000,0.398,0.4129,0.3701,0.3811,0,0
IOTA.V,D,20170702,000000,0.3811,0.39,0.36,0.3769,0,0
IOTA.V,D,20170703,000000,0.3769,0.385,0.35,0.376,0,0
IOTA.V,D,20170704,000000,0.376,0.4098,0.3702,0.3938,0,0
IOTA.V,D,20170705,000000,0.3938,0.3987,0.3681,0.381,0,0
IOTA.V,D,20170706,000000,0.381,0.3851,0.3033,0.3529,0,0
IOTA.V,D,20170707,000000,0.3529,0.3565,0.27,0.2822,0,0
IOTA.V,D,20170708,000000,0.2822,0.3202,0.2751,0.3003,0,0
IOTA.V,D,20170709,000000,0.3003,0.3125,0.2829,0.3,0,0
IOTA.V,D,20170710,000000,0.3,0.3041,0.1837,0.21,0,0
IOTA.V,D,20170711,000000,0.21,0.2342,0.1837,0.1869,0,0
IOTA.V,D,20170712,000000,0.1869,0.2395,0.1806,0.2288,0,0
IOTA.V,D,20170713,000000,0.2288,0.239,0.1875,0.2129,0,0
IOTA.V,D,20170714,000000,0.2129,0.2131,0.1602,0.1751,0,0
IOTA.V,D,20170715,000000,0.1751,0.1763,0.1427,0.1582,0,0
IOTA.V,D,20170716,000000,0.1582,0.188,0.155,0.178,0,0
IOTA.V,D,20170717,000000,0.178,0.28,0.1767,0.264,0,0
IOTA.V,D,20170718,000000,0.264,0.3123,0.246,0.268,0,0
IOTA.V,D,20170719,000000,0.268,0.2849,0.23,0.2314,0,0
IOTA.V,D,20170720,000000,0.2314,0.3043,0.2302,0.2937,0,0
IOTA.V,D,20170721,000000,0.2937,0.3078,0.2452,0.2595,0,0
IOTA.V,D,20170722,000000,0.2595,0.2785,0.2536,0.2716,0,0
IOTA.V,D,20170723,000000,0.2716,0.28,0.2551,0.2649,0,0
IOTA.V,D,20170724,000000,0.2649,0.273,0.2361,0.2674,0,0
IOTA.V,D,20170725,000000,0.2674,0.2688,0.2365,0.25,0,0
IOTA.V,D,20170726,000000,0.25,0.2845,0.2409,0.2744,0,0
IOTA.V,D,20170727,000000,0.2744,0.285,0.2711,0.273,0,0
IOTA.V,D,20170728,000000,0.273,0.2765,0.262,0.2651,0,0
IOTA.V,D,20170729,000000,0.2651,0.278,0.243,0.2767,0,0
IOTA.V,D,20170730,000000,0.2767,0.278,0.2502,0.2547,0,0
IOTA.V,D,20170731,000000,0.2547,0.26,0.244,0.254,0,0
