<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KDA.V,D,20200402,000000,0.08397,0.08397,0.0809,0.08136,0,0
KDA.V,D,20200403,000000,0.08136,0.0893,0.07789,0.07858,0,0
KDA.V,D,20200404,000000,0.07858,0.08081,0.07817,0.07892,0,0
KDA.V,D,20200405,000000,0.07892,0.07903,0.07597,0.07619,0,0
KDA.V,D,20200406,000000,0.07619,0.08039,0.07612,0.07925,0,0
KDA.V,D,20200407,000000,0.07925,0.08101,0.07559,0.07628,0,0
KDA.V,D,20200408,000000,0.07628,0.0763,0.07379,0.07572,0,0
KDA.V,D,20200409,000000,0.07572,0.08138,0.07531,0.07941,0,0
KDA.V,D,20200410,000000,0.07941,0.08246,0.07409,0.08198,0,0
KDA.V,D,20200411,000000,0.08198,0.087,0.08147,0.08443,0,0
KDA.V,D,20200412,000000,0.08443,0.09153,0.08131,0.083,0,0
KDA.V,D,20200413,000000,0.083,0.083,0.07462,0.07826,0,0
KDA.V,D,20200414,000000,0.07826,0.0894,0.07737,0.07777,0,0
KDA.V,D,20200415,000000,0.07777,0.08452,0.07737,0.08439,0,0
KDA.V,D,20200416,000000,0.08439,0.08587,0.08428,0.085,0,0
KDA.V,D,20200417,000000,0.085,0.09234,0.08226,0.08293,0,0
KDA.V,D,20200418,000000,0.08293,0.08742,0.08284,0.08709,0,0
KDA.V,D,20200419,000000,0.08709,0.1364,0.08586,0.09981,0,0
KDA.V,D,20200420,000000,0.09981,0.1194,0.08468,0.08468,0,0
KDA.V,D,20200421,000000,0.08468,0.09355,0.08468,0.09213,0,0
KDA.V,D,20200422,000000,0.09213,0.1138,0.0907,0.09687,0,0
KDA.V,D,20200423,000000,0.09687,0.121,0.0966,0.1201,0,0
KDA.V,D,20200424,000000,0.1201,0.1309,0.1167,0.1297,0,0
KDA.V,D,20200425,000000,0.1297,0.1324,0.1141,0.1182,0,0
KDA.V,D,20200426,000000,0.1182,0.1182,0.1121,0.1137,0,0
KDA.V,D,20200427,000000,0.1137,0.1154,0.1129,0.114,0,0
KDA.V,D,20200428,000000,0.114,0.1176,0.1109,0.1166,0,0
KDA.V,D,20200429,000000,0.1166,0.1396,0.1166,0.1354,0,0
KDA.V,D,20200430,000000,0.1354,0.1365,0.1337,0.134,0,0
KDA.V,D,20200501,000000,0.134,0.1346,0.1171,0.1271,0,0
KDA.V,D,20200502,000000,0.1271,0.1357,0.1183,0.1265,0,0
KDA.V,D,20200503,000000,0.1265,0.131,0.1221,0.1245,0,0
KDA.V,D,20200504,000000,0.1245,0.1249,0.1184,0.1198,0,0
KDA.V,D,20200505,000000,0.1198,0.1496,0.1107,0.1494,0,0
KDA.V,D,20200506,000000,0.1494,0.1495,0.1133,0.1301,0,0
KDA.V,D,20200507,000000,0.1301,0.1721,0.13,0.1715,0,0
KDA.V,D,20200508,000000,0.1715,0.1722,0.1365,0.1581,0,0
KDA.V,D,20200509,000000,0.1581,0.1702,0.1447,0.1698,0,0
KDA.V,D,20200510,000000,0.1698,0.289,0.1288,0.2855,0,0
KDA.V,D,20200511,000000,0.2855,0.2889,0.155,0.2501,0,0
KDA.V,D,20200512,000000,0.2501,0.258,0.2113,0.2214,0,0
KDA.V,D,20200513,000000,0.2214,0.2705,0.2213,0.2365,0,0
KDA.V,D,20200514,000000,0.2365,0.29,0.2111,0.2435,0,0
KDA.V,D,20200515,000000,0.2435,0.2444,0.2224,0.2226,0,0
KDA.V,D,20200516,000000,0.2226,0.2801,0.2225,0.2496,0,0
KDA.V,D,20200517,000000,0.2496,0.2999,0.2362,0.2995,0,0
KDA.V,D,20200518,000000,0.2995,0.2999,0.2591,0.2681,0,0
KDA.V,D,20200519,000000,0.2681,0.4162,0.2681,0.3774,0,0
KDA.V,D,20200520,000000,0.3774,0.4249,0.3099,0.3709,0,0
KDA.V,D,20200521,000000,0.3709,0.3714,0.2899,0.2901,0,0
KDA.V,D,20200522,000000,0.2901,0.318,0.2819,0.3135,0,0
KDA.V,D,20200523,000000,0.3135,0.338,0.282,0.3369,0,0
KDA.V,D,20200524,000000,0.3369,0.3556,0.29,0.3273,0,0
KDA.V,D,20200525,000000,0.3273,0.33,0.277,0.2846,0,0
KDA.V,D,20200526,000000,0.2846,0.305,0.2676,0.3011,0,0
KDA.V,D,20200527,000000,0.3011,0.3096,0.27,0.2841,0,0
KDA.V,D,20200528,000000,0.2841,0.34,0.2841,0.3229,0,0
KDA.V,D,20200529,000000,0.3229,0.3329,0.2907,0.3202,0,0
KDA.V,D,20200530,000000,0.3202,0.3306,0.2909,0.3197,0,0
KDA.V,D,20200531,000000,0.3197,0.3748,0.295,0.3461,0,0
KDA.V,D,20200601,000000,0.3461,0.3478,0.2957,0.3388,0,0
KDA.V,D,20200602,000000,0.3388,0.4005,0.2999,0.4003,0,0
KDA.V,D,20200603,000000,0.4003,0.4101,0.3269,0.3648,0,0
KDA.V,D,20200604,000000,0.3648,0.3817,0.3366,0.3733,0,0
KDA.V,D,20200605,000000,0.3733,0.4648,0.3649,0.4328,0,0
KDA.V,D,20200606,000000,0.4328,0.5,0.4159,0.4297,0,0
KDA.V,D,20200607,000000,0.4297,0.4786,0.4,0.4401,0,0
KDA.V,D,20200608,000000,0.4401,0.47,0.4,0.401,0,0
KDA.V,D,20200609,000000,0.401,0.4066,0.37,0.3985,0,0
KDA.V,D,20200610,000000,0.3985,0.4288,0.3781,0.4046,0,0
KDA.V,D,20200611,000000,0.4046,0.4186,0.3697,0.3699,0,0
KDA.V,D,20200612,000000,0.3699,0.44,0.3699,0.4298,0,0
KDA.V,D,20200613,000000,0.4298,0.431,0.396,0.4007,0,0
KDA.V,D,20200614,000000,0.4007,0.4505,0.3963,0.4112,0,0
KDA.V,D,20200615,000000,0.4112,0.429,0.367,0.4092,0,0
KDA.V,D,20200616,000000,0.4092,0.4099,0.3679,0.3962,0,0
KDA.V,D,20200617,000000,0.3962,0.4364,0.3791,0.4006,0,0
KDA.V,D,20200618,000000,0.4006,0.4098,0.3818,0.4081,0,0
KDA.V,D,20200619,000000,0.4081,0.4487,0.4047,0.4131,0,0
KDA.V,D,20200620,000000,0.4131,0.4501,0.412,0.423,0,0
KDA.V,D,20200621,000000,0.423,0.4585,0.3999,0.4013,0,0
KDA.V,D,20200622,000000,0.4013,0.4296,0.3986,0.4074,0,0
KDA.V,D,20200623,000000,0.4074,0.408,0.3825,0.3949,0,0
KDA.V,D,20200624,000000,0.3949,0.3949,0.3818,0.3861,0,0
KDA.V,D,20200625,000000,0.3861,0.4146,0.3697,0.4133,0,0
KDA.V,D,20200626,000000,0.4133,0.4667,0.393,0.4294,0,0
KDA.V,D,20200627,000000,0.4294,0.4294,0.3699,0.4138,0,0
KDA.V,D,20200628,000000,0.4138,0.4142,0.3491,0.368,0,0
KDA.V,D,20200629,000000,0.368,0.4054,0.3543,0.37,0,0
KDA.V,D,20200630,000000,0.37,0.4053,0.3,0.3226,0,0
KDA.V,D,20200701,000000,0.3226,0.3375,0.2716,0.2743,0,0
KDA.V,D,20200702,000000,0.2743,0.3248,0.2504,0.2617,0,0
KDA.V,D,20200703,000000,0.2617,0.3052,0.2448,0.2695,0,0
KDA.V,D,20200704,000000,0.2695,0.2879,0.2506,0.2713,0,0
KDA.V,D,20200705,000000,0.2713,0.2801,0.2658,0.2772,0,0
KDA.V,D,20200706,000000,0.2772,0.2891,0.2527,0.2591,0,0
KDA.V,D,20200707,000000,0.2591,0.2856,0.2533,0.257,0,0
KDA.V,D,20200708,000000,0.257,0.2782,0.2413,0.2608,0,0
KDA.V,D,20200709,000000,0.2608,0.2835,0.2356,0.243,0,0
KDA.V,D,20200710,000000,0.243,0.279,0.237,0.2754,0,0
KDA.V,D,20200711,000000,0.2754,0.2807,0.2431,0.2801,0,0
KDA.V,D,20200712,000000,0.2801,0.2951,0.2672,0.2733,0,0
KDA.V,D,20200713,000000,0.2733,0.2827,0.2252,0.2666,0,0
KDA.V,D,20200714,000000,0.2666,0.2794,0.2418,0.2632,0,0
KDA.V,D,20200715,000000,0.2632,0.2747,0.2445,0.2593,0,0
KDA.V,D,20200716,000000,0.2593,0.2634,0.2474,0.2498,0,0
KDA.V,D,20200717,000000,0.2498,0.2749,0.2481,0.269,0,0
KDA.V,D,20200718,000000,0.269,0.2759,0.2555,0.2707,0,0
KDA.V,D,20200719,000000,0.2707,0.2747,0.2588,0.2693,0,0
KDA.V,D,20200720,000000,0.2693,0.2926,0.2625,0.288,0,0
KDA.V,D,20200721,000000,0.288,0.2906,0.2621,0.272,0,0
KDA.V,D,20200722,000000,0.272,0.2813,0.2699,0.2798,0,0
KDA.V,D,20200723,000000,0.2798,0.3239,0.2704,0.2814,0,0
KDA.V,D,20200724,000000,0.2814,0.3775,0.2814,0.3122,0,0
KDA.V,D,20200725,000000,0.3122,0.3613,0.3006,0.3471,0,0
KDA.V,D,20200726,000000,0.3471,0.3797,0.316,0.3613,0,0
KDA.V,D,20200727,000000,0.3613,0.3718,0.3012,0.3405,0,0
KDA.V,D,20200728,000000,0.3405,0.3466,0.2918,0.3154,0,0
KDA.V,D,20200729,000000,0.3154,0.3314,0.2997,0.301,0,0
KDA.V,D,20200730,000000,0.301,0.3439,0.3006,0.3178,0,0
KDA.V,D,20200731,000000,0.3178,0.3394,0.2899,0.3008,0,0
KDA.V,D,20200801,000000,0.3008,0.32,0.2947,0.3011,0,0
KDA.V,D,20200802,000000,0.3011,0.308,0.2754,0.2898,0,0
KDA.V,D,20200803,000000,0.2898,0.2931,0.2411,0.2582,0,0
KDA.V,D,20200804,000000,0.2582,0.2758,0.2471,0.2509,0,0
KDA.V,D,20200805,000000,0.2509,0.6039,0.2509,0.5637,0,0
KDA.V,D,20200806,000000,0.5637,0.6907,0.5365,0.6659,0,0
KDA.V,D,20200807,000000,0.6659,0.7099,0.5394,0.7034,0,0
KDA.V,D,20200808,000000,0.7034,0.7952,0.6654,0.7737,0,0
KDA.V,D,20200809,000000,0.7737,0.7987,0.6667,0.781,0,0
KDA.V,D,20200810,000000,0.781,0.8096,0.7042,0.793,0,0
KDA.V,D,20200811,000000,0.793,0.8031,0.5776,0.7039,0,0
KDA.V,D,20200812,000000,0.7039,0.7412,0.6025,0.667,0,0
KDA.V,D,20200813,000000,0.667,0.725,0.557,0.6747,0,0
KDA.V,D,20200814,000000,0.6747,0.7978,0.6687,0.767,0,0
KDA.V,D,20200815,000000,0.767,0.8645,0.6905,0.6923,0,0
KDA.V,D,20200816,000000,0.6923,0.799,0.6565,0.6729,0,0
KDA.V,D,20200817,000000,0.6729,0.7012,0.6023,0.6229,0,0
KDA.V,D,20200818,000000,0.6229,0.6596,0.5592,0.6112,0,0
KDA.V,D,20200819,000000,0.6112,0.6112,0.5161,0.5382,0,0
KDA.V,D,20200820,000000,0.5382,0.7177,0.5191,0.6893,0,0
KDA.V,D,20200821,000000,0.6893,0.6958,0.6003,0.6141,0,0
KDA.V,D,20200822,000000,0.6141,0.6628,0.5702,0.6095,0,0
KDA.V,D,20200823,000000,0.6095,0.6742,0.575,0.6222,0,0
KDA.V,D,20200824,000000,0.6222,0.7153,0.6023,0.6654,0,0
KDA.V,D,20200825,000000,0.6654,0.7157,0.6255,0.7157,0,0
KDA.V,D,20200826,000000,0.7157,0.717,0.6641,0.7136,0,0
KDA.V,D,20200827,000000,0.7136,0.7984,0.6993,0.7802,0,0
KDA.V,D,20200828,000000,0.7802,0.898,0.7293,0.7777,0,0
KDA.V,D,20200829,000000,0.7777,0.8201,0.7156,0.7424,0,0
KDA.V,D,20200830,000000,0.7424,0.8142,0.7195,0.7215,0,0
KDA.V,D,20200831,000000,0.7215,0.7911,0.632,0.6773,0,0
KDA.V,D,20200901,000000,0.6773,0.7113,0.577,0.6046,0,0
KDA.V,D,20200902,000000,0.6046,0.6715,0.5743,0.6637,0,0
KDA.V,D,20200903,000000,0.6637,0.7038,0.5659,0.6733,0,0
KDA.V,D,20200904,000000,0.6733,0.6767,0.5123,0.553,0,0
KDA.V,D,20200905,000000,0.553,0.6258,0.4786,0.5003,0,0
KDA.V,D,20200906,000000,0.5003,0.6412,0.482,0.5763,0,0
KDA.V,D,20200907,000000,0.5763,0.6167,0.4408,0.4904,0,0
KDA.V,D,20200908,000000,0.4904,0.6152,0.4379,0.4453,0,0
KDA.V,D,20200909,000000,0.4453,0.5357,0.4127,0.4926,0,0
KDA.V,D,20200910,000000,0.4926,0.5373,0.4715,0.5145,0,0
KDA.V,D,20200911,000000,0.5145,0.5203,0.4701,0.5085,0,0
KDA.V,D,20200912,000000,0.5085,0.5094,0.4336,0.476,0,0
KDA.V,D,20200913,000000,0.476,0.4989,0.4301,0.4613,0,0
