<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEEP.V,D,20220514,000000,0.2265,0.2265,0.2054,0.21535,114672.7146438272,0
KEEP.V,D,20220515,000000,0.21623,0.2354,0.21623,0.23197,243733.9019284712,0
KEEP.V,D,20220516,000000,0.23384,0.24248,0.22163,0.2405,793994.6502619934,0
KEEP.V,D,20220517,000000,0.2395,0.2422,0.2319,0.2406,225908.10625268618,0
KEEP.V,D,20220518,000000,0.2407,0.2445,0.225,0.233,204834.28747659564,0
KEEP.V,D,20220519,000000,0.2329,0.2974,0.2239,0.245,1481323.8853762068,0
KEEP.V,D,20220520,000000,0.2429,0.257,0.2279,0.2332,202383.0394618251,0
KEEP.V,D,20220521,000000,0.2382,0.2398,0.2292,0.2338,203237.05800152884,0
KEEP.V,D,20220522,000000,0.2313,0.2429,0.2305,0.2372,118056.66279865586,0
KEEP.V,D,20220523,000000,0.2383,0.2481,0.2298,0.2314,173375.39137813574,0
KEEP.V,D,20220524,000000,0.2292,0.2297,0.2107,0.2214,174778.1700140039,0
KEEP.V,D,20220525,000000,0.2226,0.229,0.2216,0.2237,161010.96980844534,0
KEEP.V,D,20220526,000000,0.2244,0.2554,0.2038,0.2156,733960.0164392838,0
KEEP.V,D,20220527,000000,0.2135,0.2276,0.1986,0.2001,584496.6537591069,0
KEEP.V,D,20220528,000000,0.2021,0.2161,0.1961,0.2031,283247.503729286,0
KEEP.V,D,20220529,000000,0.203,0.2087,0.1993,0.2058,228481.2188995182,0
KEEP.V,D,20220530,000000,0.2044,0.2243,0.2044,0.2237,331173.57901495165,0
KEEP.V,D,20220531,000000,0.2232,0.2368,0.2178,0.2204,412272.1898992066,0
KEEP.V,D,20220601,000000,0.2208,0.3759,0.22,0.2594,3385354.7793809576,0
KEEP.V,D,20220602,000000,0.257,0.2618,0.229,0.2322,595795.7784671009,0
KEEP.V,D,20220603,000000,0.2348,0.2696,0.233,0.2442,970173.8101514286,0
KEEP.V,D,20220604,000000,0.2435,0.2506,0.2295,0.2306,475804.69733368343,0
KEEP.V,D,20220605,000000,0.2308,0.2949,0.2306,0.2502,1444263.6512079802,0
KEEP.V,D,20220606,000000,0.2479,0.2631,0.2408,0.2527,3103539.446243911,0
KEEP.V,D,20220607,000000,0.2562,0.2583,0.2307,0.242,5305997.899941702,0
KEEP.V,D,20220608,000000,0.2423,0.277,0.2362,0.2462,2979820.341242959,0
KEEP.V,D,20220609,000000,0.2464,0.251,0.2398,0.2451,3751853.704596417,0
KEEP.V,D,20220610,000000,0.2435,0.2469,0.2244,0.2249,5755493.819761176,0
KEEP.V,D,20220611,000000,0.2248,0.2354,0.2042,0.2079,1281326.1792517079,0
KEEP.V,D,20220612,000000,0.207,0.2439,0.2031,0.2081,1254254.8726477872,0
KEEP.V,D,20220613,000000,0.2085,0.2097,0.163,0.173,25275149.37038449,0
KEEP.V,D,20220614,000000,0.174,0.1741,0.15,0.1598,32579716.36758768,0
KEEP.V,D,20220615,000000,0.1603,0.1728,0.1469,0.1709,21698876.126638006,0
KEEP.V,D,20220616,000000,0.1726,0.1743,0.1587,0.1621,545989.4709804594,0
KEEP.V,D,20220617,000000,0.1614,0.1702,0.1573,0.167,21890818.545006804,0
