<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KLAY.V,D,20200302,000000,0.193,0.223,0.193,0.2019,0,0
KLAY.V,D,20200303,000000,0.2019,0.2042,0.1844,0.1945,0,0
KLAY.V,D,20200304,000000,0.1945,0.1947,0.1882,0.193,0,0
KLAY.V,D,20200305,000000,0.193,0.204,0.193,0.1995,0,0
KLAY.V,D,20200306,000000,0.1995,0.2107,0.1995,0.2041,0,0
KLAY.V,D,20200307,000000,0.2041,0.206,0.1861,0.1973,0,0
KLAY.V,D,20200308,000000,0.1973,0.1973,0.1709,0.1709,0,0
KLAY.V,D,20200309,000000,0.1709,0.181,0.1685,0.181,0,0
KLAY.V,D,20200310,000000,0.181,0.181,0.1515,0.1737,0,0
KLAY.V,D,20200311,000000,0.1737,0.176,0.151,0.1727,0,0
KLAY.V,D,20200312,000000,0.1727,0.1727,0.08722,0.08757,0,0
KLAY.V,D,20200313,000000,0.08757,0.1109,0.08757,0.1075,0,0
KLAY.V,D,20200314,000000,0.1075,0.1075,0.09892,0.1062,0,0
KLAY.V,D,20200315,000000,0.1062,0.1251,0.1062,0.1251,0,0
KLAY.V,D,20200316,000000,0.1251,0.1251,0.1046,0.1079,0,0
KLAY.V,D,20200317,000000,0.1079,0.1172,0.1079,0.1119,0,0
KLAY.V,D,20200318,000000,0.1119,0.1138,0.1105,0.1119,0,0
KLAY.V,D,20200319,000000,0.1119,0.1478,0.1114,0.1254,0,0
KLAY.V,D,20200320,000000,0.1254,0.1258,0.1064,0.108,0,0
KLAY.V,D,20200321,000000,0.108,0.1098,0.09993,0.1098,0,0
KLAY.V,D,20200322,000000,0.1098,0.1098,0.09133,0.09885,0,0
KLAY.V,D,20200323,000000,0.09885,0.1104,0.09885,0.1025,0,0
KLAY.V,D,20200324,000000,0.1025,0.109,0.09765,0.1027,0,0
KLAY.V,D,20200325,000000,0.1027,0.1056,0.09479,0.09847,0,0
KLAY.V,D,20200326,000000,0.09847,0.1018,0.09461,0.09603,0,0
KLAY.V,D,20200327,000000,0.09603,0.09603,0.08617,0.08757,0,0
KLAY.V,D,20200328,000000,0.08757,0.08757,0.07816,0.08522,0,0
KLAY.V,D,20200329,000000,0.08522,0.09023,0.07735,0.08194,0,0
KLAY.V,D,20200330,000000,0.08194,0.09887,0.08194,0.0981,0,0
KLAY.V,D,20200331,000000,0.0981,0.09841,0.08832,0.09603,0,0
KLAY.V,D,20200401,000000,0.09603,0.09962,0.09202,0.09376,0,0
KLAY.V,D,20200402,000000,0.09376,0.09751,0.09336,0.09655,0,0
KLAY.V,D,20200403,000000,0.09655,0.09967,0.09104,0.09853,0,0
KLAY.V,D,20200404,000000,0.09853,0.1005,0.09475,0.09619,0,0
KLAY.V,D,20200405,000000,0.09619,0.09619,0.09074,0.09243,0,0
KLAY.V,D,20200406,000000,0.09243,0.1014,0.09243,0.1007,0,0
KLAY.V,D,20200407,000000,0.1007,0.1007,0.09787,0.09787,0,0
KLAY.V,D,20200408,000000,0.09787,0.1055,0.09787,0.09946,0,0
KLAY.V,D,20200409,000000,0.09946,0.09957,0.09848,0.09855,0,0
KLAY.V,D,20200410,000000,0.09855,0.09855,0.09132,0.0927,0,0
KLAY.V,D,20200411,000000,0.0927,0.1016,0.0914,0.09581,0,0
KLAY.V,D,20200412,000000,0.09581,0.09617,0.08988,0.09188,0,0
KLAY.V,D,20200413,000000,0.09188,0.09188,0.07717,0.08362,0,0
KLAY.V,D,20200414,000000,0.08362,0.08544,0.08076,0.0851,0,0
KLAY.V,D,20200415,000000,0.0851,0.0851,0.07021,0.07094,0,0
KLAY.V,D,20200416,000000,0.07094,0.08545,0.07094,0.08096,0,0
KLAY.V,D,20200417,000000,0.08096,0.08276,0.07389,0.08022,0,0
KLAY.V,D,20200418,000000,0.08022,0.08506,0.07845,0.08281,0,0
KLAY.V,D,20200419,000000,0.08281,0.08281,0.07133,0.07711,0,0
KLAY.V,D,20200420,000000,0.07711,0.1011,0.06842,0.07814,0,0
KLAY.V,D,20200421,000000,0.07814,0.08411,0.07814,0.07986,0,0
KLAY.V,D,20200422,000000,0.07986,0.1055,0.07986,0.08634,0,0
KLAY.V,D,20200423,000000,0.08634,0.09811,0.08545,0.0895,0,0
KLAY.V,D,20200424,000000,0.0895,0.09492,0.08546,0.08546,0,0
KLAY.V,D,20200425,000000,0.08546,0.08619,0.06981,0.08113,0,0
KLAY.V,D,20200426,000000,0.08113,0.08679,0.07509,0.08579,0,0
KLAY.V,D,20200427,000000,0.07507,0.07538,0.07007,0.07447,0,0
KLAY.V,D,20200428,000000,0.07447,0.07477,0.06997,0.06997,0,0
KLAY.V,D,20200429,000000,0.06997,0.06997,0.05826,0.06406,0,0
KLAY.V,D,20200430,000000,0.06406,0.07137,0.06406,0.06827,0,0
KLAY.V,D,20200501,000000,0.06827,0.0707,0.0661,0.0687,0,0
KLAY.V,D,20200502,000000,0.07037,0.08936,0.06889,0.07095,0,0
KLAY.V,D,20200503,000000,0.07095,0.0774,0.06716,0.07348,0,0
KLAY.V,D,20200504,000000,0.07348,0.07348,0.06697,0.06954,0,0
KLAY.V,D,20200505,000000,0.06954,0.07206,0.06619,0.0689,0,0
KLAY.V,D,20200506,000000,0.0689,0.1996,0.0689,0.07397,0,0
KLAY.V,D,20200507,000000,0.07397,0.07788,0.06857,0.07788,0,0
KLAY.V,D,20200508,000000,0.07788,0.08418,0.07708,0.08298,0,0
KLAY.V,D,20200509,000000,0.08298,0.0851,0.08,0.0849,0,0
KLAY.V,D,20200510,000000,0.0849,0.0849,0.0723,0.0821,0,0
KLAY.V,D,20200511,000000,0.0821,0.1059,0.0811,0.1034,0,0
KLAY.V,D,20200512,000000,0.1034,0.2002,0.1002,0.1134,0,0
KLAY.V,D,20200513,000000,0.1134,0.1163,0.09499,0.1004,0,0
KLAY.V,D,20200514,000000,0.1004,0.1011,0.0861,0.088,0,0
KLAY.V,D,20200515,000000,0.088,0.09034,0.07655,0.08444,0,0
KLAY.V,D,20200516,000000,0.08444,0.09127,0.08208,0.08607,0,0
KLAY.V,D,20200517,000000,0.08607,0.09478,0.08558,0.09188,0,0
KLAY.V,D,20200518,000000,0.09188,0.09768,0.08868,0.09768,0,0
KLAY.V,D,20200519,000000,0.09768,0.11,0.0897,0.11,0,0
KLAY.V,D,20200520,000000,0.11,0.1182,0.09887,0.1154,0,0
KLAY.V,D,20200521,000000,0.1154,0.1158,0.09855,0.1011,0,0
KLAY.V,D,20200522,000000,0.09838,0.1088,0.09838,0.1044,0,0
KLAY.V,D,20200523,000000,0.1044,0.1045,0.1021,0.1021,0,0
KLAY.V,D,20200524,000000,0.1012,0.102,0.09768,0.09818,0,0
KLAY.V,D,20200525,000000,0.09818,0.0986,0.0975,0.0977,0,0
KLAY.V,D,20200526,000000,0.0977,0.1162,0.0977,0.1162,0,0
KLAY.V,D,20200527,000000,0.1162,0.1186,0.1121,0.1144,0,0
KLAY.V,D,20200528,000000,0.1144,0.1349,0.113,0.1237,0,0
KLAY.V,D,20200529,000000,0.1237,0.1329,0.119,0.125,0,0
KLAY.V,D,20200530,000000,0.125,0.125,0.125,0.125,0,0
KLAY.V,D,20200531,000000,0.125,0.1364,0.1214,0.1333,0,0
KLAY.V,D,20200601,000000,0.1333,0.148,0.1257,0.1479,0,0
KLAY.V,D,20200602,000000,0.1479,0.1655,0.1331,0.1401,0,0
KLAY.V,D,20200603,000000,0.1401,0.1444,0.1227,0.142,0,0
KLAY.V,D,20200604,000000,0.142,0.33,0.142,0.3085,0,0
KLAY.V,D,20200605,000000,0.3085,0.3772,0.2013,0.2288,0,0
KLAY.V,D,20200606,000000,0.2288,0.3774,0.2029,0.2565,0,0
