<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOK.V,D,20220514,000000,1.67315,1.67315,1.67315,1.67315,77.145146,0
KOK.V,D,20220515,000000,1.14839,2.66776,0.90464,2.13533,4321911.433402932,0
KOK.V,D,20220516,000000,2.00509,2.39678,1.74772,2.11804,1335763.025542381,0
KOK.V,D,20220517,000000,2.06531,2.16518,1.95745,2.09587,457718.32083560014,0
KOK.V,D,20220518,000000,2.09728,2.09967,1.97743,2.01747,591031.0001190496,0
KOK.V,D,20220519,000000,2.00848,2.12587,1.87793,2.0003,449075.5012310001,0
KOK.V,D,20220520,000000,1.9955,2.03337,1.94975,1.99311,218261.0291137999,0
KOK.V,D,20220521,000000,1.9937,1.9998,1.95705,1.95705,295432.51639699994,0
KOK.V,D,20220522,000000,1.95965,1.96434,1.54913,1.67699,711195.9515945005,0
KOK.V,D,20220523,000000,1.71594,1.7502,1.50699,1.58919,667084.3343581525,0
KOK.V,D,20220524,000000,1.59249,1.59472,1.48557,1.51168,517330.84156125446,0
KOK.V,D,20220525,000000,1.49725,1.5481,1.14381,1.39672,787956.7211265286,0
KOK.V,D,20220526,000000,1.38534,1.53486,1.3577,1.5028,494741.53241730045,0
KOK.V,D,20220527,000000,1.50819,1.98262,1.4989,1.95175,897880.7501083507,0
KOK.V,D,20220528,000000,1.95607,1.96805,1.55352,1.70662,778123.9185606593,0
KOK.V,D,20220529,000000,1.69378,1.77583,1.63835,1.75726,218378.7437114002,0
KOK.V,D,20220530,000000,1.75412,1.76736,1.62883,1.69261,373116.71054600005,0
KOK.V,D,20220531,000000,1.68182,1.71752,1.64229,1.68795,320500.88389079977,0
KOK.V,D,20220601,000000,1.6959,1.73164,1.66443,1.72415,188651.07131908758,0
KOK.V,D,20220602,000000,1.71426,1.72844,1.69038,1.70207,97268.70935920005,0
KOK.V,D,20220603,000000,1.70976,1.71653,1.66433,1.69772,269681.55164910003,0
KOK.V,D,20220604,000000,1.69776,1.70622,1.6488,1.68412,114380.67282229992,0
KOK.V,D,20220605,000000,1.68643,1.69235,1.62861,1.63423,146561.53641488202,0
KOK.V,D,20220606,000000,1.63618,1.66332,1.51012,1.55421,163032.460340978,0
KOK.V,D,20220607,000000,1.55118,1.55609,1.29909,1.42486,472646.1565390209,0
KOK.V,D,20220608,000000,1.44293,1.499,1.3841,1.49873,1040009.2313322774,0
KOK.V,D,20220609,000000,1.49053,1.64856,1.45085,1.57538,657006.528589501,0
KOK.V,D,20220610,000000,1.57076,1.58362,1.4983,1.50424,4016707.973707002,0
KOK.V,D,20220611,000000,1.50967,1.53196,1.4132,1.43824,371217.0772749805,0
KOK.V,D,20220612,000000,1.43428,1.44863,1.29451,1.29451,655528.5399064643,0
KOK.V,D,20220613,000000,1.30768,1.36566,1.18272,1.25615,2508570.7436381094,0
KOK.V,D,20220614,000000,1.2635,1.2635,0.91656,1.05803,4182762.7430164996,0
KOK.V,D,20220615,000000,1.09799,1.1367,0.96836,1.04643,3240531.9555619946,0
KOK.V,D,20220616,000000,1.04732,1.16382,1.00989,1.05033,2854065.803083697,0
KOK.V,D,20220617,000000,1.01342,1.05443,1.00559,1.03426,2054629.7568574818,0
KOK.V,D,20220618,000000,1.03406,1.04082,0.91903,0.93588,5743933.833167425,0
KOK.V,D,20220619,000000,0.92615,0.97963,0.88185,0.97833,4125169.774854801,0
KOK.V,D,20220620,000000,0.94367,0.95345,0.84022,0.85136,2208444.9249394964,0
KOK.V,D,20220621,000000,0.85377,1.15882,0.80172,0.94226,1877726.0473502495,0
KOK.V,D,20220622,000000,0.94076,1.01868,0.94036,0.96084,535287.8864074,0
KOK.V,D,20220623,000000,0.96144,0.9962,0.94096,0.96184,817298.3963419,0
KOK.V,D,20220624,000000,0.96344,0.97852,0.92658,0.95086,4671290.162873086,0
KOK.V,D,20220625,000000,0.95215,0.96144,0.91805,0.92525,935899.7008437938,0
