<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPT.V,D,20190103,000000,3.229,4.219,3.107,3.452,0,0
LPT.V,D,20190104,000000,3.452,3.487,3.082,3.141,0,0
LPT.V,D,20190105,000000,3.141,3.508,2.728,3.237,0,0
LPT.V,D,20190106,000000,3.237,3.444,3.077,3.2,0,0
LPT.V,D,20190107,000000,3.2,3.24,2.884,2.957,0,0
LPT.V,D,20190108,000000,2.957,3.152,2.869,2.949,0,0
LPT.V,D,20190109,000000,2.949,3.074,2.432,3.074,0,0
LPT.V,D,20190110,000000,3.074,3.074,2.527,2.527,0,0
LPT.V,D,20190111,000000,2.527,2.679,2.33,2.407,0,0
LPT.V,D,20190112,000000,2.407,2.58,2.327,2.435,0,0
LPT.V,D,20190113,000000,2.435,2.45,2.306,2.446,0,0
LPT.V,D,20190114,000000,2.446,2.552,2.352,2.398,0,0
LPT.V,D,20190115,000000,2.398,2.398,2.3,2.31,0,0
LPT.V,D,20190116,000000,2.31,2.474,2.264,2.36,0,0
LPT.V,D,20190117,000000,2.36,2.901,2.36,2.653,0,0
LPT.V,D,20190118,000000,2.653,2.656,2.423,2.444,0,0
LPT.V,D,20190119,000000,2.444,2.552,2.414,2.414,0,0
LPT.V,D,20190120,000000,2.414,2.414,2.064,2.107,0,0
LPT.V,D,20190121,000000,2.107,2.24,2.067,2.09,0,0
LPT.V,D,20190122,000000,2.09,2.187,2.084,2.125,0,0
LPT.V,D,20190123,000000,2.125,2.236,2.06,2.141,0,0
LPT.V,D,20190124,000000,2.141,2.219,2.093,2.219,0,0
LPT.V,D,20190125,000000,2.219,2.219,2.084,2.125,0,0
LPT.V,D,20190126,000000,2.125,2.316,2.104,2.14,0,0
LPT.V,D,20190127,000000,2.14,2.253,2.06,2.239,0,0
LPT.V,D,20190128,000000,2.239,2.24,2.042,2.042,0,0
LPT.V,D,20190129,000000,2.042,2.042,1.709,1.914,0,0
LPT.V,D,20190130,000000,1.914,2.167,1.838,2.04,0,0
LPT.V,D,20190131,000000,2.04,2.127,1.717,1.959,0,0
LPT.V,D,20190201,000000,1.959,4.327,1.959,3.301,0,0
LPT.V,D,20190202,000000,3.301,5.193,2.815,4.179,0,0
LPT.V,D,20190203,000000,4.179,4.829,3.57,4.464,0,0
LPT.V,D,20190204,000000,4.464,5.662,4.44,5.02,0,0
LPT.V,D,20190205,000000,5.02,5.758,4.778,5.103,0,0
LPT.V,D,20190206,000000,5.103,5.225,3.66,4.312,0,0
LPT.V,D,20190207,000000,4.312,5.036,3.645,4.408,0,0
LPT.V,D,20190208,000000,4.408,5.117,4.355,4.374,0,0
LPT.V,D,20190209,000000,4.374,4.931,4.35,4.653,0,0
LPT.V,D,20190210,000000,4.653,4.809,4.385,4.415,0,0
LPT.V,D,20190211,000000,4.415,4.897,4.178,4.409,0,0
LPT.V,D,20190212,000000,4.409,4.873,3.23,4.46,0,0
LPT.V,D,20190213,000000,4.46,6.022,4.421,5.232,0,0
LPT.V,D,20190214,000000,5.232,6.061,4.87,5.426,0,0
LPT.V,D,20190215,000000,5.426,5.886,5.07,5.52,0,0
LPT.V,D,20190216,000000,5.52,5.856,5.064,5.209,0,0
LPT.V,D,20190217,000000,5.209,6.039,4.897,5.69,0,0
LPT.V,D,20190218,000000,5.69,6.064,5.431,5.669,0,0
LPT.V,D,20190219,000000,5.669,6.016,5.415,5.592,0,0
LPT.V,D,20190220,000000,5.592,5.961,4.999,5.421,0,0
LPT.V,D,20190221,000000,5.421,5.906,4.402,5.76,0,0
LPT.V,D,20190222,000000,5.76,5.975,5.565,5.772,0,0
LPT.V,D,20190223,000000,5.772,6.41,5.772,5.896,0,0
