<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDX.V,D,20220516,000000,0.102167,0.1195444,0.0957657,0.0985618,7097617.341347,0
MDX.V,D,20220517,000000,0.0987714,0.1123538,0.096774,0.1007789,5069001.619184,0
MDX.V,D,20220518,000000,0.1008788,0.1026766,0.0945864,0.0973733,1174240.3726683,0
MDX.V,D,20220519,000000,0.096774,0.0998101,0.0939777,0.0984114,1509229.7287458,0
MDX.V,D,20220520,000000,0.0984114,0.1010887,0.0941963,0.0951856,1300441.8197097,0
MDX.V,D,20220521,000000,0.0955852,0.0983621,0.0926886,0.0954757,1652180.0948398,0
MDX.V,D,20220522,000000,0.0950762,0.0989712,0.0938872,0.0949859,2700731.8885625,0
MDX.V,D,20220523,000000,0.0949859,0.1062723,0.0942962,0.1037753,7733603.800044,0
MDX.V,D,20220524,000000,0.1036754,0.1445264,0.1022771,0.1161488,64639712.333039,0
MDX.V,D,20220525,000000,0.1164368,0.11656,0.1053734,0.1074816,5404200.6412631,0
MDX.V,D,20220526,000000,0.1072711,0.109879,0.097483,0.100599,6602388.5502423,0
MDX.V,D,20220527,000000,0.100499,0.100799,0.0937062,0.0955947,1888187.0637861,0
MDX.V,D,20220528,000000,0.0955899,0.0982918,0.0943715,0.0974858,1450613.1481576,0
MDX.V,D,20220529,000000,0.0974839,0.0986963,0.0944046,0.0976973,1533263.8715447,0
MDX.V,D,20220530,000000,0.0981909,0.1050159,0.0974975,0.1044164,2258199.3155165,0
MDX.V,D,20220531,000000,0.1046162,0.1059152,0.10042,0.102508,2361719.905717,0
MDX.V,D,20220601,000000,0.102923,0.103825,0.096004,0.096513,1542079.4197156,0
MDX.V,D,20220602,000000,0.096404,0.09951,0.095614,0.09951,823145.90774202,0
MDX.V,D,20220603,000000,0.099111,0.100809,0.096705,0.098814,495641.70304383,0
MDX.V,D,20220604,000000,0.099114,0.10012,0.097498,0.099424,4768846.812173,0
MDX.V,D,20220605,000000,0.099426,0.10011,0.097119,0.099307,4869177.1448104,0
MDX.V,D,20220606,000000,0.099307,0.103614,0.098208,0.102114,19827084.943097,0
MDX.V,D,20220607,000000,0.102213,0.102414,0.09543,0.101319,8873063.8643274,0
MDX.V,D,20220608,000000,0.10042,0.101222,0.096338,0.098836,10405050.693368,0
MDX.V,D,20220609,000000,0.098836,0.1028208,0.096823,0.099716,10138030.016344,0
MDX.V,D,20220610,000000,0.099715,0.100714,0.0957859,0.0963774,8443050.9320946,0
MDX.V,D,20220611,000000,0.0963774,0.099075,0.0855937,0.0874011,10803254.495084,0
MDX.V,D,20220612,000000,0.0872014,0.1029546,0.0831825,0.0875913,14658202.445562,0
MDX.V,D,20220613,000000,0.0876911,0.0878918,0.0774731,0.0797889,31737989.296186,0
MDX.V,D,20220614,000000,0.0799887,0.0800869,0.0738897,0.0755093,55824393.127218,0
MDX.V,D,20220615,000000,0.0756092,0.0920285,0.0733677,0.0827839,35627284.272483,0
MDX.V,D,20220616,000000,0.0827757,0.0926886,0.0762084,0.0777909,17826693.653247,0
MDX.V,D,20220617,000000,0.0751983,0.0832316,0.0747951,0.0785057,9766872.9086758,0
MDX.V,D,20220618,000000,0.0780063,0.0789068,0.0704786,0.0733809,20831484.379209,0
MDX.V,D,20220619,000000,0.0733809,0.0839991,0.0724918,0.0787974,9823085.2524447,0
MDX.V,D,20220620,000000,0.079105,0.0826008,0.0768999,0.079912,6599923.0621058,0
MDX.V,D,20220621,000000,0.079904,0.0881294,0.0793047,0.0841074,7527160.2069465,0
MDX.V,D,20220622,000000,0.0841158,0.0844155,0.0790209,0.0800199,2657452.5458859,0
MDX.V,D,20220623,000000,0.0800199,0.0832167,0.0792207,0.0818181,1368729.5819293,0
MDX.V,D,20220624,000000,0.0821178,0.0855332,0.0820179,0.0851327,6842173.0413786,0
MDX.V,D,20220625,000000,0.0851148,0.0867418,0.0827437,0.0861397,4863313.491534,0
MDX.V,D,20220626,000000,0.0861388,0.0881391,0.0848482,0.0869469,1999161.1809396,0
MDX.V,D,20220627,000000,0.0870486,0.1118049,0.0842511,0.0876219,39641712.197557,0
MDX.V,D,20220628,000000,0.0872179,0.0896112,0.0840956,0.0850952,3738408.1328903,0
MDX.V,D,20220629,000000,0.0847947,0.0854887,0.0816888,0.0819,2733181.4017401,0
MDX.V,D,20220630,000000,0.0822012,0.0945864,0.0774991,0.0832999,12496258.795403,0
MDX.V,D,20220701,000000,0.084099,0.097383,0.0819851,0.0849065,8957992.3714287,0
MDX.V,D,20220702,000000,0.0847067,0.089002,0.0838077,0.0878944,4997814.1183475,0
MDX.V,D,20220703,000000,0.0874949,0.0876946,0.0835912,0.0839907,5956376.4953573,0
MDX.V,D,20220704,000000,0.0840821,0.0845984,0.0819933,0.0839991,1545888.0640722,0
MDX.V,D,20220705,000000,0.0837993,0.0847981,0.0806032,0.0821096,1472494.22644,0
MDX.V,D,20220706,000000,0.0823094,0.0939965,0.0805033,0.0849065,17662397.638115,0
MDX.V,D,20220707,000000,0.0848066,0.0929976,0.0845069,0.0876474,11464198.074159,0
