<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MED.V,D,20220514,000000,0.0253917,0.0291786,0.0247529,0.0259111,113835.76329876,0
MED.V,D,20220515,000000,0.0261633,0.026648,0.0254044,0.026648,4805.16245302,0
MED.V,D,20220516,000000,0.0278465,0.0314422,0.0277622,0.0288924,89242.763191502,0
MED.V,D,20220517,000000,0.0290293,0.0290293,0.0274143,0.0285058,132243.48516425,0
MED.V,D,20220518,000000,0.0290151,0.0290151,0.0256566,0.0263557,359.324032907,0
MED.V,D,20220519,000000,0.0262458,0.0268158,0.0243483,0.0263563,15592.27291641,0
MED.V,D,20220520,000000,0.0269276,0.0270583,0.0255193,0.0260787,69.286646943,0
MED.V,D,20220521,000000,0.0261186,0.0267325,0.0258589,0.0267325,4720.72061163,0
MED.V,D,20220522,000000,0.0274643,0.0283431,0.0271946,0.0281162,106074.2326859,0
MED.V,D,20220523,000000,0.0282988,0.030989,0.0276795,0.0282233,192652.5140289,0
MED.V,D,20220524,000000,0.0270202,0.0288782,0.0261885,0.0274543,162556.3739585,0
MED.V,D,20220525,000000,0.0277567,0.0280191,0.0269876,0.0274071,1360.963214247,0
MED.V,D,20220526,000000,0.0276096,0.0276096,0.0261376,0.0266623,214927.95795774,0
MED.V,D,20220527,000000,0.027023,0.027023,0.0265627,0.0265794,1526.333875808,0
MED.V,D,20220528,000000,0.0262501,0.0265464,0.0261484,0.0262945,26374.390838,0
MED.V,D,20220529,000000,0.0264161,0.0267346,0.0261915,0.0266214,31868.324032,0
MED.V,D,20220530,000000,0.0266369,0.0289747,0.0266369,0.0288858,110766.42558423,0
MED.V,D,20220531,000000,0.0288688,0.0297942,0.0277558,0.0285811,127558.39702525,0
MED.V,D,20220601,000000,0.0285122,0.0301429,0.0271525,0.0271525,49013.591736822,0
MED.V,D,20220602,000000,0.0270646,0.0287241,0.0269957,0.0284893,77167.81699375,0
MED.V,D,20220603,000000,0.0286971,0.0298986,0.0272682,0.0281628,35373.346135443,0
MED.V,D,20220604,000000,0.0280506,0.0282934,0.0277175,0.0280387,124828.38993015,0
MED.V,D,20220605,000000,0.0281267,0.0288626,0.0279286,0.0288626,53084.139274,0
MED.V,D,20220606,000000,0.0287395,0.0300054,0.0287395,0.0292601,256028.8043339,0
MED.V,D,20220607,000000,0.0293893,0.0295462,0.0275056,0.0281392,263137.08968367,0
MED.V,D,20220608,000000,0.0287561,0.0287561,0.0276043,0.0280849,204166.88849318,0
MED.V,D,20220609,000000,0.0280558,0.0280558,0.0275942,0.0277764,135441.08866458,0
MED.V,D,20220610,000000,0.0264746,0.0265553,0.021762,0.0255997,10614.294941076,0
