<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPL.V,D,20220515,000000,23.26505,23.55206,23.06235,23.33197,791.74816424,0
MPL.V,D,20220516,000000,23.86333,24.98199,23.37222,24.19251,2277.27997115,0
MPL.V,D,20220517,000000,23.95372,24,23.42,23.6,2812.03506651,0
MPL.V,D,20220518,000000,23.55,24.07,23.01,23.14,2970.58079676,0
MPL.V,D,20220519,000000,23.17,24.59,22.36,23.57,4318.32677266,0
MPL.V,D,20220520,000000,24.52,25.13,23.43,24.2,7598.4428717,0
MPL.V,D,20220521,000000,24.19,24.44,23.87,24.15,3112.91019609,0
MPL.V,D,20220522,000000,24.15,26.97,22.68,23.93,14903.19609105,0
MPL.V,D,20220523,000000,23.95,25.87,23.31,23.63,2722.8672402,0
MPL.V,D,20220524,000000,23.63,24.15,22.56,22.91,2565.22939267,0
MPL.V,D,20220525,000000,22.89,23.05,22.5,22.89,1607.85117299,0
MPL.V,D,20220526,000000,22.83,23.09,21.45,21.56,3278.2590007202,0
MPL.V,D,20220527,000000,21.75,23.32,21.03,21.94,2932.4550072401,0
MPL.V,D,20220528,000000,21.94,22.22,21.3,21.43,4313.92757496,0
MPL.V,D,20220529,000000,21.44,21.7,21.24,21.42,1488.3501650181,0
MPL.V,D,20220530,000000,21.43,23.37,21.4,23.23,2138.48755555,0
MPL.V,D,20220531,000000,23.23,28.91,23.22,27.4,7326.85805004,0
MPL.V,D,20220601,000000,27.39,27.9,26.35,26.94,2546.88810115,0
MPL.V,D,20220602,000000,26.98,29.75,26.91,28.92,2173.20984204,0
MPL.V,D,20220603,000000,28.96,31.38,28.77,29.17,3300.02081453,0
MPL.V,D,20220604,000000,28.97,29.27,28.38,28.69,2806.73777725,0
MPL.V,D,20220605,000000,28.68,28.72,27.52,27.56,4153.69225155,0
MPL.V,D,20220606,000000,27.55,28.19,27.5,27.71,5907.68932785,0
MPL.V,D,20220607,000000,27.74,29.44,27.65,28.59,13049.2502152,0
MPL.V,D,20220608,000000,28.53,28.57,27.69,28.15,23285.03118036,0
MPL.V,D,20220609,000000,27.98148,29.4605,27.98148,29.09764,7467.54219681,0
MPL.V,D,20220610,000000,29.09764,29.26189,20.97954,27.61485,9666.95920798,0
MPL.V,D,20220611,000000,27.84,28,26.91,27.36,4588.5261937,0
MPL.V,D,20220612,000000,27.37,27.4,23.53,23.53,3320.9141722,0
MPL.V,D,20220613,000000,23.53,23.61,18.51,18.7,64567.002326469,0
MPL.V,D,20220614,000000,18.7,19.51,18.22,19.08,160530.56752558,0
MPL.V,D,20220615,000000,19.14,19.2,15.52,16.15,282628.29037175,0
MPL.V,D,20220616,000000,16.71,17.70578,16.08914,16.86525,18822.81386148,0
MPL.V,D,20220617,000000,16.51285,16.69,16.09623,16.6,274815.52181382,0
MPL.V,D,20220618,000000,16.59,16.62,14.4,14.93,178068.04210532,0
MPL.V,D,20220619,000000,14.92912,16.12862,14.92912,15.77646,12369.061319586,0
MPL.V,D,20220620,000000,15.48295,16.40194,14.16199,16.26609,9841.810699375,0
MPL.V,D,20220621,000000,16.33301,16.47,15.69814,15.9,30663.396338907,0
MPL.V,D,20220622,000000,15.92,16.21,15.37,15.42,35630.30277443,0
MPL.V,D,20220623,000000,15.39,15.4,14.08,14.3,10866.642345425,0
MPL.V,D,20220624,000000,14.21,15,13.72007,14.35,120843.34393893,0
MPL.V,D,20220625,000000,14.35,14.85,14.29,14.43,20098.8315431,0
