<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MV.V,D,20220517,000000,0.825808,0.825808,0.825808,0.825808,6.006239,0
MV.V,D,20220518,000000,0.838093,0.838093,0.82401,0.82401,194.634659,0
MV.V,D,20220520,000000,0.816065,0.816065,0.807044,0.807044,139.79514,0
MV.V,D,20220521,000000,0.794545,0.794545,0.746478,0.753599,246.106032,0
MV.V,D,20220522,000000,0.732114,0.747532,0.732114,0.747532,1064.640912,0
MV.V,D,20220523,000000,0.754579,0.763726,0.747647,0.747647,818.70332,0
MV.V,D,20220524,000000,0.747961,0.747961,0.747961,0.747961,13.296448,0
MV.V,D,20220525,000000,0.719873,0.948955,0.719873,0.781619,30571.790825,0
MV.V,D,20220526,000000,0.795874,0.802955,0.764748,0.766583,26757.3425091,0
MV.V,D,20220527,000000,0.768491,0.768491,0.754215,0.757126,719.5794905,0
MV.V,D,20220528,000000,0.762323,0.781412,0.756312,0.781396,2514.4422474,0
MV.V,D,20220529,000000,0.780922,0.784565,0.778271,0.781889,1325.835258,0
MV.V,D,20220530,000000,0.783684,0.790726,0.779301,0.790726,6075.7376185,0
MV.V,D,20220531,000000,0.788689,0.788689,0.764458,0.776918,14212.251886,0
MV.V,D,20220601,000000,0.776941,0.81167,0.756768,0.756768,68993.1919506,0
MV.V,D,20220602,000000,0.756698,0.76543,0.695563,0.697741,57016.423942,0
MV.V,D,20220603,000000,0.696403,0.69963,0.598459,0.602326,61533.777352,0
MV.V,D,20220604,000000,0.60409,0.629537,0.58944,0.61271,65257.1951539,0
MV.V,D,20220605,000000,0.611159,0.628159,0.604829,0.626817,79624.5939773,0
MV.V,D,20220606,000000,0.627523,0.629883,0.611839,0.614347,65142.0703025,0
MV.V,D,20220607,000000,0.614407,0.61611,0.58146,0.583845,104391.2850177,0
MV.V,D,20220608,000000,0.582867,0.617596,0.57962,0.609504,1558294.1280677,0
MV.V,D,20220609,000000,0.610603,0.620476,0.574626,0.597548,768461.6372294,0
MV.V,D,20220610,000000,0.597542,0.59757,0.573793,0.573793,7832644.1274597,0
MV.V,D,20220611,000000,0.573885,0.576271,0.526865,0.527258,1975967.8572277,0
MV.V,D,20220612,000000,0.526939,0.527211,0.510106,0.512304,8403.3824458,0
MV.V,D,20220613,000000,0.511625,0.511625,0.451,0.4585,4731387.8573371,0
MV.V,D,20220614,000000,0.451386,0.451386,0.420404,0.420714,797780.7925145,0
MV.V,D,20220615,000000,0.420388,0.440849,0.420059,0.428856,2785576.5569433,0
MV.V,D,20220616,000000,0.432354,0.436689,0.429933,0.432827,2868849.7859186,0
MV.V,D,20220617,000000,0.4344,0.436595,0.432203,0.434158,943860.20958971,0
MV.V,D,20220618,000000,0.43258,0.434163,0.411375,0.412457,1829626.2015267,0
MV.V,D,20220619,000000,0.411942,0.4126,0.383522,0.386237,213801.4540066,0
MV.V,D,20220620,000000,0.39082,0.395754,0.389882,0.393756,204827.61478844,0
MV.V,D,20220621,000000,0.397692,0.417584,0.395495,0.415103,23317.6670597,0
MV.V,D,20220622,000000,0.416203,0.418699,0.410418,0.414155,43010.2440939,0
MV.V,D,20220623,000000,0.413586,0.416983,0.412546,0.416933,239172.620918,0
MV.V,D,20220624,000000,0.414544,0.417922,0.412228,0.413961,10175704.369312,0
MV.V,D,20220625,000000,0.411938,0.416823,0.411003,0.411022,281100.980234,0
MV.V,D,20220626,000000,0.41103,0.417703,0.411018,0.411059,990217.149384,0
MV.V,D,20220627,000000,0.411077,0.411151,0.398213,0.398617,5484.6932926,0
MV.V,D,20220628,000000,0.400377,0.400377,0.396881,0.396881,651892.2452751,0
MV.V,D,20220629,000000,0.396939,0.403398,0.393942,0.398749,1935343.8941235,0
MV.V,D,20220630,000000,0.398957,0.398957,0.393327,0.393327,2724956.0228062,0
MV.V,D,20220701,000000,0.394206,0.399959,0.392859,0.393977,229677.6651405,0
MV.V,D,20220702,000000,0.395225,0.395674,0.393227,0.393867,1496091.0065482,0
MV.V,D,20220703,000000,0.393857,0.393897,0.388745,0.388794,300729.0077669,0
MV.V,D,20220704,000000,0.390791,0.394057,0.388855,0.393188,168995.70921516,0
MV.V,D,20220705,000000,0.39153,0.404634,0.39153,0.404634,181828.1363316,0
MV.V,D,20220706,000000,0.404754,0.40844,0.398251,0.398861,33886.0370387,0
MV.V,D,20220707,000000,0.39938,0.408974,0.39938,0.408974,6887.074383,0
MV.V,D,20220708,000000,0.41071,0.413862,0.409853,0.410713,145014.000021,0
MV.V,D,20220709,000000,0.412322,0.412392,0.410084,0.411173,11662.3319218,0
