<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MX.V,D,20220514,000000,1.63462,1.66749,1.44459,1.58961,25009.42609499999,0
MX.V,D,20220515,000000,1.56351,1.63561,1.50783,1.58959,31440.87446779999,0
MX.V,D,20220516,000000,1.5832,1.62265,1.52197,1.56476,53269.54575100001,0
MX.V,D,20220517,000000,1.58534,1.59552,1.55238,1.56772,9867.908091499998,0
MX.V,D,20220518,000000,1.57076,1.57101,1.45076,1.46275,15945.349181300002,0
MX.V,D,20220519,000000,1.47258,1.54491,1.44811,1.51199,29578.766075100022,0
MX.V,D,20220520,000000,1.50789,1.57333,1.46574,1.51348,34208.339412199995,0
MX.V,D,20220521,000000,1.50554,1.54773,1.50065,1.53201,11779.814832300002,0
MX.V,D,20220522,000000,1.54039,1.59762,1.5356,1.57401,37068.4500215,0
MX.V,D,20220523,000000,1.57101,1.71249,1.52327,1.54914,64395.80771989995,0
MX.V,D,20220524,000000,1.55328,1.56322,1.49196,1.50904,14650.006647299999,0
MX.V,D,20220525,000000,1.51967,1.55433,1.49845,1.52407,26293.175613299973,0
MX.V,D,20220526,000000,1.52432,1.55059,1.4502,1.51568,32193.6030577,0
MX.V,D,20220527,000000,1.51818,1.52118,1.44731,1.45919,56242.58555829995,0
MX.V,D,20220528,000000,1.46272,1.54655,1.46272,1.52573,17610.929842299993,0
MX.V,D,20220529,000000,1.53497,1.56357,1.51289,1.55617,19781.7537211,0
MX.V,D,20220530,000000,1.55628,1.64735,1.55337,1.64735,25140.49811790001,0
MX.V,D,20220531,000000,1.64425,1.69271,1.62486,1.63549,22091.271468500006,0
MX.V,D,20220601,000000,1.63616,1.63832,1.47897,1.50594,84227.0121249,0
MX.V,D,20220602,000000,1.51164,1.54271,1.49375,1.52013,20572.0459423,0
MX.V,D,20220603,000000,1.52083,1.52974,1.49108,1.50859,8819.822003,0
MX.V,D,20220604,000000,1.50999,1.58602,1.50999,1.54984,13113.579624200007,0
MX.V,D,20220605,000000,1.55175,1.57844,1.54592,1.56145,9414.7327149,0
MX.V,D,20220606,000000,1.55565,1.61111,1.54856,1.60673,21080.173648899992,0
MX.V,D,20220607,000000,1.60444,1.61529,1.51127,1.60774,14793.101900000001,0
MX.V,D,20220608,000000,1.60861,1.61388,1.55181,1.58608,71612.094268,0
MX.V,D,20220609,000000,1.58788,1.61921,1.55965,1.61253,122594.07510684984,0
MX.V,D,20220610,000000,1.60923,1.61524,1.54651,1.58192,12812.699220200011,0
MX.V,D,20220611,000000,1.58279,1.59872,1.48557,1.53154,10571.770425600002,0
MX.V,D,20220612,000000,1.53535,1.53747,1.42288,1.44592,14957.679357499996,0
MX.V,D,20220613,000000,1.4527,1.46561,1.30726,1.32918,90428.41417270008,0
MX.V,D,20220614,000000,1.32875,1.33593,1.12594,1.23316,211172.31872790022,0
MX.V,D,20220615,000000,1.23842,1.34705,1.18377,1.32847,691162.1871311337,0
MX.V,D,20220616,000000,1.33393,1.38028,1.22295,1.22319,335028.9205731002,0
MX.V,D,20220617,000000,1.19965,1.26882,1.19965,1.2466,143972.0512148,0
MX.V,D,20220618,000000,1.2464,1.25173,1.19758,1.22889,279373.2047001522,0
MX.V,D,20220619,000000,1.2331,1.31379,1.1964,1.31079,18101.225800700013,0
MX.V,D,20220620,000000,1.31192,1.34565,1.24348,1.33263,18872.950702199993,0
MX.V,D,20220621,000000,1.32451,1.4024,1.32451,1.38411,9644.262900100006,0
MX.V,D,20220622,000000,1.38771,1.38861,1.30959,1.31129,9083.738697999994,0
MX.V,D,20220623,000000,1.32358,1.38811,1.3008,1.33586,36375.1601618,0
MX.V,D,20220624,000000,1.33177,1.36525,1.31608,1.35924,39816.45227119997,0
MX.V,D,20220625,000000,1.36593,1.40219,1.33928,1.39813,25514.596308099997,0
MX.V,D,20220626,000000,1.39975,1.39975,1.3468,1.36345,23999.9701839,0
MX.V,D,20220627,000000,1.35663,1.37944,1.33809,1.36056,12226.934815500006,0
MX.V,D,20220628,000000,1.36278,1.38354,1.31212,1.34831,10506.756963400003,0
MX.V,D,20220629,000000,1.3226,1.35136,1.29689,1.32254,11694.361981100004,0
MX.V,D,20220630,000000,1.32869,1.32869,1.2407,1.27267,15818.118192500024,0
MX.V,D,20220701,000000,1.25529,1.34272,1.2487,1.29045,23026.210229000055,0
MX.V,D,20220702,000000,1.29597,1.30953,1.28239,1.30104,5086.980875899998,0
MX.V,D,20220703,000000,1.30433,1.3064,1.28925,1.3064,1316.3088937999999,0
MX.V,D,20220704,000000,1.30131,1.34488,1.29648,1.34269,7921.844853900005,0
MX.V,D,20220705,000000,1.33739,1.37009,1.29857,1.35341,8211.819798500004,0
MX.V,D,20220706,000000,1.34782,1.34782,1.30856,1.33273,7334.4026127000025,0
MX.V,D,20220707,000000,1.33982,1.35189,1.30496,1.35129,12800.385675500003,0
MX.V,D,20220708,000000,1.35039,1.36978,1.32207,1.3405,29597.478376,0
MX.V,D,20220709,000000,1.34859,1.35535,1.3262,1.34929,3690.4846565000003,0
MX.V,D,20220710,000000,1.35289,1.35409,1.3392,1.34709,7352.671394499998,0
MX.V,D,20220711,000000,1.34669,1.35275,1.33746,1.34499,4565.5938446,0
MX.V,D,20220712,000000,1.33889,1.35934,1.32108,1.32917,11632.320996600003,0
MX.V,D,20220713,000000,1.33114,1.36027,1.28518,1.35814,57786.4699858,0
