<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAXG.V,D,20220308,000000,2051.41,2069.414,2024.405,2057.411,4029.490912174907,0
PAXG.V,D,20220309,000000,2057.411,2059.412,1982.396,1995.199,7060.637080168932,0
PAXG.V,D,20220310,000000,1996.2,2014.403,1976.395,1997.799,6000.7202668484615,0
PAXG.V,D,20220311,000000,1998.799,2003.801,1961.588,1987.397,4358.80166892745,0
PAXG.V,D,20220312,000000,1986.397,1991.199,1984.198,1991.199,1284.05310676713,0
PAXG.V,D,20220313,000000,1991.199,1999.6,1982.396,1984.595,1738.993397711636,0
PAXG.V,D,20220314,000000,1984.198,1988.398,1956.196,1962.392,2181.849740931142,0
PAXG.V,D,20220315,000000,1962.392,1963.393,1911.382,1924.577,3505.7490010141323,0
PAXG.V,D,20220316,000000,1925.577,1938.581,1905.572,1934.58,2437.8178296002807,0
PAXG.V,D,20220317,000000,1934.387,1956.782,1932.58,1949.974,1746.660451380252,0
PAXG.V,D,20220318,000000,1948.974,1951.975,1920.768,1926.963,2134.660666178308,0
PAXG.V,D,20220319,000000,1925.347,1929.157,1913.957,1916.766,1100.4127608131982,0
PAXG.V,D,20220320,000000,1917.767,1928.964,1914.957,1923.769,1383.9063391324592,0
PAXG.V,D,20220321,000000,1923.961,1943.165,1921.768,1934.967,2370.948195412745,0
PAXG.V,D,20220322,000000,1934.774,1941.776,1912.956,1921.96,1533.6377769511869,0
PAXG.V,D,20220323,000000,1920.768,1951.585,1917.767,1944.778,1556.9295898409437,0
PAXG.V,D,20220324,000000,1945.972,1965.178,1938.775,1954.782,2430.386225165913,0
PAXG.V,D,20220325,000000,1954.977,1965.786,1944.778,1960.784,1953.9725047805412,0
PAXG.V,D,20220326,000000,1959.979,1966.983,1956.978,1964.786,761.1525884325863,0
PAXG.V,D,20220327,000000,1963.981,1966.983,1949.585,1953.781,1207.099433177583,0
PAXG.V,D,20220328,000000,1954.782,1957.587,1918.575,1927.771,3330.865555403684,0
PAXG.V,D,20220329,000000,1927.771,1931.772,1892.757,1919.959,2317.2250390621634,0
PAXG.V,D,20220330,000000,1919.959,1938.388,1913.957,1928.578,866.562520047165,0
PAXG.V,D,20220331,000000,1928.578,1951.585,1919.192,1935.387,1259.3812818253414,0
PAXG.V,D,20220401,000000,1935.581,1939.582,1917.958,1921.768,1170.1205257387371,0
PAXG.V,D,20220402,000000,1921.576,1925.77,1919.768,1922.769,657.5192664774466,0
PAXG.V,D,20220403,000000,1922.577,1928.771,1916.766,1922.577,601.1119789323405,0
PAXG.V,D,20220404,000000,1923.769,1934.58,1918.575,1930.579,784.9603600856319,0
PAXG.V,D,20220405,000000,1931.579,1940.582,1917.383,1921.192,769.533110455493,0
PAXG.V,D,20220406,000000,1921.192,1933.193,1915.383,1927,1039.6516686222483,0
PAXG.V,D,20220407,000000,1926,1936.194,1921,1933.193,657.9844320460065,0
PAXG.V,D,20220408,000000,1933.193,1949.78,1926.193,1948.779,811.6973488496064,0
PAXG.V,D,20220409,000000,1949.78,1954.391,1939.582,1949.39,880.1621195577403,0
PAXG.V,D,20220410,000000,1949.585,1953.586,1942.388,1942.388,665.4777090477197,0
PAXG.V,D,20220411,000000,1942.388,1968.59,1940.194,1958.587,2110.44610260504,0
PAXG.V,D,20220412,000000,1958.587,1978.396,1950.39,1970.591,1710.7239569412768,0
PAXG.V,D,20220413,000000,1971.591,1982.793,1964.393,1982.595,24599.003280035693,0
PAXG.V,D,20220414,000000,1981.594,1981.594,1962.589,1976.198,21937.203228789276,0
PAXG.V,D,20220415,000000,1976.198,1981.396,1974.395,1979.396,819.11302106593,0
PAXG.V,D,20220416,000000,1979.396,1981.396,1977.198,1981.396,546.6747771673423,0
PAXG.V,D,20220417,000000,1981.198,1982.396,1978.198,1980.396,506.30614494752257,0
PAXG.V,D,20220418,000000,1980.396,1999.4,1978.396,1982.595,2495.727917487862,0
PAXG.V,D,20220419,000000,1982.595,1987.596,1952.195,1954.391,2045.0591261550012,0
PAXG.V,D,20220420,000000,1954.391,1965.393,1945.389,1961.196,1220.9691745166904,0
PAXG.V,D,20220421,000000,1960.392,1966.393,1936.387,1956.391,1749.2793001272319,0
PAXG.V,D,20220422,000000,1957.196,1959.392,1932.193,1939.194,1448.1301444303801,0
PAXG.V,D,20220423,000000,1940.388,1940.388,1932.386,1933.387,741.8121194528609,0
PAXG.V,D,20220424,000000,1934.387,1938.848,1932.193,1934.387,767.5675875277954,0
PAXG.V,D,20220425,000000,1934.387,1938.388,1897.19,1907.381,3156.648356662975,0
PAXG.V,D,20220426,000000,1907.381,1915.383,1898.19,1908.191,1839.6485623788665,0
PAXG.V,D,20220427,000000,1908.191,1910,1886,1894,1529.38045975141,0
PAXG.V,D,20220428,000000,1894.189,1902.19,1880.188,1898.19,1262.7644922097365,0
PAXG.V,D,20220429,000000,1898.19,1926,1894,1906.191,1631.718179209125,0
PAXG.V,D,20220430,000000,1906.191,1910.191,1900,1902.19,821.2487808906864,0
PAXG.V,D,20220501,000000,1902,1908,1894.189,1902,1033.3538690007408,0
PAXG.V,D,20220502,000000,1902.19,1908.191,1857,1870.187,2707.0233995847548,0
PAXG.V,D,20220503,000000,1871,1879,1851.185,1869.813,2074.4361972489864,0
PAXG.V,D,20220504,000000,1869.813,1889,1863.814,1883,1088.8217332198071,0
PAXG.V,D,20220505,000000,1882.623,1906.809,1871.626,1876.625,1539.9196566068129,0
PAXG.V,D,20220506,000000,1876.625,1891.811,1869.626,1883.812,1343.0255413577515,0
PAXG.V,D,20220507,000000,1883.812,1890.811,1879.624,1885.623,802.1479183050843,0
PAXG.V,D,20220508,000000,1885.623,1889.622,1880.06,1885.434,1294.7701993663766,0
PAXG.V,D,20220509,000000,1885.434,1887.434,1848.445,1850.63,1796.2132069794102,0
PAXG.V,D,20220510,000000,1849.445,1865.627,1833.266,1834.45,2058.7518780770747,0
PAXG.V,D,20220511,000000,1834.266,1857.071,1824.245,1846.144,2325.0833661076845,0
PAXG.V,D,20220512,000000,1845.959,1892.643,1812.614,1830.859,7375.951511918127,0
PAXG.V,D,20220513,000000,1831.043,1840.093,1798.839,1814.909,2820.148515911985,0
PAXG.V,D,20220514,000000,1814.728,1817.088,1803.299,1813.458,1160.0665720008117,0
PAXG.V,D,20220515,000000,1813.276,1814.002,1805.107,1812.822,847.1739640115378,0
PAXG.V,D,20220516,000000,1812.822,1827.621,1789.85,1821.629,1520.7640320336734,0
PAXG.V,D,20220517,000000,1821.629,1838.791,1816.635,1822.81,1779.2188393351976,0
PAXG.V,D,20220518,000000,1823.809,1826.805,1810.643,1816.635,1226.8558031255604,0
PAXG.V,D,20220519,000000,1816.453,1852.331,1814.456,1848.335,1817.3150434874865,0
PAXG.V,D,20220520,000000,1849.149,1851.775,1837.345,1849.778,1281.1381696957149,0
PAXG.V,D,20220521,000000,1849.778,1853.587,1846.226,1850.591,864.3093492403682,0
PAXG.V,D,20220522,000000,1851.59,1855.585,1845.598,1846.781,1133.1436495063583,0
PAXG.V,D,20220523,000000,1847.78,1869.129,1847.78,1852.774,1313.4070131629553,0
PAXG.V,D,20220524,000000,1853.773,1874.56,1851.775,1873.561,1032.9061104589487,0
PAXG.V,D,20220525,000000,1873.561,1873.561,1845.967,1859.766,979.1590992935887,0
PAXG.V,D,20220526,000000,1858.767,1861.763,1841.787,1854.144,1235.7116630094226,0
PAXG.V,D,20220527,000000,1854.144,1865.133,1843.969,1850.962,1247.6389406170028,0
PAXG.V,D,20220528,000000,1851.868,1859.766,1849.518,1852.83,804.7660143591893,0
PAXG.V,D,20220529,000000,1851.956,1860.785,1847.983,1848.964,801.5970464965059,0
PAXG.V,D,20220530,000000,1849.944,1864.414,1847.965,1860.51,978.6839114075588,0
PAXG.V,D,20220531,000000,1859.697,1861.696,1833.532,1834.531,949.8960266158076,0
PAXG.V,D,20220601,000000,1834.568,1849.334,1826.538,1849.334,1085.9010448505167,0
PAXG.V,D,20220602,000000,1849.316,1871.314,1845.338,1868.317,862.5805537911625,0
PAXG.V,D,20220603,000000,1867.318,1875.667,1849.907,1856.384,979.1644419971161,0
PAXG.V,D,20220604,000000,1856.384,1860.585,1848.187,1860.585,3104.7697652276875,0
PAXG.V,D,20220605,000000,1858.624,1869.709,1856.588,1863.266,2625.5775608210724,0
PAXG.V,D,20220606,000000,1861.249,1862.416,1842.34,1846.448,9234.401906694937,0
PAXG.V,D,20220607,000000,1845.522,1859.474,1834.458,1856.476,5960.797766176043,0
PAXG.V,D,20220608,000000,1855.459,1861.733,1842.728,1857.792,5876.418333382866,0
PAXG.V,D,20220609,000000,1856.792,1857.81,1841.433,1844.449,3929.965755250986,0
PAXG.V,D,20220610,000000,1844.449,1875.123,1828.335,1871.62,6858.26044653296,0
PAXG.V,D,20220611,000000,1871.601,1881.815,1862.799,1878.874,2709.9917507197947,0
PAXG.V,D,20220612,000000,1877.876,1893.251,1875.577,1884.66,2017.8729903061492,0
PAXG.V,D,20220613,000000,1884.679,1889.673,1823.279,1831.469,22862.574241918293,0
PAXG.V,D,20220614,000000,1831.451,1835.408,1801.943,1807.828,18701.180599187483,0
PAXG.V,D,20220615,000000,1807.846,1846.596,1806.883,1841.234,7401.282498998267,0
PAXG.V,D,20220616,000000,1840.236,1854.586,1820.812,1851.404,1753.358458418445,0
PAXG.V,D,20220617,000000,1856.245,1860.52,1834.625,1841.787,9520.389351778782,0
