<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLA.V,D,20220514,000000,0.588938,0.600977,0.500745,0.553169,986161.24248389,0
PLA.V,D,20220515,000000,0.555166,0.621129,0.549175,0.584298,943107.43792681,0
PLA.V,D,20220516,000000,0.586296,0.610267,0.539352,0.562268,673408.76410404,0
PLA.V,D,20220517,000000,0.565264,0.580245,0.55622,0.575309,466821.14031748,0
PLA.V,D,20220518,000000,0.578305,0.586296,0.497353,0.506341,959070.96254911,0
PLA.V,D,20220519,000000,0.502346,0.528524,0.456406,0.521478,1192212.1704677,0
PLA.V,D,20220520,000000,0.518533,0.572542,0.4994,0.538353,961064.19309221,0
PLA.V,D,20220521,000000,0.534358,0.618133,0.527314,0.57625,2542376.3134051,0
PLA.V,D,20220522,000000,0.578247,0.632177,0.574195,0.589292,1118467.2518457,0
PLA.V,D,20220523,000000,0.589233,0.605333,0.554878,0.565963,1319329.2744855,0
PLA.V,D,20220524,000000,0.567718,0.567718,0.489561,0.530909,1548255.6758422,0
PLA.V,D,20220525,000000,0.533905,0.566976,0.521873,0.563922,1459380.4937633,0
PLA.V,D,20220526,000000,0.564678,0.590391,0.496154,0.542557,1658862.5195763,0
PLA.V,D,20220527,000000,0.541604,0.548496,0.496703,0.513486,721069.65182533,0
PLA.V,D,20220528,000000,0.513614,0.517625,0.503475,0.512999,506480.20954823,0
PLA.V,D,20220529,000000,0.512689,0.518829,0.496878,0.515632,406852.22837702,0
PLA.V,D,20220530,000000,0.516383,0.568602,0.515227,0.564548,872124.99177127,0
PLA.V,D,20220531,000000,0.565947,0.595923,0.548561,0.562849,760971.21772714,0
PLA.V,D,20220601,000000,0.563392,0.57796,0.528524,0.529823,500697.25794029,0
PLA.V,D,20220602,000000,0.528229,0.556798,0.522329,0.549005,539433.3101817,0
PLA.V,D,20220603,000000,0.549205,0.567489,0.522992,0.537932,561474.35766367,0
PLA.V,D,20220604,000000,0.536633,0.549367,0.525847,0.537691,4363693.0470694,0
PLA.V,D,20220605,000000,0.538796,0.568139,0.528771,0.548983,3499359.3469551,0
PLA.V,D,20220606,000000,0.547885,0.57732,0.541995,0.566923,34489820.590646,0
PLA.V,D,20220607,000000,0.567517,0.571525,0.527546,0.55555,9382261.8828837,0
PLA.V,D,20220608,000000,0.55958,0.56365,0.532753,0.547549,7409269.8049206,0
PLA.V,D,20220609,000000,0.54635,0.551359,0.53098,0.543443,7489510.7837781,0
PLA.V,D,20220610,000000,0.543249,0.543627,0.475947,0.493073,15734764.155628,0
PLA.V,D,20220611,000000,0.493337,0.497547,0.424403,0.444797,1937978.7634969,0
PLA.V,D,20220612,000000,0.444692,0.45578,0.395813,0.418385,1495923.5620988,0
PLA.V,D,20220613,000000,0.417186,0.418381,0.320319,0.345419,63744036.613384,0
PLA.V,D,20220614,000000,0.343518,0.351447,0.301556,0.323611,61880750.091048,0
PLA.V,D,20220615,000000,0.324607,0.364462,0.291507,0.360459,32096451.305417,0
PLA.V,D,20220616,000000,0.360459,0.369656,0.333033,0.343952,1091912.0008043,0
PLA.V,D,20220617,000000,0.322857,0.345957,0.0094867,0.339992,11420946.484469,0
PLA.V,D,20220618,000000,0.339992,0.349787,0.291168,0.309198,27636299.761627,0
PLA.V,D,20220619,000000,0.308799,0.33826,0.295383,0.332367,11889728.502121,0
PLA.V,D,20220620,000000,0.332467,0.341789,0.314222,0.329237,6117737.5391398,0
PLA.V,D,20220621,000000,0.329204,0.361311,0.326341,0.349615,4081014.032146,0
PLA.V,D,20220622,000000,0.349515,0.352947,0.326373,0.335364,3776833.8463446,0
PLA.V,D,20220623,000000,0.335364,0.358941,0.333366,0.353346,1154657.2964946,0
