<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RACA.V,D,20220515,000000,0.000505292,0.000553695,0.000495705,0.000553695,977857755.04588,0
RACA.V,D,20220516,000000,0.000552361,0.000703065,0.000530762,0.000576799,4209787893.9648,0
RACA.V,D,20220517,000000,0.000576709,0.000595584,0.000551133,0.000578337,2482813185.3489,0
RACA.V,D,20220518,000000,0.000578337,0.000594047,0.000512773,0.000535833,2505775097.6074,0
RACA.V,D,20220519,000000,0.000537107,0.000563382,0.000515501,0.000544849,2926021658.2771,0
RACA.V,D,20220520,000000,0.000545024,0.00056938,0.000521933,0.000539212,2083480518.3315,0
RACA.V,D,20220521,000000,0.000539732,0.000567441,0.000535646,0.000554908,2314502875.8876,0
RACA.V,D,20220522,000000,0.000554648,0.00057655,0.000534434,0.000562524,1770102490.6808,0
RACA.V,D,20220523,000000,0.000562724,0.000594445,0.000550439,0.000566263,2073980812.7827,0
RACA.V,D,20220524,000000,0.000565564,0.000566819,0.000530463,0.000553979,1214326380.7835,0
RACA.V,D,20220525,000000,0.000550783,0.000567219,0.000537354,0.000552831,1138788565.8607,0
RACA.V,D,20220526,000000,0.00054964,0.000550539,0.00048282,0.000501847,2027639851.622,0
RACA.V,D,20220527,000000,0.000503906,0.000505943,0.000467285,0.000488911,1836302983.8265,0
RACA.V,D,20220528,000000,0.000489042,0.000498641,0.000469711,0.000487229,1457554434.37,0
RACA.V,D,20220529,000000,0.000488019,0.000493137,0.000474777,0.000487229,1190771561.505,0
RACA.V,D,20220530,000000,0.000487259,0.000544119,0.000480255,0.000539968,2715590920.1023,0
RACA.V,D,20220531,000000,0.000542066,0.000555955,0.000509692,0.000522711,3101791313.3634,0
RACA.V,D,20220601,000000,0.000522908,0.000545868,0.000482399,0.000492037,3365203304.8057,0
RACA.V,D,20220602,000000,0.000491797,0.000524807,0.00048924,0.000508682,3453095908.0522,0
RACA.V,D,20220603,000000,0.000509221,0.000518173,0.000491372,0.000504241,2526005901.6904,0
RACA.V,D,20220604,000000,0.000504311,0.000717859,0.000496303,0.000503237,1639329364.0231,0
RACA.V,D,20220605,000000,0.000505225,0.000512673,0.000497337,0.000504435,858182205.01186,0
RACA.V,D,20220606,000000,0.00050979,0.000527657,0.00049379,0.000501653,2155134663.1029,0
RACA.V,D,20220607,000000,0.000503577,0.000507589,0.000477594,0.000501588,2288942984.1847,0
RACA.V,D,20220608,000000,0.000498601,0.000502673,0.000470694,0.000474696,4817312016.3863,0
RACA.V,D,20220609,000000,0.000473692,0.000488589,0.000468629,0.000477598,3747724327.297,0
RACA.V,D,20220610,000000,0.000475595,0.000490578,0.000451525,0.000463411,5419527009.3618,0
