<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REP.V,D,20220523,000000,12.40634,15.76422,11.21652,11.45624,910540.59123012,0
REP.V,D,20220524,000000,11.4063,11.95683,9.72831,10.41644,262009.02788622,0
REP.V,D,20220525,000000,10.41644,10.66612,9.52855,9.70931,152426.58141757,0
REP.V,D,20220526,000000,9.71832,10.17879,8.57969,9.05094,146186.1885318,0
REP.V,D,20220527,000000,9.05003,10.71927,8.78033,9.14085,330016.58995265,0
REP.V,D,20220528,000000,9.13957,9.5685,8.95888,9.17925,135760.60312765,0
REP.V,D,20220529,000000,9.17897,12.80641,9.12976,12.06671,701029.0589395,0
REP.V,D,20220530,000000,12.06659,12.06659,10.87835,11.57074,249594.28083667,0
REP.V,D,20220531,000000,11.56074,11.91046,10.51158,10.81134,66490.444856531,0
REP.V,D,20220601,000000,10.82188,10.89128,9.63939,9.72124,44074.380267022,0
REP.V,D,20220602,000000,9.69127,10.76922,9.40153,9.87111,41491.464201968,0
REP.V,D,20220603,000000,9.8811,10.85023,9.47185,9.7615,188791.04466886,0
REP.V,D,20220604,000000,9.77159,10.07981,9.51,9.81254,359950.93596045,0
REP.V,D,20220605,000000,9.83272,10.55102,9.6222,9.96063,596178.37852614,0
REP.V,D,20220606,000000,9.9906,10.47151,9.96063,10.15147,1309288.6737991,0
REP.V,D,20220607,000000,10.14137,10.33131,9.35223,9.84192,934951.56861051,0
REP.V,D,20220608,000000,9.8721,9.98241,9.35373,9.50382,1051498.8524767,0
REP.V,D,20220609,000000,9.50382,9.70233,9.20263,9.3921,935949.34890798,0
REP.V,D,20220610,000000,9.3921,9.57195,8.68079,8.77875,712542.48602806,0
REP.V,D,20220611,000000,8.77884,9.90919,8.09028,8.40041,284498.56564989,0
REP.V,D,20220612,000000,8.35072,8.76982,7.58936,7.87023,233963.43634183,0
REP.V,D,20220613,000000,7.86024,8.11976,6.25061,6.60088,2148584.2747901,0
REP.V,D,20220614,000000,6.60081,6.71869,5.80152,6.22252,3532497.9615873,0
REP.V,D,20220615,000000,6.2724,6.97232,5.82949,6.94956,5559291.0873046,0
REP.V,D,20220616,000000,6.95095,10.94794,6.95095,8.38908,2275884.2518634,0
REP.V,D,20220617,000000,8.07875,8.82762,7.88894,8.10035,2470283.3333672,0
REP.V,D,20220618,000000,8.1,8.6094,6.89805,7.33802,2072455.6454493,0
REP.V,D,20220619,000000,7.32789,7.80063,6.99998,7.77066,639402.11090796,0
REP.V,D,20220620,000000,7.78065,7.93047,7.39112,7.77144,347136.72253954,0
REP.V,D,20220621,000000,7.73071,8.47322,7.6316,8.00199,255892.91131084,0
REP.V,D,20220622,000000,8.04195,10.27971,7.80141,8.46153,697628.39748644,0
REP.V,D,20220623,000000,8.48151,8.74125,8.0919,8.55144,181543.59900312,0
REP.V,D,20220624,000000,8.55144,8.84327,8.51148,8.81312,1009840.2512645,0
REP.V,D,20220625,000000,8.84115,10.54944,8.80119,9.24352,774491.03317702,0
REP.V,D,20220626,000000,9.23344,9.44357,8.90448,8.98452,315811.31124057,0
REP.V,D,20220627,000000,8.96462,9.46422,8.48499,8.69226,138798.8969566,0
REP.V,D,20220628,000000,8.67236,8.81206,8.36138,8.49953,87293.425642379,0
REP.V,D,20220629,000000,8.46948,8.63919,8.02939,8.30993,1194764.2617254,0
REP.V,D,20220630,000000,8.32,8.75948,7.43,7.67078,409946.01056358,0
REP.V,D,20220701,000000,7.72072,8.26008,7.6608,8.12106,321485.5449003,0
REP.V,D,20220702,000000,8.10027,8.15102,7.78065,8.09028,368145.78594792,0
REP.V,D,20220703,000000,8.08029,8.12024,7.83979,8.00957,381899.90019628,0
REP.V,D,20220704,000000,8.03724,8.13792,7.74694,8.11795,26516.751880214,0
REP.V,D,20220705,000000,8.12024,8.27006,7.78143,8.05113,48954.613169936,0
REP.V,D,20220706,000000,8.03116,8.38077,7.88053,8.13105,44596.876492518,0
REP.V,D,20220707,000000,8.1602,8.41411,8.00119,8.34499,20428.282003893,0
REP.V,D,20220708,000000,8.30418,8.76474,8.15429,8.41495,60668.640658258,0
REP.V,D,20220709,000000,8.39496,8.6548,8.31501,8.54487,38970.910828444,0
REP.V,D,20220710,000000,8.54487,8.59484,8.07515,8.22506,27429.470790753,0
REP.V,D,20220711,000000,8.19508,8.50489,7.81374,7.8829,28583.79569784,0
REP.V,D,20220712,000000,7.87291,7.87291,7.59164,7.64934,70214.210672763,0
REP.V,D,20220713,000000,7.6166,7.91544,7.31568,7.70006,642043.76746353,0
REP.V,D,20220714,000000,7.69707,7.92445,7.58369,7.91046,622223.43116716,0
REP.V,D,20220715,000000,7.94123,8.07358,7.83751,8.07358,512269.73849754,0
REP.V,D,20220716,000000,8.07358,8.18236,7.84365,8.13456,661263.13257399,0
REP.V,D,20220717,000000,8.10938,8.55297,8.0749,8.19787,562243.64841176,0
REP.V,D,20220718,000000,8.19779,8.61605,8.13474,8.43106,565803.11748428,0
REP.V,D,20220719,000000,8.43047,8.75017,8.35258,8.73931,867752.99523518,0
REP.V,D,20220720,000000,8.704,8.92478,8.42875,8.43342,778274.11101309,0
REP.V,D,20220721,000000,8.43651,8.52228,7.9838,8.36509,886517.49076884,0
REP.V,D,20220722,000000,8.3881,8.60672,8.26683,8.28782,569025.34935517,0
REP.V,D,20220723,000000,8.285,9.32103,8.25258,8.47469,963330.49761524,0
REP.V,D,20220724,000000,8.47461,8.59995,8.3755,8.44169,690840.26698696,0
REP.V,D,20220725,000000,8.4416,8.52336,7.93271,8.04264,645265.2733603,0
REP.V,D,20220726,000000,7.96672,8.14681,7.65223,7.70015,545525.23327328,0
REP.V,D,20220727,000000,7.7,8.18488,7.687,8.1678,475734.91133458,0
REP.V,D,20220728,000000,8.16896,8.80014,8.15755,8.61772,1107928.6530025,0
REP.V,D,20220729,000000,8.61815,9.16592,8.35517,8.52941,1404144.0593714,0
REP.V,D,20220730,000000,8.56751,8.77707,8.41911,8.65986,1031638.4011483,0
REP.V,D,20220731,000000,8.6586,9.05581,8.51538,8.89104,1289684.3331197,0
REP.V,D,20220801,000000,8.87666,10.06252,8.6619,8.90367,2275539.0608687,0
REP.V,D,20220802,000000,8.9265,9.25952,8.37717,8.59346,1300383.0251389,0
REP.V,D,20220803,000000,8.59346,8.66617,8.341,8.66617,1054955.9972563,0
REP.V,D,20220804,000000,8.64099,8.78593,8.47237,8.56426,1039176.3875098,0
REP.V,D,20220805,000000,8.51926,8.84177,8.51426,8.78767,449887.79879616,0
REP.V,D,20220806,000000,8.78767,8.93627,8.77314,8.91005,831716.23560372,0
REP.V,D,20220807,000000,8.90496,8.9517,8.73175,8.9457,805001.54770438,0
REP.V,D,20220808,000000,8.9457,9.09982,8.78635,8.98808,1206300.2558647,0
REP.V,D,20220809,000000,9.00208,9.26667,8.47778,8.56071,918905.86357665,0
REP.V,D,20220810,000000,8.5658,8.94041,8.40944,8.90958,845262.23515879,0
REP.V,D,20220811,000000,8.90867,9.30235,8.90549,9.19932,1032330.0735089,0
REP.V,D,20220812,000000,9.2006,9.71185,9.06663,9.30228,1326076.0482195,0
REP.V,D,20220813,000000,9.29518,9.96008,9.28008,9.58874,1082859.5353457,0
REP.V,D,20220814,000000,9.59784,9.80392,9.37497,9.40692,1057797.5004284,0
REP.V,D,20220815,000000,9.40792,9.54077,9.04635,9.1852,829855.681409,0
REP.V,D,20220816,000000,9.18511,9.52362,8.92152,9.04081,1295723.7407806,0
REP.V,D,20220817,000000,9.03681,9.33247,8.73291,8.84071,1147297.4059513,0
REP.V,D,20220818,000000,8.84071,9.03645,8.7547,8.88909,852613.04819996,0
REP.V,D,20220819,000000,8.88789,8.9699,7.61476,7.91479,1297737.2406975,0
REP.V,D,20220820,000000,7.87839,7.89439,7.57639,7.651,905212.38225229,0
REP.V,D,20220821,000000,7.60685,7.86776,7.56562,7.86584,942982.97552065,0
REP.V,D,20220822,000000,7.86784,7.91408,7.38641,7.52664,923907.46580731,0
REP.V,D,20220823,000000,7.52687,7.85653,7.4688,7.82608,877841.85430191,0
REP.V,D,20220824,000000,7.826,8.00584,7.65546,7.97872,1134700.452248,0
REP.V,D,20220825,000000,8.00664,8.08543,7.83439,8.02824,1324762.6355922,0
REP.V,D,20220826,000000,8.02824,8.77147,7.67638,7.69677,1339555.6741966,0
REP.V,D,20220827,000000,7.71377,7.71477,7.4213,7.51615,913194.93587531,0
REP.V,D,20220828,000000,7.52123,7.671,7.51845,7.654,963643.1203939,0
REP.V,D,20220829,000000,7.67092,7.77038,7.37337,7.72454,1236774.3526481,0
REP.V,D,20220830,000000,7.72462,8.01648,7.5613,7.68461,1309330.1176365,0
REP.V,D,20220831,000000,7.68461,7.88232,7.66492,7.799,822269.72590364,0
REP.V,D,20220901,000000,7.79992,8.14567,7.54662,7.75053,1052487.8916967,0
REP.V,D,20220902,000000,7.66954,7.81131,7.6433,7.68415,952642.15687051,0
REP.V,D,20220903,000000,7.64522,7.83718,7.616,7.651,605201.35931598,0
REP.V,D,20220904,000000,7.65177,7.779,7.639,7.779,684600.56655086,0
REP.V,D,20220905,000000,7.727,7.83,7.632,7.72777,792930.5245635,0
REP.V,D,20220906,000000,7.74577,7.85479,7.363,7.401,1200503.5913364,0
REP.V,D,20220907,000000,7.401,7.5777,7.12193,7.5116,1074620.9966717,0
REP.V,D,20220908,000000,7.53068,8.82588,7.49645,7.80125,1432364.977295,0
REP.V,D,20220909,000000,7.8,8.21948,7.78217,8.13677,1287245.9407137,0
REP.V,D,20220910,000000,8.13517,8.2183,8.0016,8.09762,1128169.1659934,0
REP.V,D,20220911,000000,8.0977,8.52322,7.95815,8.38601,1018572.5660383,0
REP.V,D,20220912,000000,8.38401,8.41669,8.08829,8.21748,939418.41927427,0
REP.V,D,20220913,000000,8.22047,8.38901,7.72254,7.76616,1153755.2917597,0
REP.V,D,20220914,000000,7.76678,7.82639,7.37207,7.47202,1553615.5744233,0
REP.V,D,20220915,000000,7.47187,7.79801,7.25807,7.42033,1161154.5968191,0
REP.V,D,20220916,000000,7.416,7.559,7.27449,7.37026,1520714.7425006,0
REP.V,D,20220917,000000,7.36726,7.51475,7.332,7.49875,1157774.2111968,0
REP.V,D,20220918,000000,7.498,7.54475,7.14329,7.231,1221015.6169687,0
REP.V,D,20220919,000000,7.231,7.231,6.813,7.08771,1529606.3249408,0
REP.V,D,20220920,000000,7.12843,7.24245,6.92369,7.01,1138689.8673947,0
REP.V,D,20220921,000000,7.00614,7.23917,6.94769,7.003,1613387.4066851,0
REP.V,D,20220922,000000,7,7.237,6.877,7.218,954054.18474755,0
REP.V,D,20220923,000000,7.21072,7.299,7.0093,7.033,1393562.1014382,0
REP.V,D,20220924,000000,7.07243,7.25115,7.05251,7.19358,1101984.2780862,0
REP.V,D,20220925,000000,7.193,7.22329,7.06821,7.157,877666.81561304,0
REP.V,D,20220926,000000,7.157,7.16093,6.89,7.02,1671219.046046,0
REP.V,D,20220927,000000,7.02,7.233,6.9643,6.9703,1692815.8105222,0
REP.V,D,20220928,000000,6.9703,7.367,6.86231,7.039,1427422.0863516,0
REP.V,D,20220929,000000,7,7.057,6.889,7.0067,1519831.5301808,0
REP.V,D,20220930,000000,7.006,7.246,6.943,7.068,1249292.94923,0
REP.V,D,20221001,000000,7.079,7.12371,6.9977,6.998,1120985.8273042,0
REP.V,D,20221002,000000,7.01,7.0237,6.87,6.971,964465.52685811,0
REP.V,D,20221003,000000,6.967,6.9824,6.857,6.9557,1036595.6958898,0
REP.V,D,20221004,000000,6.9557,7.10842,6.9557,7.06712,764833.82105579,0
REP.V,D,20221005,000000,7.08613,7.38121,7.001,7.11171,1302451.7188014,0
REP.V,D,20221006,000000,7.13443,7.15443,7.03184,7.0322,1315097.4709054,0
REP.V,D,20221007,000000,7.0612,7.12014,6.97249,7.04099,1157035.1148679,0
REP.V,D,20221008,000000,7.02891,7.41804,7.02735,7.19894,1131957.4408427,0
REP.V,D,20221009,000000,7.24888,7.65777,7.059,7.12871,1015781.7295315,0
REP.V,D,20221010,000000,7.12571,7.19372,6.9903,7.0173,1113395.0646752,0
REP.V,D,20221011,000000,7.018,7.039,6.79939,6.84532,740247.89977931,0
REP.V,D,20221012,000000,6.82932,6.89386,6.82114,6.85621,804413.49906216,0
REP.V,D,20221013,000000,6.83621,7.16643,6.26044,6.66053,1254266.3250556,0
REP.V,D,20221014,000000,6.6636,6.78954,6.58846,6.60826,927253.36462613,0
REP.V,D,20221015,000000,6.60326,6.7234,6.55139,6.63033,643288.37548956,0
REP.V,D,20221016,000000,6.6304,6.72147,6.55733,6.67727,805019.14948095,0
REP.V,D,20221017,000000,6.67733,6.78854,6.5772,6.76114,675122.93038302,0
REP.V,D,20221018,000000,6.7612,6.83341,6.65507,6.66833,476059.47270201,0
REP.V,D,20221019,000000,6.6714,6.7232,6.519,6.54907,344226.50870468,0
REP.V,D,20221020,000000,6.54993,6.58907,6.47261,6.49735,664361.20537983,0
REP.V,D,20221021,000000,6.49735,6.53967,6.21081,6.44145,883816.18155889,0
REP.V,D,20221022,000000,6.41345,6.77814,6.34713,6.51452,1259917.3665072,0
REP.V,D,20221023,000000,6.52659,7.078,6.455,6.73294,1544614.306451,0
REP.V,D,20221024,000000,6.73967,7.17436,6.54726,6.72334,1955696.3187091,0
REP.V,D,20221025,000000,6.70327,8.75409,6.6772,6.95522,4586358.0014083,0
REP.V,D,20221026,000000,7.03046,8.12162,6.9388,7.47009,3889497.6959705,0
REP.V,D,20221027,000000,7.47609,7.64784,7.10043,7.11143,2348793.0636725,0
REP.V,D,20221028,000000,7.11043,7.35351,6.85055,7.05755,2100858.1368817,0
REP.V,D,20221029,000000,7.05741,7.13464,6.9833,7.00861,1359330.3452646,0
REP.V,D,20221030,000000,6.99968,7.08484,6.88958,6.96139,1615002.4583641,0
REP.V,D,20221031,000000,6.96439,7.47893,6.90445,7.05044,1841767.6838239,0
REP.V,D,20221101,000000,7.05058,7.44566,7.02581,7.05629,1649362.0037574,0
REP.V,D,20221102,000000,7.05629,7.11615,6.74339,6.75473,1224942.7169291,0
REP.V,D,20221103,000000,6.75366,6.93424,6.73246,6.90293,1026118.6920835,0
REP.V,D,20221104,000000,6.903,7.15557,6.87245,7.1495,1022483.1387729,0
REP.V,D,20221105,000000,7.14757,7.26365,7.13993,7.19143,720459.5686749308,0
