<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNDR.V,D,20220129,000000,3.16163,3.20196,3.02091,3.13894,1734313.2574506975,0
RNDR.V,D,20220130,000000,3.12863,3.76913,2.94788,3.10124,6665986.458827877,0
RNDR.V,D,20220131,000000,3.09024,3.66246,2.85114,3.53977,7752057.873773102,0
RNDR.V,D,20220201,000000,3.53877,4.04902,3.42806,3.83091,7161802.284270818,0
RNDR.V,D,20220202,000000,3.8323,4.23354,3.28064,3.35969,13414520.665201453,0
RNDR.V,D,20220203,000000,3.36202,3.48874,3.14357,3.32966,8737462.613892557,0
RNDR.V,D,20220204,000000,3.32766,3.66783,3.25062,3.50981,8308000.723539895,0
RNDR.V,D,20220205,000000,3.51381,4.0048,3.4968,3.71923,8219019.468471947,0
RNDR.V,D,20220206,000000,3.71323,3.85131,3.42071,3.55742,4657386.998273204,0
RNDR.V,D,20220207,000000,3.55542,3.85169,3.45707,3.7116,5417025.122719616,0
RNDR.V,D,20220208,000000,3.7146,3.75262,3.20924,3.4441,4810518.703101404,0
RNDR.V,D,20220209,000000,3.4471,3.49379,3.21125,3.33466,4652831.280641857,0
RNDR.V,D,20220210,000000,3.33333,3.48278,3.02242,3.11518,4413159.9740294805,0
RNDR.V,D,20220211,000000,3.11918,3.16153,2.64679,2.64979,4337172.953153621,0
RNDR.V,D,20220212,000000,2.64779,2.78239,2.53552,2.70635,4777123.936485232,0
RNDR.V,D,20220213,000000,2.70262,2.97148,2.50125,2.6083,5236898.471561196,0
RNDR.V,D,20220214,000000,2.60956,2.89874,2.53126,2.77767,3832918.9316711384,0
RNDR.V,D,20220215,000000,2.78167,3.25795,2.77867,3.14889,5278432.235659849,0
RNDR.V,D,20220216,000000,3.15489,3.82191,2.9998,3.26396,9835532.345812181,0
RNDR.V,D,20220217,000000,3.26063,3.34767,2.73164,2.84699,3482569.4725110866,0
RNDR.V,D,20220218,000000,2.84371,2.98209,2.67861,2.69662,2964770.7688257555,0
RNDR.V,D,20220219,000000,2.69662,2.78567,2.53227,2.6113,1373925.3410490751,0
RNDR.V,D,20220220,000000,2.60856,2.62758,2.34394,2.43722,1935159.2755610126,0
RNDR.V,D,20220221,000000,2.44422,2.88044,2.41196,2.45498,5167049.570611503,0
RNDR.V,D,20220222,000000,2.45122,2.494,2.21789,2.36418,3820282.43250358,0
RNDR.V,D,20220223,000000,2.36718,2.64559,2.36718,2.42946,4559426.5251242155,0
RNDR.V,D,20220224,000000,2.42746,2.42746,2.0012,2.33093,7530803.537636556,0
RNDR.V,D,20220225,000000,2.33493,2.55202,2.32093,2.54902,4856955.256412005,0
RNDR.V,D,20220226,000000,2.54927,2.71909,2.46098,2.46098,2729181.5201945156,0
RNDR.V,D,20220227,000000,2.46023,2.54027,2.33293,2.39796,2449290.6495087356,0
RNDR.V,D,20220228,000000,2.39596,2.65106,2.35894,2.64432,1570736.144537849,0
RNDR.V,D,20220301,000000,2.64306,2.9949,2.53201,2.97989,4696028.704100469,0
RNDR.V,D,20220302,000000,2.9859,3.331,2.86757,2.92058,9576648.004109573,0
RNDR.V,D,20220303,000000,2.92088,2.93688,2.68754,2.78156,3424781.4117462873,0
RNDR.V,D,20220304,000000,2.77455,2.80356,2.48475,2.49075,2481028.7271280307,0
RNDR.V,D,20220305,000000,2.50175,2.69381,2.4755,2.60078,2090131.7836727183,0
RNDR.V,D,20220306,000000,2.60452,2.64153,2.4805,2.56977,1459557.4689355409,0
RNDR.V,D,20220307,000000,2.57277,2.59678,2.41248,2.4985,1921029.8594594796,0
RNDR.V,D,20220308,000000,2.50375,2.55851,2.43773,2.4855,1196366.814627271,0
RNDR.V,D,20220309,000000,2.4775,2.76055,2.4775,2.64053,2246582.019825188,0
RNDR.V,D,20220310,000000,2.63753,2.65553,2.4785,2.52101,1436007.0421135782,0
RNDR.V,D,20220311,000000,2.52301,2.56002,2.35471,2.39548,1840712.0644978934,0
RNDR.V,D,20220312,000000,2.39548,2.41948,2.359,2.36924,510056.3670432981,0
RNDR.V,D,20220313,000000,2.37171,2.40324,2.24867,2.25168,1252605.8660389564,0
RNDR.V,D,20220314,000000,2.24845,2.30946,2.24622,2.30446,626812.4858250844,0
RNDR.V,D,20220315,000000,2.30546,2.35671,2.24345,2.3377,912787.4253115406,0
RNDR.V,D,20220316,000000,2.3397,2.53276,2.27145,2.49375,2477119.1021203008,0
RNDR.V,D,20220317,000000,2.49575,2.58077,2.41921,2.42121,991246.1766778623,0
RNDR.V,D,20220318,000000,2.42097,2.57354,2.35418,2.51826,4830035.111378904,0
RNDR.V,D,20220319,000000,2.51926,3.09686,2.51801,2.67607,6106141.781807265,0
RNDR.V,D,20220320,000000,2.67607,2.77811,2.51526,2.61505,1543142.5441365112,0
RNDR.V,D,20220321,000000,2.61204,2.77239,2.54502,2.72509,1176171.8285813243,0
RNDR.V,D,20220322,000000,2.72309,2.91146,2.62531,2.87644,2050142.6668814323,0
RNDR.V,D,20220323,000000,2.87544,2.87944,2.71909,2.78511,1413047.2622711926,0
RNDR.V,D,20220324,000000,2.78511,2.94918,2.76911,2.83942,1636476.2121370025,0
RNDR.V,D,20220325,000000,2.84014,2.91633,2.75283,2.76338,1378857.7902743558,0
