<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSR.V,D,20220524,000000,0.00670262,0.00761162,0.00555388,0.00608208,4261129623.2238,0
RSR.V,D,20220525,000000,0.00608208,0.00685108,0.00578305,0.00581302,1489960930.3729,0
RSR.V,D,20220526,000000,0.00580303,0.00597342,0.00485417,0.00514485,655127485.4001,0
RSR.V,D,20220527,000000,0.00514433,0.00570429,0.00465487,0.00545399,687105439.6533,0
RSR.V,D,20220528,000000,0.00545378,0.00583334,0.00516421,0.0052938,570182645.55519,0
RSR.V,D,20220529,000000,0.00527372,0.0068827,0.00491503,0.0065428,2210914089.1297,0
RSR.V,D,20220530,000000,0.00655278,0.00844239,0.0065127,0.00752398,6155875843.3697,0
RSR.V,D,20220531,000000,0.00755471,0.00784372,0.00669397,0.00683384,843244750.36598,0
RSR.V,D,20220601,000000,0.00682467,0.00729416,0.00611327,0.00614446,528762641.11176,0
RSR.V,D,20220602,000000,0.0061547,0.00714357,0.00590468,0.00697372,1361207331.8919,0
RSR.V,D,20220603,000000,0.00696373,0.00723443,0.00628478,0.00710381,980797624.45608,0
RSR.V,D,20220604,000000,0.00711381,0.00774334,0.00693285,0.00741436,1368473380.3741,0
RSR.V,D,20220605,000000,0.00740444,0.00746328,0.00681427,0.00693348,593465681.21654,0
RSR.V,D,20220606,000000,0.00694347,0.00772258,0.00678369,0.00740378,1356366911.1398,0
RSR.V,D,20220607,000000,0.00739378,0.01386751,0.00673441,0.00957214,3567057193.6714,0
RSR.V,D,20220608,000000,0.0096223,0.0110326,0.00850421,0.00877429,3045881566.9437,0
RSR.V,D,20220609,000000,0.00879428,0.0090533,0.00791303,0.0079733,1092431365.4678,0
RSR.V,D,20220610,000000,0.00798321,0.00947061,0.00741325,0.0090484,3386477048.3357,0
RSR.V,D,20220611,000000,0.00906838,0.00957945,0.00754132,0.00796099,2068937843.3565,0
RSR.V,D,20220612,000000,0.00796091,0.00811082,0.00654149,0.00722111,1666964665.8908,0
RSR.V,D,20220613,000000,0.00720113,0.00739001,0.00565424,0.00657085,3207954129.4324,0
RSR.V,D,20220614,000000,0.00656087,0.00704885,0.00593323,0.0059928,5275892346.0052,0
RSR.V,D,20220615,000000,0.00599274,0.00756016,0.00565985,0.00719919,3607469010.0378,0
RSR.V,D,20220616,000000,0.0071892,0.00720917,0.00626248,0.00652086,2089139695.3253,0
RSR.V,D,20220617,000000,0.0061794,0.00731496,0.0061075,0.00695365,1421666481.0438,0
RSR.V,D,20220618,000000,0.00695165,0.00708563,0.00570166,0.00605018,3141572359.2024,0
RSR.V,D,20220619,000000,0.00606017,0.00664202,0.00574172,0.00638169,2556275523.928,0
RSR.V,D,20220620,000000,0.006385,0.00820015,0.006025,0.0080703,2222726888.7149,0
RSR.V,D,20220621,000000,0.0080811,0.0098901,0.00780141,0.0080811,3767139740.6406,0
RSR.V,D,20220622,000000,0.0080811,0.00927072,0.00783216,0.00882117,1819176395.1771,0
RSR.V,D,20220623,000000,0.00882117,0.00968031,0.00837162,0.00887112,2242802690.5858,0
RSR.V,D,20220624,000000,0.00887023,0.00948355,0.0083916,0.00924269,1975319079.5809,0
RSR.V,D,20220625,000000,0.00922077,0.00994005,0.00844425,0.00901369,1802025936.7241,0
RSR.V,D,20220626,000000,0.0089937,0.00904385,0.00795514,0.00820499,1188618559.0838,0
RSR.V,D,20220627,000000,0.0082149,0.00897174,0.0077166,0.00860234,1509525337.6997,0
RSR.V,D,20220628,000000,0.00861233,0.00894186,0.00802173,0.00809036,953641861.35383,0
RSR.V,D,20220629,000000,0.00807997,0.00812991,0.00729044,0.00749092,913262792.66454,0
RSR.V,D,20220630,000000,0.00748101,0.00756991,0.00654188,0.00675788,1039851379.5998,0
RSR.V,D,20220701,000000,0.00677985,0.00745679,0.00670627,0.006895,1491499412.2113,0
RSR.V,D,20220702,000000,0.006895,0.007165,0.006785,0.007125,783873138.55398,0
RSR.V,D,20220703,000000,0.00711845,0.00747702,0.00685439,0.0069909,826028255.04263,0
RSR.V,D,20220704,000000,0.00698691,0.00711345,0.00674454,0.00709448,375635405.78883,0
RSR.V,D,20220705,000000,0.00708149,0.00743507,0.00676088,0.00704154,785739627.48144,0
RSR.V,D,20220706,000000,0.00703226,0.0070832,0.00676255,0.00705323,454267838.0759,0
RSR.V,D,20220707,000000,0.00705323,0.0079912,0.00697732,0.00748551,2306348322.6381,0
RSR.V,D,20220708,000000,0.0074955,0.00764464,0.00700509,0.00709574,692695805.26078,0
RSR.V,D,20220709,000000,0.00709674,0.00740356,0.00700479,0.00726864,404688091.63146,0
