<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAPP.V,D,20220516,000000,0.771729,0.771729,0.679073,0.679073,0.0031449764,0
SAPP.V,D,20220517,000000,0.788131,0.788131,0.788131,0.788131,0.03417961,0
SAPP.V,D,20220518,000000,0.791452,0.791452,0.774281,0.774281,0.0208847112,0
SAPP.V,D,20220519,000000,0.758585,0.775644,0.758585,0.775644,0.0490661047,0
SAPP.V,D,20220520,000000,0.777775,0.777775,0.743362,0.753689,0.408926884,0
SAPP.V,D,20220521,000000,0.758519,0.758519,0.758519,0.758519,0.01902131,0
SAPP.V,D,20220522,000000,0.758815,0.78,0.758815,0.778018,9.373759505999999,0
SAPP.V,D,20220523,000000,0.789801,0.790787,0.786082,0.786082,0.057334699999999995,0
SAPP.V,D,20220524,000000,0.754921,0.758418,0.748174,0.748174,5.668652111179999,0
SAPP.V,D,20220525,000000,0.765273,0.778117,0.755686,0.77782,0.0461611665,0
SAPP.V,D,20220526,000000,0.771597,0.771597,0.756497,0.769532,0.09149960557,0
SAPP.V,D,20220527,000000,0.752011,0.752011,0.746138,0.746138,4.654407955,0
SAPP.V,D,20220528,000000,0.743917,0.749793,0.743917,0.749793,0.024752018400000003,0
SAPP.V,D,20220529,000000,0.739208,0.745359,0.738198,0.738198,14.084520580000001,0
SAPP.V,D,20220530,000000,0.721517,0.756505,0.721517,0.751724,0.54977723,0
SAPP.V,D,20220531,000000,0.755057,0.755057,0.755057,0.755057,6.257263,0
SAPP.V,D,20220601,000000,0.733617,0.764257,0.723718,0.723718,0.04093052899999999,0
SAPP.V,D,20220602,000000,0.681249,0.688786,0.681249,0.688786,0.27019902490000003,0
SAPP.V,D,20220603,000000,0.63223,0.661933,0.63223,0.661933,0.18822613200000002,0
SAPP.V,D,20220604,000000,0.564543,0.750304,0.564543,0.750304,2.843709988,0
SAPP.V,D,20220605,000000,0.749567,0.756014,0.749567,0.756014,0.06549355879999999,0
SAPP.V,D,20220606,000000,0.771265,0.782264,0.771265,0.782264,0.0260636298,0
SAPP.V,D,20220607,000000,0.758097,0.785154,0.748062,0.785154,0.038226836300000004,0
SAPP.V,D,20220608,000000,0.768698,0.768698,0.756251,0.756251,0.1380558649,0
SAPP.V,D,20220609,000000,0.752769,0.757265,0.746469,0.746469,0.197884631,0
SAPP.V,D,20220610,000000,0.74263,0.752155,0.739381,0.739381,1.2609126309,0
SAPP.V,D,20220611,000000,0.780342,0.780693,0.780342,0.780693,0.0018166471999999999,0
SAPP.V,D,20220612,000000,0.763968,0.763968,0.732522,0.751699,8.493423049,0
SAPP.V,D,20220613,000000,0.693061,0.752202,0.693061,0.752202,14.852299000000002,0
SAPP.V,D,20220614,000000,0.732194,0.756447,0.732194,0.7396,26.979408260200003,0
SAPP.V,D,20220615,000000,0.72531,0.72531,0.688644,0.718409,0.93117928069,0
SAPP.V,D,20220616,000000,0.73674,0.74062,0.714449,0.714449,0.44786446199999996,0
SAPP.V,D,20220617,000000,0.714449,0.714449,0.685916,0.698189,9.387076567,0
SAPP.V,D,20220618,000000,0.694043,0.694043,0.615722,0.633131,17.02658712,0
SAPP.V,D,20220619,000000,0.627753,0.672362,0.627753,0.672362,28.853549,0
SAPP.V,D,20220620,000000,0.694037,0.699515,0.694037,0.699515,0.0253993465,0
SAPP.V,D,20220621,000000,0.718761,0.745141,0.718761,0.745141,0.4498378811,0
SAPP.V,D,20220622,000000,0.703397,0.703397,0.697938,0.6986,0.42484399219999996,0
SAPP.V,D,20220623,000000,0.707313,0.717074,0.707313,0.717074,7.271236,0
SAPP.V,D,20220624,000000,0.73142,0.7452,0.73142,0.7452,14.726348199999999,0
SAPP.V,D,20220625,000000,0.744462,0.749949,0.737633,0.741671,0.20543383059999998,0
SAPP.V,D,20220626,000000,0.746422,0.746422,0.744318,0.744318,1.388429763,0
SAPP.V,D,20220627,000000,0.736818,0.743654,0.718472,0.730689,3.8713852897,0
SAPP.V,D,20220628,000000,0.731224,0.731224,0.724943,0.724943,0.9031026082,0
SAPP.V,D,20220629,000000,0.699166,0.711865,0.689765,0.711865,31.557574413999998,0
SAPP.V,D,20220630,000000,0.71243,0.71243,0.674088,0.684716,27.2856906295,0
SAPP.V,D,20220701,000000,0.704039,0.707932,0.700055,0.707932,11.805399465999999,0
SAPP.V,D,20220702,000000,0.700771,0.708448,0.700771,0.708448,0.2942161431,0
SAPP.V,D,20220703,000000,0.706757,0.715837,0.700477,0.715837,10.957420444499999,0
SAPP.V,D,20220704,000000,0.740169,0.741117,0.740169,0.741117,21.78283998,0
SAPP.V,D,20220705,000000,0.754153,0.77442,0.713069,0.759591,3.99597291,0
SAPP.V,D,20220706,000000,0.760431,0.760431,0.760431,0.760431,0.246439,0
SAPP.V,D,20220707,000000,0.766791,0.766945,0.765289,0.76535,0.721013826,0
SAPP.V,D,20220708,000000,0.810883,0.830445,0.790317,0.815637,0.8075900890000001,0
SAPP.V,D,20220709,000000,0.801629,0.804065,0.799226,0.799226,0.278091991,0
SAPP.V,D,20220710,000000,0.786263,0.790566,0.77486,0.77486,5.33938115,0
SAPP.V,D,20220711,000000,0.771545,0.7753,0.766032,0.766032,0.3503121223,0
SAPP.V,D,20220712,000000,0.750126,0.750126,0.736488,0.736488,0.38239460010000004,0
SAPP.V,D,20220713,000000,0.736429,0.746945,0.723659,0.746945,28.829480560000004,0
SAPP.V,D,20220714,000000,0.763905,0.763905,0.744715,0.747069,0.0362433771,0
SAPP.V,D,20220715,000000,0.774927,0.807935,0.774927,0.807935,19.90862442,0
SAPP.V,D,20220716,000000,0.805814,0.818043,0.799521,0.818043,0.020620314,0
SAPP.V,D,20220717,000000,0.827239,0.827239,0.806705,0.806705,20.5984699,0
SAPP.V,D,20220718,000000,0.819024,0.856944,0.81866,0.835742,12.230620254000002,0
SAPP.V,D,20220719,000000,0.856278,0.911232,0.841554,0.900832,2.6037843389999997,0
SAPP.V,D,20220720,000000,0.903324,0.934705,0.903324,0.919172,23.762157249,0
SAPP.V,D,20220721,000000,0.885141,0.888006,0.868411,0.868411,0.0024350657000000004,0
SAPP.V,D,20220722,000000,0.888236,0.888236,0.888236,0.888236,0.003088061,0
SAPP.V,D,20220723,000000,0.892484,0.892484,0.871823,0.871823,10.611091493399998,0
SAPP.V,D,20220724,000000,0.891077,0.892358,0.88208,0.887574,2.8751035450000004,0
SAPP.V,D,20220725,000000,0.866281,0.874974,0.863154,0.874974,1.0431085378469998,0
SAPP.V,D,20220726,000000,0.869715,0.869715,0.826278,0.826278,22.32446716,0
SAPP.V,D,20220727,000000,0.843714,0.857729,0.843714,0.857729,1.2307294850000001,0
SAPP.V,D,20220728,000000,0.900378,0.92941,0.900378,0.92941,3.00312214,0
SAPP.V,D,20220729,000000,0.931683,0.943804,0.904468,0.904468,0.790470611876,0
SAPP.V,D,20220730,000000,0.907482,0.907482,0.904106,0.904106,0.097670227,0
SAPP.V,D,20220731,000000,0.907743,0.907743,0.903788,0.903788,5.412077508,0
SAPP.V,D,20220801,000000,0.88024,0.883684,0.874787,0.874787,0.46356730799999996,0
SAPP.V,D,20220802,000000,0.887911,0.887911,0.887911,0.887911,0.001284884,0
SAPP.V,D,20220803,000000,0.86492,0.895408,0.86492,0.895408,0.8595941203799999,0
SAPP.V,D,20220804,000000,0.868065,0.868065,0.868065,0.868065,0.001410055,0
SAPP.V,D,20220805,000000,0.860711,0.88209,0.860711,0.88209,0.6563606249999999,0
SAPP.V,D,20220807,000000,0.879874,0.881647,0.879874,0.881647,0.0743323722,0
SAPP.V,D,20220808,000000,0.925153,0.925153,0.91493,0.91493,0.278702982,0
SAPP.V,D,20220809,000000,0.896429,0.896429,0.896429,0.896429,0.0002376671,0
SAPP.V,D,20220810,000000,0.880275,0.880275,0.880275,0.880275,1.884604,0
SAPP.V,D,20220811,000000,0.925948,0.939802,0.925948,0.939802,0.0543740813,0
SAPP.V,D,20220812,000000,0.915631,0.923821,0.905457,0.923821,13.871891517,0
SAPP.V,D,20220813,000000,0.942277,0.942277,0.929152,0.929152,0.6818708689,0
SAPP.V,D,20220814,000000,0.927774,0.95013,0.926826,0.929,2.1663163922,0
SAPP.V,D,20220815,000000,0.916432,0.916432,0.9158,0.916412,2.726631281,0
SAPP.V,D,20220816,000000,0.916044,0.917948,0.902918,0.914091,4.490377780499999,0
SAPP.V,D,20220817,000000,0.887329,0.887895,0.887329,0.887895,0.367192834,0
SAPP.V,D,20220818,000000,0.869508,0.875379,0.869508,0.875379,0.22202075983,0
SAPP.V,D,20220819,000000,0.813828,0.813828,0.794808,0.804409,1.6082180397999999,0
SAPP.V,D,20220820,000000,0.774271,0.782434,0.774271,0.782434,0.09779104,0
SAPP.V,D,20220821,000000,0.78461,0.792258,0.78461,0.792258,0.47524204999999997,0
SAPP.V,D,20220822,000000,0.804857,0.807409,0.800411,0.801342,0.058228611,0
SAPP.V,D,20220823,000000,0.809486,0.809486,0.809486,0.809486,0.002868073,0
