<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRM.V,D,20220514,000000,1.25287,1.32414,1.20047,1.27808,3042178.454744759,0
SRM.V,D,20220515,000000,1.28021,1.34838,1.26011,1.34438,1569087.2602146578,0
SRM.V,D,20220516,000000,1.34438,1.3615,1.19632,1.2254,2568686.7359554744,0
SRM.V,D,20220517,000000,1.2324,1.28359,1.19157,1.24738,1381852.3805049814,0
SRM.V,D,20220518,000000,1.24738,1.26935,1.13652,1.1485,1258038.5282810212,0
SRM.V,D,20220519,000000,1.1485,1.17482,1.08359,1.13486,1594471.9291554398,0
SRM.V,D,20220520,000000,1.13398,1.17359,1.0756,1.0847,1642371.3573891202,0
SRM.V,D,20220521,000000,1.08769,1.12742,1.06772,1.09557,1463098.5470977877,0
SRM.V,D,20220522,000000,1.09447,1.17958,1.09058,1.15262,1689018.2164996471,0
SRM.V,D,20220523,000000,1.15361,1.22378,1.13963,1.15461,2670732.3266147575,0
SRM.V,D,20220524,000000,1.15262,1.15262,1.07471,1.12753,1630812.5104401016,0
SRM.V,D,20220525,000000,1.12942,1.15661,1.09979,1.12976,1877468.5104581912,0
SRM.V,D,20220526,000000,1.12964,1.14074,1.00579,1.05295,2200350.964535352,0
SRM.V,D,20220527,000000,1.05184,1.06194,0.9949,1.003,2056851.0819233707,0
SRM.V,D,20220528,000000,1.00286,1.03793,0.99476,1.02481,1504767.8906215283,0
SRM.V,D,20220529,000000,1.02378,1.04485,0.9979,1.03186,1631288.7957667734,0
SRM.V,D,20220530,000000,1.03285,1.15419,1.02487,1.13909,3495837.7136288257,0
SRM.V,D,20220531,000000,1.1432,1.18505,1.09512,1.1211,2285565.143265334,0
SRM.V,D,20220601,000000,1.12115,1.16107,1.01509,1.01509,3424816.752930749,0
SRM.V,D,20220602,000000,1.01509,1.09202,1.00399,1.07603,2923719.369570996,0
SRM.V,D,20220603,000000,1.07603,1.105,1.01196,1.0311,2137436.380118804,0
SRM.V,D,20220604,000000,1.0301,1.0311,0.993,1.02022,3708189.052416171,0
SRM.V,D,20220605,000000,1.01925,1.05103,1.00319,1.04102,4224680.38714888,0
SRM.V,D,20220606,000000,1.04302,1.12107,1.02904,1.09707,11201429.183809048,0
SRM.V,D,20220607,000000,1.09908,1.12504,1.00915,1.06614,9378293.526293151,0
SRM.V,D,20220608,000000,1.06614,1.07114,1.01133,1.02833,6641221.175674909,0
SRM.V,D,20220609,000000,1.02933,1.07616,1.0122,1.03513,6571961.990756469,0
SRM.V,D,20220610,000000,1.03512,1.03714,0.92398,0.948793,9226777.52726353,0
SRM.V,D,20220611,000000,0.948784,0.963977,0.863927,0.92795,4675413.278237477,0
