<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUN.V,D,20220515,000000,0.00910723,0.00987615,0.00879679,0.00917897,1408589588.7068,0
SUN.V,D,20220516,000000,0.00918896,0.00928884,0.00861792,0.00867783,1071849282.6076,0
SUN.V,D,20220517,000000,0.00868869,0.00902915,0.00853718,0.00892838,403238778.79932,0
SUN.V,D,20220518,000000,0.00892838,0.00897921,0.00846898,0.00858882,1123415395.6897,0
SUN.V,D,20220519,000000,0.00860879,0.00903186,0.00840905,0.00891108,1058215767.3327,0
SUN.V,D,20220520,000000,0.00890198,0.0090691,0.00851318,0.00866958,1864042165.3416,0
SUN.V,D,20220521,000000,0.00866958,0.00905821,0.00859881,0.00879855,936025345.20002,0
SUN.V,D,20220522,000000,0.00878856,0.00917897,0.00873863,0.00911904,748662713.95063,0
SUN.V,D,20220523,000000,0.00913902,0.00935064,0.0088103,0.00895924,1623098868.7875,0
SUN.V,D,20220524,000000,0.00895924,0.00935969,0.00855972,0.00917713,1384036267.0109,0
SUN.V,D,20220525,000000,0.00916715,0.00964937,0.0089892,0.00945958,2023241054.9091,0
SUN.V,D,20220526,000000,0.00943761,0.00979222,0.00884426,0.00902597,3310104317.8203,0
SUN.V,D,20220527,000000,0.00902796,0.00924082,0.0087154,0.00885114,1430502591.7015,0
SUN.V,D,20220528,000000,0.00885014,0.0092391,0.00881905,0.00912331,939115403.66218,0
SUN.V,D,20220529,000000,0.00911605,0.00924946,0.00896112,0.00919487,1021961869.8865,0
SUN.V,D,20220530,000000,0.00919887,0.00981712,0.0090464,0.00977717,1167596105.9238,0
SUN.V,D,20220531,000000,0.00977615,0.01036774,0.00951643,0.01003397,1162312090.077,0
SUN.V,D,20220601,000000,0.01004636,0.01091226,0.00968912,0.00996103,1214455185.2597,0
SUN.V,D,20220602,000000,0.00995543,0.01002197,0.0094365,0.00994204,978999234.70379,0
SUN.V,D,20220603,000000,0.00995803,0.0101148,0.00918181,0.00933088,552853267.25403,0
SUN.V,D,20220604,000000,0.00932888,0.00979735,0.00889627,0.00976857,1581356134.9673,0
SUN.V,D,20220605,000000,0.0097902,0.0107111,0.00931348,0.01004065,1733929511.1688,0
SUN.V,D,20220606,000000,0.01005064,0.01007083,0.00941312,0.00958194,1613869165.5317,0
SUN.V,D,20220607,000000,0.00957186,0.01053062,0.00906229,0.01029155,2043849556.9814,0
SUN.V,D,20220608,000000,0.01028177,0.01032329,0.00932356,0.00987358,2967959667.7863,0
SUN.V,D,20220609,000000,0.00988357,0.0102222,0.0094023,0.00970184,2687783240.1996,0
SUN.V,D,20220610,000000,0.00970184,0.00991127,0.00931208,0.00975749,2763007434.466,0
SUN.V,D,20220611,000000,0.00975749,0.00988921,0.00876009,0.00915964,2429876442.2013,0
SUN.V,D,20220612,000000,0.00915955,0.00936893,0.0082193,0.00865934,2175013733.231,0
SUN.V,D,20220613,000000,0.00864935,0.0087593,0.0072591,0.00757945,5246008575.9124,0
SUN.V,D,20220614,000000,0.00757937,0.00773775,0.00598359,0.00628245,8043498810.6511,0
SUN.V,D,20220615,000000,0.00627246,0.00666166,0.00572026,0.00647028,6368817642.4069,0
SUN.V,D,20220616,000000,0.00648027,0.00655082,0.00587294,0.00611204,3035466925.7789,0
SUN.V,D,20220617,000000,0.00604159,0.00636115,0.00588223,0.0059129,2857788462.5717,0
SUN.V,D,20220618,000000,0.00590297,0.00608281,0.00543293,0.00572072,6104157373.1377,0
SUN.V,D,20220619,000000,0.0057307,0.00595285,0.00550118,0.00587236,3437066256.05,0
SUN.V,D,20220620,000000,0.00588793,0.00624013,0.00567262,0.00609928,2306054942.2415,0
SUN.V,D,20220621,000000,0.00608968,0.00658073,0.0060787,0.00641094,1848978671.3162,0
SUN.V,D,20220622,000000,0.00641094,0.00648451,0.00588752,0.00593206,2048580039.505,0
SUN.V,D,20220623,000000,0.00593406,0.0061928,0.00588511,0.0060889,1458586378.1263,0
SUN.V,D,20220624,000000,0.0060919,0.00705093,0.00608591,0.00654289,3351428280.943,0
SUN.V,D,20220625,000000,0.00654289,0.0065894,0.00600697,0.00621265,2050445510.4662,0
SUN.V,D,20220626,000000,0.00622064,0.00629865,0.00605736,0.00619622,1325017261.8133,0
SUN.V,D,20220627,000000,0.00619116,0.00643601,0.00595851,0.00599172,1636824523.2857,0
SUN.V,D,20220628,000000,0.00600329,0.00616744,0.00586519,0.00600754,1384833064.4942,0
SUN.V,D,20220629,000000,0.00600055,0.00600854,0.00561223,0.00582594,1772477317.8362,0
SUN.V,D,20220630,000000,0.00582201,0.00584891,0.00526478,0.00547742,2504673050.759,0
SUN.V,D,20220701,000000,0.00547342,0.00574967,0.00543592,0.00560083,1887100335.258,0
SUN.V,D,20220702,000000,0.00560183,0.0057401,0.00537554,0.00572213,2406032961.6768,0
SUN.V,D,20220703,000000,0.00571413,0.00580245,0.00544845,0.00580045,1732295156.1923,0
SUN.V,D,20220704,000000,0.00579945,0.00615998,0.00569259,0.00595085,1407638379.4892,0
SUN.V,D,20220705,000000,0.00595185,0.00615922,0.00589092,0.00613225,2120554059.0579,0
SUN.V,D,20220706,000000,0.00613524,0.00628508,0.00604634,0.00610927,1359184509.7616,0
SUN.V,D,20220707,000000,0.00610727,0.00616921,0.00577364,0.00610633,1667979837.9647,0
SUN.V,D,20220708,000000,0.00610234,0.00623663,0.00587888,0.00596042,2163775392.0682,0
SUN.V,D,20220709,000000,0.00595642,0.0061693,0.00587747,0.00592744,2337081701.0347,0
SUN.V,D,20220710,000000,0.00592985,0.00594543,0.00559908,0.00570258,892630223.40683,0
SUN.V,D,20220711,000000,0.00570358,0.00570358,0.00549815,0.00550804,735158410.87521,0
SUN.V,D,20220712,000000,0.00550714,0.00580819,0.0054895,0.00570029,2444918029.508,0
SUN.V,D,20220713,000000,0.0056953,0.00591708,0.00535464,0.00546508,6740275071.2457,0
SUN.V,D,20220714,000000,0.00546508,0.00572656,0.00545454,0.0056666,5871330949.6809,0
SUN.V,D,20220715,000000,0.00568659,0.00577653,0.00562662,0.00574827,4447697174.2446,0
SUN.V,D,20220716,000000,0.00570829,0.00582883,0.00562775,0.00577827,3481361341.5575,0
SUN.V,D,20220717,000000,0.00577884,0.00586871,0.005718,0.00572851,3101165862.139,0
SUN.V,D,20220718,000000,0.00574885,0.00598964,0.00563769,0.00584865,4535391130.3436,0
SUN.V,D,20220719,000000,0.00584825,0.00607091,0.00580861,0.00600096,7302078826.2408,0
SUN.V,D,20220720,000000,0.006,0.00615018,0.00582076,0.0059203,7284794941.5815,0
SUN.V,D,20220721,000000,0.0059203,0.00596137,0.00571994,0.00592142,7273969143.1505,0
SUN.V,D,20220722,000000,0.00592142,0.00617185,0.00589059,0.00594131,6343565027.7637,0
SUN.V,D,20220723,000000,0.00594131,0.00610165,0.00578,0.0058111,8610341285.7851,0
SUN.V,D,20220724,000000,0.00581058,0.00601054,0.00577069,0.00591118,7598144256.8137,0
SUN.V,D,20220725,000000,0.00591112,0.00597036,0.0056908,0.00572046,5192536436.9168,0
SUN.V,D,20220726,000000,0.00573046,0.00576115,0.00548077,0.00575086,8435589130.5553,0
