<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UOS.V,D,20220514,000000,0.357346,0.367331,0.327012,0.348267,687404.06489504,0
UOS.V,D,20220515,000000,0.34271,0.405822,0.34271,0.3995,1526852.5411002,0
UOS.V,D,20220516,000000,0.39945,0.407061,0.360295,0.369539,600135.3961041,0
UOS.V,D,20220517,000000,0.372595,0.388493,0.360217,0.383121,423939.97324888,0
UOS.V,D,20220518,000000,0.383859,0.392819,0.356566,0.374305,723458.94249961,0
UOS.V,D,20220519,000000,0.373913,0.37697,0.340601,0.369347,772390.10441972,0
UOS.V,D,20220520,000000,0.368938,0.375986,0.346179,0.356012,447764.68165114,0
UOS.V,D,20220521,000000,0.355053,0.369819,0.34964,0.366553,538387.04535638,0
UOS.V,D,20220522,000000,0.366373,0.378218,0.361675,0.375649,499166.46462216,0
UOS.V,D,20220523,000000,0.378507,0.403616,0.37268,0.390451,821227.25493974,0
UOS.V,D,20220524,000000,0.390511,0.39081,0.359538,0.380724,798048.45520096,0
UOS.V,D,20220525,000000,0.382902,0.392238,0.368794,0.376178,375292.79947843,0
UOS.V,D,20220526,000000,0.376208,0.379182,0.349455,0.371298,396911.28473066,0
UOS.V,D,20220527,000000,0.371059,0.373146,0.335924,0.348891,342797.04106306,0
UOS.V,D,20220528,000000,0.350646,0.366237,0.341075,0.347403,252736.50472297,0
UOS.V,D,20220529,000000,0.345418,0.359548,0.344617,0.356485,294431.14185824,0
UOS.V,D,20220530,000000,0.35432,0.395373,0.35432,0.390926,568895.2641791,0
UOS.V,D,20220531,000000,0.390516,0.398721,0.369704,0.388589,485348.9735557,0
UOS.V,D,20220601,000000,0.3862,0.397765,0.365661,0.372617,351865.19824829,0
UOS.V,D,20220602,000000,0.372737,0.378019,0.362933,0.375332,280957.63334623,0
UOS.V,D,20220603,000000,0.374982,0.375286,0.350538,0.364672,299068.9795682,0
UOS.V,D,20220604,000000,0.364506,0.365284,0.352748,0.359407,231614.84354123,0
UOS.V,D,20220605,000000,0.358361,0.377652,0.354712,0.370886,382614.49345448,0
UOS.V,D,20220606,000000,0.372054,0.387844,0.366655,0.372763,1706871.031803,0
UOS.V,D,20220607,000000,0.372857,0.380791,0.358593,0.380791,977440.67459777,0
UOS.V,D,20220608,000000,0.380885,0.381723,0.364766,0.370259,1475918.5869997,0
UOS.V,D,20220609,000000,0.372048,0.381718,0.364712,0.375994,826605.34397328,0
UOS.V,D,20220610,000000,0.375351,0.382048,0.350329,0.357662,5350332.9196884,0
UOS.V,D,20220611,000000,0.358481,0.358982,0.32162,0.324749,876347.85337283,0
UOS.V,D,20220612,000000,0.325135,0.325139,0.299577,0.304285,810558.66201163,0
UOS.V,D,20220613,000000,0.302577,0.302697,0.246273,0.266566,3149295.4147501,0
UOS.V,D,20220614,000000,0.266307,0.269624,0.241749,0.244499,1938135.1610692,0
UOS.V,D,20220615,000000,0.244054,0.251563,0.213365,0.250544,5237134.1171414,0
UOS.V,D,20220616,000000,0.252241,0.260593,0.236935,0.249091,1591994.4786191,0
