<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VGX.V,D,20191127,000000,0.02868,0.03111,0.02862,0.02922,0,0
VGX.V,D,20191128,000000,0.02922,0.02932,0.02783,0.02836,0,0
VGX.V,D,20191129,000000,0.02836,0.03007,0.02828,0.02875,0,0
VGX.V,D,20191130,000000,0.02875,0.02875,0.02733,0.02809,0,0
VGX.V,D,20191201,000000,0.02809,0.02835,0.02642,0.02708,0,0
VGX.V,D,20191202,000000,0.02708,0.02833,0.02643,0.02672,0,0
VGX.V,D,20191203,000000,0.02792,0.02792,0.02761,0.02767,0,0
VGX.V,D,20191204,000000,0.02713,0.02761,0.02494,0.02602,0,0
VGX.V,D,20191205,000000,0.02602,0.02681,0.02466,0.02526,0,0
VGX.V,D,20191206,000000,0.02526,0.02683,0.02526,0.02623,0,0
VGX.V,D,20191207,000000,0.02509,0.0277,0.02487,0.0277,0,0
VGX.V,D,20191208,000000,0.02668,0.02827,0.02646,0.02744,0,0
VGX.V,D,20191209,000000,0.02744,0.02744,0.02609,0.02624,0,0
VGX.V,D,20191210,000000,0.02624,0.02624,0.02235,0.02322,0,0
VGX.V,D,20191211,000000,0.02322,0.02481,0.02315,0.02409,0,0
VGX.V,D,20191212,000000,0.02351,0.02392,0.02248,0.02296,0,0
VGX.V,D,20191213,000000,0.02275,0.02367,0.02266,0.02338,0,0
VGX.V,D,20191214,000000,0.02262,0.02262,0.02204,0.02204,0,0
VGX.V,D,20191215,000000,0.02204,0.02374,0.02204,0.02237,0,0
VGX.V,D,20191216,000000,0.02237,0.02237,0.01547,0.02112,0,0
VGX.V,D,20191217,000000,0.02138,0.02138,0.01851,0.01911,0,0
VGX.V,D,20191218,000000,0.01911,0.02123,0.01911,0.02021,0,0
VGX.V,D,20191219,000000,0.02021,0.02021,0.01869,0.01976,0,0
VGX.V,D,20191220,000000,0.01976,0.02082,0.01967,0.02039,0,0
VGX.V,D,20191221,000000,0.02039,0.02048,0.01969,0.01969,0,0
VGX.V,D,20191222,000000,0.01969,0.02075,0.01872,0.01887,0,0
VGX.V,D,20191223,000000,0.01887,0.01887,0.01729,0.0178,0,0
VGX.V,D,20191224,000000,0.0178,0.01815,0.01743,0.01779,0,0
VGX.V,D,20191225,000000,0.01779,0.01837,0.01729,0.01757,0,0
VGX.V,D,20191226,000000,0.01757,0.01759,0.01679,0.01723,0,0
VGX.V,D,20191227,000000,0.01723,0.01828,0.01723,0.01777,0,0
VGX.V,D,20191228,000000,0.01777,0.01836,0.01771,0.01792,0,0
VGX.V,D,20191229,000000,0.01792,0.01931,0.01792,0.01924,0,0
VGX.V,D,20191230,000000,0.01924,0.01924,0.01772,0.01794,0,0
VGX.V,D,20191231,000000,0.01848,0.01848,0.01383,0.01383,0,0
VGX.V,D,20200101,000000,0.01383,0.01777,0.01383,0.01729,0,0
VGX.V,D,20200102,000000,0.01729,0.02678,0.01684,0.02642,0,0
VGX.V,D,20200103,000000,0.02668,0.0334,0.02628,0.02789,0,0
VGX.V,D,20200104,000000,0.02789,0.02862,0.02435,0.02524,0,0
VGX.V,D,20200105,000000,0.02524,0.02826,0.02355,0.02767,0,0
VGX.V,D,20200106,000000,0.02767,0.02965,0.0243,0.02507,0,0
VGX.V,D,20200107,000000,0.02507,0.03003,0.02505,0.02693,0,0
VGX.V,D,20200108,000000,0.02693,0.0288,0.02462,0.02574,0,0
VGX.V,D,20200109,000000,0.02574,0.02574,0.02298,0.024,0,0
VGX.V,D,20200110,000000,0.024,0.02908,0.024,0.02752,0,0
VGX.V,D,20200111,000000,0.02752,0.03025,0.02576,0.02905,0,0
VGX.V,D,20200112,000000,0.02919,0.03275,0.02884,0.03133,0,0
VGX.V,D,20200113,000000,0.03133,0.03205,0.0289,0.02891,0,0
VGX.V,D,20200114,000000,0.02926,0.03211,0.02814,0.02858,0,0
VGX.V,D,20200115,000000,0.02858,0.03093,0.02697,0.02732,0,0
VGX.V,D,20200116,000000,0.02732,0.0293,0.02642,0.02773,0,0
VGX.V,D,20200117,000000,0.02773,0.02873,0.02642,0.02784,0,0
VGX.V,D,20200118,000000,0.02784,0.02994,0.02708,0.02762,0,0
