<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBTC.V,D,20190327,000000,4678.66,4885.61,2814.42,2814.42,0,0
WBTC.V,D,20190328,000000,2814.42,4829.81,2777.49,4829.81,0,0
WBTC.V,D,20190329,000000,4829.81,5039.91,3205.9,3205.9,0,0
WBTC.V,D,20190330,000000,3205.9,4740.03,3181.04,4740.03,0,0
WBTC.V,D,20190331,000000,4740.03,4969.76,3424.72,4968.34,0,0
WBTC.V,D,20190401,000000,4968.34,4968.34,3149.07,3149.07,0,0
WBTC.V,D,20190402,000000,3149.07,5366.82,3149.07,3480.02,0,0
WBTC.V,D,20190403,000000,3480.02,4877.31,3400.9,4382.48,0,0
WBTC.V,D,20190404,000000,4382.48,5149.92,3635.61,3648.26,0,0
WBTC.V,D,20190405,000000,3648.26,7277.9,3648.26,3660.58,0,0
WBTC.V,D,20190408,000000,3862.54,3983.32,3862.54,3983.32,0,0
WBTC.V,D,20190410,000000,3878.6,5124.8,3878.6,3902.58,0,0
WBTC.V,D,20190414,000000,3619.66,5060.4,3619.66,3710.96,0,0
WBTC.V,D,20190416,000000,3526.6,5007,3526.6,5007,0,0
WBTC.V,D,20190417,000000,5007,5010.6,3674.44,3674.44,0,0
WBTC.V,D,20190421,000000,3827.12,4938.7,3746.6,4938.7,0,0
WBTC.V,D,20190422,000000,4938.7,6862.25,4938.7,6862.25,0,0
WBTC.V,D,20190423,000000,6862.25,6862.25,6485.08,6485.08,0,0
WBTC.V,D,20190424,000000,6485.08,7073.73,6485.08,7073.73,0,0
WBTC.V,D,20190425,000000,7073.73,7073.73,2830.32,4589.7,0,0
WBTC.V,D,20190426,000000,4589.7,4698.19,3448.16,3449.72,0,0
WBTC.V,D,20190428,000000,3499.78,4923.26,3485,4376.4,0,0
WBTC.V,D,20190429,000000,4376.4,4882.46,4338.75,4882.46,0,0
WBTC.V,D,20190504,000000,5242.36,6544.4,5098.09,6544.4,0,0
WBTC.V,D,20190505,000000,6544.4,6557.6,4264.08,4264.08,0,0
WBTC.V,D,20190507,000000,4517.94,6743.6,4385.03,6743.6,0,0
WBTC.V,D,20190508,000000,6743.6,6856.8,4456.92,6856.8,0,0
