<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIN.V,D,20220514,000000,0.000152041,0.000156187,0.000137311,0.000141801,24365309645.21,0
WIN.V,D,20220515,000000,0.000142001,0.000147808,0.000139191,0.000147723,34857942908.21,0
WIN.V,D,20220516,000000,0.000147623,0.000149605,0.000136695,0.000139219,33088755485.54,0
WIN.V,D,20220517,000000,0.000139419,0.000147423,0.000137108,0.000147123,44753954062.036,0
WIN.V,D,20220518,000000,0.000147123,0.000147922,0.000139419,0.000141316,40943715400.117,0
WIN.V,D,20220519,000000,0.000141116,0.00014417,0.000137421,0.000142857,34506274082.322,0
WIN.V,D,20220520,000000,0.000142572,0.000145839,0.000138961,0.000140431,41706936735.094,0
WIN.V,D,20220521,000000,0.000140631,0.000148407,0.000138434,0.000146909,56822251846.696,0
WIN.V,D,20220522,000000,0.000146794,0.000149605,0.000142115,0.000144426,33863984499.233,0
WIN.V,D,20220523,000000,0.000144726,0.000158725,0.000143442,0.000152517,44354933121.589,0
WIN.V,D,20220524,000000,0.000152517,0.000207272,0.000146339,0.000175272,179974083564.13,0
WIN.V,D,20220525,000000,0.000175254,0.000179185,0.000160623,0.000164802,74368661248.003,0
WIN.V,D,20220526,000000,0.000164719,0.000167399,0.000145939,0.000148836,60144837073.433,0
WIN.V,D,20220527,000000,0.000148836,0.000152447,0.000141844,0.000143956,104397845099.93,0
WIN.V,D,20220528,000000,0.000143756,0.000150984,0.000143286,0.000146578,67955528770.931,0
WIN.V,D,20220529,000000,0.000146635,0.000149173,0.000142958,0.000147418,88896461694.907,0
WIN.V,D,20220530,000000,0.000147506,0.000159682,0.000146877,0.000158533,59379618154.964,0
WIN.V,D,20220531,000000,0.000158693,0.000160122,0.000152968,0.000158453,42888731599.67,0
WIN.V,D,20220601,000000,0.000158098,0.000176259,0.000152623,0.000152722,54512880549.521,0
WIN.V,D,20220602,000000,0.000152533,0.00015564,0.000147972,0.00015564,40932369293.176,0
WIN.V,D,20220603,000000,0.00015586,0.000157694,0.00014676,0.000150679,25583603427.281,0
WIN.V,D,20220604,000000,0.000150669,0.000151168,0.000143899,0.000150875,66148179844.473,0
WIN.V,D,20220605,000000,0.000150737,0.00015462,0.00014778,0.000151567,58657744730.361,0
WIN.V,D,20220606,000000,0.000151857,0.000158372,0.000150157,0.00015317,98554652981.749,0
WIN.V,D,20220607,000000,0.000153271,0.000155085,0.000147376,0.000154175,89205222897.767,0
WIN.V,D,20220608,000000,0.000154376,0.000163299,0.000150894,0.000155199,101390441079.09,0
WIN.V,D,20220609,000000,0.000155199,0.000157674,0.000149482,0.000151473,80781654958.224,0
WIN.V,D,20220610,000000,0.000151471,0.000152072,0.000145131,0.000147311,105013508776.18,0
WIN.V,D,20220611,000000,0.000147413,0.000150239,0.000140732,0.00014144,71545675279.184,0
WIN.V,D,20220612,000000,0.000141638,0.00014391,0.000136409,0.000139728,68123931101.966,0
WIN.V,D,20220613,000000,0.000139528,0.000140528,0.000115671,0.000119334,159182290389.43,0
WIN.V,D,20220614,000000,0.000119335,0.000124005,0.000109882,0.000111067,271405089850.96,0
WIN.V,D,20220615,000000,0.000110968,0.000115268,0.000099032,0.000114029,186162687243.18,0
WIN.V,D,20220616,000000,0.000114079,0.000115253,0.000107442,0.000110846,186556351240.17,0
WIN.V,D,20220617,000000,0.000107211,0.000113193,0.000106693,0.000112715,103177981309.18,0
WIN.V,D,20220618,000000,0.000112585,0.000114384,0.000099952,0.000104431,202989607257.01,0
WIN.V,D,20220619,000000,0.00010453,0.000111246,0.000102552,0.000109547,83506581582.698,0
WIN.V,D,20220620,000000,0.000109788,0.000112645,0.000105383,0.000109819,81202734485.181,0
WIN.V,D,20220621,000000,0.000109818,0.000117614,0.000109289,0.000114134,86833076503.72,0
WIN.V,D,20220622,000000,0.000114134,0.000115325,0.000108311,0.000109251,69741859134.329,0
WIN.V,D,20220623,000000,0.000109241,0.000114066,0.000108451,0.000112887,82451047495.636,0
WIN.V,D,20220624,000000,0.000112907,0.000118847,0.000112797,0.000118737,178762725358.64,0
WIN.V,D,20220625,000000,0.000118591,0.000121958,0.000115403,0.000119236,127071854836.54,0
WIN.V,D,20220626,000000,0.000119315,0.000121985,0.000117793,0.000119866,70052587698.438,0
WIN.V,D,20220627,000000,0.000119746,0.000127278,0.000117467,0.000120454,84460988167.888,0
WIN.V,D,20220628,000000,0.000120453,0.000122989,0.000114652,0.000115628,80740190402.681,0
WIN.V,D,20220629,000000,0.000115596,0.000115746,0.000109017,0.000112713,89269538840.352,0
WIN.V,D,20220630,000000,0.000112705,0.000114893,0.000106072,0.000108909,73864428221.403,0
WIN.V,D,20220701,000000,0.000108929,0.000114334,0.000108819,0.000109709,61230195373.118,0
WIN.V,D,20220702,000000,0.000109719,0.000110598,0.00010814,0.000109648,65832898367.037,0
WIN.V,D,20220703,000000,0.000109688,0.000113303,0.00010726,0.000112833,48420292116.439,0
WIN.V,D,20220704,000000,0.000112752,0.000115989,0.000111934,0.000114343,53569243193.065,0
WIN.V,D,20220705,000000,0.000114353,0.000118198,0.000111356,0.000114154,69542010408.338,0
WIN.V,D,20220706,000000,0.000114144,0.000114774,0.000111537,0.000113305,63913492174.573,0
WIN.V,D,20220707,000000,0.000113295,0.000117659,0.000111975,0.00011682,51994479446.308,0
WIN.V,D,20220708,000000,0.00011684,0.000119225,0.000115631,0.000117439,59287616151.18,0
WIN.V,D,20220709,000000,0.00011739,0.000123866,0.00011693,0.000121027,58002139689.644,0
WIN.V,D,20220710,000000,0.000120995,0.000121277,0.00011586,0.00011691,47161469533.209,0
WIN.V,D,20220711,000000,0.00011693,0.000117,0.000110101,0.00011058,56347060884.703,0
WIN.V,D,20220712,000000,0.000110411,0.000120449,0.000108871,0.000117722,165655566543.44,0
WIN.V,D,20220713,000000,0.000117777,0.000148222,0.000112286,0.000113807,662013300706.47,0
WIN.V,D,20220714,000000,0.000113438,0.000118319,0.0001126,0.00011592,2457758041492,0
WIN.V,D,20220715,000000,0.00011592,0.000117519,0.000114251,0.000115455,5480122412308.8,0
WIN.V,D,20220716,000000,0.000115395,0.000117467,0.000112845,0.000116405,3999864647921.7,0
WIN.V,D,20220717,000000,0.000116707,0.000127127,0.00011549,0.000121498,3214027559929.9,0
WIN.V,D,20220718,000000,0.000121558,0.000125185,0.000119418,0.000122042,3798302329612.6,0
WIN.V,D,20220719,000000,0.000122102,0.000129429,0.000121752,0.000129321,5031644304992.9,0
WIN.V,D,20220720,000000,0.00012916,0.000130196,0.000119982,0.000122226,5988464251651.5,0
WIN.V,D,20220721,000000,0.000122216,0.000123821,0.000118902,0.000123221,7682139298933.5,0
WIN.V,D,20220722,000000,0.000123121,0.00012542,0.000121214,0.000121857,6524386377983.6,0
WIN.V,D,20220723,000000,0.00012181,0.000125789,0.000121372,0.000122983,6676325140574.8,0
WIN.V,D,20220724,000000,0.000123002,0.000125013,0.000122817,0.000123984,5509701688031.8,0
WIN.V,D,20220725,000000,0.000124025,0.000124194,0.000115827,0.000118459,7642862936922.8,0
WIN.V,D,20220726,000000,0.000118409,0.000118597,0.000115788,0.000118157,3883036305855,0
WIN.V,D,20220727,000000,0.000118187,0.000124862,0.000118128,0.00012354,5942679652723.7,0
WIN.V,D,20220728,000000,0.00012359,0.000129198,0.00012319,0.000128466,5189199093803.1,0
