<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCAD.V,D,20220522,000000,3.87356,4.00778,3.19604,3.98561,581473.307143829,0
XCAD.V,D,20220523,000000,3.98082,3.9941,3.44806,3.60757,514234.7183336997,0
XCAD.V,D,20220524,000000,3.6109,3.73469,3.31235,3.58873,405519.6233827907,0
XCAD.V,D,20220525,000000,3.58288,3.78333,3.5397,3.75449,353682.7976576005,0
XCAD.V,D,20220526,000000,3.75589,4.43936,3.29424,4.26403,452801.3203459504,0
XCAD.V,D,20220527,000000,4.26613,4.47262,3.80501,4.02577,459796.9697786005,0
XCAD.V,D,20220528,000000,4.03509,4.0866,3.40282,3.42529,417867.59363526583,0
XCAD.V,D,20220529,000000,3.4167,4.14135,3.29274,3.94296,484701.68429399916,0
XCAD.V,D,20220530,000000,3.94825,4.08371,3.70097,3.82124,460298.7265995404,0
XCAD.V,D,20220531,000000,3.82364,3.94863,3.76239,3.85032,359377.3356812005,0
XCAD.V,D,20220601,000000,3.84793,4.06385,3.64225,3.67519,335194.0889681504,0
XCAD.V,D,20220602,000000,3.67664,3.95054,3.662,3.80597,284549.4074814003,0
XCAD.V,D,20220603,000000,3.81017,3.92965,3.69708,3.78371,314573.00630540075,0
XCAD.V,D,20220604,000000,3.78311,3.99214,3.77373,3.98817,305715.2065394004,0
XCAD.V,D,20220605,000000,3.98497,4.00299,3.83837,3.93614,267847.9727737001,0
XCAD.V,D,20220606,000000,3.9372,4.16767,3.86476,4.13338,381619.6620496006,0
XCAD.V,D,20220607,000000,4.13372,4.84972,4.06208,4.66452,534090.4380958988,0
XCAD.V,D,20220608,000000,4.66237,4.73728,4.44672,4.57013,518125.9180812912,0
XCAD.V,D,20220609,000000,4.56503,5.13879,4.49587,5.01768,435483.9106096994,0
XCAD.V,D,20220610,000000,5.01703,5.31088,4.47103,4.92459,1334970.4792293545,0
XCAD.V,D,20220611,000000,4.92768,4.96928,4.27369,4.53137,649685.6177786643,0
XCAD.V,D,20220612,000000,4.52534,4.58023,3.91641,4.41726,719541.7848614013,0
