<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XNO.V,D,20220514,000000,1.10013,1.13541,1.00898,1.13241,394655.5374392797,0
XNO.V,D,20220515,000000,1.12542,1.19756,1.10035,1.15761,376484.0707387752,0
XNO.V,D,20220516,000000,1.1616,1.19157,1.07881,1.10157,299700.2981285975,0
XNO.V,D,20220517,000000,1.10256,1.17535,1.08159,1.14163,141682.8083457884,0
XNO.V,D,20220518,000000,1.13863,1.18146,1.05962,1.08259,120172.98057579329,0
XNO.V,D,20220519,000000,1.08248,1.19392,1.01798,1.08502,329546.1124533385,0
XNO.V,D,20220520,000000,1.08402,1.1211,1.03775,1.0827,168366.2892744974,0
XNO.V,D,20220521,000000,1.0817,1.12542,1.0726,1.11444,6409555.941071646,0
XNO.V,D,20220522,000000,1.11344,1.1495,1.10845,1.12165,171290.98145952297,0
XNO.V,D,20220523,000000,1.12765,1.20879,1.12176,1.15661,740780.4944088579,0
XNO.V,D,20220524,000000,1.15361,1.16172,1.04785,1.10157,338256.4465874903,0
XNO.V,D,20220525,000000,1.10356,1.14063,1.08281,1.10179,165680.4099934687,0
XNO.V,D,20220526,000000,1.10667,1.13375,1.00789,1.06882,301161.6590264637,0
XNO.V,D,20220527,000000,1.06593,1.3986,1.02687,1.07093,5323379.010609858,0
XNO.V,D,20220528,000000,1.07093,1.17284,1.0476,1.09077,472441.1550185639,0
XNO.V,D,20220529,000000,1.08969,1.20272,1.07892,1.08686,596699.863978662,0
XNO.V,D,20220530,000000,1.08878,1.20216,1.08783,1.19916,297113.69600256195,0
XNO.V,D,20220531,000000,1.19704,1.25012,1.16707,1.18705,347798.5843681938,0
XNO.V,D,20220601,000000,1.18008,1.30096,1.10989,1.14197,301050.1348539732,0
XNO.V,D,20220602,000000,1.13986,1.18194,1.12698,1.15696,145509.21013738992,0
XNO.V,D,20220603,000000,1.15896,1.1831,1.09897,1.13002,152650.04021082658,0
XNO.V,D,20220604,000000,1.12902,1.18706,1.11285,1.16611,893769.3778601642,0
XNO.V,D,20220605,000000,1.16614,1.17901,1.1472,1.1679,741892.5236062749,0
XNO.V,D,20220606,000000,1.1709,1.21899,1.15891,1.19398,2333634.902306616,0
XNO.V,D,20220607,000000,1.184,1.19703,1.11806,1.19005,6906364.86311275,0
XNO.V,D,20220608,000000,1.18604,1.21124,1.15027,1.16524,1900707.804422239,0
XNO.V,D,20220609,000000,1.16624,1.22803,1.13516,1.17201,4133366.630439002,0
XNO.V,D,20220610,000000,1.172,1.18704,1.03397,1.06564,2530841.5665342,0
XNO.V,D,20220611,000000,1.05865,1.06882,0.97279,0.99186,467820.76974430925,0
XNO.V,D,20220612,000000,0.99487,1.12372,0.89874,0.93384,1042034.6751782513,0
XNO.V,D,20220613,000000,0.92985,0.93883,0.75792,0.87478,4394321.0321024,0
XNO.V,D,20220614,000000,0.87978,1.00174,0.80083,0.81902,11511984.720579734,0
XNO.V,D,20220615,000000,0.81903,0.85905,0.768,0.85871,4791364.253215639,0
XNO.V,D,20220616,000000,0.85671,0.88185,0.796044,0.811943,1388941.897182443,0
XNO.V,D,20220617,000000,0.798896,0.82605,0.780936,0.79705,1009559.9936689798,0
XNO.V,D,20220618,000000,0.790051,0.821988,0.704941,0.744784,3852431.637703685,0
XNO.V,D,20220619,000000,0.737803,0.804034,0.714926,0.793047,1964312.4435365736,0
XNO.V,D,20220620,000000,0.793047,0.804034,0.752021,0.794046,1725836.572822235,0
XNO.V,D,20220621,000000,0.783138,0.846153,0.776145,0.820179,1290938.0292958268,0
XNO.V,D,20220622,000000,0.818181,0.835164,0.788211,0.793206,731825.9419411493,0
XNO.V,D,20220623,000000,0.802197,0.850149,0.787212,0.836163,485348.50242085324,0
XNO.V,D,20220624,000000,0.83916,0.888262,0.823176,0.881312,2929865.601025225,0
XNO.V,D,20220625,000000,0.881118,0.901396,0.850396,0.878385,2093373.2258595608,0
XNO.V,D,20220626,000000,0.878385,0.907383,0.860569,0.871459,583619.2533972822,0
XNO.V,D,20220627,000000,0.873484,0.873484,0.825232,0.839236,492091.68296277104,0
XNO.V,D,20220628,000000,0.837196,0.849235,0.811156,0.819,2501722.1137668653,0
XNO.V,D,20220629,000000,0.814996,0.825991,0.776903,0.807932,1446384.7938718519,0
XNO.V,D,20220630,000000,0.807022,1.10667,0.759012,0.826008,3490885.159727376,0
XNO.V,D,20220701,000000,0.826008,0.88103,0.795884,0.803116,1722405.6294067965,0
XNO.V,D,20220702,000000,0.803116,0.823094,0.784137,0.804034,418852.24036431214,0
XNO.V,D,20220703,000000,0.805033,0.827922,0.78398,0.815938,1252418.7983277307,0
