<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XYM.V,D,20220128,000000,0.160264,0.176935,0.158932,0.176153,1407823.3692694106,0
XYM.V,D,20220129,000000,0.176135,0.181254,0.169434,0.176053,816352.9039817178,0
XYM.V,D,20220130,000000,0.175253,0.179854,0.172835,0.176153,673426.6787759394,0
XYM.V,D,20220131,000000,0.17627,0.184911,0.171886,0.184292,842841.5826329403,0
XYM.V,D,20220201,000000,0.184992,0.18643,0.18099,0.182891,333377.8536706196,0
XYM.V,D,20220202,000000,0.183592,0.183692,0.175588,0.176541,572132.6061885147,0
XYM.V,D,20220203,000000,0.175841,0.179089,0.17557,0.177088,585519.3102568036,0
XYM.V,D,20220204,000000,0.177689,0.187612,0.176488,0.186249,613117.4229851805,0
XYM.V,D,20220205,000000,0.18623,0.192034,0.185611,0.186412,771773.3224160094,0
XYM.V,D,20220206,000000,0.18643,0.190014,0.182609,0.186093,475805.15856406256,0
XYM.V,D,20220207,000000,0.185774,0.194055,0.18563,0.192154,1062312.2443693622,0
XYM.V,D,20220208,000000,0.192254,0.20044,0.179762,0.184266,3576156.623731673,0
XYM.V,D,20220209,000000,0.184166,0.190552,0.179143,0.185904,1007297.3880243428,0
XYM.V,D,20220210,000000,0.185986,0.197277,0.180344,0.182628,1026434.2215776315,0
XYM.V,D,20220211,000000,0.182428,0.187894,0.17557,0.17557,705919.7894950978,0
XYM.V,D,20220212,000000,0.17534,0.175505,0.170285,0.174104,524256.0461416002,0
XYM.V,D,20220213,000000,0.173904,0.174405,0.168084,0.169285,1013517.9585644247,0
XYM.V,D,20220214,000000,0.169385,0.184511,0.166183,0.175105,2125696.399133774,0
XYM.V,D,20220215,000000,0.175605,0.179107,0.173304,0.174505,1947334.4398566163,0
XYM.V,D,20220216,000000,0.174204,0.176006,0.169018,0.174004,1298945.9467914805,0
XYM.V,D,20220217,000000,0.173987,0.176506,0.165216,0.165616,775643.7202271245,0
XYM.V,D,20220218,000000,0.165616,0.169218,0.160612,0.161597,580246.2621487895,0
XYM.V,D,20220219,000000,0.160997,0.163898,0.157379,0.157995,675518.6671532306,0
XYM.V,D,20220220,000000,0.157879,0.158595,0.148059,0.152876,1181626.3393489777,0
XYM.V,D,20220221,000000,0.153977,0.163465,0.14896,0.15016,1544019.1814066826,0
XYM.V,D,20220222,000000,0.149875,0.150175,0.144658,0.146888,1410134.9467368547,0
XYM.V,D,20220223,000000,0.146973,0.152892,0.145973,0.147188,760861.86282219,0
XYM.V,D,20220224,000000,0.146888,0.147488,0.125463,0.132953,3695742.5173894293,0
XYM.V,D,20220225,000000,0.13234,0.143943,0.132253,0.143172,992814.2362534547,0
XYM.V,D,20220226,000000,0.144172,0.15046,0.143757,0.146373,553538.4740062313,0
XYM.V,D,20220227,000000,0.146873,0.146873,0.138269,0.142257,1174259.2341755272,0
XYM.V,D,20220228,000000,0.142357,0.152976,0.140156,0.151676,736138.9908723739,0
XYM.V,D,20220301,000000,0.151561,0.157979,0.150075,0.151946,1236012.2588550579,0
XYM.V,D,20220302,000000,0.151846,0.152746,0.147144,0.148545,1475548.9445623904,0
XYM.V,D,20220303,000000,0.148344,0.149045,0.143929,0.145744,884422.5533906401,0
XYM.V,D,20220304,000000,0.143929,0.143929,0.137227,0.138542,972261.9729552229,0
XYM.V,D,20220305,000000,0.138642,0.141542,0.137527,0.140228,727748.7847067502,0
XYM.V,D,20220306,000000,0.138028,0.139242,0.134827,0.136041,457837.0459540479,0
XYM.V,D,20220307,000000,0.13414,0.137327,0.131426,0.13444,876036.7643173371,0
XYM.V,D,20220308,000000,0.13474,0.135727,0.132326,0.132426,622397.6919985387,0
XYM.V,D,20220309,000000,0.130813,0.143829,0.130813,0.142328,729793.943058966,0
XYM.V,D,20220310,000000,0.142314,0.142914,0.133427,0.138055,993438.7187228175,0
XYM.V,D,20220311,000000,0.135154,0.137455,0.130839,0.135127,1033008.7617139943,0
XYM.V,D,20220312,000000,0.133927,0.135486,0.131226,0.133213,857646.3913823208,0
XYM.V,D,20220313,000000,0.13324,0.133527,0.130926,0.131239,671607.7886633971,0
XYM.V,D,20220314,000000,0.131626,0.131626,0.128626,0.129826,386311.49970023695,0
XYM.V,D,20220315,000000,0.131926,0.132827,0.129126,0.131339,1101925.2407227613,0
