<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YFI.V,D,20200722,000000,1023.59,1496.99,940.88,1202.4,0,0
YFI.V,D,20200723,000000,1202.4,2243.06,1124.04,1899.86,0,0
YFI.V,D,20200724,000000,1899.86,3251.39,1703.4,3149.15,0,0
YFI.V,D,20200725,000000,3149.15,4803.8,2702.7,3401.91,0,0
YFI.V,D,20200726,000000,3401.91,3432,2183.18,3153.15,0,0
YFI.V,D,20200727,000000,3153.15,3210.49,2173.34,2924.21,0,0
YFI.V,D,20200728,000000,2924.21,3578.57,2515.22,3537.67,0,0
YFI.V,D,20200729,000000,3537.67,5255.25,3402.4,4635.07,0,0
YFI.V,D,20200730,000000,4635.07,4708.4,3896.11,4409.8,0,0
YFI.V,D,20200731,000000,4215,4400,3375,4225,0,0
YFI.V,D,20200801,000000,4229.87,4520,3800,3800,0,0
YFI.V,D,20200802,000000,3800,4148.34,3498.6,4098.36,0,0
YFI.V,D,20200803,000000,4098.36,4350,3632.65,3862.77,0,0
YFI.V,D,20200804,000000,3862.77,3977.1,3550,3688.63,0,0
YFI.V,D,20200805,000000,3688.63,4264.26,3581.36,4186.85,0,0
YFI.V,D,20200806,000000,4225,5050,4035,4775,0,0
YFI.V,D,20200807,000000,4775,5610,3530,4345,0,0
YFI.V,D,20200808,000000,4269.81,5000,4030.61,4599,0,0
YFI.V,D,20200809,000000,4599,4694.69,3776,4000,0,0
YFI.V,D,20200810,000000,4000,7381,3881.43,6258.43,0,0
YFI.V,D,20200811,000000,6258.43,6764.99,5698.52,6036.9,0,0
YFI.V,D,20200812,000000,6036.9,6116.71,5254.39,5751.01,0,0
YFI.V,D,20200813,000000,5751.01,5826.35,3050.26,5357.64,0,0
YFI.V,D,20200814,000000,5357.64,5357.64,4685.62,5021.12,0,0
YFI.V,D,20200815,000000,5021.12,5454.95,4165.19,5418.93,0,0
YFI.V,D,20200816,000000,5418.93,6743.19,5175.24,6664.63,0,0
YFI.V,D,20200817,000000,6664.63,9114.19,6357.92,8919.98,0,0
YFI.V,D,20200818,000000,8919.98,12797.9,8704.46,9665.48,0,0
YFI.V,D,20200819,000000,9665.48,12775.42,9600.02,12599.27,0,0
YFI.V,D,20200820,000000,12599.27,16687.31,11430.12,15290.33,0,0
YFI.V,D,20200821,000000,15290.33,15589.74,11780.41,12249.43,0,0
YFI.V,D,20200822,000000,12249.43,14437.85,11127.37,14047.66,0,0
YFI.V,D,20200823,000000,14047.66,14113.18,12013.23,12584.18,0,0
YFI.V,D,20200824,000000,12584.18,14513.11,12170.37,14507.14,0,0
YFI.V,D,20200825,000000,14507.14,14785.44,12742.57,13525.13,0,0
YFI.V,D,20200826,000000,13525.13,16378.18,13215.23,15692.6,0,0
YFI.V,D,20200827,000000,15692.6,15912.77,13977.78,14201.3,0,0
YFI.V,D,20200828,000000,14201.3,19513.36,14039.02,18864.95,0,0
YFI.V,D,20200829,000000,18864.95,27561.09,17877.29,27473.44,0,0
YFI.V,D,20200830,000000,27473.44,38888.6,26933.36,31732.52,0,0
YFI.V,D,20200831,000000,31732.52,39680.49,29764.21,34874.73,0,0
YFI.V,D,20200901,000000,34874.73,36813.9,31532.27,32003.15,0,0
YFI.V,D,20200902,000000,32003.15,32781.88,25901.92,32007.79,0,0
YFI.V,D,20200903,000000,32007.79,33365.51,27888.43,29483.53,0,0
YFI.V,D,20200904,000000,29483.53,31548,23988.4,27376.63,0,0
YFI.V,D,20200905,000000,27376.63,28761.94,18179.68,22197.46,0,0
YFI.V,D,20200906,000000,22197.46,25407.47,19465.14,23844.53,0,0
YFI.V,D,20200907,000000,23844.53,24633.68,20576.36,22993.62,0,0
YFI.V,D,20200908,000000,22993.62,23515.36,21103.58,22521.61,0,0
YFI.V,D,20200909,000000,22521.61,29303.77,21609.37,27651.23,0,0
YFI.V,D,20200910,000000,27651.23,34954.59,27527.59,34076.7,0,0
YFI.V,D,20200911,000000,34076.7,38327.24,31428.15,38140.69,0,0
YFI.V,D,20200912,000000,38140.69,43978.78,36353.19,43240.63,0,0
YFI.V,D,20200913,000000,43240.63,43282.44,32527.19,36858.07,0,0
YFI.V,D,20200914,000000,36858.07,42231.45,34909.07,39900.17,0,0
YFI.V,D,20200915,000000,39900.17,41528.79,35212.46,35374.15,0,0
YFI.V,D,20200916,000000,35374.15,37165.3,30635.9,34894.63,0,0
YFI.V,D,20200917,000000,34894.63,36693.76,29665.74,33271.03,0,0
YFI.V,D,20200918,000000,33271.03,34731.61,31339.57,33057.05,0,0
YFI.V,D,20200919,000000,33057.05,33199.52,27931.19,30976.58,0,0
YFI.V,D,20200920,000000,30976.58,30976.58,26269.1,28084.42,0,0
YFI.V,D,20200921,000000,28084.42,28415.96,21819.11,24010.99,0,0
YFI.V,D,20200922,000000,24010.99,26890.54,22771.7,25041.72,0,0
YFI.V,D,20200923,000000,25041.72,26242.89,21144.01,21202.4,0,0
YFI.V,D,20200924,000000,21202.4,25290.81,20374.67,25264.77,0,0
YFI.V,D,20200925,000000,25264.77,27523.83,23280.79,26831.36,0,0
YFI.V,D,20200926,000000,26831.36,31910.98,26046.89,31687.55,0,0
YFI.V,D,20200927,000000,31687.55,34195.27,28305.69,30672.55,0,0
YFI.V,D,20200928,000000,30672.55,31342.26,27659.89,28513.95,0,0
YFI.V,D,20200929,000000,28513.95,28919.93,23566.45,25075.77,0,0
YFI.V,D,20200930,000000,25075.77,25106.62,21942.49,23852.9,0,0
YFI.V,D,20201001,000000,23852.9,26222.92,21794.07,22837.64,0,0
YFI.V,D,20201002,000000,22837.64,23256.55,19090.89,21080.5,0,0
YFI.V,D,20201003,000000,21080.5,21708.09,18639.58,18881.66,0,0
YFI.V,D,20201004,000000,18881.66,20189.18,16134.05,19147.32,0,0
YFI.V,D,20201005,000000,19147.32,20402.72,17558.57,18914.75,0,0
YFI.V,D,20201006,000000,18914.75,19338.91,16189.69,16622.47,0,0
YFI.V,D,20201007,000000,16622.47,16684.1,13746.94,14895.79,0,0
YFI.V,D,20201008,000000,14895.79,17317.45,12318.56,16754.19,0,0
YFI.V,D,20201009,000000,16754.19,19432.85,15867.35,18076.45,0,0
YFI.V,D,20201010,000000,18076.45,19377.1,15896.96,16024.17,0,0
YFI.V,D,20201011,000000,16024.17,17712.62,15142.98,16927.8,0,0
YFI.V,D,20201012,000000,16927.8,17477.38,15750.73,16536.82,0,0
YFI.V,D,20201013,000000,16536.82,16701.25,15306.67,15646.28,0,0
YFI.V,D,20201014,000000,15646.28,16086.45,13761.15,14590.55,0,0
YFI.V,D,20201015,000000,14590.55,15783.67,13963.31,14629.82,0,0
YFI.V,D,20201016,000000,14629.82,14629.82,13420.22,13434.65,0,0
YFI.V,D,20201017,000000,13434.65,14157.51,13161.39,14040.09,0,0
YFI.V,D,20201018,000000,14040.09,15745.91,13932.12,15445.82,0,0
YFI.V,D,20201019,000000,15445.82,15636.36,13869.27,13869.28,0,0
YFI.V,D,20201020,000000,13869.28,14230.43,12995.75,13129.48,0,0
YFI.V,D,20201021,000000,13129.48,14695.72,12974.38,13337.84,0,0
YFI.V,D,20201022,000000,13337.84,14401.06,13176.94,13733.6,0,0
YFI.V,D,20201023,000000,13733.6,14952.32,13627.68,14912.95,0,0
YFI.V,D,20201024,000000,14912.95,15483.93,14557.71,14897.75,0,0
YFI.V,D,20201025,000000,14897.75,14897.75,14167.34,14303.29,0,0
YFI.V,D,20201026,000000,14303.29,14568.77,13224.52,13615.07,0,0
YFI.V,D,20201027,000000,13615.07,14180.79,13332.8,13386.86,0,0
YFI.V,D,20201028,000000,13386.86,13599.49,12072.46,12567.54,0,0
YFI.V,D,20201029,000000,12567.54,12947.73,10548.71,10835.93,0,0
YFI.V,D,20201030,000000,10835.93,11984.74,9678.29,11024.14,0,0
YFI.V,D,20201031,000000,11024.14,11425.4,10271.66,10504.93,0,0
YFI.V,D,20201101,000000,10504.93,11049.55,10025.27,10706.07,0,0
YFI.V,D,20201102,000000,10706.07,11232.6,10041.46,10115.25,0,0
YFI.V,D,20201103,000000,10115.25,10247.72,9346.57,9403.63,0,0
YFI.V,D,20201104,000000,9403.63,9718.11,8389.02,8581.43,0,0
YFI.V,D,20201105,000000,8581.43,9941.42,7472.39,8489.66,0,0
YFI.V,D,20201106,000000,8489.66,11931.69,8424.96,11814.69,0,0
YFI.V,D,20201107,000000,11814.69,17146.55,11814.69,14330.27,0,0
YFI.V,D,20201108,000000,14330.27,15977.36,13429.62,15121.72,0,0
YFI.V,D,20201109,000000,15121.72,15637.91,13891.66,15004.2,0,0
YFI.V,D,20201110,000000,15004.2,18877.85,14575.63,18262.93,0,0
YFI.V,D,20201111,000000,18262.93,19276.47,15710.37,16661.93,0,0
YFI.V,D,20201112,000000,16661.93,17163.62,14919.97,15442.88,0,0
YFI.V,D,20201113,000000,15442.88,18404.3,15152.98,17843.97,0,0
YFI.V,D,20201114,000000,17843.97,17880.4,16084.8,17147.37,0,0
YFI.V,D,20201115,000000,17147.37,18407.49,16543.9,17592.68,0,0
YFI.V,D,20201116,000000,17592.68,19096.29,16948.78,18506.74,0,0
YFI.V,D,20201117,000000,18506.74,24814.52,18445.12,23902.77,0,0
YFI.V,D,20201118,000000,23902.77,26089.15,20935.96,25379.7,0,0
YFI.V,D,20201119,000000,25379.7,29688.44,24229.16,27829.29,0,0
YFI.V,D,20201120,000000,27829.29,29874.3,25665.3,26500.97,0,0
YFI.V,D,20201121,000000,26500.97,27710.38,23401.5,24364.45,0,0
YFI.V,D,20201122,000000,24364.45,27111.17,21416.44,24428.22,0,0
YFI.V,D,20201123,000000,24428.22,26311.68,23216.81,25180.57,0,0
YFI.V,D,20201124,000000,25180.57,26353.66,23392.36,24746.83,0,0
YFI.V,D,20201125,000000,24746.83,24856.77,21570.43,22345.8,0,0
YFI.V,D,20201126,000000,22345.8,23388.56,18305.4,23379.41,0,0
YFI.V,D,20201127,000000,23379.41,25553.96,22266.89,23480.21,0,0
YFI.V,D,20201128,000000,23480.21,24444.46,22583.68,23398.02,0,0
YFI.V,D,20201129,000000,23398.02,24964.61,22930.34,24635.97,0,0
YFI.V,D,20201130,000000,24635.97,26889.02,24596.05,26452.65,0,0
YFI.V,D,20201201,000000,26452.65,28289.4,24566.51,25689.34,0,0
YFI.V,D,20201202,000000,25689.34,31773.39,25390.31,30370.07,0,0
YFI.V,D,20201203,000000,30370.07,31322.31,28497.08,29675.21,0,0
YFI.V,D,20201204,000000,29675.21,30558.1,26145.26,26485.28,0,0
YFI.V,D,20201205,000000,26485.28,29577.44,26270.92,29382.58,0,0
YFI.V,D,20201206,000000,29382.58,29530.58,27900,28803.02,0,0
YFI.V,D,20201207,000000,28803.02,29420.18,27951.88,28514.08,0,0
YFI.V,D,20201208,000000,28514.08,28548.43,24923.83,25463.36,0,0
YFI.V,D,20201209,000000,25463.36,26271.88,23601.29,25599.93,0,0
YFI.V,D,20201210,000000,25599.93,25833.93,23830.19,23967.37,0,0
YFI.V,D,20201211,000000,23967.37,24143.68,22065.65,23356.24,0,0
YFI.V,D,20201212,000000,23356.24,25799.97,23356.24,25377.67,0,0
YFI.V,D,20201213,000000,25377.67,27186.48,25346.59,26391.03,0,0
YFI.V,D,20201214,000000,26391.03,26391.03,25030.67,25836.36,0,0
YFI.V,D,20201215,000000,25836.36,26485.49,24634.87,24833.17,0,0
YFI.V,D,20201216,000000,24833.17,27700.63,24191.92,26995.55,0,0
YFI.V,D,20201217,000000,26995.55,28072.93,25846.73,26680.05,0,0
YFI.V,D,20201218,000000,26680.05,28664.56,26006.59,27908.33,0,0
YFI.V,D,20201219,000000,27908.33,28853.57,27283.81,27642.34,0,0
YFI.V,D,20201220,000000,27642.34,27642.34,25505.38,26151.38,0,0
YFI.V,D,20201221,000000,26151.38,27032.57,24157.33,24641.46,0,0
YFI.V,D,20201222,000000,24641.46,25283.1,22608.63,24911.53,0,0
YFI.V,D,20201223,000000,24911.53,25488.74,18538.3,20146.1,0,0
YFI.V,D,20201224,000000,20146.1,24037.23,19260.75,24004.63,0,0
YFI.V,D,20201225,000000,24004.63,25127.23,22672.82,23646.93,0,0
YFI.V,D,20201226,000000,23646.93,23832.03,21879.14,22517.31,0,0
YFI.V,D,20201227,000000,22517.31,24961.95,21621.62,22762.54,0,0
YFI.V,D,20201228,000000,22762.54,24459.56,22519.31,22773.42,0,0
YFI.V,D,20201229,000000,22773.42,23120.69,21097.77,22142.62,0,0
YFI.V,D,20201230,000000,22142.62,22724.75,21426.14,21787.69,0,0
YFI.V,D,20201231,000000,21787.69,23562.4,21156.2,22736.73,0,0
YFI.V,D,20210101,000000,22736.73,23497.04,21593.48,21899.91,0,0
YFI.V,D,20210102,000000,21899.91,22326.81,21298.4,21488.67,0,0
YFI.V,D,20210103,000000,21488.67,24897.78,20420.79,23927.1,0,0
YFI.V,D,20210104,000000,23927.1,26761.66,22072.25,23383.52,0,0
YFI.V,D,20210105,000000,23383.52,24955.84,22107.67,23801.79,0,0
YFI.V,D,20210106,000000,23801.79,25507.49,22709.93,24763.41,0,0
YFI.V,D,20210107,000000,24763.41,37145.62,24120.37,32968.11,0,0
YFI.V,D,20210108,000000,32968.11,38484.1,25683.8,34883.75,0,0
YFI.V,D,20210109,000000,34883.75,39953.99,33618.84,35893.13,0,0
YFI.V,D,20210110,000000,35893.13,38186.24,31220.49,33986.63,0,0
YFI.V,D,20210111,000000,33986.63,34067.73,25586.86,30125.3,0,0
YFI.V,D,20210112,000000,30125.3,32281.22,28230.14,29813.54,0,0
YFI.V,D,20210113,000000,29813.54,33844.7,28337.34,33570.25,0,0
YFI.V,D,20210114,000000,33570.25,34177.78,31264.23,32851.7,0,0
YFI.V,D,20210115,000000,32851.7,33630.85,28543.88,30201.97,0,0
YFI.V,D,20210116,000000,30201.97,35156.15,30201.58,33791.8,0,0
YFI.V,D,20210117,000000,33791.8,36785.24,32323.7,34582.16,0,0
YFI.V,D,20210118,000000,34582.16,40254.48,34564.61,38014.99,0,0
YFI.V,D,20210119,000000,38014.99,38445.74,33819.21,34425.7,0,0
YFI.V,D,20210120,000000,34425.7,35470.81,31324.29,34067.26,0,0
YFI.V,D,20210121,000000,34067.26,34218.06,26650.23,27875.7,0,0
YFI.V,D,20210122,000000,27875.7,32023.41,26139.6,30777.92,0,0
YFI.V,D,20210123,000000,30777.92,31532.44,29663.18,30586.04,0,0
YFI.V,D,20210124,000000,30586.04,33017.52,30312.71,32235.96,0,0
