Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-03,2831.83,2840.2,2761.65,2794.57,2111958
2018-01-04,2812.05,2828.81,2783.59,2817.67,3726645
2018-01-05,2832.15,2843.85,2830.64,2843.85,2213275
2018-01-08,2853.96,2871.63,2837.23,2869.1,1639315
2018-01-09,2877.19,2884.55,2855.15,2857.7,1874796
2018-01-10,2868.55,2870.71,2836.09,2846.5,1641393
2018-01-11,2854.99,2855.14,2817.73,2832.41,1335538
2018-01-12,2838.18,2841.1,2815.82,2823.3,982831
2018-01-15,2829.14,2836.28,2815.38,2826.54,1094786
2018-01-16,2827.21,2828.91,2812.09,2825.47,2175469
2018-01-17,2826.13,2827.46,2801.31,2814.84,1342866
2018-01-18,2819.19,2823.8,2799,2807.33,1313271
2018-01-19,2819.82,2821.75,2798.95,2806.69,2075203
2018-01-22,2812.15,2815.63,2804.09,2808.27,1167907
2018-01-23,2822.42,2822.88,2787.81,2790.1,1611839
2018-01-24,2791.13,2794.7,2767.87,2777.83,1179927
2018-01-25,2777.3,2777.3,2753.28,2760.41,1080044
2018-01-26,2759.97,2800.71,2759.61,2790.32,975667
2018-01-29,2801.33,2831.64,2801.33,2815.65,4299440
2018-01-30,2814.44,2835.37,2803.89,2826.97,4047945
2018-01-31,2830.11,2831.21,2791.16,2806.66,1957531
2018-02-01,2802.24,2807.76,2754.88,2762.06,2644190
2018-02-02,2767.41,2772.71,2744.29,2752.68,1264623
2018-02-05,2720.01,2727.31,2694.28,2711.22,1821434
2018-02-06,2659.73,2659.73,2609.86,2652.86,3119631
2018-02-07,2670.5,2692.95,2649.38,2668.2,1954648
2018-02-08,2666.21,2737.12,2663.4,2721.44,4351662
2018-02-09,2687.48,2723.77,2684.81,2722.16,4626332
2018-02-12,2731.68,2755.7,2731.68,2738.96,2667664
2018-02-13,2740.21,2760.24,2729.6,2756.44,1964132
2018-02-14,2764.94,2810.78,2755.41,2809.07,1266302
2018-02-15,2816.09,2826.18,2796.62,2803.45,2074201
2018-02-16,2815.91,2818.78,2780.59,2787.2,1035455
2018-02-19,2782.88,2793.15,2776.17,2785.84,839307
2018-02-20,2796.16,2799.08,2775.63,2794.03,522111
2018-02-21,2796.35,2796.35,2753.52,2773.51,2004665
2018-02-22,2774.46,2788.9,2743.17,2779.32,4327730
2018-02-23,2794.41,2794.81,2761.27,2784.27,1114745
2018-02-26,2785.36,2794.54,2748.34,2763.89,1798517
2018-02-27,2769.38,2781.01,2763.85,2780.64,1022711
2018-02-28,2767.41,2770.38,2719.62,2723.81,1561497
2018-03-01,2739.93,2753.44,2712.16,2730.54,1677406
2018-03-02,2722.93,2766.06,2721.81,2766.06,1200247
2018-03-05,2770.58,2793.31,2766.46,2778.74,679742
2018-03-06,2779.68,2801.22,2777.48,2793.01,839671
