<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHOCHF2M,D,20000629,000000,2.3143,2.3143,2.3143,2.3143,0,0
CHOCHF2M,D,20000630,000000,2.3351,2.3351,2.3351,2.3351,0,0
CHOCHF2M,D,20000703,000000,2.3368,2.3368,2.3368,2.3368,0,0
CHOCHF2M,D,20000704,000000,2.344,2.344,2.344,2.344,0,0
CHOCHF2M,D,20000705,000000,2.3521,2.3521,2.3521,2.3521,0,0
CHOCHF2M,D,20000706,000000,2.3622,2.3622,2.3622,2.3622,0,0
CHOCHF2M,D,20000707,000000,2.4331,2.4331,2.4331,2.4331,0,0
CHOCHF2M,D,20000710,000000,2.4613,2.4613,2.4613,2.4613,0,0
CHOCHF2M,D,20000711,000000,2.4726,2.4726,2.4726,2.4726,0,0
CHOCHF2M,D,20000712,000000,2.482,2.482,2.482,2.482,0,0
CHOCHF2M,D,20000713,000000,2.4927,2.4927,2.4927,2.4927,0,0
CHOCHF2M,D,20000714,000000,2.5505,2.5505,2.5505,2.5505,0,0
CHOCHF2M,D,20000717,000000,2.5849,2.5849,2.5849,2.5849,0,0
CHOCHF2M,D,20000718,000000,2.6041,2.6041,2.6041,2.6041,0,0
CHOCHF2M,D,20000719,000000,2.6051,2.6051,2.6051,2.6051,0,0
CHOCHF2M,D,20000720,000000,2.6047,2.6047,2.6047,2.6047,0,0
CHOCHF2M,D,20000721,000000,2.6731,2.6731,2.6731,2.6731,0,0
CHOCHF2M,D,20000724,000000,2.7061,2.7061,2.7061,2.7061,0,0
CHOCHF2M,D,20000725,000000,2.7214,2.7214,2.7214,2.7214,0,0
CHOCHF2M,D,20000726,000000,2.7239,2.7239,2.7239,2.7239,0,0
CHOCHF2M,D,20000727,000000,2.7257,2.7257,2.7257,2.7257,0,0
CHOCHF2M,D,20000728,000000,2.7652,2.7652,2.7652,2.7652,0,0
CHOCHF2M,D,20000731,000000,2.7563,2.7563,2.7563,2.7563,0,0
CHOCHF2M,D,20000802,000000,2.7565,2.7565,2.7565,2.7565,0,0
CHOCHF2M,D,20000803,000000,2.7599,2.7599,2.7599,2.7599,0,0
CHOCHF2M,D,20000804,000000,2.7813,2.7813,2.7813,2.7813,0,0
CHOCHF2M,D,20000807,000000,2.7889,2.7889,2.7889,2.7889,0,0
CHOCHF2M,D,20000808,000000,2.7935,2.7935,2.7935,2.7935,0,0
CHOCHF2M,D,20000809,000000,2.7935,2.7935,2.7935,2.7935,0,0
CHOCHF2M,D,20000810,000000,2.7924,2.7924,2.7924,2.7924,0,0
CHOCHF2M,D,20000811,000000,2.81,2.81,2.81,2.81,0,0
CHOCHF2M,D,20000814,000000,2.8197,2.8197,2.8197,2.8197,0,0
CHOCHF2M,D,20000815,000000,2.8228,2.8228,2.8228,2.8228,0,0
CHOCHF2M,D,20000816,000000,2.8253,2.8253,2.8253,2.8253,0,0
CHOCHF2M,D,20000817,000000,2.8284,2.8284,2.8284,2.8284,0,0
CHOCHF2M,D,20000818,000000,2.8401,2.8401,2.8401,2.8401,0,0
CHOCHF2M,D,20000821,000000,2.8384,2.8384,2.8384,2.8384,0,0
CHOCHF2M,D,20000822,000000,2.8364,2.8364,2.8364,2.8364,0,0
CHOCHF2M,D,20000823,000000,2.8388,2.8388,2.8388,2.8388,0,0
CHOCHF2M,D,20000824,000000,2.8419,2.8419,2.8419,2.8419,0,0
CHOCHF2M,D,20000825,000000,2.8418,2.8418,2.8418,2.8418,0,0
CHOCHF2M,D,20000828,000000,2.8441,2.8441,2.8441,2.8441,0,0
CHOCHF2M,D,20000829,000000,2.8415,2.8415,2.8415,2.8415,0,0
CHOCHF2M,D,20000830,000000,2.8437,2.8437,2.8437,2.8437,0,0
CHOCHF2M,D,20000831,000000,2.8374,2.8374,2.8374,2.8374,0,0
CHOCHF2M,D,20000901,000000,2.8462,2.8462,2.8462,2.8462,0,0
CHOCHF2M,D,20000904,000000,2.8471,2.8471,2.8471,2.8471,0,0
CHOCHF2M,D,20000905,000000,2.8541,2.8541,2.8541,2.8541,0,0
CHOCHF2M,D,20000906,000000,2.8604,2.8604,2.8604,2.8604,0,0
CHOCHF2M,D,20000907,000000,2.8663,2.8663,2.8663,2.8663,0,0
CHOCHF2M,D,20000908,000000,2.8769,2.8769,2.8769,2.8769,0,0
CHOCHF2M,D,20000911,000000,2.8731,2.8731,2.8731,2.8731,0,0
CHOCHF2M,D,20000912,000000,2.8721,2.8721,2.8721,2.8721,0,0
CHOCHF2M,D,20000913,000000,2.8674,2.8674,2.8674,2.8674,0,0
CHOCHF2M,D,20000914,000000,2.868,2.868,2.868,2.868,0,0
CHOCHF2M,D,20000915,000000,2.8447,2.8447,2.8447,2.8447,0,0
CHOCHF2M,D,20000918,000000,2.8437,2.8437,2.8437,2.8437,0,0
CHOCHF2M,D,20000919,000000,2.8532,2.8532,2.8532,2.8532,0,0
CHOCHF2M,D,20000920,000000,2.8645,2.8645,2.8645,2.8645,0,0
CHOCHF2M,D,20000921,000000,2.8688,2.8688,2.8688,2.8688,0,0
CHOCHF2M,D,20000922,000000,2.9211,2.9211,2.9211,2.9211,0,0
CHOCHF2M,D,20000925,000000,2.9334,2.9334,2.9334,2.9334,0,0
CHOCHF2M,D,20000926,000000,2.938,2.938,2.938,2.938,0,0
CHOCHF2M,D,20000927,000000,2.9419,2.9419,2.9419,2.9419,0,0
CHOCHF2M,D,20000928,000000,2.9656,2.9656,2.9656,2.9656,0,0
CHOCHF2M,D,20000929,000000,2.9733,2.9733,2.9733,2.9733,0,0
CHOCHF2M,D,20001002,000000,2.9726,2.9726,2.9726,2.9726,0,0
CHOCHF2M,D,20001003,000000,2.973,2.973,2.973,2.973,0,0
CHOCHF2M,D,20001004,000000,2.972,2.972,2.972,2.972,0,0
CHOCHF2M,D,20001005,000000,2.9725,2.9725,2.9725,2.9725,0,0
CHOCHF2M,D,20001006,000000,2.9927,2.9927,2.9927,2.9927,0,0
CHOCHF2M,D,20001009,000000,2.9992,2.9992,2.9992,2.9992,0,0
CHOCHF2M,D,20001010,000000,3.0063,3.0063,3.0063,3.0063,0,0
CHOCHF2M,D,20001011,000000,3.0077,3.0077,3.0077,3.0077,0,0
CHOCHF2M,D,20001012,000000,3.0106,3.0106,3.0106,3.0106,0,0
CHOCHF2M,D,20001013,000000,3.0306,3.0306,3.0306,3.0306,0,0
CHOCHF2M,D,20001016,000000,3.0345,3.0345,3.0345,3.0345,0,0
CHOCHF2M,D,20001017,000000,3.0273,3.0273,3.0273,3.0273,0,0
CHOCHF2M,D,20001018,000000,3.0117,3.0117,3.0117,3.0117,0,0
CHOCHF2M,D,20001019,000000,3.0015,3.0015,3.0015,3.0015,0,0
CHOCHF2M,D,20001020,000000,3.0137,3.0137,3.0137,3.0137,0,0
CHOCHF2M,D,20001023,000000,3.0154,3.0154,3.0154,3.0154,0,0
CHOCHF2M,D,20001024,000000,3.0156,3.0156,3.0156,3.0156,0,0
CHOCHF2M,D,20001025,000000,3.0137,3.0137,3.0137,3.0137,0,0
CHOCHF2M,D,20001026,000000,3.0096,3.0096,3.0096,3.0096,0,0
CHOCHF2M,D,20001027,000000,2.9901,2.9901,2.9901,2.9901,0,0
CHOCHF2M,D,20001030,000000,2.9916,2.9916,2.9916,2.9916,0,0
CHOCHF2M,D,20001031,000000,2.989,2.989,2.989,2.989,0,0
CHOCHF2M,D,20001101,000000,2.9913,2.9913,2.9913,2.9913,0,0
CHOCHF2M,D,20001102,000000,2.9949,2.9949,2.9949,2.9949,0,0
CHOCHF2M,D,20001103,000000,2.9992,2.9992,2.9992,2.9992,0,0
CHOCHF2M,D,20001106,000000,2.9879,2.9879,2.9879,2.9879,0,0
CHOCHF2M,D,20001107,000000,2.9833,2.9833,2.9833,2.9833,0,0
CHOCHF2M,D,20001108,000000,2.9819,2.9819,2.9819,2.9819,0,0
CHOCHF2M,D,20001109,000000,2.9816,2.9816,2.9816,2.9816,0,0
CHOCHF2M,D,20001110,000000,2.9592,2.9592,2.9592,2.9592,0,0
CHOCHF2M,D,20001113,000000,2.9627,2.9627,2.9627,2.9627,0,0
CHOCHF2M,D,20001114,000000,2.9646,2.9646,2.9646,2.9646,0,0
CHOCHF2M,D,20001115,000000,2.9654,2.9654,2.9654,2.9654,0,0
CHOCHF2M,D,20001116,000000,2.9646,2.9646,2.9646,2.9646,0,0
CHOCHF2M,D,20001117,000000,2.9852,2.9852,2.9852,2.9852,0,0
CHOCHF2M,D,20001120,000000,2.9769,2.9769,2.9769,2.9769,0,0
CHOCHF2M,D,20001121,000000,2.9757,2.9757,2.9757,2.9757,0,0
CHOCHF2M,D,20001122,000000,2.9773,2.9773,2.9773,2.9773,0,0
CHOCHF2M,D,20001123,000000,2.9803,2.9803,2.9803,2.9803,0,0
CHOCHF2M,D,20001124,000000,2.9585,2.9585,2.9585,2.9585,0,0
CHOCHF2M,D,20001127,000000,2.9533,2.9533,2.9533,2.9533,0,0
CHOCHF2M,D,20001128,000000,2.949,2.949,2.949,2.949,0,0
CHOCHF2M,D,20001129,000000,2.9479,2.9479,2.9479,2.9479,0,0
CHOCHF2M,D,20001130,000000,2.9453,2.9453,2.9453,2.9453,0,0
CHOCHF2M,D,20001201,000000,2.9472,2.9472,2.9472,2.9472,0,0
CHOCHF2M,D,20001204,000000,2.9485,2.9485,2.9485,2.9485,0,0
CHOCHF2M,D,20001205,000000,2.9488,2.9488,2.9488,2.9488,0,0
CHOCHF2M,D,20001206,000000,2.9524,2.9524,2.9524,2.9524,0,0
CHOCHF2M,D,20001207,000000,2.9553,2.9553,2.9553,2.9553,0,0
CHOCHF2M,D,20001208,000000,2.9514,2.9514,2.9514,2.9514,0,0
CHOCHF2M,D,20001211,000000,2.9463,2.9463,2.9463,2.9463,0,0
CHOCHF2M,D,20001212,000000,2.9434,2.9434,2.9434,2.9434,0,0
CHOCHF2M,D,20001213,000000,2.9454,2.9454,2.9454,2.9454,0,0
CHOCHF2M,D,20001214,000000,2.946,2.946,2.946,2.946,0,0
CHOCHF2M,D,20001215,000000,2.9468,2.9468,2.9468,2.9468,0,0
CHOCHF2M,D,20001218,000000,2.9699,2.9699,2.9699,2.9699,0,0
