<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKOHKD1W,D,20200402,000000,1.24595,1.24595,1.24595,1.24595,0,0
HKOHKD1W,D,20200403,000000,1.30488,1.30488,1.30488,1.30488,0,0
HKOHKD1W,D,20200406,000000,1.27393,1.27393,1.27393,1.27393,0,0
HKOHKD1W,D,20200407,000000,1.26125,1.26125,1.26125,1.26125,0,0
HKOHKD1W,D,20200408,000000,1.18542,1.18542,1.18542,1.18542,0,0
HKOHKD1W,D,20200409,000000,1.14452,1.14452,1.14452,1.14452,0,0
HKOHKD1W,D,20200414,000000,1.23042,1.23042,1.23042,1.23042,0,0
HKOHKD1W,D,20200415,000000,1.19089,1.19089,1.19089,1.19089,0,0
HKOHKD1W,D,20200416,000000,1.19018,1.19018,1.19018,1.19018,0,0
HKOHKD1W,D,20200417,000000,1.26726,1.26726,1.26726,1.26726,0,0
HKOHKD1W,D,20200420,000000,1.28536,1.28536,1.28536,1.28536,0,0
HKOHKD1W,D,20200421,000000,1.3,1.3,1.3,1.3,0,0
HKOHKD1W,D,20200422,000000,1.26839,1.26839,1.26839,1.26839,0,0
HKOHKD1W,D,20200423,000000,1.24595,1.24595,1.24595,1.24595,0,0
HKOHKD1W,D,20200424,000000,1.2481,1.2481,1.2481,1.2481,0,0
HKOHKD1W,D,20200427,000000,1.2125,1.2125,1.2125,1.2125,0,0
HKOHKD1W,D,20200428,000000,1.08964,1.08964,1.08964,1.08964,0,0
HKOHKD1W,D,20200429,000000,0.99929,0.99929,0.99929,0.99929,0,0
HKOHKD1W,D,20200504,000000,0.88804,0.88804,0.88804,0.88804,0,0
HKOHKD1W,D,20200505,000000,0.54714,0.54714,0.54714,0.54714,0,0
HKOHKD1W,D,20200506,000000,0.48821,0.48821,0.48821,0.48821,0,0
HKOHKD1W,D,20200507,000000,0.58214,0.58214,0.58214,0.58214,0,0
HKOHKD1W,D,20200508,000000,0.52964,0.52964,0.52964,0.52964,0,0
HKOHKD1W,D,20200511,000000,0.45607,0.45607,0.45607,0.45607,0,0
HKOHKD1W,D,20200512,000000,0.44601,0.44601,0.44601,0.44601,0,0
HKOHKD1W,D,20200513,000000,0.44982,0.44982,0.44982,0.44982,0,0
HKOHKD1W,D,20200514,000000,0.44768,0.44768,0.44768,0.44768,0,0
HKOHKD1W,D,20200515,000000,0.3625,0.3625,0.3625,0.3625,0,0
HKOHKD1W,D,20200518,000000,0.30083,0.30083,0.30083,0.30083,0,0
HKOHKD1W,D,20200519,000000,0.29286,0.29286,0.29286,0.29286,0,0
HKOHKD1W,D,20200520,000000,0.27268,0.27268,0.27268,0.27268,0,0
HKOHKD1W,D,20200521,000000,0.3,0.3,0.3,0.3,0,0
HKOHKD1W,D,20200522,000000,0.86393,0.86393,0.86393,0.86393,0,0
HKOHKD1W,D,20200525,000000,1.01643,1.01643,1.01643,1.01643,0,0
HKOHKD1W,D,20200526,000000,0.67643,0.67643,0.67643,0.67643,0,0
HKOHKD1W,D,20200527,000000,0.72476,0.72476,0.72476,0.72476,0,0
HKOHKD1W,D,20200528,000000,0.74316,0.74316,0.74316,0.74316,0,0
HKOHKD1W,D,20200529,000000,0.62881,0.62881,0.62881,0.62881,0,0
HKOHKD1W,D,20200601,000000,0.505,0.505,0.505,0.505,0,0
HKOHKD1W,D,20200602,000000,0.36786,0.36786,0.36786,0.36786,0,0
HKOHKD1W,D,20200603,000000,0.37429,0.37429,0.37429,0.37429,0,0
HKOHKD1W,D,20200604,000000,0.35429,0.35429,0.35429,0.35429,0,0
HKOHKD1W,D,20200605,000000,0.36179,0.36179,0.36179,0.36179,0,0
HKOHKD1W,D,20200608,000000,0.46357,0.46357,0.46357,0.46357,0,0
HKOHKD1W,D,20200609,000000,0.42661,0.42661,0.42661,0.42661,0,0
HKOHKD1W,D,20200610,000000,0.33536,0.33536,0.33536,0.33536,0,0
HKOHKD1W,D,20200611,000000,0.28702,0.28702,0.28702,0.28702,0,0
HKOHKD1W,D,20200612,000000,0.30732,0.30732,0.30732,0.30732,0,0
HKOHKD1W,D,20200615,000000,0.28845,0.28845,0.28845,0.28845,0,0
HKOHKD1W,D,20200616,000000,0.27946,0.27946,0.27946,0.27946,0,0
HKOHKD1W,D,20200617,000000,0.2778,0.2778,0.2778,0.2778,0,0
HKOHKD1W,D,20200618,000000,0.24738,0.24738,0.24738,0.24738,0,0
HKOHKD1W,D,20200619,000000,0.24881,0.24881,0.24881,0.24881,0,0
HKOHKD1W,D,20200622,000000,0.24452,0.24452,0.24452,0.24452,0,0
HKOHKD1W,D,20200623,000000,0.27935,0.27935,0.27935,0.27935,0,0
HKOHKD1W,D,20200624,000000,0.37714,0.37714,0.37714,0.37714,0,0
HKOHKD1W,D,20200626,000000,0.31625,0.31625,0.31625,0.31625,0,0
HKOHKD1W,D,20200629,000000,0.29268,0.29268,0.29268,0.29268,0,0
