<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKOHKDON,D,20200402,000000,0.86976,0.86976,0.86976,0.86976,0,0
HKOHKDON,D,20200403,000000,1.01143,1.01143,1.01143,1.01143,0,0
HKOHKDON,D,20200406,000000,0.90643,0.90643,0.90643,0.90643,0,0
HKOHKDON,D,20200407,000000,0.90821,0.90821,0.90821,0.90821,0,0
HKOHKDON,D,20200408,000000,0.87286,0.87286,0.87286,0.87286,0,0
HKOHKDON,D,20200409,000000,0.85786,0.85786,0.85786,0.85786,0,0
HKOHKDON,D,20200414,000000,0.9631,0.9631,0.9631,0.9631,0,0
HKOHKDON,D,20200415,000000,0.94095,0.94095,0.94095,0.94095,0,0
HKOHKDON,D,20200416,000000,0.88393,0.88393,0.88393,0.88393,0,0
HKOHKDON,D,20200417,000000,0.89714,0.89714,0.89714,0.89714,0,0
HKOHKDON,D,20200420,000000,1.01357,1.01357,1.01357,1.01357,0,0
HKOHKDON,D,20200421,000000,0.96369,0.96369,0.96369,0.96369,0,0
HKOHKDON,D,20200422,000000,1.09571,1.09571,1.09571,1.09571,0,0
HKOHKDON,D,20200423,000000,0.96119,0.96119,0.96119,0.96119,0,0
HKOHKDON,D,20200424,000000,0.91095,0.91095,0.91095,0.91095,0,0
HKOHKDON,D,20200427,000000,0.84548,0.84548,0.84548,0.84548,0,0
HKOHKDON,D,20200428,000000,0.74595,0.74595,0.74595,0.74595,0,0
HKOHKDON,D,20200429,000000,0.74524,0.74524,0.74524,0.74524,0,0
HKOHKDON,D,20200504,000000,0.65524,0.65524,0.65524,0.65524,0,0
HKOHKDON,D,20200505,000000,0.26095,0.26095,0.26095,0.26095,0,0
HKOHKDON,D,20200506,000000,0.25357,0.25357,0.25357,0.25357,0,0
HKOHKDON,D,20200507,000000,0.25375,0.25375,0.25375,0.25375,0,0
HKOHKDON,D,20200508,000000,0.26833,0.26833,0.26833,0.26833,0,0
HKOHKDON,D,20200511,000000,0.28577,0.28577,0.28577,0.28577,0,0
HKOHKDON,D,20200512,000000,0.31411,0.31411,0.31411,0.31411,0,0
HKOHKDON,D,20200513,000000,0.31339,0.31339,0.31339,0.31339,0,0
HKOHKDON,D,20200514,000000,0.29131,0.29131,0.29131,0.29131,0,0
HKOHKDON,D,20200515,000000,0.17214,0.17214,0.17214,0.17214,0,0
HKOHKDON,D,20200518,000000,0.13441,0.13441,0.13441,0.13441,0,0
HKOHKDON,D,20200519,000000,0.13036,0.13036,0.13036,0.13036,0,0
HKOHKDON,D,20200520,000000,0.11857,0.11857,0.11857,0.11857,0,0
HKOHKDON,D,20200521,000000,0.12071,0.12071,0.12071,0.12071,0,0
HKOHKDON,D,20200522,000000,0.34167,0.34167,0.34167,0.34167,0,0
HKOHKDON,D,20200525,000000,0.29857,0.29857,0.29857,0.29857,0,0
HKOHKDON,D,20200526,000000,0.24595,0.24595,0.24595,0.24595,0,0
HKOHKDON,D,20200527,000000,0.26607,0.26607,0.26607,0.26607,0,0
HKOHKDON,D,20200528,000000,0.24024,0.24024,0.24024,0.24024,0,0
HKOHKDON,D,20200529,000000,0.31345,0.31345,0.31345,0.31345,0,0
HKOHKDON,D,20200601,000000,0.23369,0.23369,0.23369,0.23369,0,0
HKOHKDON,D,20200602,000000,0.14476,0.14476,0.14476,0.14476,0,0
HKOHKDON,D,20200603,000000,0.13274,0.13274,0.13274,0.13274,0,0
HKOHKDON,D,20200604,000000,0.1275,0.1275,0.1275,0.1275,0,0
HKOHKDON,D,20200605,000000,0.17286,0.17286,0.17286,0.17286,0,0
HKOHKDON,D,20200608,000000,0.18512,0.18512,0.18512,0.18512,0,0
HKOHKDON,D,20200609,000000,0.16214,0.16214,0.16214,0.16214,0,0
HKOHKDON,D,20200610,000000,0.13583,0.13583,0.13583,0.13583,0,0
HKOHKDON,D,20200611,000000,0.09464,0.09464,0.09464,0.09464,0,0
HKOHKDON,D,20200612,000000,0.11821,0.11821,0.11821,0.11821,0,0
HKOHKDON,D,20200615,000000,0.12018,0.12018,0.12018,0.12018,0,0
HKOHKDON,D,20200616,000000,0.12393,0.12393,0.12393,0.12393,0,0
HKOHKDON,D,20200617,000000,0.11929,0.11929,0.11929,0.11929,0,0
HKOHKDON,D,20200618,000000,0.10155,0.10155,0.10155,0.10155,0,0
HKOHKDON,D,20200619,000000,0.10095,0.10095,0.10095,0.10095,0,0
HKOHKDON,D,20200622,000000,0.11643,0.11643,0.11643,0.11643,0,0
HKOHKDON,D,20200623,000000,0.12941,0.12941,0.12941,0.12941,0,0
HKOHKDON,D,20200624,000000,0.11786,0.11786,0.11786,0.11786,0,0
HKOHKDON,D,20200626,000000,0.11286,0.11286,0.11286,0.11286,0,0
HKOHKDON,D,20200629,000000,0.10923,0.10923,0.10923,0.10923,0,0
HKOHKDON,D,20200630,000000,0.18089,0.18089,0.18089,0.18089,0,0
HKOHKDON,D,20200702,000000,0.12881,0.12881,0.12881,0.12881,0,0
HKOHKDON,D,20200703,000000,0.10833,0.10833,0.10833,0.10833,0,0
HKOHKDON,D,20200706,000000,0.12357,0.12357,0.12357,0.12357,0,0
HKOHKDON,D,20200707,000000,0.12321,0.12321,0.12321,0.12321,0,0
HKOHKDON,D,20200708,000000,0.12357,0.12357,0.12357,0.12357,0,0
HKOHKDON,D,20200709,000000,0.12214,0.12214,0.12214,0.12214,0,0
HKOHKDON,D,20200710,000000,0.11071,0.11071,0.11071,0.11071,0,0
HKOHKDON,D,20200713,000000,0.1081,0.1081,0.1081,0.1081,0,0
HKOHKDON,D,20200714,000000,0.10161,0.10161,0.10161,0.10161,0,0
HKOHKDON,D,20200715,000000,0.10429,0.10429,0.10429,0.10429,0,0
HKOHKDON,D,20200716,000000,0.07286,0.07286,0.07286,0.07286,0,0
HKOHKDON,D,20200717,000000,0.06875,0.06875,0.06875,0.06875,0,0
HKOHKDON,D,20200720,000000,0.05024,0.05024,0.05024,0.05024,0,0
HKOHKDON,D,20200721,000000,0.05196,0.05196,0.05196,0.05196,0,0
HKOHKDON,D,20200722,000000,0.05012,0.05012,0.05012,0.05012,0,0
HKOHKDON,D,20200723,000000,0.04625,0.04625,0.04625,0.04625,0,0
HKOHKDON,D,20200724,000000,0.04298,0.04298,0.04298,0.04298,0,0
HKOHKDON,D,20200727,000000,0.04435,0.04435,0.04435,0.04435,0,0
HKOHKDON,D,20200728,000000,0.04643,0.04643,0.04643,0.04643,0,0
HKOHKDON,D,20200729,000000,0.04941,0.04941,0.04941,0.04941,0,0
HKOHKDON,D,20200730,000000,0.04798,0.04798,0.04798,0.04798,0,0
HKOHKDON,D,20200731,000000,0.05792,0.05792,0.05792,0.05792,0,0
HKOHKDON,D,20200803,000000,0.06821,0.06821,0.06821,0.06821,0,0
HKOHKDON,D,20200804,000000,0.06411,0.06411,0.06411,0.06411,0,0
HKOHKDON,D,20200805,000000,0.06958,0.06958,0.06958,0.06958,0,0
HKOHKDON,D,20200806,000000,0.06625,0.06625,0.06625,0.06625,0,0
HKOHKDON,D,20200807,000000,0.06625,0.06625,0.06625,0.06625,0,0
HKOHKDON,D,20200810,000000,0.0575,0.0575,0.0575,0.0575,0,0
HKOHKDON,D,20200811,000000,0.05536,0.05536,0.05536,0.05536,0,0
HKOHKDON,D,20200812,000000,0.05732,0.05732,0.05732,0.05732,0,0
HKOHKDON,D,20200813,000000,0.05268,0.05268,0.05268,0.05268,0,0
HKOHKDON,D,20200814,000000,0.05411,0.05411,0.05411,0.05411,0,0
HKOHKDON,D,20200817,000000,0.05411,0.05411,0.05411,0.05411,0,0
HKOHKDON,D,20200818,000000,0.05196,0.05196,0.05196,0.05196,0,0
HKOHKDON,D,20200820,000000,0.05125,0.05125,0.05125,0.05125,0,0
HKOHKDON,D,20200821,000000,0.05446,0.05446,0.05446,0.05446,0,0
HKOHKDON,D,20200824,000000,0.05768,0.05768,0.05768,0.05768,0,0
HKOHKDON,D,20200825,000000,0.05679,0.05679,0.05679,0.05679,0,0
HKOHKDON,D,20200826,000000,0.05982,0.05982,0.05982,0.05982,0,0
HKOHKDON,D,20200827,000000,0.05679,0.05679,0.05679,0.05679,0,0
HKOHKDON,D,20200828,000000,0.35,0.35,0.35,0.35,0,0
HKOHKDON,D,20200831,000000,0.28298,0.28298,0.28298,0.28298,0,0
HKOHKDON,D,20200901,000000,0.27429,0.27429,0.27429,0.27429,0,0
HKOHKDON,D,20200902,000000,0.22512,0.22512,0.22512,0.22512,0,0
HKOHKDON,D,20200903,000000,0.23464,0.23464,0.23464,0.23464,0,0
HKOHKDON,D,20200904,000000,0.22946,0.22946,0.22946,0.22946,0,0
HKOHKDON,D,20200907,000000,0.15375,0.15375,0.15375,0.15375,0,0
HKOHKDON,D,20200908,000000,0.06554,0.06554,0.06554,0.06554,0,0
HKOHKDON,D,20200909,000000,0.05571,0.05571,0.05571,0.05571,0,0
HKOHKDON,D,20200910,000000,0.05679,0.05679,0.05679,0.05679,0,0
HKOHKDON,D,20200911,000000,0.05821,0.05821,0.05821,0.05821,0,0
HKOHKDON,D,20200914,000000,0.05768,0.05768,0.05768,0.05768,0,0
HKOHKDON,D,20200915,000000,0.06,0.06,0.06,0.06,0,0
HKOHKDON,D,20200916,000000,0.07036,0.07036,0.07036,0.07036,0,0
HKOHKDON,D,20200917,000000,0.06696,0.06696,0.06696,0.06696,0,0
HKOHKDON,D,20200918,000000,0.08357,0.08357,0.08357,0.08357,0,0
HKOHKDON,D,20200921,000000,0.08607,0.08607,0.08607,0.08607,0,0
HKOHKDON,D,20200922,000000,0.09631,0.09631,0.09631,0.09631,0,0
HKOHKDON,D,20200923,000000,0.07929,0.07929,0.07929,0.07929,0,0
HKOHKDON,D,20200924,000000,0.05321,0.05321,0.05321,0.05321,0,0
HKOHKDON,D,20200925,000000,0.05095,0.05095,0.05095,0.05095,0,0
HKOHKDON,D,20200928,000000,0.04941,0.04941,0.04941,0.04941,0,0
HKOHKDON,D,20200929,000000,0.0922,0.0922,0.0922,0.0922,0,0
HKOHKDON,D,20200930,000000,0.09506,0.09506,0.09506,0.09506,0,0
HKOHKDON,D,20201005,000000,0.1,0.1,0.1,0.1,0,0
HKOHKDON,D,20201006,000000,0.09274,0.09274,0.09274,0.09274,0,0
HKOHKDON,D,20201007,000000,0.05649,0.05649,0.05649,0.05649,0,0
HKOHKDON,D,20201008,000000,0.05125,0.05125,0.05125,0.05125,0,0
HKOHKDON,D,20201009,000000,0.05286,0.05286,0.05286,0.05286,0,0
HKOHKDON,D,20201012,000000,0.05946,0.05946,0.05946,0.05946,0,0
HKOHKDON,D,20201014,000000,0.09625,0.09625,0.09625,0.09625,0,0
HKOHKDON,D,20201015,000000,0.06304,0.06304,0.06304,0.06304,0,0
HKOHKDON,D,20201016,000000,0.07464,0.07464,0.07464,0.07464,0,0
HKOHKDON,D,20201019,000000,0.0575,0.0575,0.0575,0.0575,0,0
HKOHKDON,D,20201020,000000,0.06518,0.06518,0.06518,0.06518,0,0
HKOHKDON,D,20201021,000000,0.06089,0.06089,0.06089,0.06089,0,0
HKOHKDON,D,20201022,000000,0.05571,0.05571,0.05571,0.05571,0,0
HKOHKDON,D,20201023,000000,0.05482,0.05482,0.05482,0.05482,0,0
HKOHKDON,D,20201027,000000,0.05107,0.05107,0.05107,0.05107,0,0
HKOHKDON,D,20201028,000000,0.08726,0.08726,0.08726,0.08726,0,0
HKOHKDON,D,20201029,000000,0.05238,0.05238,0.05238,0.05238,0,0
HKOHKDON,D,20201030,000000,0.32107,0.32107,0.32107,0.32107,0,0
HKOHKDON,D,20201102,000000,0.18804,0.18804,0.18804,0.18804,0,0
HKOHKDON,D,20201103,000000,0.11196,0.11196,0.11196,0.11196,0,0
HKOHKDON,D,20201104,000000,0.0681,0.0681,0.0681,0.0681,0,0
HKOHKDON,D,20201105,000000,0.05,0.05,0.05,0.05,0,0
HKOHKDON,D,20201106,000000,0.04027,0.04027,0.04027,0.04027,0,0
HKOHKDON,D,20201109,000000,0.03529,0.03529,0.03529,0.03529,0,0
HKOHKDON,D,20201110,000000,0.03707,0.03707,0.03707,0.03707,0,0
HKOHKDON,D,20201111,000000,0.03636,0.03636,0.03636,0.03636,0,0
HKOHKDON,D,20201112,000000,0.0438,0.0438,0.0438,0.0438,0,0
HKOHKDON,D,20201113,000000,0.03657,0.03657,0.03657,0.03657,0,0
HKOHKDON,D,20201116,000000,0.03673,0.03673,0.03673,0.03673,0,0
HKOHKDON,D,20201117,000000,0.03668,0.03668,0.03668,0.03668,0,0
HKOHKDON,D,20201118,000000,0.03877,0.03877,0.03877,0.03877,0,0
HKOHKDON,D,20201119,000000,0.03821,0.03821,0.03821,0.03821,0,0
HKOHKDON,D,20201120,000000,0.0372,0.0372,0.0372,0.0372,0,0
HKOHKDON,D,20201123,000000,0.03786,0.03786,0.03786,0.03786,0,0
HKOHKDON,D,20201124,000000,0.03661,0.03661,0.03661,0.03661,0,0
HKOHKDON,D,20201125,000000,0.03875,0.03875,0.03875,0.03875,0,0
HKOHKDON,D,20201126,000000,0.03714,0.03714,0.03714,0.03714,0,0
HKOHKDON,D,20201127,000000,0.04455,0.04455,0.04455,0.04455,0,0
HKOHKDON,D,20201130,000000,0.04036,0.04036,0.04036,0.04036,0,0
HKOHKDON,D,20201201,000000,0.03625,0.03625,0.03625,0.03625,0,0
HKOHKDON,D,20201202,000000,0.04554,0.04554,0.04554,0.04554,0,0
HKOHKDON,D,20201203,000000,0.04613,0.04613,0.04613,0.04613,0,0
HKOHKDON,D,20201204,000000,0.04607,0.04607,0.04607,0.04607,0,0
HKOHKDON,D,20201207,000000,0.04946,0.04946,0.04946,0.04946,0,0
HKOHKDON,D,20201208,000000,0.04946,0.04946,0.04946,0.04946,0,0
HKOHKDON,D,20201209,000000,0.04964,0.04964,0.04964,0.04964,0,0
HKOHKDON,D,20201210,000000,0.04732,0.04732,0.04732,0.04732,0,0
HKOHKDON,D,20201211,000000,0.04821,0.04821,0.04821,0.04821,0,0
HKOHKDON,D,20201214,000000,0.04768,0.04768,0.04768,0.04768,0,0
HKOHKDON,D,20201215,000000,0.04732,0.04732,0.04732,0.04732,0,0
HKOHKDON,D,20201216,000000,0.05089,0.05089,0.05089,0.05089,0,0
HKOHKDON,D,20201217,000000,0.04875,0.04875,0.04875,0.04875,0,0
HKOHKDON,D,20201218,000000,0.04893,0.04893,0.04893,0.04893,0,0
HKOHKDON,D,20201221,000000,0.04304,0.04304,0.04304,0.04304,0,0
HKOHKDON,D,20201222,000000,0.03955,0.03955,0.03955,0.03955,0,0
HKOHKDON,D,20201223,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20201224,000000,0.03774,0.03774,0.03774,0.03774,0,0
HKOHKDON,D,20201228,000000,0.03884,0.03884,0.03884,0.03884,0,0
HKOHKDON,D,20201229,000000,0.03893,0.03893,0.03893,0.03893,0,0
HKOHKDON,D,20201230,000000,0.03857,0.03857,0.03857,0.03857,0,0
HKOHKDON,D,20201231,000000,0.04071,0.04071,0.04071,0.04071,0,0
HKOHKDON,D,20210104,000000,0.04027,0.04027,0.04027,0.04027,0,0
HKOHKDON,D,20210105,000000,0.03804,0.03804,0.03804,0.03804,0,0
HKOHKDON,D,20210106,000000,0.03875,0.03875,0.03875,0.03875,0,0
HKOHKDON,D,20210107,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210108,000000,0.06464,0.06464,0.06464,0.06464,0,0
HKOHKDON,D,20210111,000000,0.07071,0.07071,0.07071,0.07071,0,0
HKOHKDON,D,20210112,000000,0.07107,0.07107,0.07107,0.07107,0,0
HKOHKDON,D,20210113,000000,0.06982,0.06982,0.06982,0.06982,0,0
HKOHKDON,D,20210114,000000,0.05161,0.05161,0.05161,0.05161,0,0
HKOHKDON,D,20210115,000000,0.04188,0.04188,0.04188,0.04188,0,0
HKOHKDON,D,20210118,000000,0.04188,0.04188,0.04188,0.04188,0,0
HKOHKDON,D,20210119,000000,0.03813,0.03813,0.03813,0.03813,0,0
HKOHKDON,D,20210120,000000,0.03955,0.03955,0.03955,0.03955,0,0
HKOHKDON,D,20210121,000000,0.04027,0.04027,0.04027,0.04027,0,0
HKOHKDON,D,20210122,000000,0.03985,0.03985,0.03985,0.03985,0,0
HKOHKDON,D,20210125,000000,0.03741,0.03741,0.03741,0.03741,0,0
HKOHKDON,D,20210126,000000,0.04134,0.04134,0.04134,0.04134,0,0
HKOHKDON,D,20210127,000000,0.04429,0.04429,0.04429,0.04429,0,0
HKOHKDON,D,20210128,000000,0.05,0.05,0.05,0.05,0,0
HKOHKDON,D,20210129,000000,0.23107,0.23107,0.23107,0.23107,0,0
HKOHKDON,D,20210201,000000,0.15964,0.15964,0.15964,0.15964,0,0
HKOHKDON,D,20210202,000000,0.10625,0.10625,0.10625,0.10625,0,0
HKOHKDON,D,20210203,000000,0.10268,0.10268,0.10268,0.10268,0,0
HKOHKDON,D,20210204,000000,0.04982,0.04982,0.04982,0.04982,0,0
HKOHKDON,D,20210205,000000,0.0392,0.0392,0.0392,0.0392,0,0
HKOHKDON,D,20210208,000000,0.04411,0.04411,0.04411,0.04411,0,0
HKOHKDON,D,20210209,000000,0.04327,0.04327,0.04327,0.04327,0,0
HKOHKDON,D,20210210,000000,0.11054,0.11054,0.11054,0.11054,0,0
HKOHKDON,D,20210211,000000,0.1,0.1,0.1,0.1,0,0
HKOHKDON,D,20210216,000000,0.09774,0.09774,0.09774,0.09774,0,0
HKOHKDON,D,20210217,000000,0.0572,0.0572,0.0572,0.0572,0,0
HKOHKDON,D,20210218,000000,0.04506,0.04506,0.04506,0.04506,0,0
HKOHKDON,D,20210219,000000,0.04089,0.04089,0.04089,0.04089,0,0
HKOHKDON,D,20210222,000000,0.03702,0.03702,0.03702,0.03702,0,0
HKOHKDON,D,20210223,000000,0.03667,0.03667,0.03667,0.03667,0,0
HKOHKDON,D,20210224,000000,0.03667,0.03667,0.03667,0.03667,0,0
HKOHKDON,D,20210225,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20210226,000000,0.04,0.04,0.04,0.04,0,0
HKOHKDON,D,20210301,000000,0.04,0.04,0.04,0.04,0,0
HKOHKDON,D,20210302,000000,0.03875,0.03875,0.03875,0.03875,0,0
HKOHKDON,D,20210303,000000,0.03946,0.03946,0.03946,0.03946,0,0
HKOHKDON,D,20210304,000000,0.03848,0.03848,0.03848,0.03848,0,0
HKOHKDON,D,20210305,000000,0.04161,0.04161,0.04161,0.04161,0,0
HKOHKDON,D,20210308,000000,0.03821,0.03821,0.03821,0.03821,0,0
HKOHKDON,D,20210309,000000,0.04024,0.04024,0.04024,0.04024,0,0
HKOHKDON,D,20210310,000000,0.03952,0.03952,0.03952,0.03952,0,0
HKOHKDON,D,20210311,000000,0.03774,0.03774,0.03774,0.03774,0,0
HKOHKDON,D,20210312,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210315,000000,0.03929,0.03929,0.03929,0.03929,0,0
HKOHKDON,D,20210316,000000,0.03952,0.03952,0.03952,0.03952,0,0
HKOHKDON,D,20210317,000000,0.0372,0.0372,0.0372,0.0372,0,0
HKOHKDON,D,20210318,000000,0.03893,0.03893,0.03893,0.03893,0,0
HKOHKDON,D,20210319,000000,0.03536,0.03536,0.03536,0.03536,0,0
HKOHKDON,D,20210322,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20210323,000000,0.04095,0.04095,0.04095,0.04095,0,0
HKOHKDON,D,20210324,000000,0.03527,0.03527,0.03527,0.03527,0,0
HKOHKDON,D,20210325,000000,0.03667,0.03667,0.03667,0.03667,0,0
HKOHKDON,D,20210326,000000,0.03774,0.03774,0.03774,0.03774,0,0
HKOHKDON,D,20210329,000000,0.03893,0.03893,0.03893,0.03893,0,0
HKOHKDON,D,20210330,000000,0.03738,0.03738,0.03738,0.03738,0,0
HKOHKDON,D,20210331,000000,0.03396,0.03396,0.03396,0.03396,0,0
HKOHKDON,D,20210401,000000,0.03467,0.03467,0.03467,0.03467,0,0
HKOHKDON,D,20210407,000000,0.03741,0.03741,0.03741,0.03741,0,0
HKOHKDON,D,20210408,000000,0.03667,0.03667,0.03667,0.03667,0,0
HKOHKDON,D,20210409,000000,0.03821,0.03821,0.03821,0.03821,0,0
HKOHKDON,D,20210412,000000,0.0392,0.0392,0.0392,0.0392,0,0
HKOHKDON,D,20210413,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20210414,000000,0.03714,0.03714,0.03714,0.03714,0,0
HKOHKDON,D,20210415,000000,0.03467,0.03467,0.03467,0.03467,0,0
HKOHKDON,D,20210416,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210419,000000,0.0356,0.0356,0.0356,0.0356,0,0
HKOHKDON,D,20210420,000000,0.03595,0.03595,0.03595,0.03595,0,0
HKOHKDON,D,20210421,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20210422,000000,0.03738,0.03738,0.03738,0.03738,0,0
HKOHKDON,D,20210423,000000,0.03524,0.03524,0.03524,0.03524,0,0
HKOHKDON,D,20210426,000000,0.03631,0.03631,0.03631,0.03631,0,0
HKOHKDON,D,20210427,000000,0.03952,0.03952,0.03952,0.03952,0,0
HKOHKDON,D,20210428,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210429,000000,0.03643,0.03643,0.03643,0.03643,0,0
HKOHKDON,D,20210430,000000,0.0361,0.0361,0.0361,0.0361,0,0
HKOHKDON,D,20210503,000000,0.03467,0.03467,0.03467,0.03467,0,0
HKOHKDON,D,20210504,000000,0.03723,0.03723,0.03723,0.03723,0,0
HKOHKDON,D,20210505,000000,0.0375,0.0375,0.0375,0.0375,0,0
HKOHKDON,D,20210506,000000,0.03786,0.03786,0.03786,0.03786,0,0
HKOHKDON,D,20210507,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210510,000000,0.03964,0.03964,0.03964,0.03964,0,0
HKOHKDON,D,20210511,000000,0.03952,0.03952,0.03952,0.03952,0,0
HKOHKDON,D,20210512,000000,0.03732,0.03732,0.03732,0.03732,0,0
HKOHKDON,D,20210513,000000,0.03738,0.03738,0.03738,0.03738,0,0
HKOHKDON,D,20210514,000000,0.03595,0.03595,0.03595,0.03595,0,0
HKOHKDON,D,20210517,000000,0.03821,0.03821,0.03821,0.03821,0,0
HKOHKDON,D,20210518,000000,0.03738,0.03738,0.03738,0.03738,0,0
HKOHKDON,D,20210520,000000,0.03595,0.03595,0.03595,0.03595,0,0
HKOHKDON,D,20210521,000000,0.04054,0.04054,0.04054,0.04054,0,0
HKOHKDON,D,20210524,000000,0.03911,0.03911,0.03911,0.03911,0,0
HKOHKDON,D,20210525,000000,0.04446,0.04446,0.04446,0.04446,0,0
HKOHKDON,D,20210526,000000,0.03804,0.03804,0.03804,0.03804,0,0
HKOHKDON,D,20210527,000000,0.0356,0.0356,0.0356,0.0356,0,0
HKOHKDON,D,20210528,000000,0.03566,0.03566,0.03566,0.03566,0,0
HKOHKDON,D,20210531,000000,0.04286,0.04286,0.04286,0.04286,0,0
HKOHKDON,D,20210601,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210602,000000,0.0356,0.0356,0.0356,0.0356,0,0
HKOHKDON,D,20210603,000000,0.03536,0.03536,0.03536,0.03536,0,0
HKOHKDON,D,20210604,000000,0.03911,0.03911,0.03911,0.03911,0,0
HKOHKDON,D,20210607,000000,0.03821,0.03821,0.03821,0.03821,0,0
HKOHKDON,D,20210608,000000,0.03571,0.03571,0.03571,0.03571,0,0
HKOHKDON,D,20210609,000000,0.03714,0.03714,0.03714,0.03714,0,0
HKOHKDON,D,20210610,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20210611,000000,0.04196,0.04196,0.04196,0.04196,0,0
HKOHKDON,D,20210615,000000,0.04643,0.04643,0.04643,0.04643,0,0
HKOHKDON,D,20210616,000000,0.04696,0.04696,0.04696,0.04696,0,0
HKOHKDON,D,20210617,000000,0.03804,0.03804,0.03804,0.03804,0,0
HKOHKDON,D,20210618,000000,0.03467,0.03467,0.03467,0.03467,0,0
HKOHKDON,D,20210621,000000,0.03821,0.03821,0.03821,0.03821,0,0
HKOHKDON,D,20210622,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210628,000000,0.04482,0.04482,0.04482,0.04482,0,0
HKOHKDON,D,20210629,000000,0.04446,0.04446,0.04446,0.04446,0,0
HKOHKDON,D,20210630,000000,0.04679,0.04679,0.04679,0.04679,0,0
HKOHKDON,D,20210701,000000,0.04679,0.04679,0.04679,0.04679,0,0
HKOHKDON,D,20210707,000000,0.03682,0.03682,0.03682,0.03682,0,0
HKOHKDON,D,20210708,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210709,000000,0.03952,0.03952,0.03952,0.03952,0,0
HKOHKDON,D,20210712,000000,0.03804,0.03804,0.03804,0.03804,0,0
HKOHKDON,D,20210713,000000,0.0356,0.0356,0.0356,0.0356,0,0
HKOHKDON,D,20210714,000000,0.0381,0.0381,0.0381,0.0381,0,0
HKOHKDON,D,20210715,000000,0.03774,0.03774,0.03774,0.03774,0,0
HKOHKDON,D,20210716,000000,0.03738,0.03738,0.03738,0.03738,0,0
HKOHKDON,D,20210719,000000,0.03631,0.03631,0.03631,0.03631,0,0
HKOHKDON,D,20210720,000000,0.03824,0.03824,0.03824,0.03824,0,0
HKOHKDON,D,20210721,000000,0.03602,0.03602,0.03602,0.03602,0,0
HKOHKDON,D,20210722,000000,0.03881,0.03881,0.03881,0.03881,0,0
HKOHKDON,D,20210723,000000,0.03964,0.03964,0.03964,0.03964,0,0
HKOHKDON,D,20210726,000000,0.03717,0.03717,0.03717,0.03717,0,0
HKOHKDON,D,20210727,000000,0.04536,0.04536,0.04536,0.04536,0,0
HKOHKDON,D,20210728,000000,0.04804,0.04804,0.04804,0.04804,0,0
HKOHKDON,D,20210729,000000,0.04607,0.04607,0.04607,0.04607,0,0
HKOHKDON,D,20210730,000000,0.04613,0.04613,0.04613,0.04613,0,0
